# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10932
# Species         : Sula_variegata
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 370.40 mm
# Secondary1       : 169.00 mm
# Kipps Distance   : 204.00 mm
# Hand-Wing Index  : 54.60
# Tail Length      : 161.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.192
# Pointedness Index: 0.5508
# Efficiency Index : 0.3007
# Wing Loading Proxy: 0.0136
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1383  at x/c = 0.2474
# Max f/c          : 0.0499  at x/c = 0.3266
# Est. Reynolds    : 9.38e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939148  0.00008699
0.99866459  0.00020069
0.99781243  0.00034088
0.99682885  0.00050734
0.99570842  0.00069984
0.99444636  0.00091813
0.99303859  0.00116195
0.99148162  0.00143102
0.98977254  0.00172507
0.98790901  0.00204379
0.98588922  0.00238688
0.98371183  0.00275402
0.98137601  0.00314489
0.97888134  0.00355916
0.97622785  0.00399649
0.97341595  0.00445651
0.97044641  0.00493888
0.96732036  0.00544324
0.96403927  0.00596919
0.96060488  0.00651638
0.95701924  0.00708442
0.95328466  0.00767291
0.94940369  0.00828146
0.94537912  0.00890967
0.94121392  0.00955714
0.93691128  0.01022346
0.93247456  0.01090821
0.92790727  0.01161099
0.92321308  0.01233137
0.91839577  0.01306894
0.91345926  0.01382326
0.90840756  0.01459391
0.90324477  0.01538047
0.89797509  0.01618250
0.89260275  0.01699958
0.88713206  0.01783126
0.88156739  0.01867713
0.87591311  0.01953673
0.87017364  0.02040965
0.86435341  0.02129545
0.85845686  0.02219368
0.85248844  0.02310392
0.84645256  0.02402574
0.84035365  0.02495869
0.83419611  0.02590235
0.82798429  0.02685628
0.82172253  0.02782006
0.81541511  0.02879326
0.80906629  0.02977545
0.80268024  0.03076620
0.79626110  0.03176508
0.78981294  0.03277169
0.78333977  0.03378559
0.77684553  0.03480637
0.77033408  0.03583361
0.76380921  0.03686690
0.75727463  0.03790584
0.75073395  0.03895000
0.74419072  0.03999900
0.73764840  0.04105242
0.73111034  0.04210986
0.72457981  0.04317094
0.71806000  0.04423526
0.71155397  0.04530243
0.70506473  0.04637206
0.69859515  0.04744377
0.69214803  0.04851719
0.68572605  0.04959193
0.67933182  0.05066763
0.67296781  0.05174392
0.66663642  0.05282044
0.66033993  0.05389681
0.65408055  0.05497270
0.64786034  0.05604774
0.64168131  0.05712159
0.63554535  0.05819390
0.62945423  0.05926434
0.62340964  0.06033257
0.61741319  0.06139825
0.61146637  0.06246106
0.60557057  0.06352068
0.59972709  0.06457678
0.59393715  0.06562905
0.58820185  0.06667719
0.58252223  0.06772088
0.57689922  0.06875982
0.57133365  0.06979372
