# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10945
# Species         : Harpactes_oreskios
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 122.40 mm
# Secondary1       : 74.30 mm
# Kipps Distance   : 47.90 mm
# Hand-Wing Index  : 39.20
# Tail Length      : 136.60 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.647
# Pointedness Index: 0.3913
# Efficiency Index : 0.1534
# Wing Loading Proxy: 0.0121
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1673  at x/c = 0.2594
# Max f/c          : 0.0548  at x/c = 0.3367
# Est. Reynolds    : 2.15e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939155  0.00008894
0.99866517  0.00020845
0.99781436  0.00035830
0.99683334  0.00053825
0.99571700  0.00074805
0.99446090  0.00098742
0.99306120  0.00125608
0.99151468  0.00155373
0.98981865  0.00188005
0.98797097  0.00223473
0.98596999  0.00261743
0.98381455  0.00302781
0.98150393  0.00346551
0.97903783  0.00393016
0.97641635  0.00442140
0.97364000  0.00493883
0.97070959  0.00548207
0.96762631  0.00605072
0.96439163  0.00664436
0.96100732  0.00726259
0.95747543  0.00790497
0.95379825  0.00857109
0.94997831  0.00926051
0.94601835  0.00997278
0.94192131  0.01070747
0.93769033  0.01146412
0.93332868  0.01224227
0.92883983  0.01304147
0.92422736  0.01386126
0.91949496  0.01470116
0.91464647  0.01556070
0.90968580  0.01643942
0.90461695  0.01733684
0.89944400  0.01825247
0.89417109  0.01918584
0.88880242  0.02013646
0.88334223  0.02110385
0.87779478  0.02208753
0.87216437  0.02308701
0.86645531  0.02410180
0.86067191  0.02513141
0.85481849  0.02617535
0.84889936  0.02723314
0.84291881  0.02830428
0.83688110  0.02938830
0.83079048  0.03048469
0.82465115  0.03159298
0.81846727  0.03271267
0.81224296  0.03384328
0.80598229  0.03498433
0.79968927  0.03613534
0.79336786  0.03729582
0.78702194  0.03846529
0.78065533  0.03964328
0.77427178  0.04082932
0.76787497  0.04202291
0.76146849  0.04322361
0.75505586  0.04443093
0.74864051  0.04564442
0.74222580  0.04686361
