# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10953
# Species         : Pharomachrus_pavoninus
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 178.40 mm
# Secondary1       : 108.30 mm
# Kipps Distance   : 70.10 mm
# Hand-Wing Index  : 39.30
# Tail Length      : 161.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.647
# Pointedness Index: 0.3929
# Efficiency Index : 0.1544
# Wing Loading Proxy: 0.0102
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1640  at x/c = 0.2593
# Max f/c          : 0.0547  at x/c = 0.3367
# Est. Reynolds    : 3.52e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939155  0.00008882
0.99866517  0.00020798
0.99781435  0.00035725
0.99683331  0.00053638
0.99571694  0.00074511
0.99446080  0.00098317
0.99306105  0.00125027
0.99151446  0.00154611
0.98981835  0.00187037
0.98797057  0.00222274
0.98596947  0.00260286
0.98381388  0.00301041
0.98150310  0.00344502
0.97903681  0.00390632
0.97641513  0.00439393
0.97363854  0.00490748
0.97070788  0.00544657
0.96762432  0.00601080
0.96438934  0.00659975
0.96100471  0.00721301
0.95747247  0.00785017
0.95379492  0.00851078
0.94997458  0.00919442
0.94601420  0.00990065
0.94191672  0.01062901
0.93768527  0.01137907
0.93332314  0.01215035
0.92883378  0.01294241
0.92422077  0.01375479
0.91948783  0.01458701
0.91463876  0.01543860
0.90967750  0.01630910
0.90460804  0.01719802
0.89943446  0.01810490
0.89416091  0.01902925
0.88879157  0.01997059
0.88333070  0.02092844
0.87778256  0.02190231
0.87215144  0.02289173
0.86644166  0.02389620
0.86065753  0.02491524
0.85480336  0.02594837
0.84888347  0.02699509
0.84290215  0.02805493
0.83686367  0.02912740
0.83077226  0.03021201
0.82463213  0.03130828
0.81844745  0.03241572
0.81222233  0.03353386
0.80596085  0.03466222
0.79966701  0.03580031
0.79334478  0.03694766
0.78699803  0.03810379
0.78063059  0.03926823
0.77424621  0.04044052
0.76784857  0.04162017
0.76144126  0.04280673
0.75502779  0.04399974
0.74861161  0.04519872
0.74219607  0.04640322
0.73578442  0.04761279
0.72937984  0.04882698
0.72298541  0.05004533
0.71660412  0.05126741
0.71023886  0.05249276
0.70389245  0.05372095
0.69756758  0.05495155
0.69126687  0.05618412
0.68499282  0.05741824
0.67874786  0.05865348
0.67253430  0.05988942
0.66635436  0.06112564
0.66021018  0.06236174
0.65410376  0.06359731
0.64803705  0.06483194
0.64201187  0.06606523
0.63602996  0.06729679
0.63009296  0.06852623
0.62420241  0.06975316
0.61835975  0.07097720
0.61256636  0.07219797
0.60682349  0.07341510
0.60113231  0.07462823
0.59549391  0.07583698
0.58990927  0.07704100
0.58437931  0.07823994
0.57890484  0.07943344
0.57348659  0.08062116
0.56812522  0.08180277
0.56282129  0.08297792
0.55757528  0.08414629
0.55238761  0.08530755
0.54725861  0.08646138
0.54218852  0.08760746
0.53717754  0.08874549
0.53222576  0.08987515
0.52733323  0.09099615
0.52249991  0.09210820
0.51772572  0.09321099
0.51301047  0.09430425
0.50835396  0.09538769
0.50375588  0.09646103
0.49921590  0.09752401
0.49473362  0.09857636
0.49030856  0.09961781
0.48594023  0.10064812
0.48162805  0.10166702
0.47737142  0.10267427
0.47316967  0.10366964
0.46902210  0.10465287
0.46492795  0.10562375
0.46088643  0.10658204
0.45689672  0.10752752
0.45295794  0.10845997
0.44906918  0.10937918
0.44522951  0.11028495
0.44143796  0.11117706
0.43769353  0.11205532
0.43399517  0.11291955
0.43034185  0.11376953
0.42673248  0.11460511
0.42316595  0.11542609
0.41964114  0.11623229
0.41615691  0.11702356
0.41271210  0.11779972
0.40930553  0.11856062
0.40593602  0.11930609
0.40260236  0.12003599
0.39930334  0.12075016
0.39603775  0.12144848
0.39280436  0.12213078
0.38960193  0.12279696
0.38642923  0.12344686
0.38328503  0.12408038
0.38016809  0.12469739
0.37707718  0.12529776
0.37401105  0.12588140
0.37096849  0.12644820
0.36794826  0.12699804
0.36494916  0.12753083
0.36196998  0.12804648
0.35900952  0.12854490
0.35606660  0.12902599
0.35314003  0.12948969
0.35022867  0.12993590
0.34733137  0.13036455
0.34444701  0.13077558
0.34157446  0.13116891
0.33871266  0.13154449
0.33586051  0.13190225
0.33301698  0.13224214
0.33018103  0.13256412
0.32735166  0.13286812
0.32452790  0.13315412
0.32170878  0.13342206
0.31889339  0.13367192
0.31608081  0.13390365
0.31327018  0.13411724
0.31046064  0.13431265
0.30765140  0.13448987
0.30484165  0.13464887
0.30203066  0.13478964
0.29921769  0.13491217
0.29640206  0.13501644
0.29358311  0.13510246
0.29076022  0.13517022
0.28793281  0.13521972
0.28510032  0.13525097
0.28226223  0.13526397
0.27941807  0.13525873
0.27656738  0.13523527
0.27370977  0.13519360
0.27084485  0.13513374
0.26797229  0.13505571
0.26509181  0.13495954
0.26220313  0.13484525
0.25930605  0.13471287
0.25640037  0.13456243
0.25348595  0.13439398
0.25056269  0.13420753
0.24763052  0.13400314
0.24468941  0.13378085
0.24173937  0.13354069
0.23878045  0.13328272
0.23581274  0.13300698
0.23283635  0.13271352
0.22985145  0.13240240
0.22685825  0.13207366
0.22385697  0.13172736
0.22084790  0.13136357
0.21783133  0.13098233
0.21480763  0.13058372
