# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 01844
# Species         : Zentrygon_chiriquensis
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 148.20 mm
# Secondary1       : 116.50 mm
# Kipps Distance   : 31.80 mm
# Hand-Wing Index  : 21.40
# Tail Length      : 80.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.272
# Pointedness Index: 0.2146
# Efficiency Index : 0.0459
# Wing Loading Proxy: 0.0157
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1883  at x/c = 0.2698
# Max f/c          : 0.0588  at x/c = 0.3467
# Est. Reynolds    : 2.76e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939164  0.00009042
0.99866585  0.00021436
0.99781660  0.00037159
0.99683852  0.00056182
0.99572692  0.00078479
0.99447769  0.00104020
0.99308733  0.00132774
0.99155289  0.00164709
0.98987195  0.00199792
0.98804258  0.00237987
0.98606336  0.00279260
0.98393328  0.00323572
0.98165178  0.00370885
0.97921869  0.00421161
0.97663423  0.00474359
0.97389896  0.00530437
0.97101379  0.00589355
0.96797994  0.00651067
0.96479891  0.00715532
0.96147249  0.00782703
0.95800272  0.00852536
0.95439189  0.00924984
0.95064248  0.01000001
0.94675720  0.01077540
0.94273895  0.01157552
0.93859078  0.01239989
0.93431592  0.01324801
0.92991773  0.01411940
0.92539971  0.01501354
0.92076546  0.01592995
0.91601870  0.01686810
0.91116324  0.01782750
0.90620296  0.01880762
0.90114183  0.01980794
0.89598385  0.02082796
0.89073309  0.02186713
0.88539366  0.02292495
0.87996969  0.02400088
0.87446534  0.02509440
0.86888477  0.02620497
0.86323216  0.02733207
0.85751167  0.02847517
0.85172748  0.02963374
0.84588372  0.03080724
0.83998453  0.03199514
0.83403399  0.03319692
0.82803616  0.03441204
0.82199507  0.03563998
0.81591468  0.03688019
0.80979894  0.03813216
0.80365169  0.03939536
0.79747677  0.04066927
0.79127792  0.04195335
0.78505883  0.04324709
0.77882311  0.04454996
0.77257431  0.04586145
0.76631590  0.04718105
0.76005126  0.04850823
0.75378371  0.04984249
0.74751649  0.05118332
0.74125272  0.05253021
0.73499548  0.05388267
0.72874773  0.05524018
0.72251236  0.05660226
0.71629216  0.05796842
0.71008982  0.05933815
0.70390797  0.06071099
0.69774910  0.06208644
0.69161565  0.06346402
0.68550995  0.06484327
0.67943423  0.06622371
0.67339063  0.06760487
0.66738119  0.06898629
0.66140788  0.07036752
0.65547254  0.07174810
0.64957695  0.07312758
0.64372277  0.07450552
0.63791159  0.07588147
0.63214490  0.07725500
0.62642408  0.07862568
0.62075046  0.07999308
0.61512524  0.08135678
0.60954956  0.08271637
0.60402446  0.08407143
0.59855089  0.08542155
0.59312973  0.08676634
0.58776177  0.08810540
