# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02334
# Species         : Guttera_edouardi
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 275.70 mm
# Secondary1       : 214.70 mm
# Kipps Distance   : 61.00 mm
# Hand-Wing Index  : 22.10
# Tail Length      : 114.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.284
# Pointedness Index: 0.2213
# Efficiency Index : 0.0489
# Wing Loading Proxy: 0.0112
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1820  at x/c = 0.2694
# Max f/c          : 0.0585  at x/c = 0.3467
# Est. Reynolds    : 6.29e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939163  0.00009019
0.99866582  0.00021344
0.99781651  0.00036950
0.99683832  0.00055809
0.99572653  0.00077895
0.99447703  0.00103176
0.99308630  0.00131621
0.99155139  0.00163199
0.98986985  0.00197874
0.98803977  0.00235613
0.98605969  0.00276378
0.98392861  0.00320133
0.98164597  0.00366838
0.97921158  0.00416455
0.97662566  0.00468942
0.97388878  0.00524258
0.97100183  0.00582362
0.96796603  0.00643209
0.96478289  0.00706756
0.96145420  0.00772958
0.95798199  0.00841769
0.95436854  0.00913144
0.95061636  0.00987035
0.94672815  0.01063395
0.94270679  0.01142177
0.93855537  0.01223331
0.93427710  0.01306809
0.92987534  0.01392561
0.92535360  0.01480538
0.92071550  0.01570689
0.91596474  0.01662964
0.91110514  0.01757312
0.90614059  0.01853681
0.90107506  0.01952021
0.89591256  0.02052280
0.89065717  0.02154405
0.88531299  0.02258345
0.87988416  0.02364047
0.87437485  0.02471460
0.86878923  0.02580531
0.86313147  0.02691207
0.85740576  0.02803436
0.85161626  0.02917166
0.84576713  0.03032343
0.83986248  0.03148916
0.83390643  0.03266832
0.82790304  0.03386038
0.82185633  0.03506483
0.81577029  0.03628114
0.80964884  0.03750879
0.80349587  0.03874726
0.79731519  0.03999604
0.79111055  0.04125460
0.78488566  0.04252244
0.77864413  0.04379904
0.77238951  0.04508390
0.76612527  0.04637650
0.75985481  0.04767635
0.75358146  0.04898294
0.74730843  0.05029577
0.74103888  0.05161435
0.73477588  0.05293818
0.72852239  0.05426678
0.72228132  0.05559966
0.71605544  0.05693634
0.70984747  0.05827633
0.70366002  0.05961917
0.69749561  0.06096438
0.69135667  0.06231149
0.68524552  0.06366005
0.67916441  0.06500959
0.67311548  0.06635965
0.66710077  0.06770979
0.66112226  0.06905956
0.65518178  0.07040852
0.64928112  0.07175623
0.64342195  0.07310226
0.63760586  0.07444617
0.63183432  0.07578755
0.62610874  0.07712597
0.62043044  0.07846103
0.61480062  0.07979230
0.60922042  0.08111940
0.60369089  0.08244191
0.59821299  0.08375944
0.59278758  0.08507161
0.58741545  0.08637803
0.58209732  0.08767832
0.57683381  0.08897210
0.57162546  0.09025901
0.56647275  0.09153869
0.56137607  0.09281076
0.55633574  0.09407489
0.55135199  0.09533073
0.54642501  0.09657792
0.54155490  0.09781613
0.53674169  0.09904504
0.53198535  0.10026431
0.52728578  0.10147363
0.52264284  0.10267267
0.51805628  0.10386113
0.51352585  0.10503870
0.50905119  0.10620508
0.50463192  0.10735998
0.50026760  0.10850311
0.49595772  0.10963419
0.49170174  0.11075294
0.48749906  0.11185908
0.48334904  0.11295235
0.47925100  0.11403248
0.47520421  0.11509923
0.47120789  0.11615234
0.46726125  0.11719156
0.46336343  0.11821666
0.45951356  0.11922740
0.45571073  0.12022355
0.45195399  0.12120489
0.44824238  0.12217119
0.44457488  0.12312226
0.44095049  0.12405787
0.43736814  0.12497783
0.43382676  0.12588194
0.43032527  0.12677001
0.42686255  0.12764185
0.42343749  0.12849728
0.42004892  0.12933613
0.41669571  0.13015822
0.41337668  0.13096338
0.41009065  0.13175147
0.40683645  0.13252232
0.40361288  0.13327578
0.40041873  0.13401172
0.39725282  0.13472998
0.39411393  0.13543043
0.39100087  0.13611295
0.38791243  0.13677741
0.38484741  0.13742369
0.38180462  0.13805167
0.37878287  0.13866125
0.37578096  0.13925231
0.37279774  0.13982477
0.36983202  0.14037852
0.36688266  0.14091348
0.36394851  0.14142955
0.36102844  0.14192666
0.35812134  0.14240473
0.35522610  0.14286369
0.35234165  0.14330347
0.34946692  0.14372400
0.34660086  0.14412524
0.34374246  0.14450713
0.34089070  0.14486961
0.33804460  0.14521264
0.33520322  0.14553618
0.33236560  0.14584020
0.32953085  0.14612466
0.32669809  0.14638953
0.32386645  0.14663479
0.32103511  0.14686043
0.31820328  0.14706642
0.31537018  0.14725275
0.31253507  0.14741941
0.30969725  0.14756641
0.30685604  0.14769374
0.30401080  0.14780140
0.30116090  0.14788940
0.29830579  0.14795775
0.29544490  0.14800646
0.29257773  0.14803556
0.28970381  0.14804507
0.28682269  0.14803500
0.28393396  0.14800538
0.28103727  0.14795626
0.27813228  0.14788765
0.27521869  0.14779960
0.27229625  0.14769215
0.26936472  0.14756533
0.26642393  0.14741921
0.26347373  0.14725381
0.26051401  0.14706920
0.25754469  0.14686542
0.25456575  0.14664254
0.25157718  0.14640061
0.24857902  0.14613969
0.24557135  0.14585984
0.24255428  0.14556113
0.23952798  0.14524362
0.23649261  0.14490739
0.23344842  0.14455249
0.23039565  0.14417901
0.22733462  0.14378702
0.22426564  0.14337659
0.22118909  0.14294779
0.21810537  0.14250071
0.21501492  0.14203542
0.21191821  0.14155200
0.20881574  0.14105053
0.20570805  0.14053109
0.20259571  0.13999376
0.19947931  0.13943863
0.19635950  0.13886577
0.19323692  0.13827526
0.19011226  0.13766719
0.18698626  0.13704165
0.18385964  0.13639870
0.18073318  0.13573844
0.17760768  0.13506094
0.17448395  0.13436628
0.17136284  0.13365455
0.16824522  0.13292582
0.16513198  0.13218016
0.16202402  0.13141766
0.15892226  0.13063839
0.15582766  0.12984241
0.15274117  0.12902981
0.14966377  0.12820066
0.14659644  0.12735501
0.14354019  0.12649294
0.14049603  0.12561450
0.13746499  0.12471976
0.13444809  0.12380878
0.13144636  0.12288161
0.12846086  0.12193831
0.12549263  0.12097891
0.12254271  0.12000347
0.11961215  0.11901204
0.11670200  0.11800464
0.11381331  0.11698132
0.11094711  0.11594211
0.10810443  0.11488703
0.10528631  0.11381610
0.10249376  0.11272935
0.09972778  0.11162679
0.09698937  0.11050843
0.09427951  0.10937428
0.09159915  0.10822433
0.08894925  0.10705858
0.08633071  0.10587702
0.08374446  0.10467964
0.08119136  0.10346642
0.07867228  0.10223732
0.07618803  0.10099232
0.07373943  0.09973139
0.07132724  0.09845447
0.06895219  0.09716152
0.06661501  0.09585249
0.06431635  0.09452731
0.06205685  0.09318592
0.05983712  0.09182825
0.05765771  0.09045421
0.05551914  0.08906373
0.05342189  0.08765670
0.05136639  0.08623304
0.04935304  0.08479263
0.04738218  0.08333537
0.04545412  0.08186115
0.04356910  0.08036983
0.04172734  0.07886129
0.03992899  0.07733540
0.03817416  0.07579202
0.03646291  0.07423099
0.03479526  0.07265216
0.03317115  0.07105539
0.03159051  0.06944049
0.03005319  0.06780731
0.02855901  0.06615567
0.02710772  0.06448539
0.02569904  0.06279628
0.02433263  0.06108816
0.02300812  0.05936083
0.02172507  0.05761410
0.02048301  0.05584777
0.01928144  0.05406163
0.01811978  0.05225547
0.01699746  0.05042909
0.01591384  0.04858228
0.01486826  0.04671482
0.01386003  0.04482651
0.01288841  0.04291711
0.01195268  0.04098643
0.01105206  0.03903425
0.01018578  0.03706036
0.00935304  0.03506454
0.00855305  0.03304660
0.00778502  0.03100632
0.00704815  0.02894351
0.00634166  0.02685798
0.00566480  0.02474953
0.00501683  0.02261799
0.00439704  0.02046318
0.00380479  0.01828494
0.00323946  0.01608312
0.00270051  0.01385758
0.00218745  0.01160819
0.00169988  0.00933483
0.00123750  0.00703740
0.00080010  0.00471583
0.00038759  0.00237004
0.00000000  0.00000000
0.00038759  -0.00142271
0.00080010  -0.00277184
0.00123750  -0.00405121
0.00169988  -0.00526443
0.00218745  -0.00641500
0.00270051  -0.00750623
0.00323946  -0.00854130
0.00380479  -0.00952323
0.00439704  -0.01045493
0.00501683  -0.01133915
0.00566480  -0.01217853
0.00634166  -0.01297559
0.00704815  -0.01373273
0.00778502  -0.01445223
0.00855305  -0.01513627
0.00935304  -0.01578692
0.01018578  -0.01640616
0.01105206  -0.01699587
0.01195268  -0.01755783
0.01288841  -0.01809374
0.01386003  -0.01860523
0.01486826  -0.01909381
0.01591384  -0.01956094
0.01699746  -0.02000801
0.01811978  -0.02043632
0.01928144  -0.02084711
0.02048301  -0.02124154
0.02172507  -0.02162073
0.02300812  -0.02198573
0.02433263  -0.02233751
0.02569904  -0.02267702
0.02710772  -0.02300513
0.02855901  -0.02332267
0.03005319  -0.02363041
0.03159051  -0.02392908
0.03317115  -0.02421937
0.03479526  -0.02450191
0.03646291  -0.02477729
0.03817416  -0.02504609
0.03992899  -0.02530881
0.04172734  -0.02556594
0.04356910  -0.02581792
0.04545412  -0.02606516
0.04738218  -0.02630805
0.04935304  -0.02654693
0.05136639  -0.02678212
0.05342189  -0.02701391
0.05551914  -0.02724256
0.05765771  -0.02746832
0.05983712  -0.02769139
0.06205685  -0.02791195
0.06431635  -0.02813019
0.06661501  -0.02834623
0.06895219  -0.02856020
0.07132724  -0.02877221
0.07373943  -0.02898234
0.07618803  -0.02919065
0.07867228  -0.02939720
0.08119136  -0.02960201
0.08374446  -0.02980511
0.08633071  -0.03000649
0.08894925  -0.03020614
0.09159915  -0.03040404
0.09427951  -0.03060015
0.09698937  -0.03079443
0.09972778  -0.03098680
0.10249376  -0.03117720
0.10528631  -0.03136554
0.10810443  -0.03155174
0.11094711  -0.03173570
0.11381331  -0.03191730
0.11670200  -0.03209643
0.11961215  -0.03227297
0.12254271  -0.03244679
0.12549263  -0.03261774
0.12846086  -0.03278570
0.13144636  -0.03295050
0.13444809  -0.03311200
0.13746499  -0.03327005
0.14049603  -0.03342447
0.14354019  -0.03357511
0.14659644  -0.03372180
0.14966377  -0.03386437
0.15274117  -0.03400265
0.15582766  -0.03413646
0.15892226  -0.03426563
0.16202402  -0.03438997
0.16513198  -0.03450933
0.16824522  -0.03462350
0.17136284  -0.03473232
0.17448395  -0.03483562
0.17760768  -0.03493320
0.18073318  -0.03502490
0.18385964  -0.03511054
0.18698626  -0.03518994
0.19011226  -0.03526294
0.19323692  -0.03532936
0.19635950  -0.03538903
0.19947931  -0.03544180
0.20259571  -0.03548750
0.20570805  -0.03552596
0.20881574  -0.03555704
0.21191821  -0.03558059
0.21501492  -0.03559644
0.21810537  -0.03560447
0.22118909  -0.03560454
0.22426564  -0.03559650
0.22733462  -0.03558022
0.23039565  -0.03555559
0.23344842  -0.03552249
0.23649261  -0.03548079
0.23952798  -0.03543040
0.24255428  -0.03537120
0.24557135  -0.03530311
0.24857902  -0.03522603
0.25157718  -0.03513988
0.25456575  -0.03504459
0.25754469  -0.03494007
0.26051401  -0.03482627
0.26347373  -0.03470313
0.26642393  -0.03457060
0.26936472  -0.03442864
0.27229625  -0.03427721
0.27521869  -0.03411629
0.27813228  -0.03394585
0.28103727  -0.03376588
0.28393396  -0.03357638
0.28682269  -0.03337735
0.28970381  -0.03316880
0.29257773  -0.03295075
0.29544490  -0.03272323
0.29830579  -0.03248627
