# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02445
# Species         : Gallus_sonneratii
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 218.00 mm
# Secondary1       : 168.30 mm
# Kipps Distance   : 45.20 mm
# Hand-Wing Index  : 21.20
# Tail Length      : 219.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.295
# Pointedness Index: 0.2073
# Efficiency Index : 0.0440
# Wing Loading Proxy: 0.0059
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1852  at x/c = 0.2699
# Max f/c          : 0.0588  at x/c = 0.3467
# Est. Reynolds    : 4.60e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939164  0.00009033
0.99866586  0.00021398
0.99781662  0.00037073
0.99683858  0.00056028
0.99572703  0.00078237
0.99447788  0.00103670
0.99308762  0.00132295
0.99155332  0.00164081
0.98987255  0.00198992
0.98804339  0.00236995
0.98606441  0.00278053
0.98393461  0.00322129
0.98165344  0.00369183
0.97922073  0.00419178
0.97663668  0.00472072
0.97390187  0.00527823
0.97101721  0.00586390
0.96798391  0.00647729
0.96480349  0.00711797
0.96147772  0.00778547
0.95800865  0.00847936
0.95439856  0.00919916
0.95064994  0.00994441
0.94676550  0.01071464
0.94274814  0.01150936
0.93860090  0.01232808
0.93432701  0.01317032
0.92992984  0.01403557
0.92541288  0.01492335
0.92077974  0.01583315
0.91603412  0.01676445
0.91117984  0.01771675
0.90622079  0.01868953
0.90116091  0.01968228
0.89600422  0.02069448
0.89075479  0.02172561
0.88541672  0.02277513
0.87999413  0.02384254
0.87449119  0.02492730
0.86891207  0.02602889
0.86326093  0.02714678
0.85754194  0.02828043
0.85175926  0.02942933
0.84591704  0.03059294
0.84001940  0.03177073
0.83407044  0.03296218
0.82807420  0.03416675
0.82203471  0.03538393
0.81595595  0.03661318
0.80984183  0.03785398
0.80369623  0.03910580
0.79752296  0.04036813
0.79132576  0.04164045
0.78510833  0.04292222
0.77887428  0.04421295
0.77262714  0.04551211
0.76637040  0.04681920
0.76010743  0.04813370
0.75384155  0.04945510
0.74757598  0.05078291
0.74131388  0.05211662
0.73505829  0.05345573
0.72881219  0.05479975
0.72257846  0.05614819
0.71635988  0.05750056
0.71015917  0.05885638
0.70397892  0.06021516
0.69782166  0.06157642
0.69168979  0.06293970
0.68558566  0.06430453
0.67951150  0.06567044
0.67346944  0.06703696
0.66746153  0.06840365
0.66148972  0.06977004
0.65555588  0.07113570
0.64966176  0.07250017
0.64380903  0.07386302
0.63799929  0.07522382
0.63223401  0.07658212
0.62651459  0.07793752
0.62084234  0.07928959
0.61521848  0.08063790
0.60964413  0.08198206
0.60412034  0.08332165
0.59864806  0.08465628
0.59322817  0.08598555
0.58786145  0.08730907
0.58254861  0.08862645
0.57729028  0.08993731
0.57208700  0.09124128
0.56693924  0.09253799
0.56184739  0.09382707
0.55681177  0.09510816
0.55183262  0.09638092
0.54691012  0.09764498
0.54204437  0.09890001
0.53723541  0.10014568
0.53248319  0.10138164
0.52778764  0.10260756
0.52314858  0.10382314
0.51856581  0.10502805
0.51403903  0.10622198
0.50956792  0.10740462
0.50515209  0.10857569
0.50079109  0.10973487
0.49648442  0.11088188
0.49223154  0.11201645
0.48803185  0.11313829
0.48388471  0.11424712
0.47978945  0.11534269
0.47574532  0.11642473
0.47175157  0.11749298
0.46780739  0.11854720
0.46391193  0.11958714
0.46006433  0.12061256
0.45626366  0.12162322
0.45250899  0.12261890
0.44879935  0.12359938
0.44513374  0.12456444
0.44151114  0.12551386
0.43793049  0.12644743
0.43439074  0.12736497
0.43089078  0.12826627
0.42742951  0.12915113
0.42400582  0.13001939
0.42061854  0.13087084
0.41726655  0.13170533
0.41394866  0.13252268
0.41066370  0.13332273
0.40741049  0.13410532
0.40418785  0.13487029
0.40099457  0.13561750
0.39782945  0.13634680
0.39469130  0.13705806
0.39157891  0.13775114
0.38849109  0.13842591
0.38542663  0.13908226
0.38238434  0.13972006
0.37936303  0.14033921
0.37636153  0.14093959
0.37337865  0.14152110
0.37041323  0.14208364
0.36746412  0.14262713
0.36453018  0.14315147
0.36161028  0.14365658
0.35870330  0.14414237
0.35580815  0.14460879
0.35292374  0.14505575
0.35004902  0.14548320
0.34718294  0.14589107
0.34432447  0.14627931
0.34147261  0.14664786
0.33862639  0.14699669
0.33578484  0.14732574
0.33294703  0.14763499
0.33011206  0.14792439
0.32727905  0.14819393
0.32444713  0.14844356
0.32161549  0.14867329
0.31878333  0.14888307
0.31594987  0.14907292
0.31311438  0.14924281
0.31027615  0.14939274
0.30743451  0.14952272
0.30458881  0.14963273
0.30173843  0.14972280
0.29888281  0.14979294
0.29602139  0.14984315
0.29315366  0.14987345
0.29027916  0.14988387
0.28739744  0.14987443
0.28450809  0.14984515
0.28161074  0.14979608
0.27870507  0.14972724
0.27579077  0.14963868
0.27286759  0.14953042
0.26993530  0.14940252
0.26699372  0.14925503
0.26404270  0.14908798
0.26108212  0.14890144
0.25811192  0.14869546
0.25513206  0.14847009
0.25214254  0.14822539
0.24914340  0.14796143
0.24613470  0.14767827
0.24311658  0.14737598
0.24008917  0.14705461
0.23705267  0.14671425
0.23400729  0.14635497
0.23095330  0.14597683
0.22789099  0.14557991
0.22482070  0.14516430
0.22174278  0.14473006
0.21865764  0.14427727
0.21556571  0.14380602
0.21246747  0.14331638
0.20936342  0.14280844
0.20625408  0.14228228
0.20314003  0.14173799
0.20002187  0.14117564
0.19690022  0.14059532
0.19377574  0.13999711
0.19064911  0.13938110
0.18752106  0.13874737
0.18439232  0.13809601
0.18126367  0.13742710
0.17813590  0.13674072
0.17500982  0.13603695
0.17188627  0.13531587
0.16876613  0.13457758
0.16565028  0.13382213
0.16253962  0.13304962
0.15943508  0.13226012
0.15633759  0.13145370
0.15324813  0.13063044
0.15016765  0.12979041
0.14709715  0.12893368
0.14403762  0.12806031
0.14099008  0.12717038
0.13795556  0.12626393
0.13493506  0.12534104
0.13192964  0.12440176
0.12894033  0.12344614
0.12596818  0.12247424
0.12301422  0.12148610
0.12007952  0.12048176
0.11716511  0.11946127
0.11427204  0.11842466
0.11140134  0.11737197
0.10855406  0.11630322
0.10573121  0.11521844
0.10293381  0.11411765
0.10016287  0.11300086
0.09741937  0.11186809
0.09470430  0.11071934
0.09201862  0.10955461
0.08936327  0.10837390
0.08673918  0.10717720
0.08414725  0.10596449
0.08158835  0.10473576
0.07906336  0.10349097
0.07657309  0.10223011
0.07411834  0.10095312
0.07169990  0.09965998
0.06931850  0.09835062
0.06697484  0.09702500
0.06466961  0.09568306
0.06240344  0.09432472
0.06017693  0.09294991
0.05799065  0.09155856
0.05584511  0.09015058
0.05374080  0.08872588
0.05167817  0.08728435
0.04965759  0.08582590
0.04767943  0.08435041
0.04574399  0.08285776
0.04385153  0.08134783
0.04200226  0.07982050
0.04019634  0.07827561
0.03843389  0.07671304
0.03671497  0.07513263
0.03503961  0.07353423
0.03340776  0.07191767
0.03181934  0.07028280
0.03027422  0.06862944
0.02877222  0.06695742
0.02731311  0.06526654
0.02589661  0.06355663
0.02452239  0.06182750
0.02319007  0.06007895
0.02189924  0.05831078
0.02064943  0.05652278
0.01944015  0.05471476
0.01827083  0.05288650
0.01714090  0.05103780
0.01604973  0.04916843
0.01499668  0.04727818
0.01398105  0.04536684
0.01300214  0.04343420
0.01205920  0.04148002
0.01115149  0.03950411
0.01027823  0.03750624
0.00943864  0.03548621
0.00863194  0.03344380
0.00785734  0.03137881
0.00711405  0.02929103
0.00640131  0.02718029
0.00571836  0.02504638
0.00506449  0.02288912
0.00443899  0.02070834
0.00384121  0.01850388
0.00327056  0.01627558
0.00272649  0.01402330
0.00220853  0.01174692
0.00171628  0.00944631
0.00124945  0.00712139
0.00080783  0.00477207
0.00039133  0.00239829
0.00000000  0.00000000
0.00039133  -0.00143518
0.00080783  -0.00279672
0.00124945  -0.00408844
0.00171628  -0.00531397
0.00220853  -0.00647681
0.00272649  -0.00758029
0.00327056  -0.00862758
0.00384121  -0.00962173
0.00443899  -0.01056564
0.00506449  -0.01146207
0.00571836  -0.01231368
0.00640131  -0.01312299
0.00711405  -0.01389239
0.00785734  -0.01462418
0.00863194  -0.01532055
0.00943864  -0.01598356
0.01027823  -0.01661521
0.01115149  -0.01721736
0.01205920  -0.01779182
0.01300214  -0.01834028
0.01398105  -0.01886436
0.01499668  -0.01936559
0.01604973  -0.01984544
0.01714090  -0.02030527
0.01827083  -0.02074641
0.01944015  -0.02117008
0.02064943  -0.02157746
0.02189924  -0.02196966
0.02319007  -0.02234773
0.02452239  -0.02271265
0.02589661  -0.02306536
0.02731311  -0.02340672
0.02877222  -0.02373757
0.03027422  -0.02405869
0.03181934  -0.02437079
0.03340776  -0.02467456
0.03503961  -0.02497063
0.03671497  -0.02525961
0.03843389  -0.02554205
0.04019634  -0.02581845
0.04200226  -0.02608931
0.04385153  -0.02635506
0.04574399  -0.02661612
0.04767943  -0.02687285
0.04965759  -0.02712561
0.05167817  -0.02737470
0.05374080  -0.02762043
0.05584511  -0.02786303
0.05799065  -0.02810276
0.06017693  -0.02833981
0.06240344  -0.02857437
0.06466961  -0.02880659
0.06697484  -0.02903663
0.06931850  -0.02926460
0.07169990  -0.02949059
0.07411834  -0.02971468
0.07657309  -0.02993695
0.07906336  -0.03015742
0.08158835  -0.03037613
0.08414725  -0.03059309
0.08673918  -0.03080829
0.08936327  -0.03102172
0.09201862  -0.03123336
0.09470430  -0.03144314
0.09741937  -0.03165103
0.10016287  -0.03185695
0.10293381  -0.03206083
0.10573121  -0.03226258
0.10855406  -0.03246210
0.11140134  -0.03265928
0.11427204  -0.03285402
0.11716511  -0.03304619
0.12007952  -0.03323566
0.12301422  -0.03342230
0.12596818  -0.03360596
0.12894033  -0.03378649
0.13192964  -0.03396375
0.13493506  -0.03413757
0.13795556  -0.03430779
0.14099008  -0.03447425
0.14403762  -0.03463677
0.14709715  -0.03479519
0.15016765  -0.03494933
0.15324813  -0.03509900
0.15633759  -0.03524404
0.15943508  -0.03538426
0.16253962  -0.03551947
0.16565028  -0.03564949
0.16876613  -0.03577415
0.17188627  -0.03589326
0.17500982  -0.03600662
0.17813590  -0.03611407
0.18126367  -0.03621543
0.18439232  -0.03631050
0.18752106  -0.03639911
0.19064911  -0.03648108
0.19377574  -0.03655625
0.19690022  -0.03662444
0.20002187  -0.03668547
0.20314003  -0.03673918
0.20625408  -0.03678542
0.20936342  -0.03682401
0.21246747  -0.03685481
0.21556571  -0.03687766
0.21865764  -0.03689241
0.22174278  -0.03689893
0.22482070  -0.03689707
0.22789099  -0.03688670
0.23095330  -0.03686769
0.23400729  -0.03683993
0.23705267  -0.03680329
0.24008917  -0.03675766
0.24311658  -0.03670294
0.24613470  -0.03663902
0.24914340  -0.03656582
0.25214254  -0.03648326
0.25513206  -0.03639124
0.25811192  -0.03628970
0.26108212  -0.03617858
