# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02669
# Species         : Micropygia_schomburgkii
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 74.50 mm
# Secondary1       : 57.20 mm
# Kipps Distance   : 17.30 mm
# Hand-Wing Index  : 23.20
# Tail Length      : 28.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.302
# Pointedness Index: 0.2322
# Efficiency Index : 0.0539
# Wing Loading Proxy: 0.0457
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1898  at x/c = 0.2687
# Max f/c          : 0.0586  at x/c = 0.3467
# Est. Reynolds    : 1.54e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939163  0.00009041
0.99866578  0.00021432
0.99781637  0.00037148
0.99683800  0.00056165
0.99572592  0.00078454
0.99447599  0.00103987
0.99308469  0.00132734
0.99154903  0.00164662
0.98986656  0.00199738
0.98803534  0.00237929
0.98605392  0.00279198
0.98392127  0.00323510
0.98163683  0.00370826
0.97920040  0.00421107
0.97661220  0.00474314
0.97387278  0.00530406
0.97098303  0.00589341
0.96794418  0.00651076
0.96475772  0.00715568
0.96142545  0.00782773
0.95794940  0.00852645
0.95433186  0.00925139
0.95057531  0.01000209
0.94668249  0.01077806
0.94265627  0.01157885
0.93849972  0.01240396
0.93421609  0.01325290
0.92980873  0.01412519
0.92528116  0.01502032
0.92063698  0.01593780
0.91587994  0.01687712
0.91101384  0.01783777
0.90604258  0.01881924
0.90097014  0.01982100
0.89580054  0.02084256
0.89053786  0.02188337
0.88518622  0.02294293
0.87974976  0.02402071
0.87423266  0.02511617
0.86863909  0.02622880
0.86297325  0.02735806
0.85723933  0.02850342
0.85144149  0.02966436
0.84558390  0.03084034
0.83967070  0.03203084
0.83370599  0.03323532
0.82769386  0.03445325
0.82163832  0.03568410
0.81554339  0.03692735
0.80941298  0.03818246
0.80325100  0.03944891
0.79706127  0.04072617
0.79084754  0.04201373
0.78461353  0.04331104
0.77836287  0.04461760
0.77209910  0.04593289
0.76582571  0.04725638
0.75954611  0.04858757
0.75326362  0.04992594
0.74698147  0.05127099
0.74070284  0.05262220
0.73443078  0.05397907
0.72816829  0.05534110
0.72191824  0.05670779
0.71568345  0.05807866
0.70946663  0.05945320
0.70327039  0.06083093
0.69709726  0.06221136
0.69094968  0.06359402
0.68482997  0.06497843
0.67874039  0.06636411
0.67268308  0.06775060
0.66666010  0.06913744
0.66067340  0.07052415
0.65472485  0.07191029
0.64881623  0.07329540
0.64294921  0.07467904
0.63712538  0.07606076
0.63134623  0.07744012
0.62561317  0.07881670
0.61992750  0.08019006
0.61429046  0.08155977
0.60870316  0.08292542
0.60316667  0.08428659
0.59768194  0.08564288
0.59224984  0.08699387
0.58687117  0.08833918
0.58154664  0.08967839
0.57627687  0.09101113
0.57106241  0.09233701
0.56590373  0.09365565
0.56080123  0.09496668
0.55575523  0.09626972
0.55076596  0.09756442
0.54583361  0.09885042
0.54095828  0.10012736
0.53613999  0.10139489
0.53137873  0.10265268
0.52667439  0.10390039
0.52202682  0.10513768
0.51743579  0.10636423
0.51290103  0.10757973
0.50842220  0.10878385
0.50399890  0.10997629
0.49963069  0.11115674
0.49531708  0.11232491
0.49105750  0.11348050
0.48685137  0.11462322
0.48269805  0.11575280
0.47859684  0.11686896
0.47454702  0.11797142
0.47054781  0.11905993
0.46659841  0.12013423
0.46269798  0.12119405
0.45884562  0.12223916
0.45504044  0.12326930
0.45128148  0.12428425
0.44756776  0.12528377
0.44389830  0.12626763
0.44027205  0.12723562
0.43668797  0.12818751
0.43314499  0.12912311
0.42964201  0.13004220
0.42617792  0.13094459
0.42275159  0.13183008
0.41936188  0.13269849
0.41600762  0.13354963
0.41268766  0.13438332
0.40940080  0.13519940
0.40614587  0.13599771
0.40292167  0.13677806
0.39972700  0.13754032
0.39656065  0.13828434
0.39342143  0.13900995
0.39030812  0.13971704
0.38721953  0.14040546
0.38415444  0.14107508
0.38111167  0.14172578
0.37809001  0.14235743
0.37508829  0.14296994
0.37210532  0.14356318
0.36913994  0.14413705
0.36619100  0.14469145
0.36325733  0.14522629
0.36033782  0.14574148
0.35743135  0.14623694
0.35453681  0.14671258
0.35165313  0.14716834
0.34877923  0.14760413
0.34591406  0.14801991
0.34305661  0.14841559
0.34020586  0.14879114
0.33736084  0.14914650
0.33452058  0.14948161
0.33168416  0.14979645
0.32885065  0.15009097
0.32601918  0.15036513
0.32318889  0.15061892
0.32035895  0.15085230
0.31752856  0.15106525
0.31469696  0.15125776
0.31186340  0.15142982
0.30902717  0.15158141
0.30618760  0.15171254
0.30334404  0.15182320
0.30049588  0.15191339
0.29764254  0.15198313
0.29478347  0.15203242
0.29191816  0.15206128
0.28904615  0.15206973
0.28616698  0.15205779
0.28328025  0.15202548
0.28038560  0.15197284
0.27748268  0.15189990
0.27457121  0.15180668
0.27165093  0.15169324
0.26872161  0.15155961
0.26578307  0.15140583
0.26283516  0.15123196
0.25987778  0.15103804
0.25691084  0.15082413
0.25393432  0.15059028
0.25094822  0.15033655
0.24795257  0.15006301
0.24494746  0.14976971
0.24193301  0.14945671
0.23890935  0.14912410
0.23587669  0.14877193
0.23283524  0.14840028
0.22978528  0.14800922
0.22672709  0.14759882
0.22366101  0.14716917
0.22058741  0.14672034
0.21750670  0.14625241
0.21441931  0.14576546
0.21132571  0.14525957
0.20822641  0.14473483
0.20512195  0.14419132
0.20201289  0.14362912
0.19889984  0.14304832
0.19578343  0.14244901
0.19266432  0.14183127
0.18954319  0.14119518
0.18642078  0.14054085
0.18329782  0.13986834
0.18017509  0.13917775
0.17705338  0.13846917
0.17393352  0.13774268
0.17081635  0.13699836
0.16770274  0.13623631
0.16459357  0.13545660
0.16148976  0.13465932
0.15839223  0.13384455
0.15530193  0.13301237
0.15221982  0.13216286
0.14914687  0.13129611
0.14608408  0.13041217
0.14303245  0.12951114
0.13999299  0.12859308
0.13696672  0.12765807
0.13395468  0.12670617
0.13095790  0.12573744
0.12797742  0.12475196
0.12501430  0.12374978
0.12206957  0.12273096
0.11914429  0.12169555
0.11623951  0.12064361
0.11335626  0.11957519
0.11049559  0.11849034
0.10765854  0.11738908
0.10484612  0.11627147
0.10205936  0.11513754
0.09929926  0.11398732
0.09656681  0.11282084
0.09386299  0.11163812
0.09118876  0.11043917
0.08854506  0.10922402
0.08593282  0.10799268
0.08335293  0.10674514
0.08080628  0.10548142
0.07829373  0.10420151
0.07581608  0.10290540
0.07337415  0.10159308
0.07096871  0.10026453
0.06860048  0.09891973
0.06627018  0.09755865
0.06397847  0.09618126
0.06172599  0.09478752
0.05951333  0.09337740
0.05734105  0.09195084
0.05520967  0.09050780
0.05311966  0.08904821
0.05107145  0.08757201
0.04906543  0.08607914
0.04710194  0.08456953
0.04518128  0.08304309
0.04330371  0.08149976
0.04146941  0.07993943
0.03967855  0.07836203
0.03793124  0.07676746
0.03622751  0.07515562
0.03456739  0.07352641
0.03295082  0.07187972
0.03137772  0.07021544
0.02984793  0.06853347
0.02836126  0.06683367
0.02691747  0.06511595
0.02551626  0.06338016
0.02415730  0.06162620
0.02284019  0.05985393
0.02156450  0.05806323
0.02032976  0.05625398
0.01913543  0.05442603
0.01798097  0.05257928
0.01686577  0.05071358
0.01578919  0.04882881
0.01475057  0.04692485
0.01374920  0.04500158
0.01278436  0.04305887
0.01185528  0.04109661
0.01096121  0.03911469
0.01010136  0.03711300
0.00927492  0.03509144
0.00848110  0.03304991
0.00771909  0.03098834
0.00698810  0.02890664
0.00628733  0.02680474
0.00561603  0.02468258
0.00497345  0.02254013
0.00435888  0.02037734
0.00377166  0.01819421
0.00321118  0.01599072
0.00267688  0.01376689
0.00216828  0.01152275
0.00168497  0.00925835
0.00122664  0.00697377
0.00079307  0.00466910
0.00038418  0.00234446
0.00000000  0.00000000
0.00038418  -0.00141337
0.00079307  -0.00275592
0.00122664  -0.00403134
0.00168497  -0.00524318
0.00216828  -0.00639480
0.00267688  -0.00748944
0.00321118  -0.00853017
0.00377166  -0.00951994
0.00435888  -0.01046157
0.00497345  -0.01135772
0.00561603  -0.01221096
0.00628733  -0.01302372
0.00698810  -0.01379833
0.00771909  -0.01453700
0.00848110  -0.01524183
0.00927492  -0.01591484
0.01010136  -0.01655793
0.01096121  -0.01717292
0.01185528  -0.01776153
0.01278436  -0.01832540
0.01374920  -0.01886608
0.01475057  -0.01938506
0.01578919  -0.01988373
0.01686577  -0.02036342
0.01798097  -0.02082539
0.01913543  -0.02127081
0.02032976  -0.02170083
0.02156450  -0.02211649
0.02284019  -0.02251880
0.02415730  -0.02290870
0.02551626  -0.02328708
0.02691747  -0.02365478
0.02836126  -0.02401257
0.02984793  -0.02436121
0.03137772  -0.02470138
0.03295082  -0.02503372
0.03456739  -0.02535884
0.03622751  -0.02567730
0.03793124  -0.02598961
0.03967855  -0.02629628
0.04146941  -0.02659773
0.04330371  -0.02689440
0.04518128  -0.02718665
0.04710194  -0.02747484
0.04906543  -0.02775928
0.05107145  -0.02804027
0.05311966  -0.02831807
0.05520967  -0.02859290
0.05734105  -0.02886499
0.05951333  -0.02913451
0.06172599  -0.02940163
0.06397847  -0.02966648
0.06627018  -0.02992919
0.06860048  -0.03018985
0.07096871  -0.03044855
0.07337415  -0.03070533
0.07581608  -0.03096025
0.07829373  -0.03121332
0.08080628  -0.03146456
0.08335293  -0.03171397
0.08593282  -0.03196152
0.08854506  -0.03220718
0.09118876  -0.03245091
0.09386299  -0.03269264
0.09656681  -0.03293230
0.09929926  -0.03316982
0.10205936  -0.03340510
0.10484612  -0.03363804
0.10765854  -0.03386852
0.11049559  -0.03409644
0.11335626  -0.03432166
0.11623951  -0.03454405
0.11914429  -0.03476347
0.12206957  -0.03497977
0.12501430  -0.03519279
0.12797742  -0.03540237
0.13095790  -0.03560836
0.13395468  -0.03581057
0.13696672  -0.03600885
0.13999299  -0.03620301
0.14303245  -0.03639286
0.14608408  -0.03657824
0.14914687  -0.03675895
0.15221982  -0.03693480
0.15530193  -0.03710561
0.15839223  -0.03727119
0.16148976  -0.03743134
0.16459357  -0.03758588
0.16770274  -0.03773460
0.17081635  -0.03787733
0.17393352  -0.03801387
0.17705338  -0.03814402
0.18017509  -0.03826761
0.18329782  -0.03838443
0.18642078  -0.03849432
0.18954319  -0.03859707
0.19266432  -0.03869252
0.19578343  -0.03878047
0.19889984  -0.03886077
0.20201289  -0.03893323
0.20512195  -0.03899768
0.20822641  -0.03905397
0.21132571  -0.03910193
0.21441931  -0.03914139
0.21750670  -0.03917222
0.22058741  -0.03919426
0.22366101  -0.03920737
0.22672709  -0.03921142
0.22978528  -0.03920626
0.23283524  -0.03919178
0.23587669  -0.03916786
0.23890935  -0.03913437
0.24193301  -0.03909122
0.24494746  -0.03903830
0.24795257  -0.03897551
0.25094822  -0.03890277
0.25393432  -0.03882000
0.25691084  -0.03872711
0.25987778  -0.03862405
0.26283516  -0.03851076
0.26578307  -0.03838717
0.26872161  -0.03825326
0.27165093  -0.03810897
0.27457121  -0.03795428
0.27748268  -0.03778917
0.28038560  -0.03761363
0.28328025  -0.03742765
0.28616698  -0.03723124
0.28904615  -0.03702439
0.29191816  -0.03680715
0.29478347  -0.03657953
0.29764254  -0.03634156
0.30049588  -0.03609331
0.30334404  -0.03583481
0.30618760  -0.03556613
0.30902717  -0.03528734
0.31186340  -0.03499852
0.31469696  -0.03469976
0.31752856  -0.03439115
0.32035895  -0.03407280
0.32318889  -0.03374482
0.32601918  -0.03340733
0.32885065  -0.03306046
0.33168416  -0.03270436
0.33452058  -0.03233916
0.33736084  -0.03196502
0.34020586  -0.03158211
0.34305661  -0.03119059
0.34591406  -0.03079065
0.34877923  -0.03038247
0.35165313  -0.02996624
0.35453681  -0.02954217
0.35743135  -0.02911046
0.36033782  -0.02867134
0.36325733  -0.02822502
0.36619100  -0.02777175
0.36913994  -0.02731175
0.37210532  -0.02684527
0.37508829  -0.02637256
0.37809001  -0.02589388
0.38111167  -0.02540949
0.38415444  -0.02491966
0.38721953  -0.02442468
0.39030812  -0.02392481
0.39342143  -0.02342034
0.39656065  -0.02291158
0.39972700  -0.02239880
0.40292167  -0.02188232
0.40614587  -0.02136243
0.40940080  -0.02083946
0.41268766  -0.02031370
0.41600762  -0.01978548
0.41936188  -0.01925512
0.42275159  -0.01872294
0.42617792  -0.01818927
0.42964201  -0.01765444
0.43314499  -0.01711877
0.43668797  -0.01658260
0.44027205  -0.01604627
0.44389830  -0.01551010
0.44756776  -0.01497444
0.45128148  -0.01443963
0.45504044  -0.01390599
0.45884562  -0.01337388
0.46269798  -0.01284362
0.46659841  -0.01231556
0.47054781  -0.01179003
0.47454702  -0.01126736
0.47859684  -0.01074789
0.48269805  -0.01023196
0.48685137  -0.00971988
0.49105750  -0.00921199
0.49531708  -0.00870861
0.49963069  -0.00821007
0.50399890  -0.00771667
0.50842220  -0.00722874
0.51290103  -0.00674658
0.51743579  -0.00627049
0.52202682  -0.00580079
0.52667439  -0.00533775
0.53137873  -0.00488168
0.53613999  -0.00443286
0.54095828  -0.00399155
0.54583361  -0.00355804
0.55076596  -0.00313259
0.55575523  -0.00271545
0.56080123  -0.00230688
0.56590373  -0.00190712
0.57106241  -0.00151640
0.57627687  -0.00113494
0.58154664  -0.00076297
0.58687117  -0.00040069
0.59224984  -0.00004831
0.59768194  0.00029400
0.60316667  0.00062604
0.60870316  0.00094765
0.61429046  0.00125867
0.61992750  0.00155894
0.62561317  0.00184833
0.63134623  0.00212672
0.63712538  0.00239398
0.64294921  0.00265001
0.64881623  0.00289471
0.65472485  0.00312800
0.66067340  0.00334982
0.66666010  0.00356010
0.67268308  0.00375880
0.67874039  0.00394589
0.68482997  0.00412134
0.69094968  0.00428515
0.69709726  0.00443732
0.70327039  0.00457787
0.70946663  0.00470683
0.71568345  0.00482424
0.72191824  0.00493017
0.72816829  0.00502468
0.73443078  0.00510786
0.74070284  0.00517981
0.74698147  0.00524064
0.75326362  0.00529046
0.75954611  0.00532944
0.76582571  0.00535770
0.77209910  0.00537542
0.77836287  0.00538279
0.78461353  0.00537998
0.79084754  0.00536722
0.79706127  0.00534471
0.80325100  0.00531269
0.80941298  0.00527141
0.81554339  0.00522112
0.82163832  0.00516210
0.82769386  0.00509464
0.83370599  0.00501903
0.83967070  0.00493557
0.84558390  0.00484460
0.85144149  0.00474645
0.85723933  0.00464147
0.86297325  0.00453000
0.86863909  0.00441244
0.87423266  0.00428914
0.87974976  0.00416051
0.88518622  0.00402695
0.89053786  0.00388887
0.89580054  0.00374670
0.90097014  0.00360086
0.90604258  0.00345181
0.91101384  0.00329999
0.91587994  0.00314586
0.92063698  0.00298990
0.92528116  0.00283257
0.92980873  0.00267436
0.93421609  0.00251577
0.93849972  0.00235730
0.94265627  0.00219944
0.94668249  0.00204270
0.95057531  0.00188761
0.95433186  0.00173469
0.95794940  0.00158445
0.96142545  0.00143744
0.96475772  0.00129417
0.96794418  0.00115520
0.97098303  0.00102104
0.97387278  0.00089225
0.97661220  0.00076937
0.97920040  0.00065293
0.98163683  0.00054349
0.98392127  0.00044157
0.98605392  0.00034773
0.98803534  0.00026250
0.98986656  0.00018641
0.99154903  0.00012001
0.99308469  0.00006382
0.99447599  0.00001836
0.99572592  -0.00001583
0.99683800  -0.00003824
0.99781637  -0.00004837
0.99866578  -0.00004570
0.99939163  -0.00002974
1.00000000  0.00000000
