# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03643
# Species         : Procnias_tricarunculatus
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 166.00 mm
# Secondary1       : 127.70 mm
# Kipps Distance   : 38.30 mm
# Hand-Wing Index  : 23.00
# Tail Length      : 113.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.300
# Pointedness Index: 0.2307
# Efficiency Index : 0.0531
# Wing Loading Proxy: 0.0115
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1853  at x/c = 0.2688
# Max f/c          : 0.0585  at x/c = 0.3467
# Est. Reynolds    : 3.20e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939163  0.00009026
0.99866579  0.00021374
0.99781640  0.00037019
0.99683806  0.00055934
0.99572603  0.00078091
0.99447618  0.00103462
0.99308498  0.00132014
0.99154945  0.00163717
0.98986716  0.00198537
0.98803615  0.00236438
0.98605497  0.00277386
0.98392261  0.00321343
0.98163849  0.00368271
0.97920244  0.00418131
0.97661465  0.00470882
0.97387569  0.00526484
0.97098645  0.00584895
0.96794815  0.00646071
0.96476230  0.00709969
0.96143068  0.00776545
0.95795533  0.00845753
0.95433853  0.00917547
0.95058278  0.00991881
0.94669079  0.01068708
0.94266545  0.01147979
0.93850984  0.01229647
0.93422718  0.01313663
0.92982084  0.01399977
0.92529433  0.01488540
0.92065126  0.01579302
0.91589535  0.01672212
0.91103044  0.01767219
0.90606040  0.01864272
0.90098921  0.01963320
0.89582091  0.02064311
0.89055955  0.02167193
0.88520927  0.02271914
0.87977420  0.02378422
0.87425851  0.02486665
0.86866639  0.02596590
0.86300202  0.02708144
0.85726959  0.02821275
0.85147327  0.02935930
0.84561721  0.03052057
0.83970557  0.03169603
0.83374244  0.03288514
0.82773189  0.03408739
0.82167796  0.03530226
0.81558464  0.03652920
0.80945587  0.03776771
0.80329552  0.03901726
0.79710743  0.04027733
0.79089536  0.04154740
0.78466301  0.04282695
0.77841400  0.04411548
0.77215190  0.04541245
0.76588017  0.04671738
0.75960223  0.04802973
0.75332140  0.04934902
0.74704092  0.05067474
0.74076393  0.05200638
0.73449352  0.05334346
0.72823266  0.05468547
0.72198425  0.05603193
0.71575108  0.05738235
0.70953586  0.05873624
0.70334122  0.06009313
0.69716968  0.06145254
0.69102366  0.06281399
0.68490551  0.06417702
0.67881747  0.06554116
0.67276168  0.06690596
0.66674020  0.06827095
0.66075499  0.06963568
0.65480791  0.07099970
0.64890073  0.07236258
0.64303514  0.07372387
0.63721271  0.07508314
0.63143494  0.07643995
0.62570323  0.07779389
0.62001890  0.07914453
0.61438317  0.08049146
0.60879716  0.08183426
0.60326193  0.08317254
0.59777843  0.08450588
0.59234755  0.08583389
0.58697006  0.08715619
0.58164669  0.08847238
0.57637805  0.08978209
0.57116470  0.09108494
0.56600710  0.09238056
0.56090565  0.09366858
0.55586067  0.09494865
0.55087240  0.09622041
0.54594101  0.09748351
0.54106662  0.09873761
0.53624925  0.09998237
0.53148887  0.10121745
0.52678539  0.10244253
0.52213865  0.10365729
0.51754842  0.10486141
0.51301443  0.10605457
0.50853635  0.10723647
0.50411377  0.10840682
0.49974625  0.10956531
0.49543330  0.11071165
0.49117436  0.11184557
0.48696884  0.11296678
0.48281610  0.11407501
0.47871545  0.11516999
0.47466616  0.11625147
0.47066746  0.11731917
0.46671854  0.11837286
0.46281856  0.11941228
0.45896664  0.12043720
0.45516185  0.12144737
0.45140327  0.12244258
0.44768991  0.12342260
0.44402078  0.12438720
0.44039484  0.12533618
0.43681104  0.12626932
0.43326832  0.12718643
0.42976558  0.12808731
0.42630171  0.12897176
0.42287557  0.12983960
0.41948603  0.13069065
0.41613193  0.13152473
0.41281210  0.13234167
0.40952536  0.13314131
0.40627052  0.13392348
0.40304639  0.13468804
0.39985177  0.13543483
0.39668546  0.13616370
0.39354625  0.13687453
0.39043294  0.13756716
0.38734432  0.13824148
0.38427920  0.13889736
0.38123637  0.13953469
0.37821464  0.14015333
0.37521283  0.14075320
0.37222976  0.14133418
0.36926426  0.14189618
0.36631518  0.14243909
0.36338136  0.14296283
0.36046169  0.14346732
0.35755504  0.14395248
0.35466031  0.14441822
0.35177642  0.14486449
0.34890229  0.14529120
0.34603690  0.14569831
0.34317920  0.14608575
0.34032819  0.14645347
0.33748290  0.14680143
0.33464236  0.14712958
0.33180564  0.14743787
0.32897182  0.14772629
0.32614004  0.14799479
0.32330942  0.14824334
0.32047914  0.14847194
0.31764840  0.14868055
0.31481644  0.14886917
0.31198251  0.14903778
0.30914590  0.14918637
0.30630594  0.14931496
0.30346198  0.14942353
0.30061341  0.14951209
0.29775965  0.14958065
0.29490015  0.14962922
0.29203441  0.14965783
0.28916195  0.14966648
0.28628232  0.14965520
0.28339513  0.14962403
0.28050001  0.14957298
0.27759661  0.14950209
0.27468465  0.14941139
0.27176387  0.14930093
0.26883405  0.14917075
0.26589499  0.14902089
0.26294656  0.14885140
0.25998864  0.14866232
0.25702117  0.14845372
0.25404410  0.14822565
0.25105744  0.14797816
0.24806123  0.14771131
0.24505554  0.14742517
0.24204050  0.14711981
0.23901626  0.14679528
0.23598299  0.14645166
0.23294094  0.14608901
0.22989036  0.14570741
0.22683154  0.14530694
0.22376483  0.14488766
0.22069059  0.14444966
0.21760923  0.14399300
0.21452118  0.14351778
0.21142691  0.14302407
0.20832693  0.14251195
0.20522178  0.14198150
0.20211203  0.14143281
0.19899827  0.14086595
0.19588114  0.14028102
0.19276131  0.13967809
0.18963945  0.13905725
0.18651629  0.13841859
0.18339258  0.13776218
0.18026909  0.13708811
0.17714660  0.13639646
0.17402596  0.13568732
0.17090799  0.13496077
0.16779357  0.13421689
0.16468359  0.13345576
0.16157895  0.13267746
0.15848059  0.13188206
0.15538944  0.13106965
0.15230647  0.13024030
0.14923266  0.12939408
0.14616899  0.12853106
0.14311647  0.12765132
0.14007610  0.12675492
0.13704893  0.12584193
0.13403596  0.12491240
0.13103825  0.12396641
0.12805683  0.12300401
0.12509274  0.12202525
0.12214705  0.12103019
0.11922080  0.12001887
0.11631502  0.11899134
0.11343078  0.11794765
0.11056910  0.11688782
0.10773103  0.11581190
0.10491758  0.11471992
0.10212978  0.11361191
0.09936862  0.11248788
0.09663511  0.11134786
0.09393022  0.11019187
0.09125491  0.10901990
0.08861012  0.10783198
0.08599677  0.10662809
0.08341578  0.10540824
0.08086801  0.10417241
0.07835432  0.10292060
0.07587554  0.10165278
0.07343247  0.10036893
0.07102587  0.09906903
0.06865648  0.09775303
0.06632501  0.09642090
0.06403213  0.09507259
0.06177847  0.09370806
0.05956462  0.09232724
0.05739115  0.09093007
0.05525857  0.08951649
0.05316736  0.08808643
0.05111794  0.08663980
0.04911071  0.08517653
0.04714602  0.08369652
0.04522414  0.08219969
0.04334535  0.08068592
0.04150984  0.07915511
0.03971777  0.07760717
0.03796923  0.07604196
0.03626429  0.07445937
0.03460296  0.07285927
0.03298518  0.07124154
0.03141087  0.06960604
0.02987988  0.06795264
0.02839201  0.06628118
0.02694703  0.06459152
0.02554463  0.06288352
0.02418449  0.06115702
0.02286621  0.05941186
0.02158936  0.05764789
0.02035347  0.05586495
0.01915801  0.05406287
0.01800242  0.05224149
0.01688610  0.05040064
0.01580843  0.04854016
0.01476872  0.04665989
0.01376628  0.04475966
0.01280038  0.04283931
0.01187028  0.04089868
0.01097519  0.03893760
0.01011434  0.03695593
0.00928693  0.03495351
0.00849216  0.03293020
0.00772922  0.03088586
0.00699732  0.02882035
0.00629567  0.02673354
0.00562351  0.02462533
0.00498010  0.02249559
0.00436473  0.02034424
0.00377675  0.01817118
0.00321552  0.01597635
0.00268051  0.01375969
0.00217122  0.01152114
0.00168726  0.00926069
0.00122830  0.00697833
0.00079415  0.00467407
0.00038471  0.00234794
0.00000000  0.00000000
0.00038471  -0.00141430
0.00079415  -0.00275651
0.00122830  -0.00403038
0.00168726  -0.00523949
0.00217122  -0.00638725
0.00268051  -0.00747694
0.00321552  -0.00851167
0.00377675  -0.00949444
0.00436473  -0.01042808
0.00498010  -0.01131532
0.00562351  -0.01215874
0.00629567  -0.01296081
0.00699732  -0.01372391
0.00772922  -0.01445026
0.00849216  -0.01514201
0.00928693  -0.01580120
0.01011434  -0.01642976
0.01097519  -0.01702954
0.01187028  -0.01760229
0.01280038  -0.01814968
0.01376628  -0.01867329
0.01476872  -0.01917462
0.01580843  -0.01965509
0.01688610  -0.02011606
0.01800242  -0.02055881
0.01915801  -0.02098454
0.02035347  -0.02139440
0.02158936  -0.02178948
0.02286621  -0.02217080
0.02418449  -0.02253932
0.02554463  -0.02289594
0.02694703  -0.02324154
0.02839201  -0.02357691
0.02987988  -0.02390280
0.03141087  -0.02421992
0.03298518  -0.02452895
0.03460296  -0.02483049
0.03626429  -0.02512513
0.03796923  -0.02541340
0.03971777  -0.02569581
0.04150984  -0.02597283
0.04334535  -0.02624487
0.04522414  -0.02651234
0.04714602  -0.02677560
0.04911071  -0.02703498
0.05111794  -0.02729080
0.05316736  -0.02754331
0.05525857  -0.02779278
0.05739115  -0.02803943
0.05956462  -0.02828345
0.06177847  -0.02852501
0.06403213  -0.02876429
0.06632501  -0.02900139
0.06865648  -0.02923644
0.07102587  -0.02946953
0.07343247  -0.02970072
0.07587554  -0.02993007
0.07835432  -0.03015763
0.08086801  -0.03038341
0.08341578  -0.03060742
0.08599677  -0.03082964
0.08861012  -0.03105007
0.09125491  -0.03126866
0.09393022  -0.03148537
0.09663511  -0.03170013
0.09936862  -0.03191288
0.10212978  -0.03212354
0.10491758  -0.03233201
0.10773103  -0.03253820
0.11056910  -0.03274199
0.11343078  -0.03294327
0.11631502  -0.03314192
0.11922080  -0.03333780
0.12214705  -0.03353077
0.12509274  -0.03372070
0.12805683  -0.03390743
0.13103825  -0.03409080
0.13403596  -0.03427066
0.13704893  -0.03444684
0.14007610  -0.03461918
0.14311647  -0.03478750
0.14616899  -0.03495163
0.14923266  -0.03511139
0.15230647  -0.03526660
0.15538944  -0.03541709
0.15848059  -0.03556267
0.16157895  -0.03570316
0.16468359  -0.03583838
0.16779357  -0.03596813
0.17090799  -0.03609224
0.17402596  -0.03621053
0.17714660  -0.03632280
0.18026909  -0.03642889
0.18339258  -0.03652860
0.18651629  -0.03662176
0.18963945  -0.03670819
0.19276131  -0.03678772
0.19588114  -0.03686018
0.19899827  -0.03692539
0.20211203  -0.03698319
0.20522178  -0.03703342
0.20832693  -0.03707591
0.21142691  -0.03711051
0.21452118  -0.03713708
0.21760923  -0.03715545
0.22069059  -0.03716550
0.22376483  -0.03716708
0.22683154  -0.03716005
0.22989036  -0.03714430
0.23294094  -0.03711970
0.23598299  -0.03708612
0.23901626  -0.03704348
0.24204050  -0.03699164
0.24505554  -0.03693053
0.24806123  -0.03686004
0.25105744  -0.03678010
0.25404410  -0.03669061
0.25702117  -0.03659152
0.25998864  -0.03648275
0.26294656  -0.03636425
0.26589499  -0.03623596
0.26883405  -0.03609784
0.27176387  -0.03594986
0.27468465  -0.03579199
0.27759661  -0.03562421
0.28050001  -0.03544650
0.28339513  -0.03525886
0.28628232  -0.03506130
0.28916195  -0.03485381
0.29203441  -0.03463644
0.29490015  -0.03440919
0.29775965  -0.03417211
0.30061341  -0.03392523
0.30346198  -0.03366862
0.30630594  -0.03340234
0.30914590  -0.03312644
0.31198251  -0.03284101
0.31481644  -0.03254613
0.31764840  -0.03224190
0.32047914  -0.03192841
0.32330942  -0.03160578
0.32614004  -0.03127413
0.32897182  -0.03093358
0.33180564  -0.03058427
0.33464236  -0.03022633
0.33748290  -0.02985993
0.34032819  -0.02948521
0.34317920  -0.02910234
0.34603690  -0.02871151
0.34890229  -0.02831288
0.35177642  -0.02790665
0.35466031  -0.02749301
0.35755504  -0.02707218
0.36046169  -0.02664435
0.36338136  -0.02620975
0.36631518  -0.02576860
0.36926426  -0.02532113
0.37222976  -0.02486758
0.37521283  -0.02440820
0.37821464  -0.02394323
0.38123637  -0.02347293
0.38427920  -0.02299757
0.38734432  -0.02251741
0.39043294  -0.02203272
0.39354625  -0.02154379
0.39668546  -0.02105089
0.39985177  -0.02055432
0.40304639  -0.02005436
0.40627052  -0.01955132
0.40952536  -0.01904549
0.41281210  -0.01853718
0.41613193  -0.01802669
0.41948603  -0.01751434
0.42287557  -0.01700045
0.42630171  -0.01648532
0.42976558  -0.01596928
0.43326832  -0.01545265
0.43681104  -0.01493575
0.44039484  -0.01441891
0.44402078  -0.01390245
0.44768991  -0.01338670
0.45140327  -0.01287199
0.45516185  -0.01235864
0.45896664  -0.01184699
0.46281856  -0.01133736
0.46671854  -0.01083007
0.47066746  -0.01032546
0.47466616  -0.00982385
0.47871545  -0.00932556
0.48281610  -0.00883092
0.48696884  -0.00834023
0.49117436  -0.00785383
0.49543330  -0.00737202
0.49974625  -0.00689512
0.50411377  -0.00642342
0.50853635  -0.00595725
0.51301443  -0.00549688
0.51754842  -0.00504263
0.52213865  -0.00459477
0.52678539  -0.00415360
0.53148887  -0.00371939
0.53624925  -0.00329242
0.54106662  -0.00287296
0.54594101  -0.00246126
0.55087240  -0.00205758
0.55586067  -0.00166216
0.56090565  -0.00127526
0.56600710  -0.00089710
0.57116470  -0.00052790
0.57637805  -0.00016789
0.58164669  0.00018274
0.58697006  0.00052377
0.59234755  0.00085502
0.59777843  0.00117632
0.60326193  0.00148747
0.60879716  0.00178834
0.61438317  0.00207875
0.62001890  0.00235858
0.62570323  0.00262769
0.63143494  0.00288596
0.63721271  0.00313328
0.64303514  0.00336956
0.64890073  0.00359470
0.65480791  0.00380863
0.66075499  0.00401129
0.66674020  0.00420263
0.67276168  0.00438261
0.67881747  0.00455120
0.68490551  0.00470838
0.69102366  0.00485416
0.69716968  0.00498855
0.70334122  0.00511156
0.70953586  0.00522324
0.71575108  0.00532363
0.72198425  0.00541280
0.72823266  0.00549082
0.73449352  0.00555778
0.74076393  0.00561379
0.74704092  0.00565896
0.75332140  0.00569341
0.75960223  0.00571729
0.76588017  0.00573076
0.77215190  0.00573398
0.77841400  0.00572714
0.78466301  0.00571042
0.79089536  0.00568405
0.79710743  0.00564823
0.80329552  0.00560322
0.80945587  0.00554924
0.81558464  0.00548657
0.82167796  0.00541547
0.82773189  0.00533623
0.83374244  0.00524916
0.83970557  0.00515455
0.84561721  0.00505274
0.85147327  0.00494405
0.85726959  0.00482884
0.86300202  0.00470745
0.86866639  0.00458027
0.87425851  0.00444766
0.87977420  0.00431002
0.88520927  0.00416776
0.89055955  0.00402127
0.89582091  0.00387099
0.90098921  0.00371735
0.90606040  0.00356077
0.91103044  0.00340172
0.91589535  0.00324065
0.92065126  0.00307802
0.92529433  0.00291432
0.92982084  0.00275001
0.93422718  0.00258559
