# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03767
# Species         : Emberiza_pallasi
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 70.80 mm
# Secondary1       : 55.00 mm
# Kipps Distance   : 15.80 mm
# Hand-Wing Index  : 22.30
# Tail Length      : 61.70 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.287
# Pointedness Index: 0.2232
# Efficiency Index : 0.0498
# Wing Loading Proxy: 0.0209
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1933  at x/c = 0.2692
# Max f/c          : 0.0589  at x/c = 0.3467
# Est. Reynolds    : 1.07e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939163  0.00009056
0.99866581  0.00021491
0.99781648  0.00037282
0.99683826  0.00056404
0.99572642  0.00078828
0.99447684  0.00104527
0.99308601  0.00133469
0.99155096  0.00165624
0.98986925  0.00200958
0.98803896  0.00239438
0.98605864  0.00281027
0.98392728  0.00325689
0.98164430  0.00373387
0.97920955  0.00424081
0.97662322  0.00477733
0.97388587  0.00534300
0.97099841  0.00593742
0.96796206  0.00656016
0.96477832  0.00721078
0.96144897  0.00788883
0.95797606  0.00859388
0.95436187  0.00932545
0.95060890  0.01008309
0.94671984  0.01086632
0.94269761  0.01167466
0.93854525  0.01250764
0.93426600  0.01336476
0.92986323  0.01424552
0.92534043  0.01514944
0.92070122  0.01607600
0.91594932  0.01702470
0.91108854  0.01799502
0.90612277  0.01898646
0.90105598  0.01999849
0.89589219  0.02103059
0.89063548  0.02208224
0.88528994  0.02315292
0.87985973  0.02424209
0.87434900  0.02534923
0.86876193  0.02647381
0.86310270  0.02761528
0.85737550  0.02877313
0.85158448  0.02994682
0.84573381  0.03113580
0.83982761  0.03233956
0.83386999  0.03355754
0.82786501  0.03478923
0.82181670  0.03603407
0.81572903  0.03729155
0.80960596  0.03856112
0.80345135  0.03984226
0.79726902  0.04113443
0.79106273  0.04243710
0.78483618  0.04374975
0.77859299  0.04507185
0.77233671  0.04640288
0.76607080  0.04774231
0.75979869  0.04908962
0.75352367  0.05044430
0.74724898  0.05180583
0.74097778  0.05317370
0.73471313  0.05454739
0.72845801  0.05592641
0.72221530  0.05731024
0.71598781  0.05869839
0.70977823  0.06009035
0.70358918  0.06148564
0.69742319  0.06288377
0.69128267  0.06428424
0.68516997  0.06568657
0.67908732  0.06709029
0.67303686  0.06849492
0.66702065  0.06989999
0.66104065  0.07130503
0.65509871  0.07270957
0.64919660  0.07411316
0.64333601  0.07551535
0.63751850  0.07691568
0.63174558  0.07831371
0.62601864  0.07970901
0.62033900  0.08110112
0.61470787  0.08248962
0.60912638  0.08387409
0.60359559  0.08525411
0.59811644  0.08662925
0.59268982  0.08799911
0.58731650  0.08936327
0.58199721  0.09072134
0.57673256  0.09207293
0.57152310  0.09341763
0.56636931  0.09475506
0.56127157  0.09608485
0.55623021  0.09740662
0.55124546  0.09871999
0.54631751  0.10002461
0.54144645  0.10132010
0.53663231  0.10260613
0.53187508  0.10388234
0.52717465  0.10514838
0.52253086  0.10640393
0.51794350  0.10764864
0.51341228  0.10888219
0.50893686  0.11010427
0.50451686  0.11131454
0.50015184  0.11251272
0.49584128  0.11369848
0.49158465  0.11487153
0.48738135  0.11603159
0.48323073  0.11717835
0.47913212  0.11831155
0.47508478  0.11943089
0.47108794  0.12053612
0.46714080  0.12162697
0.46324251  0.12270318
0.45939219  0.12376449
0.45558894  0.12481066
0.45183180  0.12584144
0.44811981  0.12685660
0.44445196  0.12785590
0.44082723  0.12883913
0.43724457  0.12980605
0.43370291  0.13075646
0.43020115  0.13169015
0.42673819  0.13260691
0.42331290  0.13350655
0.41992413  0.13438887
0.41657074  0.13525369
0.41325154  0.13610082
0.40996537  0.13693009
0.40671104  0.13774133
0.40348736  0.13853438
0.40029313  0.13930907
0.39712714  0.14006525
0.39398821  0.14080277
0.39087511  0.14152149
0.38778665  0.14222127
0.38472163  0.14290197
0.38167885  0.14356348
0.37865712  0.14420566
0.37565526  0.14482840
0.37267209  0.14543159
0.36970644  0.14601512
0.36675716  0.14657889
0.36382311  0.14712280
0.36090316  0.14764676
0.35799618  0.14815069
0.35510108  0.14863450
0.35221678  0.14909811
0.34934221  0.14954145
0.34647633  0.14996447
0.34361811  0.15036708
0.34076655  0.15074924
0.33792066  0.15111090
0.33507949  0.15145200
0.33224211  0.15177250
0.32940760  0.15207236
0.32657508  0.15235155
0.32374370  0.15261003
0.32091263  0.15284779
0.31808108  0.15306480
0.31524827  0.15326104
0.31241346  0.15343649
0.30957594  0.15359116
0.30673504  0.15372504
0.30389012  0.15383812
0.30104056  0.15393041
0.29818578  0.15400191
0.29532524  0.15405265
0.29245842  0.15408262
0.28958486  0.15409185
0.28670411  0.15408037
0.28381577  0.15404819
0.28091947  0.15399535
0.27801487  0.15392188
0.27510169  0.15382782
0.27217965  0.15371320
0.26924854  0.15357807
0.26630818  0.15342247
0.26335842  0.15324645
0.26039914  0.15305006
0.25743027  0.15283335
0.25445178  0.15259639
0.25146368  0.15233923
0.24846600  0.15206194
0.24545881  0.15176457
0.24244224  0.15144720
0.23941643  0.15110989
0.23638158  0.15075271
0.23333790  0.15037574
0.23028566  0.14997905
0.22722516  0.14956272
0.22415673  0.14912683
0.22108073  0.14867145
0.21799758  0.14819667
0.21490770  0.14770257
0.21181157  0.14718923
0.20870970  0.14665675
0.20560261  0.14610519
0.20249088  0.14553466
0.19937511  0.14494524
0.19625593  0.14433701
0.19313400  0.14371007
0.19001000  0.14306450
0.18688467  0.14240039
0.18375873  0.14171783
0.18063296  0.14101692
0.17750816  0.14029773
0.17438515  0.13956036
0.17126477  0.13880489
0.16814790  0.13803142
0.16503541  0.13724002
0.16192821  0.13643079
0.15882723  0.13560381
0.15573342  0.13475915
0.15264774  0.13389691
0.14957116  0.13301716
0.14650467  0.13211999
0.14344926  0.13120546
0.14040597  0.13027366
0.13737580  0.12932465
0.13435979  0.12835851
0.13135897  0.12737531
0.12837439  0.12637511
0.12540708  0.12535797
0.12245811  0.12432395
0.11952852  0.12327312
0.11661935  0.12220553
0.11373164  0.12112122
0.11086645  0.12002025
0.10802480  0.11890265
0.10520771  0.11776848
0.10241621  0.11661777
0.09965130  0.11545054
0.09691397  0.11426684
0.09420520  0.11306668
0.09152595  0.11185009
0.08887717  0.11061708
0.08625977  0.10936767
0.08367467  0.10810187
0.08112274  0.10681967
0.07860483  0.10552107
0.07612177  0.10420608
0.07367437  0.10287468
0.07126339  0.10152686
0.06888958  0.10016259
0.06655363  0.09878185
0.06425622  0.09738460
0.06199798  0.09597083
0.05977952  0.09454048
0.05760139  0.09309351
0.05546410  0.09162987
0.05336815  0.09014951
0.05131396  0.08865236
0.04930192  0.08713836
0.04733238  0.08560745
0.04540564  0.08405955
0.04352195  0.08249458
0.04168153  0.08091246
0.03988451  0.07931309
0.03813102  0.07769640
0.03642112  0.07606228
0.03475481  0.07441064
0.03313205  0.07274136
0.03155275  0.07105436
0.03001677  0.06934951
0.02852392  0.06762671
0.02707397  0.06588583
0.02566662  0.06412677
0.02430154  0.06234940
0.02297834  0.06055361
0.02169660  0.05873927
0.02045584  0.05690625
0.01925556  0.05505445
0.01809518  0.05318373
0.01697412  0.05129398
0.01589176  0.04938507
0.01484741  0.04745688
0.01384039  0.04550931
0.01286998  0.04354224
0.01193543  0.04155557
0.01103597  0.03954918
0.01017083  0.03752298
0.00933921  0.03547689
0.00854031  0.03341081
0.00777334  0.03132468
0.00703751  0.02921843
0.00633204  0.02709199
0.00565616  0.02494534
0.00500915  0.02277843
0.00439029  0.02059125
0.00379893  0.01838379
0.00323446  0.01615607
0.00269633  0.01390813
0.00218405  0.01164000
0.00169724  0.00935177
0.00123558  0.00704353
0.00079886  0.00471538
0.00038699  0.00236748
0.00000000  0.00000000
0.00038699  -0.00142236
0.00079886  -0.00277414
0.00123558  -0.00405905
0.00169724  -0.00528061
0.00218405  -0.00644221
0.00269633  -0.00754705
0.00323446  -0.00859824
0.00379893  -0.00959869
0.00439029  -0.01055122
0.00500915  -0.01145851
0.00565616  -0.01232311
0.00633204  -0.01314745
0.00703751  -0.01393385
0.00777334  -0.01468452
0.00854031  -0.01540156
0.00933921  -0.01608698
0.01017083  -0.01674269
0.01103597  -0.01737048
0.01193543  -0.01797209
0.01286998  -0.01854914
0.01384039  -0.01910319
0.01484741  -0.01963571
0.01589176  -0.02014810
0.01697412  -0.02064167
0.01809518  -0.02111768
0.01925556  -0.02157731
0.02045584  -0.02202169
0.02169660  -0.02245185
0.02297834  -0.02286881
0.02430154  -0.02327350
0.02566662  -0.02366680
0.02707397  -0.02404955
0.02852392  -0.02442252
0.03001677  -0.02478645
0.03155275  -0.02514202
0.03313205  -0.02548987
0.03475481  -0.02583059
0.03642112  -0.02616476
0.03813102  -0.02649287
0.03988451  -0.02681541
0.04168153  -0.02713282
0.04352195  -0.02744551
0.04540564  -0.02775385
0.04733238  -0.02805819
0.04930192  -0.02835884
0.05131396  -0.02865608
0.05336815  -0.02895017
0.05546410  -0.02924134
0.05760139  -0.02952979
0.05977952  -0.02981569
0.06199798  -0.03009921
0.06425622  -0.03038047
0.06655363  -0.03065959
0.06888958  -0.03093667
0.07126339  -0.03121176
0.07367437  -0.03148493
0.07612177  -0.03175621
0.07860483  -0.03202561
0.08112274  -0.03229316
0.08367467  -0.03255882
0.08625977  -0.03282258
0.08887717  -0.03308439
0.09152595  -0.03334420
0.09420520  -0.03360195
0.09691397  -0.03385756
0.09965130  -0.03411094
0.10241621  -0.03436199
0.10520771  -0.03461061
0.10802480  -0.03485667
0.11086645  -0.03510006
0.11373164  -0.03534063
0.11661935  -0.03557825
0.11952852  -0.03581276
0.12245811  -0.03604402
0.12540708  -0.03627187
0.12837439  -0.03649612
0.13135897  -0.03671663
0.13435979  -0.03693320
0.13737580  -0.03714567
0.14040597  -0.03735384
0.14344926  -0.03755753
0.14650467  -0.03775655
0.14957116  -0.03795072
0.15264774  -0.03813983
0.15573342  -0.03832369
0.15882723  -0.03850210
0.16192821  -0.03867488
0.16503541  -0.03884181
0.16814790  -0.03900271
0.17126477  -0.03915737
0.17438515  -0.03930561
0.17750816  -0.03944721
0.18063296  -0.03958200
0.18375873  -0.03970977
0.18688467  -0.03983033
0.19001000  -0.03994351
0.19313400  -0.04004910
0.19625593  -0.04014693
0.19937511  -0.04023681
0.20249088  -0.04031857
0.20560261  -0.04039204
0.20870970  -0.04045705
0.21181157  -0.04051342
0.21490770  -0.04056101
0.21799758  -0.04059965
0.22108073  -0.04062919
0.22415673  -0.04064949
0.22722516  -0.04066041
0.23028566  -0.04066180
0.23333790  -0.04065355
0.23638158  -0.04063552
0.23941643  -0.04060760
0.24244224  -0.04056969
0.24545881  -0.04052167
0.24846600  -0.04046344
0.25146368  -0.04039492
0.25445178  -0.04031603
0.25743027  -0.04022668
0.26039914  -0.04012681
0.26335842  -0.04001636
0.26630818  -0.03989527
0.26924854  -0.03976349
0.27217965  -0.03962100
0.27510169  -0.03946775
0.27801487  -0.03930373
0.28091947  -0.03912892
0.28381577  -0.03894332
0.28670411  -0.03874693
0.28958486  -0.03853977
0.29245842  -0.03832184
0.29532524  -0.03809319
0.29818578  -0.03785384
0.30104056  -0.03760384
0.30389012  -0.03734325
0.30673504  -0.03707214
0.30957594  -0.03679056
0.31241346  -0.03649861
0.31524827  -0.03619637
0.31808108  -0.03588393
0.32091263  -0.03556142
0.32374370  -0.03522893
0.32657508  -0.03488661
0.32940760  -0.03453456
0.33224211  -0.03417295
0.33507949  -0.03380192
0.33792066  -0.03342162
0.34076655  -0.03303222
0.34361811  -0.03263391
0.34647633  -0.03222684
0.34934221  -0.03181123
0.35221678  -0.03138727
0.35510108  -0.03095515
0.35799618  -0.03051511
0.36090316  -0.03006735
0.36382311  -0.02961211
0.36675716  -0.02914962
0.36970644  -0.02868013
0.37267209  -0.02820388
0.37565526  -0.02772113
0.37865712  -0.02723214
0.38167885  -0.02673719
0.38472163  -0.02623654
0.38778665  -0.02573048
0.39087511  -0.02521930
0.39398821  -0.02470329
0.39712714  -0.02418273
0.40029313  -0.02365795
0.40348736  -0.02312924
0.40671104  -0.02259692
0.40996537  -0.02206130
0.41325154  -0.02152269
0.41657074  -0.02098144
0.41992413  -0.02043785
0.42331290  -0.01989227
0.42673819  -0.01934502
0.43020115  -0.01879645
0.43370291  -0.01824688
0.43724457  -0.01769666
0.44082723  -0.01714613
0.44445196  -0.01659563
0.44811981  -0.01604551
0.45183180  -0.01549610
0.45558894  -0.01494777
0.45939219  -0.01440085
0.46324251  -0.01385568
0.46714080  -0.01331262
0.47108794  -0.01277200
0.47508478  -0.01223417
0.47913212  -0.01169947
0.48323073  -0.01116823
0.48738135  -0.01064080
0.49158465  -0.01011751
0.49584128  -0.00959870
0.50015184  -0.00908468
0.50451686  -0.00857578
0.50893686  -0.00807234
0.51341228  -0.00757465
0.51794350  -0.00708304
0.52253086  -0.00659781
0.52717465  -0.00611926
0.53187508  -0.00564770
0.53663231  -0.00518341
0.54144645  -0.00472667
0.54631751  -0.00427777
0.55124546  -0.00383698
0.55623021  -0.00340456
0.56127157  -0.00298076
0.56636931  -0.00256584
0.57152310  -0.00216003
0.57673256  -0.00176358
0.58199721  -0.00137669
0.58731650  -0.00099960
0.59268982  -0.00063249
0.59811644  -0.00027558
0.60359559  0.00007096
0.60912638  0.00040694
0.61470787  0.00073221
0.62033900  0.00104661
0.62601864  0.00134998
0.63174558  0.00164221
0.63751850  0.00192317
0.64333601  0.00219274
0.64919660  0.00245083
0.65509871  0.00269735
0.66104065  0.00293222
0.66702065  0.00315539
0.67303686  0.00336680
0.67908732  0.00356641
0.68516997  0.00375421
0.69128267  0.00393018
0.69742319  0.00409432
0.70358918  0.00424664
0.70977823  0.00438717
0.71598781  0.00451596
0.72221530  0.00463306
0.72845801  0.00473853
0.73471313  0.00483246
0.74097778  0.00491495
0.74724898  0.00498610
0.75352367  0.00504604
0.75979869  0.00509491
0.76607080  0.00513284
0.77233671  0.00516002
0.77859299  0.00517661
0.78483618  0.00518281
0.79106273  0.00517883
0.79726902  0.00516488
0.80345135  0.00514120
0.80960596  0.00510802
0.81572903  0.00506562
0.82181670  0.00501426
0.82786501  0.00495423
0.83386999  0.00488583
0.83982761  0.00480936
0.84573381  0.00472516
0.85158448  0.00463355
0.85737550  0.00453489
0.86310270  0.00442953
0.86876193  0.00431785
0.87434900  0.00420023
0.87985973  0.00407706
0.88528994  0.00394875
0.89063548  0.00381571
0.89589219  0.00367838
0.90105598  0.00353718
0.90612277  0.00339256
0.91108854  0.00324498
0.91594932  0.00309490
0.92070122  0.00294279
0.92534043  0.00278913
0.92986323  0.00263441
0.93426600  0.00247913
0.93854525  0.00232378
0.94269761  0.00216888
0.94671984  0.00201494
0.95060890  0.00186248
0.95436187  0.00171202
0.95797606  0.00156410
0.96144897  0.00141924
0.96477832  0.00127799
0.96796206  0.00114089
0.97099841  0.00100847
0.97388587  0.00088128
0.97662322  0.00075987
0.97920955  0.00064478
0.98164430  0.00053656
0.98392728  0.00043576
0.98605864  0.00034292
0.98803896  0.00025858
0.98986925  0.00018328
0.99155096  0.00011757
0.99308601  0.00006198
0.99447684  0.00001703
0.99572642  -0.00001674
0.99683826  -0.00003882
0.99781648  -0.00004869
0.99866581  -0.00004584
0.99939163  -0.00002977
1.00000000  0.00000000
