# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03977
# Species         : Carpodacus_sibiricus
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 71.20 mm
# Secondary1       : 55.20 mm
# Kipps Distance   : 16.00 mm
# Hand-Wing Index  : 22.50
# Tail Length      : 86.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.290
# Pointedness Index: 0.2247
# Efficiency Index : 0.0506
# Wing Loading Proxy: 0.0149
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1930  at x/c = 0.2691
# Max f/c          : 0.0588  at x/c = 0.3467
# Est. Reynolds    : 1.07e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939163  0.00009054
0.99866581  0.00021484
0.99781646  0.00037267
0.99683820  0.00056377
0.99572631  0.00078786
0.99447665  0.00104466
0.99308572  0.00133387
0.99155053  0.00165516
0.98986865  0.00200822
0.98803816  0.00239269
0.98605759  0.00280823
0.98392594  0.00325447
0.98164264  0.00373103
0.97920752  0.00423753
0.97662077  0.00477356
0.97388296  0.00533873
0.97099500  0.00593260
0.96795809  0.00655476
0.96477374  0.00720477
0.96144374  0.00788219
0.95797014  0.00858656
0.95435520  0.00931744
0.95060143  0.01007434
0.94671154  0.01085681
0.94268842  0.01166437
0.93853514  0.01249653
0.93425491  0.01335280
0.92985112  0.01423269
0.92532726  0.01513570
0.92068695  0.01606132
0.91593390  0.01700906
0.91107194  0.01797840
0.90610495  0.01896882
0.90103691  0.01997981
0.89587183  0.02101084
0.89061378  0.02206140
0.88526689  0.02313096
0.87983529  0.02421899
0.87432314  0.02532496
0.86873463  0.02644834
0.86307394  0.02758861
0.85734524  0.02874522
0.85155271  0.02991764
0.84570050  0.03110534
0.83979274  0.03230779
0.83383355  0.03352445
0.82782697  0.03475479
0.82177706  0.03599827
0.81568778  0.03725436
0.80956308  0.03852252
0.80340683  0.03980224
0.79722285  0.04109296
0.79101492  0.04239418
0.78478671  0.04370535
0.77854185  0.04502596
0.77228391  0.04635548
0.76601634  0.04769339
0.75974256  0.04903916
0.75346588  0.05039229
0.74718954  0.05175225
0.74091669  0.05311853
0.73465040  0.05449064
0.72839363  0.05586805
0.72214930  0.05725026
0.71592018  0.05863678
0.70970899  0.06002711
0.70351835  0.06142076
0.69735077  0.06281723
0.69120869  0.06421603
0.68509443  0.06561670
0.67901024  0.06701874
0.67295826  0.06842168
0.66694055  0.06982506
0.66095906  0.07122840
0.65501565  0.07263124
0.64911210  0.07403313
0.64325008  0.07543360
0.63743117  0.07683222
0.63165687  0.07822854
0.62592857  0.07962212
0.62024759  0.08101251
0.61461515  0.08239930
0.60903238  0.08378205
0.60350032  0.08516035
0.59801994  0.08653377
0.59259210  0.08790191
0.58721760  0.08926436
0.58189715  0.09062072
0.57663137  0.09197060
0.57142081  0.09331360
0.56626593  0.09464934
0.56116715  0.09597743
0.55612476  0.09729751
0.55113901  0.09860920
0.54621009  0.09991214
0.54133809  0.10120597
0.53652304  0.10249034
0.53176492  0.10376490
0.52706363  0.10502930
0.52241901  0.10628321
0.51783084  0.10752630
0.51329885  0.10875824
0.50882269  0.10997871
0.50440197  0.11118740
0.50003625  0.11238399
0.49572502  0.11356819
0.49146775  0.11473969
0.48726384  0.11589821
0.48311264  0.11704345
0.47901346  0.11817513
0.47496559  0.11929298
0.47096824  0.12039673
0.46702062  0.12148611
0.46312187  0.12256087
0.45927113  0.12362074
0.45546746  0.12466549
0.45170994  0.12569488
0.44799759  0.12670865
0.44432941  0.12770659
0.44070437  0.12868847
0.43712142  0.12965407
0.43357949  0.13060318
0.43007749  0.13153558
0.42661431  0.13245107
0.42318882  0.13334946
0.41979988  0.13423055
0.41644632  0.13509416
0.41312699  0.13594011
0.40984071  0.13676821
0.40658628  0.13757831
0.40336252  0.13837023
0.40016823  0.13914382
0.39700221  0.13989892
0.39386325  0.14063539
0.39075015  0.14135308
0.38766170  0.14205185
0.38459671  0.14273157
0.38155398  0.14339211
0.37853232  0.14403335
0.37553054  0.14465518
0.37254747  0.14525748
0.36958193  0.14584014
0.36663278  0.14640307
0.36369887  0.14694616
0.36077908  0.14746933
0.35787227  0.14797248
0.35497736  0.14845555
0.35209325  0.14891844
0.34921890  0.14936109
0.34635324  0.14978343
0.34349526  0.15018541
0.34064394  0.15056695
0.33779832  0.15092801
0.33495742  0.15126854
0.33212032  0.15158850
0.32928611  0.15188784
0.32645390  0.15216654
0.32362284  0.15242455
0.32079210  0.15266187
0.31796088  0.15287846
0.31512841  0.15307431
0.31229396  0.15324940
0.30945682  0.15340373
0.30661630  0.15353729
0.30377176  0.15365008
0.30092260  0.15374210
0.29806822  0.15381336
0.29520810  0.15386388
0.29234171  0.15389366
0.28946858  0.15390273
0.28658828  0.15389110
0.28370039  0.15385881
0.28080454  0.15380587
0.27790041  0.15373233
0.27498770  0.15363823
0.27206615  0.15352358
0.26913554  0.15338845
0.26619568  0.15323288
0.26324642  0.15305691
0.26028766  0.15286059
0.25731932  0.15264399
0.25434137  0.15240715
0.25135381  0.15215013
0.24835668  0.15187300
0.24535005  0.15157582
0.24233405  0.15125865
0.23930882  0.15092158
0.23627455  0.15056465
0.23323147  0.15018796
0.23017983  0.14979157
0.22711994  0.14937556
0.22405213  0.14894000
0.22097677  0.14848499
0.21789425  0.14801059
0.21480502  0.14751689
0.21170955  0.14700398
0.20860834  0.14647193
0.20550193  0.14592085
0.20239088  0.14535080
0.19927580  0.14476188
0.19615733  0.14415417
0.19303611  0.14352777
0.18991284  0.14288276
0.18678823  0.14221924
0.18366303  0.14153728
0.18053802  0.14083698
0.17741398  0.14011843
0.17429175  0.13938172
0.17117216  0.13862693
0.16805607  0.13785415
0.16494439  0.13706347
0.16183801  0.13625496
0.15873786  0.13542873
0.15564489  0.13458484
0.15256006  0.13372338
0.14948433  0.13284444
0.14641871  0.13194808
0.14336420  0.13103440
0.14032180  0.13010345
0.13729253  0.12915532
