# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 04322
# Species         : Lepidocolaptes_fatimalimae
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 96.60 mm
# Secondary1       : 77.00 mm
# Kipps Distance   : 19.60 mm
# Hand-Wing Index  : 20.30
# Tail Length      : 76.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.255
# Pointedness Index: 0.2029
# Efficiency Index : 0.0412
# Wing Loading Proxy: 0.0165
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1933  at x/c = 0.2704
# Max f/c          : 0.0592  at x/c = 0.3467
# Est. Reynolds    : 1.58e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939164  0.00009062
0.99866589  0.00021517
0.99781674  0.00037341
0.99683885  0.00056508
0.99572753  0.00078989
0.99447873  0.00104756
0.99308895  0.00133778
0.99155525  0.00166024
0.98987524  0.00201459
0.98804701  0.00240050
0.98606913  0.00281761
0.98394062  0.00326554
0.98166092  0.00374391
0.97922987  0.00425235
0.97664770  0.00479043
0.97391497  0.00535775
0.97103259  0.00595390
0.96800179  0.00657844
0.96482408  0.00723092
0.96150124  0.00791091
0.95803531  0.00861796
0.95442857  0.00935159
0.95068352  0.01011134
0.94680286  0.01089674
0.94278948  0.01170730
0.93864643  0.01254254
0.93437693  0.01340197
0.92998434  0.01428508
0.92547216  0.01519139
0.92084397  0.01612037
0.91610350  0.01707152
0.91125454  0.01804432
0.90630098  0.01903826
0.90124675  0.02005283
0.89609588  0.02108748
0.89085241  0.02214170
0.88552044  0.02321496
0.88010410  0.02430673
0.87460753  0.02541648
0.86903490  0.02654367
0.86339037  0.02768777
0.85767810  0.02884824
0.85190225  0.03002455
0.84606695  0.03121617
0.84017631  0.03242254
0.83423443  0.03364315
0.82824535  0.03487744
0.82221308  0.03612489
0.81614159  0.03738496
0.81003480  0.03865712
0.80389656  0.03994082
0.79773070  0.04123555
0.79154094  0.04254076
0.78533096  0.04385593
0.77910438  0.04518053
0.77286472  0.04651403
0.76661546  0.04785592
0.76035997  0.04920567
0.75410156  0.05056275
0.74784345  0.05192666
0.74158877  0.05329688
0.73534058  0.05467291
0.72910185  0.05605422
0.72287545  0.05744032
0.71666416  0.05883071
0.71047068  0.06022488
0.70429761  0.06162234
0.69814747  0.06302261
0.69202266  0.06442519
0.68592552  0.06582960
0.67985827  0.06723536
0.67382305  0.06864199
0.66782190  0.07004903
0.66185677  0.07145600
0.65592951  0.07286244
0.65004188  0.07426790
0.64419556  0.07567191
0.63839211  0.07707404
0.63263303  0.07847382
0.62691971  0.07987083
0.62125345  0.08126462
0.61563547  0.08265477
0.61006689  0.08404085
0.60454876  0.08542243
0.59908203  0.08679910
0.59366756  0.08817046
0.58830615  0.08953608
0.58299850  0.09089558
0.57774524  0.09224855
0.57254690  0.09359460
0.56740396  0.09493336
0.56231680  0.09626443
0.55728576  0.09758744
0.55231105  0.09890203
0.54739287  0.10020783
0.54253131  0.10150447
0.53772641  0.10279162
0.53297813  0.10406891
0.52828638  0.10533601
0.52365101  0.10659257
0.51907179  0.10783828
0.51454844  0.10907280
0.51008063  0.11029580
0.50566797  0.11150699
0.50131001  0.11270604
0.49700626  0.11389266
0.49275617  0.11506655
0.48855915  0.11622741
0.48441456  0.11737495
0.48032172  0.11850891
0.47627990  0.11962899
0.47228833  0.12073494
0.46834621  0.12182649
0.46445270  0.12290337
0.46060691  0.12396534
0.45680796  0.12501216
0.45305488  0.12604357
0.44934672  0.12705934
0.44568248  0.12805925
0.44206113  0.12904306
0.43848163  0.13001056
0.43494291  0.13096154
0.43144389  0.13189579
0.42798345  0.13281311
0.42456047  0.13371329
0.42117382  0.13459615
0.41782234  0.13546151
0.41450487  0.13630917
0.41122024  0.13713898
0.40796726  0.13795075
0.40474474  0.13874433
0.40155150  0.13951956
0.39838633  0.14027628
0.39524804  0.14101435
0.39213542  0.14173363
0.38904728  0.14243397
0.38598242  0.14311525
0.38293964  0.14377734
0.37991777  0.14442013
0.37691561  0.14504348
0.37393201  0.14564730
0.37096579  0.14623148
0.36801580  0.14679592
0.36508090  0.14734052
0.36215997  0.14786519
0.35925189  0.14836985
0.35635557  0.14885442
0.35346993  0.14931882
0.35059390  0.14976298
0.34772644  0.15018684
0.34486654  0.15059033
0.34201318  0.15097341
0.33916539  0.15133601
0.33632222  0.15167810
0.33348273  0.15199962
0.33064602  0.15230055
0.32781121  0.15258085
0.32497743  0.15284049
0.32214388  0.15307944
0.31930975  0.15329770
0.31647428  0.15349523
0.31363672  0.15367204
0.31079637  0.15382811
0.30795255  0.15396344
0.30510462  0.15407803
0.30225198  0.15417190
0.29939404  0.15424503
0.29653025  0.15429746
0.29366012  0.15432919
0.29078316  0.15434024
0.28789893  0.15433065
0.28500703  0.15430043
0.28210710  0.15424962
0.27919879  0.15417826
0.27628182  0.15408637
0.27335592  0.15397400
0.27042087  0.15384120
0.26747649  0.15368801
0.26452263  0.15351448
0.26155917  0.15332066
0.25858605  0.15310662
0.25560323  0.15287240
0.25261071  0.15261807
0.24960853  0.15234369
0.24659676  0.15204934
0.24357553  0.15173506
0.24054497  0.15140094
0.23750528  0.15104705
0.23445668  0.15067347
0.23139942  0.15028026
0.22833382  0.14986750
0.22526018  0.14943528
0.22217889  0.14898368
0.21909035  0.14851277
0.21599498  0.14802265
0.21289326  0.14751339
0.20978569  0.14698508
0.20667280  0.14643781
0.20355517  0.14587166
0.20043338  0.14528673
0.19730807  0.14468310
0.19417990  0.14406085
0.19104955  0.14342008
0.18791774  0.14276088
0.18478520  0.14208334
0.18165272  0.14138753
0.17852108  0.14067356
0.17539109  0.13994151
0.17226362  0.13919146
0.16913951  0.13842350
0.16601965  0.13763772
0.16290496  0.13683420
0.15979634  0.13601303
0.15669476  0.13517428
0.15360115  0.13431803
0.15051650  0.13344437
0.14744180  0.13255336
0.14437804  0.13164508
0.14132624  0.13071961
0.13828741  0.12977702
0.13526259  0.12881736
0.13225281  0.12784071
0.12925911  0.12684712
0.12628254  0.12583666
0.12332413  0.12480938
0.12038495  0.12376533
0.11746604  0.12270457
0.11456843  0.12162713
0.11169318  0.12053306
0.10884131  0.11942239
0.10601384  0.11829517
0.10321181  0.11715141
0.10043621  0.11599115
0.09768803  0.11481441
0.09496825  0.11362119
0.09227784  0.11241152
0.08961775  0.11118540
0.08698889  0.10994284
0.08439218  0.10868382
0.08182848  0.10740835
0.07929867  0.10611640
0.07680357  0.10480797
0.07434399  0.10348302
0.07192069  0.10214153
0.06953443  0.10078347
0.06718590  0.09940879
0.06487579  0.09801744
0.06260474  0.09660939
0.06037334  0.09518456
0.05818217  0.09374290
0.05603175  0.09228434
0.05392256  0.09080880
0.05185504  0.08931620
0.04982959  0.08780647
0.04784656  0.08627950
0.04590626  0.08473520
0.04400895  0.08317347
0.04215485  0.08159421
0.04034412  0.07999729
0.03857687  0.07838260
0.03685318  0.07675002
0.03517307  0.07509942
0.03353649  0.07343067
