# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 04351
# Species         : Nasica_longirostris
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 136.30 mm
# Secondary1       : 110.30 mm
# Kipps Distance   : 25.50 mm
# Hand-Wing Index  : 18.80
# Tail Length      : 130.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.236
# Pointedness Index: 0.1871
# Efficiency Index : 0.0352
# Wing Loading Proxy: 0.0094
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1923  at x/c = 0.2713
# Max f/c          : 0.0593  at x/c = 0.3467
# Est. Reynolds    : 2.47e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009064
0.99866595  0.00021523
0.99781692  0.00037354
0.99683928  0.00056529
0.99572837  0.00079021
0.99448015  0.00104800
0.99309115  0.00133835
0.99155847  0.00166094
0.98987973  0.00201543
0.98805304  0.00240148
0.98607700  0.00281872
0.98395062  0.00326678
0.98167338  0.00374528
0.97924511  0.00425382
0.97666606  0.00479200
0.97393679  0.00535940
0.97105823  0.00595560
0.96803159  0.00658016
0.96485840  0.00723264
0.96154044  0.00791260
0.95807974  0.00861958
0.95447860  0.00935312
0.95073949  0.01011273
0.94686512  0.01089795
0.94285838  0.01170829
0.93872231  0.01254326
0.93446012  0.01340238
0.93007518  0.01428513
0.92557095  0.01519101
0.92095104  0.01611952
0.91621914  0.01707015
0.91137905  0.01804237
0.90643463  0.01903567
0.90138983  0.02004953
0.89624864  0.02108342
0.89101510  0.02213681
0.88569331  0.02320918
0.88028738  0.02429999
0.87480144  0.02540871
0.86923963  0.02653480
0.86360612  0.02767774
0.85790506  0.02883698
0.85214058  0.03001199
0.84631680  0.03120222
0.84043784  0.03240715
0.83450776  0.03362623
0.82853060  0.03485894
0.82251037  0.03610472
0.81645101  0.03736305
0.81035643  0.03863339
0.80423048  0.03991521
0.79807696  0.04120797
0.79189959  0.04251115
0.78570205  0.04382421
0.77948792  0.04514663
0.77326074  0.04647788
0.76702395  0.04781744
0.76078094  0.04916479
0.75453498  0.05051941
0.74828930  0.05188078
0.74204702  0.05324839
0.73581118  0.05462174
0.72958474  0.05600030
0.72337057  0.05738359
0.71717143  0.05877110
0.71099003  0.06016233
0.70482895  0.06155678
0.69869069  0.06295398
0.69257767  0.06435343
0.68649220  0.06575465
0.68043651  0.06715715
0.67441271  0.06856048
0.66842286  0.06996415
0.66246888  0.07136771
0.65655263  0.07277068
0.65067587  0.07417261
0.64484026  0.07557306
0.63904736  0.07697156
0.63329867  0.07836768
0.62759556  0.07976098
0.62193934  0.08115102
0.61633123  0.08253738
0.61077233  0.08391962
0.60526370  0.08529734
0.59980628  0.08667011
0.59440095  0.08803753
0.58904847  0.08939919
0.58374956  0.09075470
0.57850484  0.09210365
0.57331485  0.09344566
0.56818006  0.09478035
0.56310085  0.09610734
0.55807755  0.09742625
0.55311039  0.09873672
0.54819955  0.10003839
0.54334512  0.10133090
0.53854715  0.10261389
0.53380561  0.10388703
0.52912039  0.10514997
0.52449134  0.10640237
0.51991823  0.10764392
0.51540081  0.10887428
0.51093871  0.11009314
0.50653157  0.11130018
0.50217894  0.11249510
0.49788031  0.11367760
0.49363515  0.11484738
0.48944286  0.11600416
0.48530282  0.11714764
0.48121432  0.11827755
0.47717666  0.11939361
0.47318907  0.12049557
0.46925074  0.12158315
0.46536084  0.12265610
0.46151849  0.12371418
0.45772278  0.12475713
0.45397279  0.12578472
0.45026753  0.12679672
0.44660602  0.12779289
0.44298725  0.12877302
0.43941015  0.12973688
0.43587368  0.13068427
0.43237674  0.13161498
0.42891823  0.13252882
0.42549704  0.13342558
0.42211202  0.13430508
0.41876202  0.13516713
0.41544589  0.13601157
0.41216245  0.13683821
0.40891053  0.13764689
0.40568895  0.13843744
0.40249650  0.13920972
0.39933200  0.13996357
0.39619424  0.14069884
0.39308204  0.14141540
0.38999420  0.14211312
0.38692952  0.14279185
0.38388681  0.14345149
0.38086490  0.14409190
0.37786259  0.14471298
0.37487873  0.14531462
0.37191215  0.14589671
0.36896170  0.14645916
0.36602624  0.14700187
0.36310466  0.14752476
0.36019583  0.14802774
0.35729867  0.14851073
0.35441211  0.14897367
0.35153507  0.14941648
0.34866652  0.14983909
0.34580543  0.15024146
0.34295082  0.15062353
0.34010170  0.15098524
0.33725712  0.15132655
0.33441615  0.15164743
0.33157789  0.15194783
0.32874145  0.15222773
0.32590599  0.15248710
0.32307068  0.15272592
0.32023472  0.15294417
0.31739736  0.15314183
0.31455784  0.15331889
0.31171548  0.15347536
0.30886959  0.15361123
0.30601952  0.15372650
0.30316468  0.15382118
0.30030448  0.15389528
0.29743838  0.15394881
0.29456588  0.15398179
0.29168649  0.15399425
0.28879977  0.15398621
0.28590533  0.15395770
0.28300280  0.15390875
0.28009184  0.15383939
0.27717215  0.15374967
0.27424348  0.15363962
0.27130561  0.15350930
0.26835834  0.15335875
0.26540154  0.15318803
0.26243508  0.15299718
0.25945890  0.15278626
0.25647296  0.15255533
0.25347727  0.15230446
0.25047184  0.15203370
0.24745678  0.15174314
0.24443217  0.15143282
0.24139819  0.15110283
0.23835500  0.15075324
0.23530284  0.15038412
0.23224195  0.14999554
0.22917265  0.14958760
0.22609524  0.14916036
0.22301011  0.14871391
0.21991765  0.14824833
0.21681829  0.14776371
0.21371250  0.14726012
0.21060079  0.14673766
0.20748368  0.14619641
0.20436173  0.14563646
0.20123555  0.14505789
0.19810577  0.14446079
0.19497303  0.14384526
0.19183802  0.14321137
0.18870146  0.14255923
0.18556409  0.14188890
0.18242668  0.14120049
0.17929000  0.14049408
0.17615490  0.13976975
0.17302219  0.13902760
0.16989275  0.13826770
0.16676746  0.13749014
0.16364723  0.13669500
0.16053297  0.13588236
0.15742563  0.13505230
0.15432616  0.13420490
0.15123553  0.13334024
0.14815474  0.13245838
0.14508477  0.13155939
0.14202665  0.13064335
0.13898138  0.12971033
0.13595000  0.12876038
0.13293354  0.12779356
0.12993304  0.12680994
0.12694954  0.12580956
0.12398409  0.12479248
0.12103774  0.12375875
