# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 04483
# Species         : Xiphorhynchus_flavigaster
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 114.10 mm
# Secondary1       : 93.30 mm
# Kipps Distance   : 20.70 mm
# Hand-Wing Index  : 18.20
# Tail Length      : 102.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.223
# Pointedness Index: 0.1814
# Efficiency Index : 0.0330
# Wing Loading Proxy: 0.0120
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1945  at x/c = 0.2717
# Max f/c          : 0.0595  at x/c = 0.3467
# Est. Reynolds    : 1.96e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009073
0.99866597  0.00021561
0.99781700  0.00037438
0.99683946  0.00056679
0.99572870  0.00079256
0.99448071  0.00105139
0.99309203  0.00134298
0.99155976  0.00166699
0.98988153  0.00202311
0.98805546  0.00241098
0.98608014  0.00283023
0.98395463  0.00328050
0.98167836  0.00376141
0.97925121  0.00427255
0.97667340  0.00481353
0.97394552  0.00538393
0.97106848  0.00598333
0.96804351  0.00661129
0.96487213  0.00726737
0.96155612  0.00795113
0.95809752  0.00866210
0.95449861  0.00939982
0.95076188  0.01016382
0.94689003  0.01095363
0.94288594  0.01176875
0.93875266  0.01260870
0.93449340  0.01347299
0.93011151  0.01436110
0.92561047  0.01527254
0.92099386  0.01620680
0.91626539  0.01716337
0.91142885  0.01814172
0.90648809  0.01914134
0.90144706  0.02016170
0.89630974  0.02120227
0.89108018  0.02226254
0.88576246  0.02334195
0.88036069  0.02443999
0.87487900  0.02555612
0.86932153  0.02668980
0.86369242  0.02784049
0.85799584  0.02900765
0.85223591  0.03019075
0.84641674  0.03138924
0.84054245  0.03260259
0.83461709  0.03383026
0.82864470  0.03507169
0.82262928  0.03632637
0.81657477  0.03759374
0.81048508  0.03887327
0.80436404  0.04016443
0.79821546  0.04146667
0.79204305  0.04277946
0.78585048  0.04410228
0.77964134  0.04543459
0.77341914  0.04677585
0.76718735  0.04812555
0.76094932  0.04948316
0.75470835  0.05084816
0.74846763  0.05222003
0.74223031  0.05359825
0.73599941  0.05498231
0.72977789  0.05637169
0.72356860  0.05776589
0.71737433  0.05916441
0.71119776  0.06056674
0.70504147  0.06197239
0.69890797  0.06338086
0.69279966  0.06479166
0.68671886  0.06620431
0.68066778  0.06761831
0.67464855  0.06903320
0.66866321  0.07044850
0.66271370  0.07186374
0.65680185  0.07327845
0.65092943  0.07469218
0.64509810  0.07610445
0.63930942  0.07751483
0.63356487  0.07892286
0.62786585  0.08032810
