# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05152
# Species         : Epthianura_aurifrons
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 62.80 mm
# Secondary1       : 49.70 mm
# Kipps Distance   : 12.80 mm
# Hand-Wing Index  : 20.50
# Tail Length      : 36.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.264
# Pointedness Index: 0.2038
# Efficiency Index : 0.0418
# Wing Loading Proxy: 0.0343
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1956  at x/c = 0.2703
# Max f/c          : 0.0592  at x/c = 0.3467
# Est. Reynolds    : 1.07e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939164  0.00009069
0.99866588  0.00021545
0.99781671  0.00037404
0.99683879  0.00056620
0.99572742  0.00079165
0.99447854  0.00105010
0.99308865  0.00134127
0.99155482  0.00166481
0.98987464  0.00202041
0.98804620  0.00240773
0.98606808  0.00282639
0.98393928  0.00327605
0.98165926  0.00375632
0.97922784  0.00426680
0.97664525  0.00480711
0.97391206  0.00537682
0.97102918  0.00597553
0.96799782  0.00660280
0.96481950  0.00725819
0.96149601  0.00794126
0.95802938  0.00865155
0.95442190  0.00938861
0.95067606  0.01015197
0.94679456  0.01094115
0.94278029  0.01175567
0.93863631  0.01259505
0.93436584  0.01345879
0.92997223  0.01434640
0.92545898  0.01525738
0.92082970  0.01619121
0.91608808  0.01714739
0.91123794  0.01812541
0.90628316  0.01912474
0.90122767  0.02014487
0.89607551  0.02118526
0.89083071  0.02224540
0.88549739  0.02332476
0.88007966  0.02442279
0.87458168  0.02553898
0.86900761  0.02667278
0.86336161  0.02782367
0.85764784  0.02899109
0.85187048  0.03017452
0.84603364  0.03137342
0.84014144  0.03258724
0.83419799  0.03381546
0.82820731  0.03505752
0.82217344  0.03631290
0.81610034  0.03758105
0.80999192  0.03886144
0.80385205  0.04015353
0.79768453  0.04145678
0.79149312  0.04277067
0.78528149  0.04409466
0.77905324  0.04542822
0.77281193  0.04677082
0.76656100  0.04812194
0.76030385  0.04948105
0.75404378  0.05084762
0.74778401  0.05222115
0.74152768  0.05360110
0.73527785  0.05498697
0.72903748  0.05637825
0.72280945  0.05777443
0.71659654  0.05917499
0.71040146  0.06057945
0.70422679  0.06198730
0.69807507  0.06339804
0.69194869  0.06481119
0.68585000  0.06622626
0.67978121  0.06764276
0.67374447  0.06906022
0.66774182  0.07047815
0.66177520  0.07189609
0.65584648  0.07331357
0.64995741  0.07473012
0.64410967  0.07614529
0.63830482  0.07755863
0.63254437  0.07896967
0.62682969  0.08037799
0.62116210  0.08178313
0.61554281  0.08318466
0.60997295  0.08458215
0.60445356  0.08597518
0.59898560  0.08736332
0.59356993  0.08874617
0.58820734  0.09012329
0.58289853  0.09149430
0.57764414  0.09285879
0.57244471  0.09421637
0.56730070  0.09556664
0.56221250  0.09690922
0.55718044  0.09824373
0.55220475  0.09956980
