# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05181
# Species         : Lichmera_notabilis
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 72.50 mm
# Secondary1       : 59.00 mm
# Kipps Distance   : 13.50 mm
# Hand-Wing Index  : 18.60
# Tail Length      : 63.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.229
# Pointedness Index: 0.1862
# Efficiency Index : 0.0346
# Wing Loading Proxy: 0.0195
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1978  at x/c = 0.2714
# Max f/c          : 0.0595  at x/c = 0.3467
# Est. Reynolds    : 1.10e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009083
0.99866595  0.00021599
0.99781695  0.00037525
0.99683934  0.00056835
0.99572848  0.00079502
0.99448033  0.00105495
0.99309144  0.00134785
0.99155890  0.00167340
0.98988033  0.00203127
0.98805385  0.00242111
0.98607805  0.00284256
0.98395196  0.00329526
0.98167504  0.00377882
0.97924714  0.00429286
0.97666850  0.00483697
0.97393970  0.00541074
0.97106165  0.00601374
0.96803557  0.00664555
0.96486298  0.00730573
0.96154566  0.00799383
0.95808567  0.00870940
0.95448527  0.00945197
0.95074695  0.01022106
0.94687343  0.01101622
0.94286757  0.01183694
0.93873243  0.01268274
0.93447122  0.01355314
0.93008729  0.01444762
0.92558412  0.01536568
0.92096531  0.01630682
0.91623456  0.01727052
0.91139565  0.01825626
0.90645245  0.01926352
0.90140890  0.02029177
0.89626900  0.02134050
0.89103680  0.02240916
0.88571636  0.02349724
0.88031182  0.02460418
0.87482729  0.02572946
0.86926693  0.02687253
0.86363489  0.02803286
0.85793532  0.02920991
0.85217235  0.03040314
0.84635012  0.03161199
0.84047271  0.03283594
0.83454420  0.03407444
0.82856863  0.03532694
0.82255000  0.03659290
0.81649226  0.03787178
0.81039931  0.03916305
0.80427500  0.04046615
0.79812312  0.04178056
0.79194741  0.04310572
0.78575152  0.04444112
0.77953905  0.04578620
0.77331354  0.04714044
0.76707841  0.04850332
0.76083706  0.04987429
0.75459276  0.05125283
0.74834873  0.05263842
0.74210810  0.05403053
0.73587391  0.05542866
0.72964911  0.05683227
0.72343656  0.05824087
0.71723905  0.05965393
0.71105925  0.06107096
0.70489977  0.06249145
0.69876309  0.06391489
0.69265164  0.06534081
0.68656772  0.06676869
0.68051356  0.06819806
0.67449129  0.06962842
0.66850294  0.07105931
0.66255044  0.07249024
0.65663566  0.07392074
0.65076034  0.07535034
0.64492615  0.07677858
0.63913465  0.07820500
0.63338733  0.07962915
0.62768558  0.08105058
0.62203069  0.08246884
0.61642388  0.08388349
0.61086627  0.08529410
0.60535890  0.08670024
0.59990271  0.08810147
0.59449857  0.08949739
0.58914728  0.09088758
0.58384952  0.09227162
0.57860592  0.09364911
0.57341703  0.09501965
0.56828331  0.09638285
0.56320514  0.09773832
0.55818285  0.09908568
0.55321668  0.10042453
0.54830680  0.10175453
0.54345330  0.10307529
0.53865624  0.10438645
0.53391556  0.10568766
0.52923118  0.10697856
0.52460295  0.10825882
0.52003063  0.10952809
0.51551396  0.11078604
0.51105260  0.11203234
0.50664616  0.11326667
0.50229420  0.11448870
0.49799622  0.11569814
0.49375168  0.11689467
0.48955998  0.11807799
0.48542050  0.11924782
0.48133254  0.12040385
