# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05277
# Species         : Philemon_buceroides
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 147.60 mm
# Secondary1       : 116.50 mm
# Kipps Distance   : 24.80 mm
# Hand-Wing Index  : 17.60
# Tail Length      : 127.70 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.267
# Pointedness Index: 0.1680
# Efficiency Index : 0.0296
# Wing Loading Proxy: 0.0099
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1931  at x/c = 0.2721
# Max f/c          : 0.0595  at x/c = 0.3467
# Est. Reynolds    : 2.74e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009070
0.99866599  0.00021549
0.99781707  0.00037411
0.99683963  0.00056631
0.99572904  0.00079180
0.99448128  0.00105028
0.99309291  0.00134145
0.99156105  0.00166498
0.98988332  0.00202052
0.98805787  0.00240775
0.98608329  0.00282628
0.98395863  0.00327575
0.98168334  0.00375577
0.97925731  0.00426594
0.97668074  0.00480586
0.97395425  0.00537512
0.97107874  0.00597328
0.96805543  0.00659991
0.96488586  0.00725457
0.96157180  0.00793681
0.95811529  0.00864617
0.95451862  0.00938219
0.95078427  0.01014439
0.94691493  0.01093229
0.94291350  0.01174540
0.93878301  0.01258325
0.93452668  0.01344532
0.93014785  0.01433112
0.92564999  0.01524015
0.92103669  0.01617189
0.91631165  0.01712583
0.91147865  0.01810145
0.90654155  0.01909824
0.90150429  0.02011566
0.89637085  0.02115319
0.89114526  0.02221030
0.88583161  0.02328646
0.88043400  0.02438114
0.87495656  0.02549379
0.86940342  0.02662390
0.86377873  0.02777091
0.85808663  0.02893429
0.85233124  0.03011350
0.84651669  0.03130800
0.84064707  0.03251726
0.83472643  0.03374073
0.82875882  0.03497788
0.82274821  0.03622816
0.81669855  0.03749103
0.81061375  0.03876598
0.80449763  0.04005244
0.79835399  0.04134990
0.79218654  0.04265782
0.78599894  0.04397567
0.77979479  0.04530291
0.77357759  0.04663903
0.76735079  0.04798350
0.76111776  0.04933578
0.75488178  0.05069538
0.74864604  0.05206175
0.74241369  0.05343440
0.73618774  0.05481281
0.72997114  0.05619647
0.72376676  0.05758487
0.71757737  0.05897752
0.71140564  0.06037390
0.70525416  0.06177354
0.69912543  0.06317593
0.69302185  0.06458059
0.68694574  0.06598703
0.68089931  0.06739477
0.67488468  0.06880334
0.66890388  0.07021227
0.66295886  0.07162108
0.65705145  0.07302932
0.65118341  0.07443652
0.64535639  0.07584223
0.63957197  0.07724601
0.63383162  0.07864739
0.62813673  0.08004595
0.62248859  0.08144125
0.61688842  0.08283286
0.61133732  0.08422034
0.60583635  0.08560329
0.60038644  0.08698128
0.59498847  0.08835390
0.58964320  0.08972076
0.58435136  0.09108143
0.57911355  0.09243554
0.57393032  0.09378269
0.56880213  0.09512249
0.56372937  0.09645457
0.55871236  0.09777855
0.55375134  0.09909406
0.54884648  0.10040074
0.54399789  0.10169823
0.53920559  0.10298618
0.53446955  0.10426424
0.52978969  0.10553207
0.52516584  0.10678934
0.52059779  0.10803571
0.51608526  0.10927086
0.51162791  0.11049447
0.50722536  0.11170623
0.50287717  0.11290582
0.49858284  0.11409295
0.49434183  0.11526732
0.49015355  0.11642864
0.48601736  0.11757663
0.48193258  0.11871100
0.47789850  0.11983148
0.47391435  0.12093780
0.46997932  0.12202970
0.46609259  0.12310693
0.46225328  0.12416922
0.45846049  0.12521635
0.45471328  0.12624806
0.45101068  0.12726412
0.44735172  0.12826431
0.44373536  0.12924840
0.44016057  0.13021617
0.43662628  0.13116742
0.43313142  0.13210193
0.42967488  0.13301951
0.42625555  0.13391996
0.42287228  0.13480310
0.41952395  0.13566873
0.41620938  0.13651668
0.41292741  0.13734678
0.40967686  0.13815887
0.40645655  0.13895277
0.40326530  0.13972834
0.40010190  0.14048541
0.39696518  0.14122386
0.39385393  0.14194353
0.39076695  0.14264430
0.38770307  0.14332603
0.38466109  0.14398860
0.38163982  0.14463189
0.37863811  0.14525579
0.37565476  0.14586018
0.37268864  0.14644498
0.36973859  0.14701007
0.36680348  0.14755536
0.36388218  0.14808078
0.36097359  0.14858623
0.35807661  0.14907164
0.35519017  0.14953693
0.35231321  0.14998203
0.34944469  0.15040689
0.34658360  0.15081145
0.34372894  0.15119565
0.34087972  0.15155944
0.33803501  0.15190278
0.33519386  0.15222563
0.33235539  0.15252795
0.32951870  0.15280972
0.32668295  0.15307091
0.32384732  0.15331149
0.32101101  0.15353146
0.31817326  0.15373079
0.31533333  0.15390948
0.31249051  0.15406752
0.30964414  0.15420492
0.30679356  0.15432168
0.30393817  0.15441780
0.30107739  0.15449330
0.29821069  0.15454819
0.29533754  0.15458249
0.29245748  0.15459623
0.28957006  0.15458943
0.28667489  0.15456213
0.28377158  0.15451435
0.28085982  0.15444613
0.27793929  0.15435751
0.27500975  0.15424854
0.27207097  0.15411926
0.26912276  0.15396972
0.26616497  0.15379998
0.26319748  0.15361008
0.26022024  0.15340010
0.25723319  0.15317008
0.25423633  0.15292009
0.25122971  0.15265021
0.24821339  0.15236048
0.24518748  0.15205099
0.24215214  0.15172181
0.23910754  0.15137302
0.23605391  0.15100468
0.23299151  0.15061687
0.22992061  0.15020968
0.22684156  0.14978319
0.22375471  0.14933748
0.22066046  0.14887263
0.21755924  0.14838872
0.21445152  0.14788585
0.21133780  0.14736410
0.20821859  0.14682356
0.20509448  0.14626431
0.20196604  0.14568645
0.19883390  0.14509006
0.19569873  0.14447523
0.19256119  0.14384205
0.18942200  0.14319061
0.18628189  0.14252100
0.18314164  0.14183330
0.18000202  0.14112760
0.17686386  0.14040400
0.17372799  0.13966257
0.17059527  0.13890340
0.16746658  0.13812658
0.16434282  0.13733218
0.16122491  0.13652029
0.15811379  0.13569099
0.15501041  0.13484434
0.15191574  0.13398043
0.14883077  0.13309934
0.14575649  0.13220112
0.14269390  0.13128585
0.13964404  0.13035359
0.13660791  0.12940441
0.13358655  0.12843836
0.13058100  0.12745550
0.12759231  0.12645587
0.12462151  0.12543954
0.12166965  0.12440655
0.11873777  0.12335692
0.11582693  0.12229071
0.11293814  0.12120795
0.11007245  0.12010865
0.10723089  0.11899285
0.10441446  0.11786057
0.10162418  0.11671181
0.09886104  0.11554660
0.09612601  0.11436492
0.09342006  0.11316678
0.09074414  0.11195217
0.08809918  0.11072107
0.08548608  0.10947348
0.08290572  0.10820936
0.08035897  0.10692868
0.07784666  0.10563141
0.07536960  0.10431750
0.07292856  0.10298691
0.07052430  0.10163957
0.06815753  0.10027542
0.06582893  0.09889440
0.06353915  0.09749642
0.06128880  0.09608141
0.05907846  0.09464928
0.05690864  0.09319992
0.05477986  0.09173323
0.05269255  0.09024911
0.05064713  0.08874743
0.04864396  0.08722807
0.04668336  0.08569090
0.04476560  0.08413578
0.04289091  0.08256256
0.04105947  0.08097110
0.03927142  0.07936123
0.03752682  0.07773278
0.03582572  0.07608559
0.03416810  0.07441947
0.03255390  0.07273424
0.03098300  0.07102971
0.02945524  0.06930569
0.02797042  0.06756196
0.02652826  0.06579832
0.02512848  0.06401457
0.02377072  0.06221047
0.02245457  0.06038580
0.02117960  0.05854035
0.01994534  0.05667388
0.01875124  0.05478615
0.01759677  0.05287693
0.01648131  0.05094598
0.01540424  0.04899305
0.01436490  0.04701791
0.01336261  0.04502031
0.01239665  0.04300000
0.01146630  0.04095674
0.01057081  0.03889029
0.00970942  0.03680041
0.00888137  0.03468686
0.00808591  0.03254941
0.00732227  0.03038781
0.00658971  0.02820186
0.00588750  0.02599132
0.00521494  0.02375600
0.00457135  0.02149567
0.00395612  0.01921016
0.00336866  0.01689927
0.00280844  0.01456283
0.00227502  0.01220070
0.00176801  0.00981271
0.00128714  0.00739875
0.00083221  0.00495870
0.00040314  0.00249247
0.00000000  0.00000000
0.00040314  -0.00147259
0.00083221  -0.00287086
0.00128714  -0.00419866
0.00176801  -0.00545969
0.00227502  -0.00665748
0.00280844  -0.00779541
0.00336866  -0.00887669
0.00395612  -0.00990441
0.00457135  -0.01088151
0.00521494  -0.01181078
0.00588750  -0.01269492
0.00658971  -0.01353646
0.00732227  -0.01433785
0.00808591  -0.01510139
0.00888137  -0.01582931
0.00970942  -0.01652371
0.01057081  -0.01718658
0.01146630  -0.01781984
0.01239665  -0.01842528
0.01336261  -0.01900464
0.01436490  -0.01955955
0.01540424  -0.02009155
0.01648131  -0.02060213
0.01759677  -0.02109266
0.01875124  -0.02156448
0.01994534  -0.02201884
0.02117960  -0.02245691
0.02245457  -0.02287982
0.02377072  -0.02328861
0.02512848  -0.02368430
0.02652826  -0.02406780
0.02797042  -0.02444001
0.02945524  -0.02480176
0.03098300  -0.02515382
0.03255390  -0.02549692
0.03416810  -0.02583175
0.03582572  -0.02615894
0.03752682  -0.02647910
0.03927142  -0.02679276
0.04105947  -0.02710046
0.04289091  -0.02740267
0.04476560  -0.02769982
0.04668336  -0.02799232
0.04864396  -0.02828055
0.05064713  -0.02856485
0.05269255  -0.02884552
0.05477986  -0.02912285
0.05690864  -0.02939709
0.05907846  -0.02966847
0.06128880  -0.02993719
0.06353915  -0.03020342
0.06582893  -0.03046732
0.06815753  -0.03072902
0.07052430  -0.03098863
0.07292856  -0.03124624
0.07536960  -0.03150191
0.07784666  -0.03175570
0.08035897  -0.03200765
0.08290572  -0.03225776
0.08548608  -0.03250605
0.08809918  -0.03275249
0.09074414  -0.03299706
0.09342006  -0.03323972
0.09612601  -0.03348041
0.09886104  -0.03371906
0.10162418  -0.03395560
0.10441446  -0.03418994
0.10723089  -0.03442197
0.11007245  -0.03465159
0.11293814  -0.03487868
0.11582693  -0.03510311
0.11873777  -0.03532475
0.12166965  -0.03554345
0.12462151  -0.03575907
0.12759231  -0.03597145
0.13058100  -0.03618042
0.13358655  -0.03638584
0.13660791  -0.03658751
0.13964404  -0.03678527
0.14269390  -0.03697893
0.14575649  -0.03716832
0.14883077  -0.03735324
0.15191574  -0.03753352
0.15501041  -0.03770895
0.15811379  -0.03787935
0.16122491  -0.03804452
0.16434282  -0.03820426
0.16746658  -0.03835839
0.17059527  -0.03850670
0.17372799  -0.03864899
0.17686386  -0.03878509
0.18000202  -0.03891478
0.18314164  -0.03903788
0.18628189  -0.03915419
0.18942200  -0.03926352
0.19256119  -0.03936569
0.19569873  -0.03946050
0.19883390  -0.03954779
0.20196604  -0.03962736
0.20509448  -0.03969903
0.20821859  -0.03976265
0.21133780  -0.03981803
0.21445152  -0.03986501
0.21755924  -0.03990343
0.22066046  -0.03993314
0.22375471  -0.03995397
0.22684156  -0.03996579
0.22992061  -0.03996846
0.23299151  -0.03996183
0.23605391  -0.03994578
0.23910754  -0.03992019
0.24215214  -0.03988493
0.24518748  -0.03983990
0.24821339  -0.03978498
0.25122971  -0.03972009
0.25423633  -0.03964512
0.25723319  -0.03956000
0.26022024  -0.03946465
0.26319748  -0.03935900
0.26616497  -0.03924298
0.26912276  -0.03911654
0.27207097  -0.03897963
0.27500975  -0.03883222
0.27793929  -0.03867428
0.28085982  -0.03850577
0.28377158  -0.03832669
0.28667489  -0.03813702
0.28957006  -0.03793678
0.29245748  -0.03772596
0.29533754  -0.03750460
0.29821069  -0.03727271
0.30107739  -0.03703034
0.30393817  -0.03677752
0.30679356  -0.03651431
0.30964414  -0.03624077
0.31249051  -0.03595697
0.31533333  -0.03566299
0.31817326  -0.03535893
0.32101101  -0.03504486
0.32384732  -0.03472091
0.32668295  -0.03438718
0.32951870  -0.03404380
0.33235539  -0.03369090
0.33519386  -0.03332862
0.33803501  -0.03295710
0.34087972  -0.03257650
0.34372894  -0.03218699
0.34658360  -0.03178873
0.34944469  -0.03138192
0.35231321  -0.03096674
0.35519017  -0.03054338
0.35807661  -0.03011205
0.36097359  -0.02967297
0.36388218  -0.02922634
0.36680348  -0.02877241
0.36973859  -0.02831140
0.37268864  -0.02784355
0.37565476  -0.02736911
0.37863811  -0.02688834
0.38163982  -0.02640150
0.38466109  -0.02590886
