# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05306
# Species         : Ptilotula_plumula
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 77.50 mm
# Secondary1       : 60.10 mm
# Kipps Distance   : 16.20 mm
# Hand-Wing Index  : 21.20
# Tail Length      : 65.90 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.290
# Pointedness Index: 0.2090
# Efficiency Index : 0.0443
# Wing Loading Proxy: 0.0196
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1940  at x/c = 0.2699
# Max f/c          : 0.0591  at x/c = 0.3467
# Est. Reynolds    : 1.20e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939164  0.00009061
0.99866586  0.00021515
0.99781662  0.00037336
0.99683858  0.00056498
0.99572703  0.00078975
0.99447788  0.00104737
0.99308762  0.00133754
0.99155332  0.00165994
0.98987255  0.00201425
0.98804339  0.00240011
0.98606441  0.00281718
0.98393461  0.00326508
0.98165344  0.00374344
0.97922073  0.00425186
0.97663668  0.00478996
0.97390187  0.00535731
0.97101721  0.00595350
0.96798391  0.00657810
0.96480349  0.00723067
0.96147772  0.00791078
0.95800865  0.00861795
0.95439856  0.00935175
0.95064994  0.01011170
0.94676550  0.01089732
0.94274814  0.01170814
0.93860090  0.01254367
0.93432701  0.01340342
0.92992984  0.01428690
0.92541288  0.01519360
0.92077973  0.01612301
0.91603412  0.01707464
0.91117984  0.01804797
0.90622078  0.01904247
0.90116091  0.02005763
0.89600422  0.02109293
0.89075479  0.02214784
0.88541672  0.02322184
0.87999413  0.02431439
0.87449119  0.02542497
0.86891207  0.02655304
0.86326092  0.02769807
0.85754193  0.02885951
0.85175926  0.03003685
0.84591704  0.03122953
0.84001940  0.03243703
0.83407044  0.03365881
0.82807420  0.03489432
0.82203471  0.03614305
0.81595595  0.03740444
0.80984183  0.03867796
0.80369623  0.03996309
0.79752295  0.04125929
0.79132576  0.04256602
0.78510832  0.04388276
0.77887427  0.04520898
0.77262713  0.04654416
0.76637039  0.04788776
0.76010742  0.04923928
0.75384153  0.05059818
0.74757597  0.05196395
0.74131386  0.05333609
0.73505827  0.05471406
0.72881217  0.05609738
0.72257843  0.05748553
0.71635985  0.05887800
0.71015914  0.06027431
0.70397888  0.06167395
0.69782161  0.06307644
0.69168975  0.06448128
0.68558561  0.06588798
0.67951144  0.06729608
0.67346937  0.06870509
0.66746146  0.07011454
0.66148965  0.07152396
0.65555579  0.07293289
0.64966167  0.07434086
0.64380893  0.07574743
0.63799918  0.07715213
0.63223389  0.07855453
0.62651446  0.07995418
0.62084220  0.08135064
0.61521832  0.08274348
0.60964396  0.08413227
0.60412015  0.08551660
0.59864786  0.08689604
0.59322795  0.08827017
0.58786122  0.08963860
0.58254836  0.09100092
0.57729001  0.09235673
0.57208671  0.09370564
0.56693892  0.09504726
0.56184705  0.09638121
0.55681140  0.09770711
0.55183223  0.09902460
0.54690970  0.10033330
0.54204392  0.10163286
0.53723492  0.10292292
0.53248267  0.10420313
0.52778708  0.10547315
0.52314799  0.10673264
0.51856517  0.10798127
0.51403836  0.10921870
0.50956720  0.11044462
0.50515132  0.11165871
0.50079027  0.11286066
0.49648355  0.11405016
0.49223061  0.11522692
0.48803087  0.11639064
0.48388367  0.11754104
0.47978834  0.11867782
0.47574415  0.11980072
0.47175033  0.12090947
0.46780608  0.12200378
0.46391055  0.12308342
0.46006287  0.12414812
0.45626212  0.12519763
0.45250737  0.12623172
0.44879764  0.12725014
