# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05371
# Species         : Arses_kaupi
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 79.30 mm
# Secondary1       : 64.50 mm
# Kipps Distance   : 15.10 mm
# Hand-Wing Index  : 19.00
# Tail Length      : 76.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.229
# Pointedness Index: 0.1904
# Efficiency Index : 0.0362
# Wing Loading Proxy: 0.0161
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1966  at x/c = 0.2712
# Max f/c          : 0.0594  at x/c = 0.3467
# Est. Reynolds    : 1.23e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009077
0.99866594  0.00021578
0.99781690  0.00037477
0.99683922  0.00056749
0.99572826  0.00079367
0.99447996  0.00105300
0.99309085  0.00134520
0.99155804  0.00166993
0.98987913  0.00202687
0.98805224  0.00241567
0.98607595  0.00283597
0.98394929  0.00328741
0.98167172  0.00376959
0.97924308  0.00428215
0.97666361  0.00482466
0.97393388  0.00539671
0.97105481  0.00599790
0.96802762  0.00662777
0.96485382  0.00728591
0.96153521  0.00797185
0.95807382  0.00868515
0.95447193  0.00942533
0.95073203  0.01019194
0.94685682  0.01098449
0.94284919  0.01180250
0.93871219  0.01264549
0.93444903  0.01351295
0.93006307  0.01440440
0.92555778  0.01531932
0.92093676  0.01625720
0.91620372  0.01721754
0.91136245  0.01819982
0.90641681  0.01920351
0.90137075  0.02022810
0.89622827  0.02127305
0.89099341  0.02233784
0.88567026  0.02342193
0.88026294  0.02452480
0.87477558  0.02564591
0.86921234  0.02678472
0.86357736  0.02794069
0.85787480  0.02911328
0.85210880  0.03030195
0.84628349  0.03150616
0.84040297  0.03272538
0.83447131  0.03395906
0.82849257  0.03520665
0.82247073  0.03646762
0.81640975  0.03774143
0.81031354  0.03902754
0.80418595  0.04032541
0.79803078  0.04163450
0.79185176  0.04295428
0.78565256  0.04428421
0.77943678  0.04562376
0.77320793  0.04697240
0.76696948  0.04832959
0.76072480  0.04969482
0.75447718  0.05106756
0.74822984  0.05244728
0.74198590  0.05383347
0.73574842  0.05522560
0.72952034  0.05662318
0.72330453  0.05802568
0.71710378  0.05943259
0.71092076  0.06084342
0.70475808  0.06225767
0.69861823  0.06367483
0.69250364  0.06509441
0.68641661  0.06651592
0.68035937  0.06793887
0.67433405  0.06936280
0.66834268  0.07078720
0.66238721  0.07221162
0.65646949  0.07363558
0.65059127  0.07505862
0.64475423  0.07648028
0.63895992  0.07790009
0.63320983  0.07931761
0.62750535  0.08073239
0.62184779  0.08214400
0.61623835  0.08355198
0.61067815  0.08495591
0.60516825  0.08635536
0.59970957  0.08774990
0.59430301  0.08913913
0.58894933  0.09052262
0.58364924  0.09189998
0.57840336  0.09327078
0.57321225  0.09463465
0.56807635  0.09599119
0.56299607  0.09734000
0.55797171  0.09868071
0.55300353  0.10001295
0.54809169  0.10133634
0.54323629  0.10265052
0.53843737  0.10395513
0.53369490  0.10524981
0.52900879  0.10653421
0.52437886  0.10780800
0.51980492  0.10907084
0.51528667  0.11032239
0.51082378  0.11156232
0.50641587  0.11279033
0.50206249  0.11400609
0.49776314  0.11520929
0.49351729  0.11639963
0.48932433  0.11757681
0.48518363  0.11874054
0.48109451  0.11989054
0.47705625  0.12102652
0.47306808  0.12214821
0.46912919  0.12325535
