# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06921
# Species         : Foudia_aldabrana
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 76.80 mm
# Secondary1       : 62.80 mm
# Kipps Distance   : 13.90 mm
# Hand-Wing Index  : 18.20
# Tail Length      : 52.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.223
# Pointedness Index: 0.1810
# Efficiency Index : 0.0329
# Wing Loading Proxy: 0.0234
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1978  at x/c = 0.2717
# Max f/c          : 0.0596  at x/c = 0.3467
# Est. Reynolds    : 1.18e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009084
0.99866597  0.00021604
0.99781700  0.00037537
0.99683946  0.00056856
0.99572870  0.00079534
0.99448071  0.00105541
0.99309203  0.00134847
0.99155976  0.00167421
0.98988153  0.00203228
0.98805546  0.00242234
0.98608014  0.00284405
0.98395463  0.00329701
0.98167836  0.00378086
0.97925121  0.00429520
0.97667340  0.00483963
0.97394552  0.00541374
0.97106848  0.00601711
0.96804351  0.00664929
0.96487213  0.00730986
0.96155612  0.00799837
0.95809752  0.00871435
0.95449861  0.00945735
0.95076188  0.01022689
0.94689003  0.01102250
0.94288594  0.01184369
0.93875266  0.01268998
0.93449340  0.01356086
0.93011151  0.01445585
0.92561047  0.01537442
0.92099386  0.01631608
0.91626539  0.01728031
0.91142885  0.01826659
0.90648809  0.01927439
0.90144706  0.02030320
0.89630974  0.02135249
0.89108018  0.02242172
0.88576246  0.02351036
0.88036069  0.02461788
0.87487900  0.02574374
0.86932153  0.02688740
0.86369243  0.02804832
0.85799584  0.02922596
0.85223591  0.03041978
0.84641674  0.03162924
0.84054245  0.03285378
0.83461709  0.03409288
0.82864470  0.03534598
0.82262928  0.03661255
0.81657477  0.03789204
0.81048508  0.03918391
0.80436404  0.04048762
0.79821546  0.04180263
0.79204305  0.04312840
0.78585048  0.04446440
0.77964134  0.04581008
0.77341915  0.04716493
0.76718735  0.04852839
0.76094932  0.04989996
0.75470835  0.05127910
0.74846764  0.05266528
0.74223031  0.05405798
0.73599941  0.05545669
0.72977789  0.05686089
0.72356861  0.05827006
0.71737434  0.05968370
0.71119777  0.06110129
0.70504148  0.06252235
0.69890798  0.06394635
0.69279967  0.06537282
0.68671887  0.06680126
0.68066779  0.06823117
0.67464857  0.06966208
0.66866323  0.07109350
0.66271372  0.07252496
0.65680187  0.07395598
0.65092946  0.07538611
0.64509812  0.07681486
0.63930945  0.07824179
0.63356490  0.07966645
0.62786588  0.08108837
0.62221368  0.08250712
0.61660951  0.08392226
0.61105449  0.08533334
0.60554966  0.08673995
0.60009596  0.08814165
0.59469427  0.08953803
0.58934537  0.09092867
0.58404995  0.09231316
0.57880864  0.09369109
0.57362199  0.09506207
0.56849045  0.09642570
0.56341442  0.09778158
0.55839421  0.09912935
0.55343007  0.10046862
0.54852216  0.10179901
0.54367059  0.10312017
0.53887539  0.10443172
0.53413653  0.10573331
0.52945391  0.10702459
0.52482739  0.10830522
0.52025673  0.10957486
0.51574166  0.11083317
0.51128185  0.11207982
0.50687691  0.11331449
0.50252640  0.11453687
0.49822981  0.11574664
0.49398662  0.11694350
0.48979622  0.11812714
0.48565798  0.11929728
0.48157122  0.12045363
0.47753521  0.12159590
0.47354920  0.12272382
0.46961238  0.12383712
0.46572391  0.12493552
0.46188292  0.12601878
0.45808850  0.12708663
0.45433973  0.12813883
0.45063562  0.12917514
0.44697520  0.13019533
0.44335744  0.13119915
0.43978129  0.13218639
0.43624570  0.13315682
0.43274959  0.13411024
0.42929184  0.13504643
0.42587134  0.13596520
0.42248695  0.13686634
0.41913753  0.13774967
0.41582192  0.13861500
0.41253894  0.13946215
0.40928743  0.14029094
0.40606620  0.14110122
0.40287405  0.14189281
0.39970979  0.14266556
0.39657223  0.14341932
0.39346018  0.14415394
0.39037243  0.14486929
0.38730780  0.14556521
0.38426510  0.14624160
0.38124314  0.14689831
0.37824075  0.14753524
0.37525676  0.14815227
0.37229000  0.14874928
0.36933934  0.14932619
0.36640364  0.14988288
0.36348176  0.15041927
0.36057261  0.15093527
0.35767509  0.15143080
0.35478812  0.15190578
0.35191064  0.15236013
0.34904162  0.15279379
0.34618004  0.15320671
0.34332489  0.15359881
0.34047520  0.15397005
0.33763003  0.15432037
0.33478843  0.15464975
0.33194951  0.15495813
0.32911238  0.15524549
0.32627621  0.15551179
0.32344015  0.15575701
0.32060343  0.15598114
0.31776527  0.15618415
0.31492493  0.15636603
0.31208172  0.15652678
0.30923495  0.15666639
0.30638399  0.15678487
0.30352823  0.15688222
0.30066709  0.15695845
0.29780002  0.15701358
0.29492652  0.15704761
0.29204611  0.15706058
0.28915836  0.15705251
0.28626285  0.15702342
0.28335923  0.15697335
0.28044716  0.15690234
0.27752634  0.15681042
0.27459652  0.15669763
0.27165747  0.15656402
0.26870900  0.15640965
0.26575097  0.15623455
0.26278327  0.15603880
0.25980582  0.15582243
0.25681858  0.15558553
0.25382156  0.15532813
0.25081479  0.15505033
0.24779836  0.15475217
0.24477236  0.15443373
0.24173695  0.15409509
0.23869232  0.15373632
0.23563868  0.15335750
0.23257630  0.15295869
0.22950546  0.15254000
0.22642650  0.15210148
0.22333979  0.15164324
0.22024571  0.15116536
0.21714471  0.15066791
0.21403725  0.15015100
0.21092383  0.14961470
0.20780498  0.14905911
0.20468126  0.14848431
0.20155329  0.14789040
0.19842166  0.14727747
0.19528706  0.14664560
0.19215015  0.14599490
0.18901165  0.14532545
0.18587230  0.14463734
0.18273287  0.14393067
0.17959415  0.14320552
0.17645696  0.14246198
0.17332213  0.14170015
0.17019052  0.14092012
0.16706302  0.14012196
0.16394054  0.13930577
0.16082399  0.13847163
0.15771432  0.13761963
0.15461247  0.13674984
0.15151943  0.13586235
0.14843617  0.13495723
0.14536370  0.13403457
0.14230303  0.13309442
0.13925517  0.13213688
0.13622114  0.13116199
0.13320200  0.13016983
0.13019876  0.12916046
0.12721248  0.12813395
0.12424421  0.12709033
