# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06948
# Species         : Ploceus_aurantius
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 69.60 mm
# Secondary1       : 55.60 mm
# Kipps Distance   : 13.30 mm
# Hand-Wing Index  : 19.40
# Tail Length      : 44.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.252
# Pointedness Index: 0.1911
# Efficiency Index : 0.0371
# Wing Loading Proxy: 0.0282
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1968  at x/c = 0.2710
# Max f/c          : 0.0594  at x/c = 0.3467
# Est. Reynolds    : 1.11e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009077
0.99866592  0.00021575
0.99781685  0.00037471
0.99683911  0.00056739
0.99572804  0.00079351
0.99447958  0.00105279
0.99309027  0.00134491
0.99155718  0.00166956
0.98987793  0.00202641
0.98805063  0.00241512
0.98607385  0.00283532
0.98394662  0.00328665
0.98166839  0.00376874
0.97923902  0.00428118
0.97665871  0.00482357
0.97392806  0.00539552
0.97104797  0.00599658
0.96801967  0.00662635
0.96484467  0.00728437
0.96152476  0.00797020
0.95806197  0.00868338
0.95445859  0.00942346
0.95071710  0.01018996
0.94684022  0.01098241
0.94283082  0.01180033
0.93869196  0.01264322
0.93442685  0.01351060
0.93003884  0.01440196
0.92553143  0.01531681
0.92090821  0.01625463
0.91617289  0.01721491
0.91132925  0.01819714
0.90638117  0.01920079
0.90133260  0.02022534
0.89618753  0.02127027
0.89095003  0.02233505
0.88562416  0.02341915
0.88021407  0.02452203
0.87472388  0.02564316
0.86915774  0.02678200
0.86351983  0.02793801
0.85781428  0.02911066
0.85204525  0.03029940
0.84621686  0.03150370
0.84033323  0.03272301
0.83439843  0.03395679
0.82841650  0.03520451
0.82239146  0.03646562
0.81632724  0.03773957
0.81022778  0.03902585
0.80409692  0.04032389
0.79793846  0.04163317
0.79175614  0.04295315
0.78555362  0.04428330
0.77933452  0.04562308
0.77310235  0.04697197
0.76686057  0.04832942
0.76061257  0.04969493
0.75436163  0.05106795
0.74811098  0.05244797
0.74186374  0.05383448
0.73562297  0.05522695
0.72939162  0.05662487
0.72317256  0.05802772
0.71696856  0.05943501
0.71078234  0.06084623
0.70461647  0.06226087
0.69847346  0.06367844
0.69235573  0.06509844
0.68626560  0.06652039
0.68020529  0.06794380
0.67417693  0.06936818
0.66818257  0.07079306
0.66222414  0.07221797
0.65630350  0.07364242
0.65042240  0.07506597
0.64458251  0.07648815
0.63878541  0.07790849
0.63303258  0.07932655
0.62732540  0.08074189
0.62166518  0.08215405
0.61605314  0.08356260
0.61049039  0.08496711
0.60497798  0.08636714
0.59951685  0.08776229
0.59410788  0.08915212
0.58875186  0.09053622
0.58344948  0.09191419
0.57820137  0.09328563
0.57300807  0.09465013
0.56787005  0.09600730
0.56278770  0.09735676
0.55776133  0.09869812
0.55279119  0.10003101
0.54787745  0.10135506
0.54302022  0.10266990
0.53821952  0.10397517
0.53347533  0.10527052
0.52878755  0.10655560
0.52415602  0.10783006
0.51958052  0.10909357
0.51506078  0.11034580
0.51059647  0.11158641
0.50618718  0.11281510
0.50183248  0.11403153
0.49753188  0.11523541
0.49328482  0.11642643
0.48909072  0.11760428
0.48494894  0.11876869
0.48085879  0.11991936
0.47681956  0.12105601
0.47283047  0.12217836
0.46889072  0.12328616
