# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07239
# Species         : Spizixos_canifrons
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 95.00 mm
# Secondary1       : 78.10 mm
# Kipps Distance   : 16.90 mm
# Hand-Wing Index  : 17.80
# Tail Length      : 94.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.216
# Pointedness Index: 0.1779
# Efficiency Index : 0.0317
# Wing Loading Proxy: 0.0129
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1966  at x/c = 0.2719
# Max f/c          : 0.0596  at x/c = 0.3467
# Est. Reynolds    : 1.55e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009081
0.99866599  0.00021593
0.99781705  0.00037510
0.99683957  0.00056808
0.99572893  0.00079457
0.99448109  0.00105429
0.99309262  0.00134694
0.99156062  0.00167218
0.98988272  0.00202969
0.98805707  0.00241912
0.98608224  0.00284011
0.98395729  0.00329228
0.98168168  0.00377527
0.97925527  0.00428866
0.97667830  0.00483206
0.97395134  0.00540505
0.97107532  0.00600722
0.96805146  0.00663812
0.96488128  0.00729732
0.96156657  0.00798437
0.95810937  0.00869880
0.95451195  0.00944017
0.95077680  0.01020798
0.94690663  0.01100177
0.94290431  0.01182106
0.93877290  0.01266534
0.93451559  0.01353413
0.93013573  0.01442692
0.92563681  0.01534322
0.92102241  0.01628250
0.91629623  0.01724425
0.91146205  0.01822796
0.90652373  0.01923310
0.90148521  0.02025916
0.89635048  0.02130559
0.89112357  0.02237187
0.88580856  0.02345747
0.88040956  0.02456185
0.87493070  0.02568448
0.86937612  0.02682482
0.86374996  0.02798232
0.85805636  0.02915645
0.85229946  0.03034666
0.84648337  0.03155242
0.84061219  0.03277318
0.83468998  0.03400841
0.82872077  0.03525754
0.82270856  0.03652006
0.81665728  0.03779541
0.81057084  0.03908305
0.80445308  0.04038245
0.79830779  0.04169306
0.79213869  0.04301436
0.78594943  0.04434580
0.77974361  0.04568685
0.77352474  0.04703697
0.76729628  0.04839565
0.76106157  0.04976235
0.75482392  0.05113654
0.74858652  0.05251771
0.74235250  0.05390533
0.73612489  0.05529889
0.72990665  0.05669787
0.72370062  0.05810176
0.71750959  0.05951006
0.71133624  0.06092225
0.70518314  0.06233784
0.69905281  0.06375632
0.69294764  0.06517721
