# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07455
# Species         : Sitta_villosa
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 65.00 mm
# Secondary1       : 50.20 mm
# Kipps Distance   : 14.20 mm
# Hand-Wing Index  : 22.10
# Tail Length      : 36.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.295
# Pointedness Index: 0.2185
# Efficiency Index : 0.0483
# Wing Loading Proxy: 0.0355
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1932  at x/c = 0.2694
# Max f/c          : 0.0589  at x/c = 0.3467
# Est. Reynolds    : 1.14e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939163  0.00009056
0.99866582  0.00021491
0.99781651  0.00037283
0.99683832  0.00056405
0.99572653  0.00078830
0.99447703  0.00104529
0.99308630  0.00133472
0.99155139  0.00165626
0.98986985  0.00200960
0.98803977  0.00239439
0.98605969  0.00281028
0.98392861  0.00325689
0.98164597  0.00373385
0.97921158  0.00424078
0.97662566  0.00477727
0.97388878  0.00534291
0.97100183  0.00593730
0.96796603  0.00655999
0.96478289  0.00721056
0.96145420  0.00788856
0.95798199  0.00859354
0.95436854  0.00932504
0.95061636  0.01008259
0.94672815  0.01086573
0.94270679  0.01167398
0.93855537  0.01250685
0.93427710  0.01336385
0.92987534  0.01424448
0.92535360  0.01514826
0.92071550  0.01607467
0.91596474  0.01702321
0.91110514  0.01799336
0.90614059  0.01898461
0.90107506  0.01999645
0.89591256  0.02102834
0.89065717  0.02207978
0.88531299  0.02315022
0.87988416  0.02423915
0.87437485  0.02534603
0.86878923  0.02647034
0.86313147  0.02761153
0.85740576  0.02876909
0.85161626  0.02994246
0.84576713  0.03113113
0.83986249  0.03233455
0.83390644  0.03355219
0.82790305  0.03478351
0.82185634  0.03602798
0.81577030  0.03728507
0.80964885  0.03855424
0.80349588  0.03983497
0.79731520  0.04112671
0.79111057  0.04242895
0.78488567  0.04374115
0.77864414  0.04506279
0.77238952  0.04639334
0.76612529  0.04773228
0.75985483  0.04907909
0.75358148  0.05043325
0.74730846  0.05179425
0.74103891  0.05316158
0.73477591  0.05453473
0.72852243  0.05591318
0.72228136  0.05729644
0.71605549  0.05868400
0.70984753  0.06007537
0.70366008  0.06147005
0.69749568  0.06286756
0.69135674  0.06426740
0.68524560  0.06566910
0.67916450  0.06707217
0.67311558  0.06847614
0.66710089  0.06988054
0.66112238  0.07128490
0.65518192  0.07268876
0.64928127  0.07409166
0.64342212  0.07549315
0.63760603  0.07689277
0.63183451  0.07829009
0.62610896  0.07968466
0.62043067  0.08107604
0.61480087  0.08246381
0.60922070  0.08384754
0.60369119  0.08522681
0.59821331  0.08660119
0.59278793  0.08797029
0.58741583  0.08933370
0.58209773  0.09069100
0.57683426  0.09204181
0.57162595  0.09338574
0.56647327  0.09472240
0.56137663  0.09605141
0.55633634  0.09737239
0.55135264  0.09868498
0.54642571  0.09998881
0.54155565  0.10128352
0.53674249  0.10256876
0.53198621  0.10384418
0.52728670  0.10510944
0.52264381  0.10636420
0.51805733  0.10760812
0.51352696  0.10884089
0.50905238  0.11006218
0.50463319  0.11127168
0.50026894  0.11246907
0.49595915  0.11365406
0.49170326  0.11482635
0.48750068  0.11598563
0.48335076  0.11713164
0.47925282  0.11826407
0.47520613  0.11938267
0.47120993  0.12048715
0.46726341  0.12157726
0.46336571  0.12265273
0.45951597  0.12371331
0.45571328  0.12475876
0.45195668  0.12578883
0.44824521  0.12680328
0.44457787  0.12780189
0.44095363  0.12878443
0.43737144  0.12975068
0.43383024  0.13070042
0.43032893  0.13163345
0.42686639  0.13254956
0.42344152  0.13344856
0.42005315  0.13433026
0.41670014  0.13519446
0.41338133  0.13604100
0.41009552  0.13686968
0.40684154  0.13768034
0.40361820  0.13847283
0.40042430  0.13924697
0.39725864  0.14000261
0.39412001  0.14073961
0.39100722  0.14145783
0.38791905  0.14215712
0.38485432  0.14283735
0.38181182  0.14349840
0.37879036  0.14414014
0.37578877  0.14476246
0.37280586  0.14536524
0.36984047  0.14594838
0.36689144  0.14651178
0.36395763  0.14705534
0.36103792  0.14757897
0.35813118  0.14808258
0.35523631  0.14856609
0.35235224  0.14902943
0.34947790  0.14947252
0.34661224  0.14989530
0.34375423  0.15029770
0.34090289  0.15067967
0.33805722  0.15104116
0.33521626  0.15138211
0.33237908  0.15170248
0.32954478  0.15200224
0.32671248  0.15228135
0.32388130  0.15253978
0.32105044  0.15277751
0.31821909  0.15299451
0.31538648  0.15319076
0.31255187  0.15336626
0.30971456  0.15352100
0.30687386  0.15365497
0.30402913  0.15376816
0.30117977  0.15386060
0.29832518  0.15393227
0.29546484  0.15398320
0.29259822  0.15401340
0.28972485  0.15402288
0.28684428  0.15401168
0.28395613  0.15397981
0.28106001  0.15392731
0.27815559  0.15385420
0.27524258  0.15376053
0.27232072  0.15364633
0.26938978  0.15351165
0.26644959  0.15335653
0.26349998  0.15318102
0.26054086  0.15298517
0.25757214  0.15276904
0.25459380  0.15253269
0.25160583  0.15227616
0.24860828  0.15199953
0.24560121  0.15170286
0.24258476  0.15138621
0.23955905  0.15104966
0.23652429  0.15069328
0.23348070  0.15031714
0.23042854  0.14992130
0.22736810  0.14950587
0.22429971  0.14907089
0.22122375  0.14861647
0.21814062  0.14814268
0.21505075  0.14764961
0.21195462  0.14713732
0.20885271  0.14660593
0.20574559  0.14605550
0.20263380  0.14548612
0.19951795  0.14489789
0.19639867  0.14429089
0.19327662  0.14366520
0.19015248  0.14302092
0.18702698  0.14235814
0.18390086  0.14167695
0.18077488  0.14097742
0.17764985  0.14025966
0.17452658  0.13952375
0.17140592  0.13876978
0.16828872  0.13799784
0.16517589  0.13720800
0.16206832  0.13640036
0.15896695  0.13557500
0.15587270  0.13473201
0.15278655  0.13387146
0.14970947  0.13299343
0.14664245  0.13209801
0.14358648  0.13118526
0.14054259  0.13025527
0.13751178  0.12930811
0.13449510  0.12834384
0.13149357  0.12736254
0.12850824  0.12636426
0.12554015  0.12534908
0.12259035  0.12431704
0.11965989  0.12326822
0.11674982  0.12220265
0.11386117  0.12112040
0.11099499  0.12002150
0.10815231  0.11890601
0.10533415  0.11777395
0.10254154  0.11662537
0.09977547  0.11546030
0.09703694  0.11427877
0.09432693  0.11308079
0.09164640  0.11186640
0.08899629  0.11063560
0.08637752  0.10938841
0.08379100  0.10812483
0.08123761  0.10684486
0.07871820  0.10554850
0.07623361  0.10423574
0.07378462  0.10290658
0.07137201  0.10156098
0.06899653  0.10019893
0.06665887  0.09882041
0.06435971  0.09742537
0.06209969  0.09601379
0.05987940  0.09458561
0.05769940  0.09314079
0.05556022  0.09167928
0.05346233  0.09020101
0.05140617  0.08870593
0.04939212  0.08719397
0.04742055  0.08566505
0.04549174  0.08411910
0.04360596  0.08255603
0.04176340  0.08097575
0.03996424  0.07937818
0.03820858  0.07776321
0.03649648  0.07613075
0.03482795  0.07448070
0.03320295  0.07281293
0.03162140  0.07112735
0.03008316  0.06942383
0.02858804  0.06770225
0.02713580  0.06596251
0.02572615  0.06420446
0.02435877  0.06242799
0.02303327  0.06063297
0.02174923  0.05881926
0.02050617  0.05698674
0.01930360  0.05513528
0.01814094  0.05326474
0.01701761  0.05137500
0.01593298  0.04946593
0.01488640  0.04753740
0.01387716  0.04558928
0.01290455  0.04362145
0.01196783  0.04163379
0.01106623  0.03962619
0.01019898  0.03759854
0.00936528  0.03555074
0.00856435  0.03348269
0.00779539  0.03139430
0.00705762  0.02928549
0.00635024  0.02715620
0.00567251  0.02500636
0.00502370  0.02283593
0.00440309  0.02064487
0.00381005  0.01843317
0.00324396  0.01620083
0.00270426  0.01394784
0.00219050  0.01167426
0.00170225  0.00938014
0.00123923  0.00706554
0.00080122  0.00473056
0.00038813  0.00237533
0.00000000  0.00000000
0.00038813  -0.00142618
0.00080122  -0.00278147
0.00123923  -0.00406958
0.00170225  -0.00529406
0.00219050  -0.00645828
0.00270426  -0.00756550
0.00324396  -0.00861879
0.00381005  -0.00962112
0.00440309  -0.01057530
0.00502370  -0.01148400
0.00567251  -0.01234981
0.00635024  -0.01317516
0.00705762  -0.01396238
0.00779539  -0.01471369
0.00856435  -0.01543120
0.00936528  -0.01611692
0.01019898  -0.01677277
0.01106623  -0.01740056
0.01196783  -0.01800202
0.01290455  -0.01857879
0.01387716  -0.01913244
0.01488640  -0.01966444
0.01593298  -0.02017619
0.01701761  -0.02066902
0.01814094  -0.02114418
0.01930360  -0.02160287
0.02050617  -0.02204621
0.02174923  -0.02247527
0.02303327  -0.02289103
0.02435877  -0.02329445
0.02572615  -0.02368641
0.02713580  -0.02406776
0.02858804  -0.02443926
0.03008316  -0.02480167
0.03162140  -0.02515566
0.03320295  -0.02550188
0.03482795  -0.02584094
0.03649648  -0.02617339
0.03820858  -0.02649975
0.03996424  -0.02682050
0.04176340  -0.02713609
0.04360596  -0.02744693
0.04549174  -0.02775340
0.04742055  -0.02805584
0.04939212  -0.02835457
0.05140617  -0.02864987
0.05346233  -0.02894200
0.05556022  -0.02923119
0.05769940  -0.02951765
0.05987940  -0.02980156
0.06209969  -0.03008308
0.06435971  -0.03036233
0.06665887  -0.03063944
0.06899653  -0.03091449
0.07137201  -0.03118757
0.07378462  -0.03145872
0.07623361  -0.03172799
0.07871820  -0.03199538
0.08123761  -0.03226092
0.08379100  -0.03252458
0.08637752  -0.03278635
0.08899629  -0.03304618
0.09164640  -0.03330402
0.09432693  -0.03355980
0.09703694  -0.03381346
0.09977547  -0.03406490
0.10254154  -0.03431403
0.10533415  -0.03456074
0.10815231  -0.03480491
0.11099499  -0.03504642
0.11386117  -0.03528514
0.11674982  -0.03552092
0.11965989  -0.03575361
0.12259035  -0.03598307
0.12554015  -0.03620913
0.12850824  -0.03643163
0.13149357  -0.03665040
0.13449510  -0.03686526
0.13751178  -0.03707603
0.14054259  -0.03728254
0.14358648  -0.03748459
0.14664245  -0.03768199
0.14970947  -0.03787456
0.15278655  -0.03806210
0.15587270  -0.03824442
0.15896695  -0.03842132
0.16206832  -0.03859260
0.16517589  -0.03875807
0.16828872  -0.03891754
0.17140592  -0.03907079
0.17452658  -0.03921764
0.17764985  -0.03935790
0.18077488  -0.03949136
0.18390086  -0.03961783
0.18702698  -0.03973713
0.19015248  -0.03984907
0.19327662  -0.03995345
0.19639867  -0.04005010
0.19951795  -0.04013884
0.20263380  -0.04021948
0.20574559  -0.04029186
0.20885271  -0.04035581
0.21195462  -0.04041116
0.21505075  -0.04045775
0.21814062  -0.04049542
0.22122375  -0.04052403
0.22429971  -0.04054342
0.22736810  -0.04055346
0.23042854  -0.04055401
0.23348070  -0.04054495
0.23652429  -0.04052614
0.23955905  -0.04049747
0.24258476  -0.04045884
0.24560121  -0.04041013
0.24860828  -0.04035125
0.25160583  -0.04028211
0.25459380  -0.04020262
0.25757214  -0.04011271
0.26054086  -0.04001231
0.26349998  -0.03990135
0.26644959  -0.03977979
0.26938978  -0.03964758
0.27232072  -0.03950468
0.27524258  -0.03935105
0.27815559  -0.03918669
0.28106001  -0.03901157
0.28395613  -0.03882568
0.28684428  -0.03862904
0.28972485  -0.03842165
0.29259822  -0.03820353
0.29546484  -0.03797471
0.29832518  -0.03773523
0.30117977  -0.03748513
0.30402913  -0.03722447
0.30687386  -0.03695331
0.30971456  -0.03667171
0.31255187  -0.03637977
0.31538648  -0.03607758
0.31821909  -0.03576521
0.32105044  -0.03544280
0.32388130  -0.03511044
0.32671248  -0.03476827
0.32954478  -0.03441641
0.33237908  -0.03405501
0.33521626  -0.03368422
0.33805722  -0.03330418
0.34090289  -0.03291508
0.34375423  -0.03251708
0.34661224  -0.03211036
0.34947790  -0.03169512
0.35235224  -0.03127155
0.35523631  -0.03083986
0.35813118  -0.03040026
0.36103792  -0.02995297
0.36395763  -0.02949822
0.36689144  -0.02903625
0.36984047  -0.02856730
0.37280586  -0.02809162
0.37578877  -0.02760946
0.37879036  -0.02712108
0.38181182  -0.02662676
0.38485432  -0.02612677
0.38791905  -0.02562139
0.39100722  -0.02511090
0.39412001  -0.02459560
0.39725864  -0.02407579
0.40042430  -0.02355177
0.40361820  -0.02302383
0.40684154  -0.02249231
0.41009552  -0.02195750
0.41338133  -0.02141973
0.41670014  -0.02087932
0.42005315  -0.02033661
0.42344152  -0.01979191
0.42686639  -0.01924556
0.43032893  -0.01869790
0.43383024  -0.01814926
0.43737144  -0.01759999
0.44095363  -0.01705042
0.44457787  -0.01650090
0.44824521  -0.01595176
0.45195668  -0.01540337
0.45571328  -0.01485605
0.45951597  -0.01431015
0.46336571  -0.01376602
0.46726341  -0.01322401
0.47120993  -0.01268445
0.47520613  -0.01214769
0.47925282  -0.01161407
0.48335076  -0.01108392
0.48750068  -0.01055759
0.49170326  -0.01003541
0.49595915  -0.00951771
0.50026894  -0.00900481
0.50463319  -0.00849704
0.50905238  -0.00799473
0.51352696  -0.00749818
0.51805733  -0.00700772
0.52264381  -0.00652364
0.52728670  -0.00604625
0.53198621  -0.00557584
0.53674249  -0.00511271
0.54155565  -0.00465714
0.54642571  -0.00420941
0.55135264  -0.00376978
0.55633634  -0.00333853
0.56137663  -0.00291590
0.56647327  -0.00250215
0.57162595  -0.00209752
0.57683426  -0.00170223
0.58209773  -0.00131652
0.58741583  -0.00094059
0.59278793  -0.00057465
0.59821331  -0.00021890
0.60369119  0.00012647
0.60922070  0.00046130
0.61480087  0.00078542
0.62043067  0.00109866
0.62610896  0.00140090
0.63183451  0.00169198
0.63760603  0.00197181
0.64342212  0.00224025
0.64928127  0.00249722
0.65518192  0.00274262
0.66112238  0.00297639
0.66710089  0.00319846
0.67311558  0.00340878
0.67916450  0.00360731
0.68524560  0.00379403
0.69135674  0.00396893
0.69749568  0.00413201
0.70366008  0.00428329
0.70984753  0.00442279
0.71605549  0.00455055
0.72228136  0.00466663
0.72852243  0.00477111
0.73477591  0.00486405
0.74103891  0.00494556
0.74730846  0.00501574
0.75358148  0.00507473
0.75985483  0.00512265
0.76612529  0.00515965
0.77238952  0.00518591
0.77864414  0.00520161
0.78488567  0.00520692
0.79111057  0.00520206
0.79731520  0.00518725
0.80349588  0.00516272
0.80964885  0.00512872
0.81577030  0.00508550
0.82185634  0.00503334
0.82790305  0.00497252
0.83390644  0.00490335
0.83986249  0.00482613
0.84576713  0.00474118
0.85161626  0.00464885
0.85740576  0.00454948
0.86313147  0.00444344
0.86878923  0.00433108
0.87437485  0.00421280
0.87988416  0.00408899
0.88531299  0.00396006
0.89065717  0.00382641
0.89591256  0.00368849
0.90107506  0.00354672
0.90614059  0.00340154
0.91110514  0.00325342
0.91596474  0.00310281
0.92071550  0.00295019
0.92535360  0.00279605
0.92987534  0.00264085
0.93427710  0.00248511
0.93855537  0.00232933
0.94270679  0.00217401
0.94672815  0.00201966
0.95061636  0.00186681
0.95436854  0.00171598
0.95798199  0.00156770
0.96145420  0.00142251
0.96478289  0.00128094
0.96796603  0.00114353
0.97100183  0.00101083
0.97388878  0.00088337
0.97662566  0.00076170
0.97921158  0.00064638
0.98164597  0.00053794
0.98392861  0.00043693
0.98605969  0.00034390
0.98803977  0.00025939
0.98986985  0.00018394
0.99155139  0.00011809
0.99308630  0.00006238
0.99447703  0.00001733
0.99572653  -0.00001654
0.99683832  -0.00003869
0.99781651  -0.00004861
0.99866582  -0.00004580
0.99939163  -0.00002976
1.00000000  0.00000000
