# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07954
# Species         : Conirostrum_binghami
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 86.00 mm
# Secondary1       : 65.00 mm
# Kipps Distance   : 20.00 mm
# Hand-Wing Index  : 23.50
# Tail Length      : 57.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.323
# Pointedness Index: 0.2326
# Efficiency Index : 0.0547
# Wing Loading Proxy: 0.0231
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1902  at x/c = 0.2686
# Max f/c          : 0.0586  at x/c = 0.3467
# Est. Reynolds    : 1.36e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939163  0.00009041
0.99866577  0.00021432
0.99781633  0.00037150
0.99683791  0.00056169
0.99572575  0.00078461
0.99447571  0.00103998
0.99308425  0.00132748
0.99154838  0.00164682
0.98986566  0.00199765
0.98803413  0.00237963
0.98605234  0.00279242
0.98391927  0.00323564
0.98163434  0.00370892
0.97919735  0.00421187
0.97660853  0.00474409
0.97386841  0.00530518
0.97097791  0.00589471
0.96793822  0.00651227
0.96475086  0.00715742
0.96141761  0.00782971
0.95794052  0.00852870
0.95432185  0.00925392
0.95056412  0.01000493
0.94667003  0.01078124
0.94264249  0.01158237
0.93848455  0.01240786
0.93419945  0.01325720
0.92979056  0.01412992
0.92526140  0.01502550
0.92061557  0.01594346
0.91585681  0.01688328
0.91098894  0.01784446
0.90601585  0.01882648
0.90094152  0.01982883
0.89576999  0.02085099
0.89050532  0.02189244
0.88515164  0.02295266
0.87971310  0.02403113
0.87419388  0.02512731
0.86859815  0.02624068
0.86293011  0.02737072
0.85719394  0.02851688
0.85139383  0.02967865
0.84553393  0.03085550
0.83961840  0.03204688
0.83365133  0.03325227
0.82763681  0.03447115
0.82157887  0.03570297
0.81548151  0.03694722
0.80934866  0.03820336
0.80318423  0.03947086
0.79699202  0.04074920
0.79077582  0.04203786
0.78453933  0.04333632
0.77828617  0.04464404
0.77201991  0.04596051
0.76574403  0.04728522
0.75946194  0.04861765
0.75317696  0.04995728
0.74689233  0.05130362
0.74061122  0.05265614
0.73433670  0.05401435
0.72807175  0.05537774
0.72181926  0.05674582
0.71558205  0.05811809
0.70936281  0.05949405
0.70316419  0.06087323
0.69698869  0.06225514
0.69083875  0.06363929
0.68471672  0.06502521
0.67862484  0.06641242
0.67256525  0.06780046
0.66654002  0.06918886
0.66055110  0.07057716
0.65460037  0.07196489
0.64868958  0.07335162
0.64282044  0.07473689
0.63699451  0.07612026
0.63121330  0.07750128
0.62547822  0.07887953
0.61979056  0.08025457
0.61415156  0.08162598
0.60856235  0.08299333
0.60302398  0.08435622
0.59753741  0.08571424
0.59210352  0.08706697
0.58672309  0.08841401
0.58139684  0.08975498
0.57612540  0.09108947
0.57090931  0.09241711
0.56574904  0.09373752
0.56064499  0.09505031
0.55559748  0.09635513
0.55060675  0.09765160
0.54567298  0.09893937
0.54079627  0.10021809
0.53597665  0.10148740
0.53121410  0.10274696
0.52650852  0.10399644
0.52185974  0.10523550
0.51726756  0.10646382
0.51273168  0.10768108
0.50825178  0.10888695
0.50382746  0.11008114
0.49945827  0.11126333
0.49514371  0.11243324
0.49088324  0.11359055
0.48667626  0.11473499
0.48252213  0.11586628
0.47842015  0.11698413
0.47436961  0.11808828
0.47036972  0.11917846
0.46641969  0.12025441
0.46251865  0.12131587
0.45866574  0.12236261
0.45486004  0.12339436
0.45110061  0.12441090
0.44738646  0.12541200
0.44371660  0.12639742
0.44009000  0.12736694
0.43650560  0.12832036
0.43296235  0.12925745
0.42945913  0.13017802
0.42599484  0.13108186
0.42256834  0.13196878
0.41917850  0.13283860
0.41582416  0.13369112
0.41250414  0.13452618
0.40921727  0.13534359
0.40596236  0.13614320
0.40273821  0.13692484
0.39954362  0.13768835
0.39637740  0.13843358
0.39323833  0.13916040
0.39012520  0.13986865
0.38703682  0.14055820
0.38397199  0.14122892
0.38092949  0.14188069
0.37790815  0.14251339
0.37490677  0.14312690
0.37192418  0.14372111
0.36895920  0.14429592
0.36601068  0.14485122
0.36307747  0.14538693
0.36015845  0.14590296
0.35725249  0.14639921
0.35435850  0.14687562
0.35147538  0.14733209
0.34860207  0.14776857
0.34573752  0.14818499
0.34288071  0.14858129
0.34003064  0.14895740
0.33718631  0.14931329
0.33434677  0.14964889
0.33151108  0.14996417
0.32867833  0.15025910
0.32584765  0.15053363
0.32301817  0.15078774
0.32018906  0.15102140
0.31735952  0.15123459
0.31452879  0.15142730
0.31169612  0.15159951
0.30886081  0.15175121
0.30602217  0.15188240
0.30317956  0.15199308
0.30033237  0.15208325
0.29748002  0.15215292
0.29462196  0.15220210
0.29175768  0.15223080
0.28888671  0.15223904
0.28600860  0.15222685
0.28312296  0.15219425
0.28022940  0.15214127
0.27732760  0.15206793
0.27441725  0.15197428
0.27149812  0.15186036
0.26856996  0.15172619
0.26563259  0.15157184
0.26268587  0.15139735
0.25972969  0.15120276
0.25676397  0.15098813
0.25378868  0.15075351
0.25080382  0.15049897
0.24780944  0.15022456
0.24480560  0.14993035
0.24179242  0.14961641
0.23877007  0.14928279
0.23573871  0.14892957
0.23269859  0.14855682
0.22964995  0.14816461
0.22659310  0.14775303
0.22352838  0.14732214
0.22045615  0.14687202
0.21737681  0.14640275
0.21429080  0.14591442
0.21119860  0.14540711
0.20810070  0.14488089
0.20499765  0.14433586
0.20189001  0.14377210
0.19877839  0.14318969
0.19566342  0.14258872
0.19254575  0.14196928
0.18942609  0.14133145
0.18630513  0.14067533
0.18318364  0.14000099
0.18006238  0.13930852
0.17694215  0.13859802
0.17382378  0.13786957
0.17070810  0.13712325
0.16759598  0.13635915
0.16448832  0.13557736
0.16138601  0.13477796
0.15828999  0.13396102
0.15520121  0.13312664
0.15212061  0.13227490
0.14904919  0.13140586
0.14598792  0.13051962
0.14293782  0.12961624
0.13989988  0.12869579
0.13687515  0.12775836
0.13386463  0.12680401
0.13086939  0.12583280
0.12789044  0.12484480
0.12492885  0.12384008
0.12198566  0.12281868
0.11906191  0.12178068
0.11615866  0.12072612
0.11327694  0.11965505
0.11041780  0.11856751
0.10758228  0.11746356
0.10477138  0.11634324
0.10198614  0.11520657
0.09922756  0.11405360
0.09649662  0.11288434
0.09379431  0.11169883
0.09112158  0.11049709
0.08847938  0.10927913
0.08586863  0.10804497
0.08329023  0.10679461
0.08074506  0.10552806
0.07823398  0.10424531
0.07575780  0.10294637
0.07331733  0.10163121
0.07091333  0.10029983
0.06854655  0.09895221
0.06621768  0.09758831
0.06392739  0.09620812
0.06167633  0.09481160
0.05946507  0.09339870
0.05729418  0.09196938
0.05516418  0.09052361
0.05307553  0.08906131
0.05102868  0.08758243
0.04902400  0.08608691
0.04706185  0.08457469
0.04514251  0.08304568
0.04326623  0.08149981
0.04143323  0.07993700
0.03964364  0.07835716
0.03789758  0.07676021
0.03619510  0.07514604
0.03453621  0.07351456
0.03292086  0.07186567
0.03134894  0.07019927
0.02982033  0.06851524
0.02833482  0.06681347
0.02689218  0.06509385
0.02549209  0.06335626
0.02413423  0.06160059
0.02281821  0.05982672
0.02154359  0.05803451
0.02030989  0.05622387
0.01911660  0.05439465
0.01796315  0.05254674
0.01684894  0.05068002
0.01577332  0.04879436
0.01473565  0.04688966
0.01373520  0.04496579
0.01277126  0.04302263
0.01184307  0.04106009
0.01094986  0.03907806
0.01009084  0.03707644
0.00926521  0.03505513
0.00847218  0.03301404
0.00771094  0.03095311
0.00698069  0.02887226
0.00628064  0.02677143
0.00561003  0.02465058
0.00496812  0.02250966
0.00435420  0.02034865
0.00376761  0.01816755
0.00320772  0.01596635
0.00267400  0.01374510
0.00216594  0.01150381
0.00168315  0.00924257
0.00122531  0.00696145
0.00079222  0.00466055
0.00038377  0.00234002
0.00000000  0.00000000
0.00038377  -0.00141252
0.00079222  -0.00275440
0.00122531  -0.00402934
0.00168315  -0.00524086
0.00216594  -0.00639233
0.00267400  -0.00748698
0.00320772  -0.00852787
0.00376761  -0.00951795
0.00435420  -0.01046001
0.00496812  -0.01135674
0.00561003  -0.01221069
0.00628064  -0.01302428
0.00698069  -0.01379983
0.00771094  -0.01453956
0.00847218  -0.01524556
0.00926521  -0.01591983
0.01009084  -0.01656429
0.01094986  -0.01718073
0.01184307  -0.01777089
0.01277126  -0.01833640
0.01373520  -0.01887880
0.01473565  -0.01939958
0.01577332  -0.01990012
0.01684894  -0.02038175
0.01796315  -0.02084573
0.01911660  -0.02129323
0.02030989  -0.02172538
0.02154359  -0.02214323
0.02281821  -0.02254779
0.02413423  -0.02293999
0.02549209  -0.02332073
0.02689218  -0.02369082
0.02833482  -0.02405106
0.02982033  -0.02440218
0.03134894  -0.02474487
0.03292086  -0.02507977
0.03453621  -0.02540748
0.03619510  -0.02572856
0.03789758  -0.02604354
0.03964364  -0.02635288
0.04143323  -0.02665705
0.04326623  -0.02695644
0.04514251  -0.02725145
0.04706185  -0.02754241
0.04902400  -0.02782964
0.05102868  -0.02811344
0.05307553  -0.02839405
0.05516418  -0.02867172
0.05729418  -0.02894665
0.05946507  -0.02921902
0.06167633  -0.02948900
0.06392739  -0.02975672
0.06621768  -0.03002230
0.06854655  -0.03028583
0.07091333  -0.03054739
0.07331733  -0.03080705
0.07575780  -0.03106483
0.07823398  -0.03132077
0.08074506  -0.03157488
0.08329023  -0.03182714
0.08586863  -0.03207754
0.08847938  -0.03232604
0.09112158  -0.03257259
0.09379431  -0.03281714
0.09649662  -0.03305961
0.09922756  -0.03329991
0.10198614  -0.03353797
0.10477138  -0.03377366
0.10758228  -0.03400689
0.11041780  -0.03423754
0.11327694  -0.03446546
0.11615866  -0.03469053
0.11906191  -0.03491261
0.12198566  -0.03513154
0.12492885  -0.03534717
0.12789044  -0.03555935
0.13086939  -0.03576789
0.13386463  -0.03597264
0.13687515  -0.03617342
0.13989988  -0.03637006
0.14293782  -0.03656236
0.14598792  -0.03675015
0.14904919  -0.03693324
0.15212061  -0.03711145
0.15520121  -0.03728458
0.15828999  -0.03745243
0.16138601  -0.03761483
0.16448832  -0.03777158
0.16759598  -0.03792248
0.17070810  -0.03806734
0.17382378  -0.03820597
0.17694215  -0.03833818
0.18006238  -0.03846378
0.18318364  -0.03858258
0.18630513  -0.03869440
0.18942609  -0.03879905
0.19254575  -0.03889634
0.19566342  -0.03898610
0.19877839  -0.03906816
0.20189001  -0.03914233
0.20499765  -0.03920845
0.20810070  -0.03926636
0.21119860  -0.03931589
0.21429080  -0.03935689
0.21737681  -0.03938920
0.22045615  -0.03941267
0.22352838  -0.03942717
0.22659310  -0.03943255
0.22964995  -0.03942868
0.23269859  -0.03941543
0.23573871  -0.03939269
0.23877007  -0.03936034
0.24179242  -0.03931827
0.24480560  -0.03926638
0.24780944  -0.03920457
0.25080382  -0.03913276
0.25378868  -0.03905086
0.25676397  -0.03895879
0.25972969  -0.03885650
0.26268587  -0.03874392
0.26563259  -0.03862100
0.26856996  -0.03848769
0.27149812  -0.03834396
0.27441725  -0.03818978
0.27732760  -0.03802512
0.28022940  -0.03784998
0.28312296  -0.03766434
0.28600860  -0.03746821
0.28888671  -0.03726160
0.29175768  -0.03704454
0.29462196  -0.03681704
0.29748002  -0.03657915
0.30033237  -0.03633092
0.30317956  -0.03607238
0.30602217  -0.03580362
0.30886081  -0.03552469
0.31169612  -0.03523568
0.31452879  -0.03493667
0.31735952  -0.03462777
0.32018906  -0.03430907
0.32301817  -0.03398068
0.32584765  -0.03364274
0.32867833  -0.03329537
0.33151108  -0.03293872
0.33434677  -0.03257291
0.33718631  -0.03219812
0.34003064  -0.03181450
0.34288071  -0.03142223
0.34573752  -0.03102149
0.34860207  -0.03061245
0.35147538  -0.03019533
0.35435850  -0.02977031
0.35725249  -0.02933761
0.36015845  -0.02889745
0.36307747  -0.02845005
0.36601068  -0.02799565
0.36895920  -0.02753447
0.37192418  -0.02706677
0.37490677  -0.02659280
0.37790815  -0.02611282
0.38092949  -0.02562709
0.38397199  -0.02513588
0.38703682  -0.02463946
0.39012520  -0.02413813
0.39323833  -0.02363216
0.39637740  -0.02312184
0.39954362  -0.02260749
0.40273821  -0.02208939
0.40596236  -0.02156785
0.40921727  -0.02104318
0.41250414  -0.02051571
0.41582416  -0.01998573
0.41917850  -0.01945358
0.42256834  -0.01891958
0.42599484  -0.01838406
0.42945913  -0.01784735
0.43296235  -0.01730977
0.43650560  -0.01677166
0.44009000  -0.01623336
0.44371660  -0.01569520
0.44738646  -0.01515753
0.45110061  -0.01462067
0.45486004  -0.01408497
0.45866574  -0.01355077
0.46251865  -0.01301841
0.46641969  -0.01248822
0.47036972  -0.01196054
0.47436961  -0.01143570
0.47842015  -0.01091405
0.48252213  -0.01039591
0.48667626  -0.00988162
0.49088324  -0.00937149
0.49514371  -0.00886587
0.49945827  -0.00836507
0.50382746  -0.00786940
0.50825178  -0.00737919
0.51273168  -0.00689473
0.51726756  -0.00641635
0.52185974  -0.00594434
0.52650852  -0.00547899
0.53121410  -0.00502060
0.53597665  -0.00456945
0.54079627  -0.00412582
0.54567298  -0.00368998
0.55060675  -0.00326220
0.55559748  -0.00284273
0.56064499  -0.00243183
0.56574904  -0.00202973
0.57090931  -0.00163668
0.57612540  -0.00125290
0.58139684  -0.00087860
0.58672309  -0.00051401
0.59210352  -0.00015931
0.59753741  0.00018530
0.60302398  0.00051964
0.60856235  0.00084353
0.61415156  0.00115683
0.61979056  0.00145937
0.62547822  0.00175102
0.63121330  0.00203165
0.63699451  0.00230114
0.64282044  0.00255939
0.64868958  0.00280629
0.65460037  0.00304178
0.66055110  0.00326577
0.66654002  0.00347820
0.67256525  0.00367904
0.67862484  0.00386824
0.68471672  0.00404579
0.69083875  0.00421168
0.69698869  0.00436591
0.70316419  0.00450850
0.70936281  0.00463947
0.71558205  0.00475888
0.72181926  0.00486678
0.72807175  0.00496323
0.73433670  0.00504834
0.74061122  0.00512218
0.74689233  0.00518488
0.75317696  0.00523655
0.75946194  0.00527734
0.76574403  0.00530739
0.77201991  0.00532688
0.77828617  0.00533598
0.78453933  0.00533488
0.79077582  0.00532379
0.79699202  0.00530293
0.80318423  0.00527252
0.80934866  0.00523283
0.81548151  0.00518410
0.82157887  0.00512661
0.82763681  0.00506064
0.83365133  0.00498649
0.83961840  0.00490447
0.84553393  0.00481490
0.85139383  0.00471812
0.85719394  0.00461447
0.86293011  0.00450431
0.86859815  0.00438801
0.87419388  0.00426596
0.87971310  0.00413853
0.88515164  0.00400614
0.89050532  0.00386921
0.89576999  0.00372814
0.90094152  0.00358338
0.90601585  0.00343537
0.91098894  0.00328455
0.91585681  0.00313140
0.92061557  0.00297637
0.92526140  0.00281995
0.92979056  0.00266263
0.93419945  0.00250488
0.93848455  0.00234721
0.94264249  0.00219013
0.94667003  0.00203414
0.95056412  0.00187976
0.95432185  0.00172752
0.95794052  0.00157793
0.96141761  0.00143153
0.96475086  0.00128885
0.96793822  0.00115043
0.97097791  0.00101680
0.97386841  0.00088850
0.97660853  0.00076607
0.97919735  0.00065007
0.98163434  0.00054102
0.98391927  0.00043947
0.98605234  0.00034597
0.98803413  0.00026104
0.98986566  0.00018523
0.99154838  0.00011908
0.99308425  0.00006310
0.99447571  0.00001784
0.99572575  -0.00001619
0.99683791  -0.00003847
0.99781633  -0.00004850
0.99866577  -0.00004576
0.99939163  -0.00002975
1.00000000  0.00000000
