# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08146
# Species         : Rowettia_goughensis
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 97.80 mm
# Secondary1       : 77.70 mm
# Kipps Distance   : 19.10 mm
# Hand-Wing Index  : 19.80
# Tail Length      : 78.60 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.259
# Pointedness Index: 0.1953
# Efficiency Index : 0.0387
# Wing Loading Proxy: 0.0160
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1938  at x/c = 0.2707
# Max f/c          : 0.0592  at x/c = 0.3467
# Est. Reynolds    : 1.61e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939164  0.00009066
0.99866591  0.00021531
0.99781680  0.00037372
0.99683899  0.00056562
0.99572781  0.00079073
0.99447920  0.00104877
0.99308968  0.00133942
0.99155632  0.00166238
0.98987674  0.00201729
0.98804902  0.00240383
0.98607175  0.00282162
0.98394395  0.00327031
0.98166507  0.00374950
0.97923495  0.00425881
0.97665382  0.00479784
0.97392224  0.00536616
0.97104114  0.00596337
0.96801173  0.00658903
0.96483552  0.00724269
0.96151430  0.00792393
0.95805012  0.00863227
0.95444525  0.00936725
0.95070218  0.01012842
0.94682362  0.01091529
0.94281244  0.01172737
0.93867172  0.01256419
0.93440466  0.01342525
0.93001462  0.01431005
0.92550509  0.01521809
0.92087966  0.01614886
0.91614205  0.01710185
0.91129604  0.01807654
0.90634553  0.01907242
0.90129444  0.02008897
0.89614680  0.02112566
0.89090664  0.02218196
0.88557806  0.02325735
0.88016519  0.02435129
0.87467217  0.02546325
0.86910315  0.02659270
0.86346229  0.02773910
0.85775376  0.02890191
0.85198169  0.03008061
0.84615024  0.03127464
0.84026349  0.03248347
0.83432554  0.03370657
0.82834044  0.03494340
0.82231218  0.03619342
0.81624473  0.03745609
0.81014201  0.03873088
0.80400788  0.04001725
0.79784612  0.04131467
0.79166050  0.04262261
0.78545467  0.04394054
0.77923224  0.04526792
0.77299674  0.04660424
0.76675164  0.04794896
0.76050031  0.04930157
0.75424605  0.05066154
0.74799209  0.05202836
0.74174155  0.05340151
0.73549748  0.05478048
0.72926285  0.05616477
0.72304052  0.05755386
0.71683329  0.05894725
0.71064384  0.06034444
0.70447478  0.06174494
0.69832860  0.06314826
0.69220773  0.06455391
0.68611448  0.06596139
0.68005109  0.06737024
0.67401969  0.06877997
0.66802231  0.07019011
0.66206091  0.07160020
0.65613733  0.07300976
0.65025334  0.07441834
0.64441059  0.07582548
0.63861068  0.07723074
0.63285508  0.07863366
0.62714517  0.08003380
0.62148228  0.08143073
0.61586760  0.08282401
0.61030227  0.08421322
0.60478732  0.08559794
0.59932372  0.08697774
0.59391232  0.08835221
0.58855391  0.08972095
0.58324920  0.09108355
0.57799881  0.09243962
0.57280328  0.09378877
0.56766309  0.09513061
0.56257862  0.09646475
0.55755019  0.09779082
0.55257804  0.09910845
0.54766234  0.10041728
0.54280320  0.10171695
0.53800066  0.10300709
0.53325467  0.10428737
0.52856515  0.10555744
0.52393194  0.10681695
0.51935481  0.10806559
0.51483349  0.10930302
0.51036765  0.11052892
0.50595689  0.11174297
0.50160078  0.11294487
0.49729881  0.11413431
0.49305044  0.11531099
0.48885507  0.11647463
0.48471208  0.11762492
0.48062077  0.11876160
0.47658043  0.11988438
0.47259028  0.12099300
0.46864952  0.12208718
0.46475731  0.12316668
0.46091278  0.12423123
0.45711502  0.12528060
0.45336309  0.12631453
0.44965602  0.12733279
0.44599282  0.12833515
0.44237246  0.12932139
0.43879390  0.13029128
0.43525607  0.13124462
0.43175789  0.13218119
0.42829825  0.13310079
0.42487603  0.13400323
0.42149008  0.13488831
0.41813927  0.13575585
0.41482242  0.13660566
0.41153837  0.13743757
0.40828594  0.13825142
0.40506393  0.13904703
0.40187115  0.13982425
0.39870641  0.14058293
0.39556852  0.14132292
0.39245626  0.14204408
0.38936845  0.14274626
0.38630388  0.14342935
0.38326137  0.14409320
0.38023974  0.14473770
0.37723779  0.14536274
0.37425436  0.14596821
0.37128829  0.14655399
0.36833843  0.14711999
0.36540363  0.14766611
0.36248278  0.14819226
0.35957475  0.14869837
0.35667846  0.14918434
0.35379282  0.14965010
0.35091678  0.15009558
0.34804929  0.15052072
0.34518933  0.15092546
0.34233590  0.15130974
0.33948802  0.15167350
0.33664474  0.15201671
0.33380513  0.15233932
0.33096827  0.15264129
0.32813330  0.15292259
0.32529935  0.15318319
0.32246561  0.15342307
0.31963127  0.15364221
0.31679557  0.15384060
0.31395778  0.15401822
0.31111718  0.15417506
0.30827310  0.15431113
0.30542489  0.15442642
0.30257196  0.15452094
0.29971371  0.15459470
0.29684960  0.15464772
0.29397914  0.15468000
0.29110183  0.15469158
0.28821724  0.15468247
0.28532497  0.15465270
0.28242464  0.15460231
0.27951593  0.15453133
0.27659853  0.15443979
0.27367220  0.15432774
0.27073670  0.15419523
0.26779185  0.15404229
0.26483751  0.15386899
0.26187355  0.15367537
0.25889991  0.15346149
0.25591656  0.15322740
0.25292348  0.15297318
