# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08398
# Species         : Pachyramphus_rufus
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 67.60 mm
# Secondary1       : 54.00 mm
# Kipps Distance   : 14.20 mm
# Hand-Wing Index  : 20.80
# Tail Length      : 48.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.252
# Pointedness Index: 0.2101
# Efficiency Index : 0.0437
# Wing Loading Proxy: 0.0259
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1955  at x/c = 0.2701
# Max f/c          : 0.0592  at x/c = 0.3467
# Est. Reynolds    : 1.02e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939164  0.00009068
0.99866587  0.00021540
0.99781667  0.00037393
0.99683870  0.00056601
0.99572726  0.00079135
0.99447826  0.00104969
0.99308821  0.00134070
0.99155418  0.00166408
0.98987374  0.00201949
0.98804500  0.00240659
0.98606651  0.00282503
0.98393728  0.00327444
0.98165676  0.00375444
0.97922479  0.00426464
0.97664158  0.00480465
0.97390769  0.00537404
0.97102405  0.00597241
0.96799186  0.00659933
0.96481264  0.00725435
0.96148817  0.00793704
0.95802050  0.00864694
0.95441190  0.00938359
0.95066487  0.01014652
0.94678211  0.01093526
0.94276651  0.01174933
0.93862113  0.01258825
0.93434920  0.01345152
0.92995407  0.01433864
0.92543923  0.01524912
0.92080829  0.01618244
0.91606496  0.01713811
0.91121304  0.01811560
0.90625643  0.01911439
0.90119906  0.02013397
0.89604495  0.02117381
0.89079817  0.02223339
0.88546281  0.02331217
0.88004301  0.02440963
0.87454290  0.02552524
0.86896666  0.02665845
0.86331845  0.02780874
0.85760245  0.02897556
0.85182281  0.03015838
0.84598366  0.03135667
0.84008914  0.03256987
0.83414332  0.03379747
0.82815026  0.03503891
0.82211398  0.03629366
0.81603845  0.03756118
0.80992758  0.03884093
0.80378525  0.04013239
0.79761527  0.04143500
0.79142138  0.04274825
0.78520726  0.04407160
0.77897652  0.04540452
0.77273271  0.04674648
0.76647928  0.04809695
0.76021963  0.04945541
0.75395707  0.05082134
0.74769481  0.05219422
0.74143600  0.05357353
0.73518370  0.05495876
0.72894086  0.05634939
0.72271038  0.05774493
0.71649504  0.05914485
0.71029753  0.06054867
0.70412046  0.06195588
0.69796635  0.06336599
0.69183761  0.06477851
0.68573657  0.06619295
0.67966546  0.06760882
0.67362643  0.06902565
0.66762150  0.07044296
0.66165264  0.07186029
0.65572170  0.07327715
0.64983045  0.07469309
0.64398055  0.07610765
0.63817358  0.07752038
0.63241102  0.07893083
0.62669428  0.08033854
0.62102466  0.08174309
0.61540338  0.08314404
0.60983156  0.08454095
0.60431024  0.08593340
0.59884038  0.08732097
0.59342286  0.08870324
0.58805845  0.09007981
0.58274787  0.09145026
0.57749173  0.09281419
0.57229059  0.09417122
0.56714491  0.09552095
0.56205508  0.09686299
0.55702142  0.09819697
0.55204417  0.09952251
0.54712351  0.10083924
0.54225954  0.10214681
0.53745229  0.10344485
0.53270173  0.10473300
0.52800776  0.10601093
