# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08663
# Species         : Turdus_simillimus
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 126.40 mm
# Secondary1       : 100.10 mm
# Kipps Distance   : 26.30 mm
# Hand-Wing Index  : 20.80
# Tail Length      : 102.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.263
# Pointedness Index: 0.2081
# Efficiency Index : 0.0433
# Wing Loading Proxy: 0.0124
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1904  at x/c = 0.2701
# Max f/c          : 0.0590  at x/c = 0.3467
# Est. Reynolds    : 2.24e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939164  0.00009051
0.99866587  0.00021472
0.99781667  0.00037240
0.99683870  0.00056327
0.99572726  0.00078706
0.99447826  0.00104347
0.99308821  0.00133220
0.99155418  0.00165292
0.98987374  0.00200531
0.98804500  0.00238901
0.98606651  0.00280367
0.98393728  0.00324891
0.98165676  0.00372436
0.97922479  0.00422961
0.97664158  0.00476428
0.97390769  0.00532794
0.97102405  0.00592018
0.96799186  0.00654056
0.96481264  0.00718865
0.96148817  0.00786399
0.95802050  0.00856614
0.95441190  0.00929463
0.95066487  0.01004899
0.94678211  0.01082876
0.94276651  0.01163344
0.93862113  0.01246256
0.93434920  0.01331562
0.92995407  0.01419212
0.92543923  0.01509157
0.92080829  0.01601345
0.91606496  0.01695727
0.91121304  0.01792250
0.90625643  0.01890863
0.90119906  0.01991514
0.89604496  0.02094152
0.89079817  0.02198723
0.88546281  0.02305174
0.88004301  0.02413454
0.87454290  0.02523510
0.86896666  0.02635287
0.86331846  0.02748734
0.85760245  0.02863796
0.85182281  0.02980420
0.84598367  0.03098553
0.84008914  0.03218142
0.83414332  0.03339133
0.82815026  0.03461474
0.82211398  0.03585109
0.81603845  0.03709988
0.80992759  0.03836055
0.80378526  0.03963259
0.79761528  0.04091547
0.79142139  0.04220865
0.78520727  0.04351161
0.77897653  0.04482384
0.77273272  0.04614480
0.76647930  0.04747398
0.76021965  0.04881086
0.75395708  0.05015493
0.74769483  0.05150568
0.74143602  0.05286259
0.73518372  0.05422516
0.72894089  0.05559288
0.72271041  0.05696527
0.71649507  0.05834181
0.71029757  0.05972202
0.70412050  0.06110541
0.69796640  0.06249149
0.69183766  0.06387978
0.68573663  0.06526980
0.67966553  0.06666108
0.67362650  0.06805314
0.66762158  0.06944552
0.66165273  0.07083776
0.65572180  0.07222939
0.64983056  0.07361997
0.64398066  0.07500905
0.63817370  0.07639618
0.63241116  0.07778092
0.62669444  0.07916284
0.62102483  0.08054151
0.61540356  0.08191650
0.60983176  0.08328739
0.60431046  0.08465376
0.59884062  0.08601520
0.59342311  0.08737132
0.58805872  0.08872170
0.58274816  0.09006595
0.57749205  0.09140368
0.57229093  0.09273451
0.56714528  0.09405805
0.56205548  0.09537394
0.55702185  0.09668179
0.55204463  0.09798126
0.54712400  0.09927197
0.54226007  0.10055357
0.53745286  0.10182573
0.53270234  0.10308808
0.52800842  0.10434031
0.52337094  0.10558207
0.51878968  0.10681304
0.51426436  0.10803290
0.50979464  0.10924133
0.50538014  0.11043803
0.50102042  0.11162270
0.49671496  0.11279502
0.49246323  0.11395471
0.48826464  0.11510149
0.48411854  0.11623507
0.48002425  0.11735517
0.47598104  0.11846153
0.47198815  0.11955388
0.46804477  0.12063196
0.46415006  0.12169552
0.46030314  0.12274431
0.45650311  0.12377809
0.45274901  0.12479661
0.44903989  0.12579966
0.44537474  0.12678699
0.44175254  0.12775840
0.43817224  0.12871367
0.43463278  0.12965259
0.43113307  0.13057496
0.42767199  0.13148057
0.42424843  0.13236923
0.42086124  0.13324077
0.41750927  0.13409499
0.41419137  0.13493172
0.41090634  0.13575079
0.40765301  0.13655203
0.40443020  0.13733528
0.40123670  0.13810040
0.39807132  0.13884722
0.39493285  0.13957561
0.39182010  0.14028542
0.38873187  0.14097652
0.38566696  0.14164879
0.38262417  0.14230210
0.37960232  0.14293633
0.37660023  0.14355138
0.37361672  0.14414712
0.37065063  0.14472346
0.36770081  0.14528030
0.36476611  0.14581755
0.36184541  0.14633512
0.35893760  0.14683293
0.35604157  0.14731090
0.35315624  0.14776895
0.35028057  0.14820702
0.34741349  0.14862505
0.34455399  0.14902297
0.34170106  0.14940073
0.33885374  0.14975828
0.33601105  0.15009558
0.33317207  0.15041258
0.33033589  0.15070925
0.32750163  0.15098556
0.32466844  0.15124148
0.32183550  0.15147699
0.31900199  0.15169206
0.31616716  0.15188669
0.31333027  0.15206086
0.31049061  0.15221457
0.30764750  0.15234781
0.30480031  0.15246059
0.30194842  0.15255291
0.29909124  0.15262479
0.29622825  0.15267622
0.29335893  0.15270724
0.29048279  0.15271786
0.28759941  0.15270811
0.28470839  0.15267800
0.28180934  0.15262759
0.27890194  0.15255689
0.27598589  0.15246594
0.27306093  0.15235479
0.27012685  0.15222348
0.26718345  0.15207206
0.26423059  0.15190057
0.26126816  0.15170907
0.25829608  0.15149761
0.25531432  0.15126625
0.25232288  0.15101505
0.24932180  0.15074407
