# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08724
# Species         : Colonia_colonus
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 80.80 mm
# Secondary1       : 65.00 mm
# Kipps Distance   : 15.00 mm
# Hand-Wing Index  : 18.90
# Tail Length      : 159.70 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.243
# Pointedness Index: 0.1856
# Efficiency Index : 0.0351
# Wing Loading Proxy: 0.0078
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1965  at x/c = 0.2713
# Max f/c          : 0.0595  at x/c = 0.3467
# Est. Reynolds    : 1.26e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009077
0.99866594  0.00021579
0.99781691  0.00037479
0.99683925  0.00056753
0.99572831  0.00079372
0.99448005  0.00105308
0.99309100  0.00134530
0.99155826  0.00167006
0.98987943  0.00202702
0.98805264  0.00241586
0.98607647  0.00283620
0.98394996  0.00328767
0.98167255  0.00376990
0.97924410  0.00428249
0.97666483  0.00482505
0.97393534  0.00539715
0.97105652  0.00599838
0.96802961  0.00662831
0.96485611  0.00728649
0.96153782  0.00797249
0.95807678  0.00868583
0.95447526  0.00942607
0.95073576  0.01019273
0.94686097  0.01098534
0.94285379  0.01180340
0.93871725  0.01264644
0.93445458  0.01351396
0.93006912  0.01440545
0.92556436  0.01532042
0.92094390  0.01625836
0.91621143  0.01721875
0.91137075  0.01820108
0.90642572  0.01920482
0.90138029  0.02022945
0.89623845  0.02127445
0.89100426  0.02233929
0.88568179  0.02342343
0.88027516  0.02452634
0.87478851  0.02564749
0.86922599  0.02678633
0.86359174  0.02794234
0.85788993  0.02911497
0.85212469  0.03030367
0.84630015  0.03150792
0.84042041  0.03272717
0.83448954  0.03396087
0.82851159  0.03520849
0.82249055  0.03646948
0.81643038  0.03774332
0.81033499  0.03902944
0.80420823  0.04032733
0.79805388  0.04163643
0.79187569  0.04295622
0.78567732  0.04428616
0.77946236  0.04562572
0.77323435  0.04697436
0.76699674  0.04833155
0.76075289  0.04969678
0.75450611  0.05106951
0.74825960  0.05244923
0.74201650  0.05383541
0.73577984  0.05522753
0.72955258  0.05662509
0.72333760  0.05802757
0.71713766  0.05943447
0.71095546  0.06084528
0.70479358  0.06225949
0.69865454  0.06367662
0.69254074  0.06509617
0.68645450  0.06651765
0.68039804  0.06794058
0.67437349  0.06936446
0.66838289  0.07078882
0.66242818  0.07221320
0.65651121  0.07363712
0.65063374  0.07506011
0.64479742  0.07648171
0.63900384  0.07790147
0.63325447  0.07931894
0.62755070  0.08073367
0.62189383  0.08214521
0.61628507  0.08355313
0.61072555  0.08495700
0.60521631  0.08635638
0.59975829  0.08775086
0.59435237  0.08914002
0.58899932  0.09052344
0.58369986  0.09190072
0.57845460  0.09327146
0.57326408  0.09463525
0.56812878  0.09599171
0.56304908  0.09734044
0.55802530  0.09868108
0.55305768  0.10001323
0.54814639  0.10133654
0.54329154  0.10265064
0.53849315  0.10395516
0.53375121  0.10524976
0.52906561  0.10653408
0.52443619  0.10780778
0.51986274  0.10907053
0.51534498  0.11032199
0.51088257  0.11156184
0.50647513  0.11278975
0.50212221  0.11400542
0.49782332  0.11520853
0.49357791  0.11639879
0.48938540  0.11757588
0.48524513  0.11873953
0.48115644  0.11988944
0.47711860  0.12102533
0.47313084  0.12214693
0.46919237  0.12325398
