# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08847
# Species         : Leptopogon_taczanowskii
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 64.60 mm
# Secondary1       : 52.50 mm
# Kipps Distance   : 12.00 mm
# Hand-Wing Index  : 18.50
# Tail Length      : 62.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.230
# Pointedness Index: 0.1858
# Efficiency Index : 0.0344
# Wing Loading Proxy: 0.0197
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1986  at x/c = 0.2715
# Max f/c          : 0.0596  at x/c = 0.3467
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009085
0.99866596  0.00021610
0.99781696  0.00037550
0.99683937  0.00056880
0.99572854  0.00079571
0.99448043  0.00105595
0.99309159  0.00134922
0.99155911  0.00167520
0.98988063  0.00203355
0.98805425  0.00242393
0.98607857  0.00284598
0.98395262  0.00329934
0.98167587  0.00378363
0.97924816  0.00429845
0.97666973  0.00484340
0.97394116  0.00541807
0.97106336  0.00602204
0.96803755  0.00665488
0.96486526  0.00731615
0.96154828  0.00800540
0.95808863  0.00872217
0.95448860  0.00946601
0.95075069  0.01023644
0.94687758  0.01103299
0.94287216  0.01185517
0.93873748  0.01270250
0.93447676  0.01357447
0.93009334  0.01447059
0.92559071  0.01539036
0.92097245  0.01633326
0.91624227  0.01729878
0.91140395  0.01828641
0.90646136  0.01929561
0.90141844  0.02032587
0.89627919  0.02137666
0.89104764  0.02244745
0.88572789  0.02353770
0.88032403  0.02464688
0.87484022  0.02577445
0.86928058  0.02691987
0.86364927  0.02808261
0.85795045  0.02926212
0.85218824  0.03045786
0.84636677  0.03166928
0.84049014  0.03289585
0.83456242  0.03413702
0.82858765  0.03539225
0.82256982  0.03666099
0.81651289  0.03794270
0.81042075  0.03923684
0.80429726  0.04054286
0.79814620  0.04186024
0.79197131  0.04318842
0.78577625  0.04452687
0.77956462  0.04587506
0.77333993  0.04723245
0.76710564  0.04859851
0.76086512  0.04997271
0.75462165  0.05135452
0.74837845  0.05274342
0.74213865  0.05413888
0.73590528  0.05554038
0.72968129  0.05694741
0.72346956  0.05835946
0.71727286  0.05977600
0.71109386  0.06119654
0.70493518  0.06262057
0.69879929  0.06404759
0.69268863  0.06547709
0.68660548  0.06690860
0.68055209  0.06834161
0.67453058  0.06977565
0.66854297  0.07121023
0.66259122  0.07264487
0.65667717  0.07407910
0.65080257  0.07551245
0.64496909  0.07694446
0.63917829  0.07837466
0.63343166  0.07980261
0.62773059  0.08122784
0.62207637  0.08264992
0.61647021  0.08406839
0.61091324  0.08548284
0.60540649  0.08689281
0.59995092  0.08829789
0.59454739  0.08969766
0.58919668  0.09109170
0.58389950  0.09247959
0.57865647  0.09386093
0.57346812  0.09523532
0.56833493  0.09660236
0.56325729  0.09796167
0.55823551  0.09931286
0.55326983  0.10065554
0.54836042  0.10198934
0.54350740  0.10331391
0.53871078  0.10462886
0.53397054  0.10593385
0.52928659  0.10722851
0.52465876  0.10851252
0.52008684  0.10978552
0.51557055  0.11104718
0.51110955  0.11229716
0.50670346  0.11353516
0.50235184  0.11476083
0.49805418  0.11597389
0.49380994  0.11717401
0.48961854  0.11836090
0.48547934  0.11953426
0.48139165  0.12069380
0.47735475  0.12183924
0.47336788  0.12297030
0.46943023  0.12408671
0.46554097  0.12518819
0.46169922  0.12627450
0.45790408  0.12734537
0.45415460  0.12840056
0.45044983  0.12943982
0.44678877  0.13046292
0.44317041  0.13146961
0.43959369  0.13245969
0.43605755  0.13343292
0.43256091  0.13438909
0.42910267  0.13532799
0.42568170  0.13624942
0.42229688  0.13715319
0.41894704  0.13803909
0.41563104  0.13890695
0.41234770  0.13975658
0.40909585  0.14058780
0.40587429  0.14140046
0.40268184  0.14219437
0.39951731  0.14296940
0.39637949  0.14372537
0.39326720  0.14446216
0.39017924  0.14517961
0.38711441  0.14587758
0.38407153  0.14655595
0.38104940  0.14721460
0.37804686  0.14785340
0.37506274  0.14847223
0.37209587  0.14907099
0.36914511  0.14964958
0.36620932  0.15020789
0.36328737  0.15074583
0.36037816  0.15126332
0.35748059  0.15176026
0.35459359  0.15223659
0.35171610  0.15269222
0.34884707  0.15312710
0.34598548  0.15354115
0.34313035  0.15393432
0.34028069  0.15430656
0.33743554  0.15465781
0.33459399  0.15498804
0.33175512  0.15529720
0.32891806  0.15558526
0.32608195  0.15585219
0.32324598  0.15609796
0.32040934  0.15632256
0.31757128  0.15652597
0.31473104  0.15670817
0.31188794  0.15686916
0.30904130  0.15700893
0.30619047  0.15712749
0.30333484  0.15722484
0.30047384  0.15730099
0.29760692  0.15735595
0.29473358  0.15738974
0.29185334  0.15740238
0.28896577  0.15739390
0.28607045  0.15736432
0.28316702  0.15731367
0.28025514  0.15724200
0.27733454  0.15714933
0.27440493  0.15703571
0.27146610  0.15690119
0.26851787  0.15674581
0.26556009  0.15656963
0.26259264  0.15637270
0.25961546  0.15615507
0.25662850  0.15591682
0.25363177  0.15565799
0.25062530  0.15537867
0.24760918  0.15507890
0.24458350  0.15475877
0.24154843  0.15441835
0.23850415  0.15405770
0.23545088  0.15367692
0.23238888  0.15327607
0.22931844  0.15285524
0.22623989  0.15241450
0.22315361  0.15195395
0.22005998  0.15147367
0.21695944  0.15097374
0.21385246  0.15045425
0.21073954  0.14991529
0.20762121  0.14935695
0.20449804  0.14877932
0.20137063  0.14818249
0.19823959  0.14756655
0.19510560  0.14693159
0.19196932  0.14627771
0.18883148  0.14560500
0.18569282  0.14491354
0.18255410  0.14420343
0.17941611  0.14347476
0.17627968  0.14272762
0.17314564  0.14196211
0.17001485  0.14117830
0.16688821  0.14037630
0.16376660  0.13955618
0.16065097  0.13871803
0.15754224  0.13786194
0.15444137  0.13698798
0.15134934  0.13609625
0.14826712  0.13518681
0.14519573  0.13425975
0.14213617  0.13331514
0.13908946  0.13235305
0.13605662  0.13137355
0.13303870  0.13037671
0.13003673  0.12936259
0.12705175  0.12833125
0.12408481  0.12728275
0.12113697  0.12621715
0.11820925  0.12513450
0.11530272  0.12403484
0.11241840  0.12291821
0.10955734  0.12178466
0.10672055  0.12063422
0.10390905  0.11946693
0.10112386  0.11828280
0.09836597  0.11708187
0.09563635  0.11586415
0.09293597  0.11462964
0.09026577  0.11337837
0.08762669  0.11211033
0.08501963  0.11082553
0.08244547  0.10952394
0.07990507  0.10820557
0.07739927  0.10687039
0.07492887  0.10551838
0.07249465  0.10414952
0.07009735  0.10276376
0.06773769  0.10136106
0.06541635  0.09994139
0.06313397  0.09850468
0.06089116  0.09705089
0.05868848  0.09557994
0.05652647  0.09409177
0.05440562  0.09258630
0.05232636  0.09106346
0.05028911  0.08952316
0.04829423  0.08796530
0.04634202  0.08638978
0.04443276  0.08479651
0.04256666  0.08318537
0.04074390  0.08155626
0.03896460  0.07990904
0.03722884  0.07824360
0.03553664  0.07655981
0.03388799  0.07485754
0.03228280  0.07313664
0.03072097  0.07139697
0.02920231  0.06963839
0.02772661  0.06786074
0.02629360  0.06606388
0.02490297  0.06424764
0.02355435  0.06241187
0.02224735  0.06055641
0.02098150  0.05868109
0.01975631  0.05678574
0.01857126  0.05487021
0.01742577  0.05293432
0.01631924  0.05097792
0.01525102  0.04900082
0.01422045  0.04700288
0.01322682  0.04498393
0.01226941  0.04294382
0.01134749  0.04088238
0.01046030  0.03879946
0.00960707  0.03669493
0.00878703  0.03456864
0.00799940  0.03242046
0.00724341  0.03025027
0.00651832  0.02805794
0.00582338  0.02584339
0.00515788  0.02360651
0.00452114  0.02134722
0.00391251  0.01906546
0.00333142  0.01676117
0.00277733  0.01443432
0.00224977  0.01208490
0.00174837  0.00971290
0.00127283  0.00731836
0.00082295  0.00490130
0.00039866  0.00246182
0.00000000  0.00000000
0.00039866  -0.00145846
0.00082295  -0.00284502
0.00127283  -0.00416345
0.00174837  -0.00541735
0.00224977  -0.00661016
0.00277733  -0.00774516
0.00333142  -0.00882550
0.00391251  -0.00985418
0.00452114  -0.01083405
0.00515788  -0.01176785
0.00582338  -0.01265818
0.00651832  -0.01350751
0.00724341  -0.01431823
0.00799940  -0.01509258
0.00878703  -0.01583270
0.00960707  -0.01654064
0.01046030  -0.01721834
0.01134749  -0.01786764
0.01226941  -0.01849031
0.01322682  -0.01908801
0.01422045  -0.01966233
0.01525102  -0.02021475
0.01631924  -0.02074671
0.01742577  -0.02125955
0.01857126  -0.02175455
0.01975631  -0.02223292
0.02098150  -0.02269579
0.02224735  -0.02314424
0.02355435  -0.02357929
0.02490297  -0.02400189
0.02629360  -0.02441295
0.02772661  -0.02481331
0.02920231  -0.02520376
0.03072097  -0.02558505
0.03228280  -0.02595788
0.03388799  -0.02632289
0.03553664  -0.02668070
0.03722884  -0.02703187
0.03896460  -0.02737692
0.04074390  -0.02771635
0.04256666  -0.02805060
0.04443276  -0.02838008
0.04634202  -0.02870518
0.04829423  -0.02902624
0.05028911  -0.02934358
0.05232636  -0.02965748
0.05440562  -0.02996821
0.05652647  -0.03027599
0.05868848  -0.03058103
0.06089116  -0.03088350
0.06313397  -0.03118357
0.06541635  -0.03148136
0.06773769  -0.03177698
0.07009735  -0.03207054
0.07249465  -0.03236208
0.07492887  -0.03265168
0.07739927  -0.03293935
0.07990507  -0.03322512
0.08244547  -0.03350899
0.08501963  -0.03379093
0.08762669  -0.03407093
0.09026577  -0.03434893
0.09293597  -0.03462487
0.09563635  -0.03489869
0.09836597  -0.03517030
0.10112386  -0.03543962
0.10390905  -0.03570652
0.10672055  -0.03597091
0.10955734  -0.03623266
0.11241840  -0.03649162
0.11530272  -0.03674768
0.11820925  -0.03700067
0.12113697  -0.03725043
0.12408481  -0.03749682
0.12705175  -0.03773966
0.13003673  -0.03797877
0.13303870  -0.03821399
0.13605662  -0.03844511
0.13908946  -0.03867197
0.14213617  -0.03889436
0.14519573  -0.03911209
0.14826712  -0.03932497
0.15134934  -0.03953280
0.15444137  -0.03973537
0.15754224  -0.03993248
0.16065097  -0.04012393
0.16376660  -0.04030951
0.16688821  -0.04048901
0.17001485  -0.04066224
0.17314564  -0.04082899
0.17627968  -0.04098905
0.17941611  -0.04114222
0.18255410  -0.04128829
0.18569282  -0.04142707
0.18883148  -0.04155836
0.19196932  -0.04168196
0.19510560  -0.04179768
0.19823959  -0.04190533
0.20137063  -0.04200472
0.20449804  -0.04209567
0.20762121  -0.04217799
0.21073954  -0.04225152
0.21385246  -0.04231607
0.21695944  -0.04237149
0.22005998  -0.04241761
0.22315361  -0.04245427
0.22623989  -0.04248132
0.22931844  -0.04249862
0.23238888  -0.04250602
0.23545088  -0.04250339
0.23850415  -0.04249061
0.24154843  -0.04246754
0.24458350  -0.04243408
0.24760918  -0.04239012
0.25062530  -0.04233555
0.25363177  -0.04227028
0.25662850  -0.04219423
0.25961546  -0.04210731
0.26259264  -0.04200945
0.26556009  -0.04190058
0.26851787  -0.04178066
0.27146610  -0.04164964
0.27440493  -0.04150746
0.27733454  -0.04135411
0.28025514  -0.04118955
0.28316702  -0.04101378
0.28607045  -0.04082678
0.28896577  -0.04062856
0.29185334  -0.04041913
0.29473358  -0.04019851
0.29760692  -0.03996672
0.30047384  -0.03972381
0.30333484  -0.03946983
0.30619047  -0.03920481
0.30904130  -0.03892884
0.31188794  -0.03864198
0.31473104  -0.03834432
0.31757128  -0.03803594
0.32040934  -0.03771696
0.32324598  -0.03738746
0.32608195  -0.03704758
0.32891806  -0.03669744
0.33175512  -0.03633718
0.33459399  -0.03596694
0.33743554  -0.03558687
0.34028069  -0.03519714
0.34313035  -0.03479791
0.34598548  -0.03438937
0.34884707  -0.03397170
0.35171610  -0.03354510
0.35459359  -0.03310977
0.35748059  -0.03266592
0.36037816  -0.03221377
0.36328737  -0.03175355
0.36620932  -0.03128549
0.36914511  -0.03080984
0.37209587  -0.03032684
0.37506274  -0.02983675
0.37804686  -0.02933984
0.38104940  -0.02883637
0.38407153  -0.02832662
0.38711441  -0.02781087
0.39017924  -0.02728941
0.39326720  -0.02676254
0.39637949  -0.02623056
0.39951731  -0.02569377
0.40268184  -0.02515248
0.40587429  -0.02460701
0.40909585  -0.02405768
0.41234770  -0.02350482
0.41563104  -0.02294875
0.41894704  -0.02238980
0.42229688  -0.02182831
0.42568170  -0.02126463
0.42910267  -0.02069909
0.43256091  -0.02013203
0.43605755  -0.01956382
0.43959369  -0.01899479
0.44317041  -0.01842530
0.44678877  -0.01785570
0.45044983  -0.01728634
0.45415460  -0.01671758
0.45790408  -0.01614978
0.46169922  -0.01558328
0.46554097  -0.01501846
0.46943023  -0.01445565
0.47336788  -0.01389522
0.47735475  -0.01333751
0.48139165  -0.01278289
0.48547934  -0.01223169
0.48961854  -0.01168427
0.49380994  -0.01114097
0.49805418  -0.01060213
0.50235184  -0.01006809
0.50670346  -0.00953919
0.51110955  -0.00901575
0.51557055  -0.00849811
0.52008684  -0.00798659
0.52465876  -0.00748150
0.52928659  -0.00698316
0.53397054  -0.00649186
0.53871078  -0.00600793
0.54350740  -0.00553163
0.54836042  -0.00506328
0.55326983  -0.00460314
0.55823551  -0.00415148
0.56325729  -0.00370858
0.56833493  -0.00327470
0.57346812  -0.00285007
0.57865647  -0.00243495
0.58389950  -0.00202957
0.58919668  -0.00163414
0.59454739  -0.00124888
0.59995092  -0.00087400
0.60540649  -0.00050969
0.61091324  -0.00015614
0.61647021  0.00018649
0.62207637  0.00051803
0.62773059  0.00083833
0.63343166  0.00114725
0.63917829  0.00144466
0.64496909  0.00173045
0.65080257  0.00200450
0.65667717  0.00226673
0.66259122  0.00251705
0.66854297  0.00275541
0.67453058  0.00298173
0.68055209  0.00319599
0.68660548  0.00339815
0.69268863  0.00358819
0.69879929  0.00376612
0.70493518  0.00393195
0.71109386  0.00408569
0.71727286  0.00422739
0.72346956  0.00435710
0.72968129  0.00447488
0.73590528  0.00458082
0.74213865  0.00467501
0.74837845  0.00475755
0.75462165  0.00482858
0.76086512  0.00488821
0.76710564  0.00493662
0.77333993  0.00497395
0.77956462  0.00500038
0.78577625  0.00501612
0.79197131  0.00502136
