# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08985
# Species         : Phyllomyias_zeledoni
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 59.10 mm
# Secondary1       : 45.00 mm
# Kipps Distance   : 14.20 mm
# Hand-Wing Index  : 23.80
# Tail Length      : 44.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.313
# Pointedness Index: 0.2403
# Efficiency Index : 0.0572
# Wing Loading Proxy: 0.0295
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1919  at x/c = 0.2684
# Max f/c          : 0.0586  at x/c = 0.3467
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939163  0.00009045
0.99866576  0.00021450
0.99781630  0.00037190
0.99683783  0.00056240
0.99572558  0.00078573
0.99447543  0.00104160
0.99308381  0.00132971
0.99154774  0.00164974
0.98986476  0.00200138
0.98803293  0.00238427
0.98605077  0.00279807
0.98391727  0.00324242
0.98163184  0.00371693
0.97919431  0.00422122
0.97660485  0.00475490
0.97386405  0.00531755
0.97097278  0.00590877
0.96793226  0.00652813
0.96474400  0.00717519
0.96140977  0.00784952
0.95793163  0.00855067
0.95431185  0.00927817
0.95055293  0.01003158
0.94665758  0.01081041
0.94262871  0.01161419
0.93846937  0.01244245
0.93418281  0.01329469
0.92977240  0.01417042
0.92524164  0.01506916
0.92059416  0.01599038
0.91583368  0.01693360
0.91096403  0.01789830
0.90598912  0.01888396
0.90091291  0.01989009
0.89573943  0.02091615
0.89047278  0.02196162
0.88511707  0.02302599
0.87967645  0.02410873
0.87415509  0.02520931
0.86855720  0.02632720
0.86288695  0.02746187
0.85714855  0.02861280
0.85134616  0.02977945
0.84548396  0.03096130
0.83956609  0.03215780
0.83359666  0.03336843
0.82757975  0.03459265
0.82151940  0.03582994
0.81541962  0.03707977
0.80928433  0.03834160
0.80311743  0.03961490
0.79692276  0.04089915
0.79070408  0.04219382
0.78446509  0.04349839
0.77820944  0.04481233
0.77194068  0.04613512
0.76566230  0.04746625
0.75937771  0.04880519
0.75309023  0.05015143
0.74680312  0.05150446
0.74051952  0.05286377
0.73424252  0.05422886
0.72797511  0.05559921
0.72172017  0.05697433
0.71548051  0.05835372
0.70925885  0.05973689
0.70305782  0.06112334
0.69687993  0.06251259
0.69072763  0.06390415
0.68460325  0.06529755
0.67850904  0.06669230
0.67244715  0.06808795
0.66641964  0.06948400
0.66042848  0.07088001
0.65447552  0.07227552
0.64856254  0.07367006
0.64269123  0.07506319
0.63686317  0.07645446
0.63107986  0.07784343
0.62534270  0.07922965
0.61965300  0.08061270
0.61401200  0.08199215
0.60842081  0.08336758
0.60288051  0.08473856
0.59739203  0.08610469
0.59195627  0.08746554
0.58657401  0.08882073
0.58124596  0.09016985
0.57597275  0.09151251
0.57075493  0.09284831
0.56559297  0.09417688
0.56048727  0.09549784
0.55543814  0.09681082
0.55044583  0.09811544
0.54551051  0.09941135
0.54063229  0.10069818
0.53581120  0.10197559
0.53104721  0.10324324
0.52634022  0.10450077
0.52169008  0.10574786
0.51709657  0.10698417
0.51255939  0.10820939
0.50807823  0.10942318
0.50365267  0.11062525
0.49928229  0.11181528
0.49496657  0.11299297
0.49070497  0.11415802
0.48649689  0.11531014
0.48234168  0.11644905
0.47823867  0.11757447
0.47418712  0.11868612
0.47018625  0.11978374
0.46623526  0.12086705
0.46233331  0.12193581
0.45847950  0.12298976
0.45467293  0.12402865
0.45091265  0.12505225
0.44719768  0.12606032
0.44352703  0.12705263
0.43989966  0.12802896
0.43631451  0.12898908
0.43277053  0.12993278
0.42926660  0.13085986
0.42580162  0.13177012
0.42237446  0.13266335
0.41898398  0.13353937
0.41562900  0.13439799
0.41230837  0.13523903
0.40902090  0.13606232
0.40576540  0.13686768
0.40254069  0.13765496
0.39934555  0.13842399
0.39617878  0.13917462
0.39303918  0.13990670
0.38992554  0.14062009
0.38683665  0.14131466
0.38377132  0.14199026
0.38072833  0.14264678
0.37770651  0.14328408
0.37470466  0.14390207
0.37172160  0.14450061
0.36875616  0.14507961
0.36580719  0.14563897
0.36287354  0.14617858
0.35995407  0.14669836
0.35704768  0.14719822
