# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 09073
# Species         : Sirystes_albogriseus
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 99.50 mm
# Secondary1       : 79.80 mm
# Kipps Distance   : 19.80 mm
# Hand-Wing Index  : 19.90
# Tail Length      : 85.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.247
# Pointedness Index: 0.1990
# Efficiency Index : 0.0396
# Wing Loading Proxy: 0.0146
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1935  at x/c = 0.2707
# Max f/c          : 0.0592  at x/c = 0.3467
# Est. Reynolds    : 1.65e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939164  0.00009064
0.99866591  0.00021526
0.99781679  0.00037361
0.99683896  0.00056542
0.99572776  0.00079042
0.99447911  0.00104833
0.99308953  0.00133882
0.99155611  0.00166159
0.98987644  0.00201630
0.98804862  0.00240260
0.98607123  0.00282013
0.98394329  0.00326853
0.98166424  0.00374742
0.97923393  0.00425639
0.97665259  0.00479506
0.97392079  0.00536300
0.97103943  0.00595980
0.96800974  0.00658502
0.96483323  0.00723823
0.96151169  0.00791898
0.95804716  0.00862681
0.95444191  0.00936126
0.95069845  0.01012187
0.94681946  0.01090815
0.94280785  0.01171963
0.93866666  0.01255582
0.93439912  0.01341622
0.93000857  0.01430034
0.92549850  0.01520768
0.92087252  0.01613772
0.91613434  0.01708996
0.91128774  0.01806389
0.90633662  0.01905897
0.90128490  0.02007470
0.89613661  0.02111055
0.89089579  0.02216599
0.88556654  0.02324049
0.88015297  0.02433353
0.87465924  0.02544456
0.86908950  0.02657306
0.86344791  0.02771849
0.85773863  0.02888032
0.85196580  0.03005800
0.84613358  0.03125100
0.84024605  0.03245879
0.83430732  0.03368082
0.82832141  0.03491656
0.82229235  0.03616547
0.81622410  0.03742702
0.81012056  0.03870066
0.80398561  0.03998588
0.79782303  0.04128212
0.79163658  0.04258887
0.78542992  0.04390559
0.77920665  0.04523175
0.77297033  0.04656683
0.76672439  0.04791030
0.76047223  0.04926164
0.75421713  0.05062033
0.74796234  0.05198585
0.74171097  0.05335770
0.73546607  0.05473535
0.72923062  0.05611830
0.72300747  0.05750605
0.71679943  0.05889808
0.71060917  0.06029391
0.70443930  0.06169304
0.69829232  0.06309497
0.69217066  0.06449922
0.68607663  0.06590531
0.68001246  0.06731274
0.67398028  0.06872106
0.66798214  0.07012977
0.66201998  0.07153843
0.65609566  0.07294655
0.65021093  0.07435369
0.64436746  0.07575939
0.63856683  0.07716319
0.63281051  0.07856466
0.62709991  0.07996334
0.62143633  0.08135881
0.61582098  0.08275063
0.61025498  0.08413837
0.60473938  0.08552162
0.59927512  0.08689995
0.59386309  0.08827296
0.58850406  0.08964023
0.58319874  0.09100137
0.57794775  0.09235597
0.57275163  0.09370366
0.56761086  0.09504403
0.56252582  0.09637671
0.55749683  0.09770133
0.55252414  0.09901752
0.54760791  0.10032490
0.54274824  0.10162312
0.53794518  0.10291183
0.53319870  0.10419068
0.52850868  0.10545932
0.52387499  0.10671742
0.51929739  0.10796465
0.51477561  0.10920068
0.51030932  0.11042519
0.50589812  0.11163786
0.50154157  0.11283838
0.49723918  0.11402646
0.49299040  0.11520179
0.48879463  0.11636408
0.48465124  0.11751304
0.48055954  0.11864840
0.47651882  0.11976987
0.47252830  0.12087719
0.46858717  0.12197009
0.46469461  0.12304831
0.46084973  0.12411161
0.45705163  0.12515973
0.45329936  0.12619243
0.44959195  0.12720948
0.44592842  0.12821064
0.44230774  0.12919570
0.43872887  0.13016443
0.43519073  0.13111661
0.43169224  0.13205205
0.42823230  0.13297053
0.42480977  0.13387187
0.42142353  0.13475586
0.41807243  0.13562233
0.41475529  0.13647110
0.41147095  0.13730198
0.40821823  0.13811482
0.40499593  0.13890944
0.40180288  0.13968569
0.39863786  0.14044341
0.39549968  0.14118247
0.39238714  0.14190271
0.38929905  0.14260400
0.38623420  0.14328621
0.38319141  0.14394921
0.38016950  0.14459288
