# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 09082
# Species         : Suiriri_suiriri
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 74.40 mm
# Secondary1       : 59.90 mm
# Kipps Distance   : 14.30 mm
# Hand-Wing Index  : 19.20
# Tail Length      : 66.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.242
# Pointedness Index: 0.1922
# Efficiency Index : 0.0369
# Wing Loading Proxy: 0.0188
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1968  at x/c = 0.2711
# Max f/c          : 0.0594  at x/c = 0.3467
# Est. Reynolds    : 1.13e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009077
0.99866593  0.00021579
0.99781687  0.00037480
0.99683917  0.00056754
0.99572815  0.00079374
0.99447977  0.00105312
0.99309056  0.00134536
0.99155761  0.00167015
0.98987853  0.00202715
0.98805143  0.00241603
0.98607490  0.00283642
0.98394795  0.00328795
0.98167005  0.00377025
0.97924105  0.00428293
0.97666116  0.00482558
0.97393097  0.00539778
0.97105139  0.00599913
0.96802365  0.00662919
0.96484925  0.00728752
0.96152998  0.00797367
0.95806789  0.00868719
0.95446526  0.00942762
0.95072457  0.01019448
0.94684852  0.01098731
0.94284000  0.01180561
0.93870207  0.01264890
0.93443794  0.01351669
0.93005096  0.01440848
0.92554461  0.01532376
0.92092249  0.01626203
0.91618830  0.01722277
0.91134585  0.01820547
0.90639899  0.01920960
0.90135167  0.02023464
0.89620790  0.02128007
0.89097172  0.02234535
0.88564721  0.02342997
0.88023850  0.02453337
0.87474973  0.02565503
0.86918504  0.02679441
0.86354859  0.02795098
0.85784454  0.02912418
0.85207702  0.03031349
0.84625017  0.03151836
0.84036810  0.03273825
0.83443487  0.03397262
0.82845453  0.03522093
0.82243109  0.03648263
0.81636849  0.03775719
0.81027066  0.03904407
0.80414143  0.04034273
0.79798462  0.04165263
0.79180395  0.04297324
0.78560309  0.04430401
0.77938564  0.04564443
0.77315513  0.04699395
0.76691502  0.04835204
0.76066867  0.04971819
0.75441939  0.05109186
0.74817040  0.05247253
0.74192481  0.05385969
0.73568568  0.05525281
0.72945596  0.05665138
0.72323852  0.05805490
0.71703615  0.05946285
0.71085152  0.06087472
0.70468724  0.06229002
0.69854581  0.06370826
0.69242965  0.06512893
0.68634106  0.06655154
0.68028228  0.06797561
0.67425544  0.06940066
0.66826257  0.07082620
0.66230561  0.07225177
0.65638642  0.07367689
0.65050676  0.07510110
0.64466828  0.07652393
0.63887257  0.07794494
0.63312110  0.07936366
0.62741527  0.08077965
0.62175636  0.08219247
0.61614561  0.08360167
0.61058413  0.08500683
0.60507295  0.08640752
0.59961304  0.08780331
0.59420526  0.08919378
0.58885039  0.09057852
0.58354914  0.09195713
0.57830213  0.09332920
0.57310991  0.09469433
0.56797293  0.09605213
0.56289159  0.09740221
0.55786621  0.09874419
0.55289702  0.10007770
0.54798421  0.10140236
0.54312787  0.10271780
0.53832803  0.10402368
0.53358467  0.10531962
0.52889769  0.10660529
0.52426693  0.10788035
0.51969218  0.10914444
0.51517315  0.11039724
0.51070951  0.11163843
0.50630087  0.11286768
0.50194679  0.11408467
0.49764677  0.11528911
0.49340026  0.11648067
0.48920669  0.11765907
0.48506540  0.11882402
0.48097571  0.11997522
0.47693690  0.12111239
0.47294821  0.12223527
0.46900883  0.12334357
