# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 09294
# Species         : Yuhina_gularis
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 72.40 mm
# Secondary1       : 59.00 mm
# Kipps Distance   : 13.40 mm
# Hand-Wing Index  : 18.60
# Tail Length      : 64.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.227
# Pointedness Index: 0.1851
# Efficiency Index : 0.0344
# Wing Loading Proxy: 0.0190
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1978  at x/c = 0.2714
# Max f/c          : 0.0595  at x/c = 0.3467
# Est. Reynolds    : 1.10e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009083
0.99866595  0.00021599
0.99781695  0.00037526
0.99683934  0.00056836
0.99572848  0.00079503
0.99448033  0.00105496
0.99309144  0.00134787
0.99155890  0.00167343
0.98988033  0.00203130
0.98805385  0.00242115
0.98607805  0.00284261
0.98395196  0.00329532
0.98167504  0.00377889
0.97924714  0.00429294
0.97666850  0.00483706
0.97393970  0.00541084
0.97106165  0.00601386
0.96803557  0.00664568
0.96486298  0.00730588
0.96154566  0.00799400
0.95808567  0.00870958
0.95448527  0.00945216
0.95074695  0.01022128
0.94687343  0.01101645
0.94286757  0.01183720
0.93873243  0.01268302
0.93447122  0.01355344
0.93008729  0.01444795
0.92558412  0.01536603
0.92096531  0.01630720
0.91623456  0.01727092
0.91139565  0.01825669
0.90645245  0.01926397
0.90140890  0.02029226
0.89626900  0.02134102
0.89103680  0.02240971
0.88571636  0.02349782
0.88031182  0.02460479
0.87482729  0.02573010
0.86926693  0.02687321
0.86363489  0.02803358
0.85793532  0.02921066
0.85217235  0.03040393
0.84635012  0.03161282
0.84047271  0.03283681
0.83454420  0.03407534
0.82856864  0.03532788
0.82255000  0.03659389
0.81649226  0.03787281
0.81039931  0.03916412
0.80427500  0.04046726
0.79812312  0.04178171
0.79194741  0.04310692
0.78575152  0.04444236
0.77953906  0.04578749
0.77331354  0.04714178
0.76707842  0.04850470
0.76083707  0.04987572
0.75459277  0.05125431
0.74834875  0.05263995
0.74210812  0.05403212
0.73587392  0.05543029
0.72964912  0.05683396
0.72343658  0.05824261
0.71723907  0.05965572
0.71105927  0.06107280
0.70489979  0.06249334
0.69876312  0.06391684
0.69265167  0.06534281
0.68656776  0.06677074
0.68051360  0.06820017
0.67449133  0.06963059
0.66850298  0.07106153
0.66255049  0.07249251
0.65663571  0.07392307
0.65076040  0.07535273
0.64492621  0.07678103
0.63913472  0.07820751
0.63338741  0.07963171
0.62768567  0.08105320
0.62203079  0.08247152
0.61642398  0.08388623
0.61086638  0.08529689
0.60535902  0.08670309
0.59990284  0.08810438
0.59449872  0.08950036
0.58914743  0.09089060
0.58384969  0.09227470
0.57860610  0.09365225
0.57341723  0.09502286
0.56828352  0.09638611
0.56320537  0.09774164
0.55818310  0.09908905
0.55321694  0.10042797
0.54830708  0.10175802
0.54345360  0.10307884
0.53865656  0.10439006
0.53391591  0.10569132
0.52923155  0.10698229
0.52460334  0.10826260
0.52003105  0.10953193
0.51551441  0.11078994
0.51105308  0.11203629
0.50664667  0.11327068
0.50229474  0.11449277
0.49799680  0.11570226
0.49375229  0.11689885
0.48956063  0.11808222
0.48542119  0.11925210
0.48133327  0.12040819
