# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 09363
# Species         : Zosterops_mouroniensis
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 64.40 mm
# Secondary1       : 50.10 mm
# Kipps Distance   : 14.30 mm
# Hand-Wing Index  : 22.20
# Tail Length      : 46.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.285
# Pointedness Index: 0.2220
# Efficiency Index : 0.0493
# Wing Loading Proxy: 0.0276
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1939  at x/c = 0.2693
# Max f/c          : 0.0589  at x/c = 0.3467
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939163  0.00009058
0.99866582  0.00021500
0.99781650  0.00037302
0.99683829  0.00056439
0.99572647  0.00078882
0.99447694  0.00104605
0.99308616  0.00133576
0.99155117  0.00165763
0.98986955  0.00201135
0.98803937  0.00239656
0.98605916  0.00281292
0.98392794  0.00326005
0.98164514  0.00373759
0.97921056  0.00424514
0.97662444  0.00478230
0.97388733  0.00534867
0.97100012  0.00594383
0.96796405  0.00656736
0.96478061  0.00721881
0.96145158  0.00789774
0.95797903  0.00860372
0.95436521  0.00933626
0.95061263  0.01009492
0.94672400  0.01087922
0.94270220  0.01168868
0.93855031  0.01252282
0.93427155  0.01338114
0.92986929  0.01426316
0.92534702  0.01516837
0.92070836  0.01609627
0.91595703  0.01704636
0.91109684  0.01801811
0.90613168  0.01901103
0.90106552  0.02002458
0.89590238  0.02105825
0.89064632  0.02211151
0.88530146  0.02318384
0.87987194  0.02427470
0.87436192  0.02538358
0.86877558  0.02650993
0.86311709  0.02765323
0.85739063  0.02881294
0.85160037  0.02998852
0.84575047  0.03117945
0.83984505  0.03238518
0.83388821  0.03360518
0.82788402  0.03483892
0.82183651  0.03608586
0.81574966  0.03734546
0.80962740  0.03861720
0.80347361  0.03990053
0.79729210  0.04119494
0.79108664  0.04249988
0.78486092  0.04381483
0.77861856  0.04513926
0.77236311  0.04647265
0.76609804  0.04781447
0.75982675  0.04916421
0.75355256  0.05052134
0.74727871  0.05188535
0.74100833  0.05325572
0.73474451  0.05463195
0.72849021  0.05601352
0.72224831  0.05739993
0.71602163  0.05879068
0.70981285  0.06018527
0.70362461  0.06158321
0.69745940  0.06298400
0.69131967  0.06438716
0.68520775  0.06579220
0.67912587  0.06719865
0.67307618  0.06860602
0.66706072  0.07001384
0.66108146  0.07142164
0.65514025  0.07282897
0.64923887  0.07423536
0.64337899  0.07564035
0.63756219  0.07704350
0.63178996  0.07844436
0.62606371  0.07984249
0.62038473  0.08123744
0.61475426  0.08262879
0.60917342  0.08401612
0.60364326  0.08539899
0.59816473  0.08677699
0.59273872  0.08814971
0.58736600  0.08951673
0.58204729  0.09087767
0.57678321  0.09223211
0.57157431  0.09357967
0.56642106  0.09491996
0.56132386  0.09625260
0.55628301  0.09757721
0.55129877  0.09889342
0.54637130  0.10020087
0.54150072  0.10149919
0.53668705  0.10278803
0.53193026  0.10406704
0.52723027  0.10533587
0.52258690  0.10659420
0.51799995  0.10784167
0.51346912  0.10907797
0.50899409  0.11030278
0.50457447  0.11151577
0.50020979  0.11271665
0.49589958  0.11390509
0.49164328  0.11508081
0.48744030  0.11624350
0.48328998  0.11739288
0.47919166  0.11852867
0.47514460  0.11965060
0.47114803  0.12075838
0.46720114  0.12185175
0.46330310  0.12293045
0.45945301  0.12399424
0.45564998  0.12504285
0.45189305  0.12607604
0.44818125  0.12709359
0.44451359  0.12809525
0.44088904  0.12908080
0.43730654  0.13005002
0.43376503  0.13100269
0.43026342  0.13193861
0.42680059  0.13285756
0.42337542  0.13375936
0.41998677  0.13464380
0.41663348  0.13551071
0.41331438  0.13635989
0.41002829  0.13719117
0.40677404  0.13800439
0.40355042  0.13879937
0.40035625  0.13957595
0.39719031  0.14033399
0.39405142  0.14107332
0.39093835  0.14179382
0.38784992  0.14249533
0.38478491  0.14317772
0.38174215  0.14384087
0.37872042  0.14448466
0.37571856  0.14510896
0.37273538  0.14571366
0.36976971  0.14629866
0.36682041  0.14686386
0.36388633  0.14740915
0.36096634  0.14793444
0.35805932  0.14843965
0.35516418  0.14892470
0.35227982  0.14938950
0.34940520  0.14983399
0.34653925  0.15025810
0.34368096  0.15066176
0.34082932  0.15104492
0.33798335  0.15140752
0.33514210  0.15174952
0.33230463  0.15207087
0.32947002  0.15237154
0.32663741  0.15265148
0.32380593  0.15291066
0.32097475  0.15314907
0.31814308  0.15336668
0.31531015  0.15356347
0.31247522  0.15373942
0.30963759  0.15389454
0.30679656  0.15402881
0.30395151  0.15414224
0.30110181  0.15423482
0.29824689  0.15430657
0.29538621  0.15435749
0.29251925  0.15438761
0.28964554  0.15439693
0.28676463  0.15438548
0.28387614  0.15435329
0.28097967  0.15430039
0.27807491  0.15422680
0.27516156  0.15413257
0.27223935  0.15401773
0.26930806  0.15388233
0.26636752  0.15372641
0.26341757  0.15355001
0.26045811  0.15335320
0.25748905  0.15313603
0.25451037  0.15289854
0.25152207  0.15264081
0.24852418  0.15236289
0.24551679  0.15206485
0.24250000  0.15174675
0.23947398  0.15140866
0.23643891  0.15105066
0.23339500  0.15067282
0.23034254  0.15027521
0.22728180  0.14985791
0.22421313  0.14942099
0.22113689  0.14896455
0.21805349  0.14848865
0.21496336  0.14799339
0.21186697  0.14747884
0.20876483  0.14694510
0.20565748  0.14639224
0.20254547  0.14582035
0.19942942  0.14522953
0.19630995  0.14461986
0.19318773  0.14399143
0.19006343  0.14334432
0.18693779  0.14267863
0.18381154  0.14199445
0.18068545  0.14129187
0.17756033  0.14057097
0.17443699  0.13983184
0.17131627  0.13907457
0.16819905  0.13829926
0.16508620  0.13750598
0.16197865  0.13669482
0.15887730  0.13586586
0.15578312  0.13501920
0.15269705  0.13415491
0.14962008  0.13327307
0.14655318  0.13237376
0.14349738  0.13145706
0.14045366  0.13052305
0.13742307  0.12957179
0.13440662  0.12860336
0.13140536  0.12761783
0.12842033  0.12661526
0.12545257  0.12559572
0.12250313  0.12455927
0.11957306  0.12350596
0.11666341  0.12243586
0.11377521  0.12134900
0.11090952  0.12024545
0.10806735  0.11912524
0.10524975  0.11798842
0.10245772  0.11683502
0.09969227  0.11566507
0.09695439  0.11447862
0.09424507  0.11327568
0.09156525  0.11205627
0.08891590  0.11082042
0.08629792  0.10956813
0.08371223  0.10829942
0.08115970  0.10701428
0.07864118  0.10571272
0.07615751  0.10439473
0.07370949  0.10306031
0.07129788  0.10170943
0.06892342  0.10034208
0.06658683  0.09895824
0.06428876  0.09755786
0.06202987  0.09614093
0.05981074  0.09470740
0.05763193  0.09325722
0.05549397  0.09179035
0.05339733  0.09030673
0.05134245  0.08880631
0.04932971  0.08728902
0.04735947  0.08575479
0.04543203  0.08420355
0.04354763  0.08263522
0.04170649  0.08104972
0.03990877  0.07944697
0.03815456  0.07782686
0.03644393  0.07618932
0.03477690  0.07453424
0.03315342  0.07286151
0.03157340  0.07117104
0.03003669  0.06946271
0.02854313  0.06773641
0.02709245  0.06599204
0.02568438  0.06422947
0.02431858  0.06244859
0.02299467  0.06064927
0.02171221  0.05883140
0.02047075  0.05699486
0.01926976  0.05513953
0.01810869  0.05326528
0.01698695  0.05137200
0.01590389  0.04945957
0.01485887  0.04752786
0.01385119  0.04557678
0.01288012  0.04360621
0.01194492  0.04161604
0.01104483  0.03960618
0.01017906  0.03757652
0.00934682  0.03552698
0.00854733  0.03345749
0.00777977  0.03136795
0.00704337  0.02925833
0.00633734  0.02712855
0.00566092  0.02497858
0.00501338  0.02280840
0.00439401  0.02061798
0.00380216  0.01840733
0.00323722  0.01617647
0.00269863  0.01392543
0.00218593  0.01165426
0.00169870  0.00936304
0.00123664  0.00705187
0.00079954  0.00472087
0.00038732  0.00237019
0.00000000  0.00000000
0.00038732  -0.00142345
0.00079954  -0.00277639
0.00123664  -0.00406252
0.00169870  -0.00528536
0.00218593  -0.00644828
0.00269863  -0.00755452
0.00323722  -0.00860714
0.00380216  -0.00960909
0.00439401  -0.01056316
0.00501338  -0.01147205
0.00566092  -0.01233829
0.00633734  -0.01316432
0.00704337  -0.01395245
0.00777977  -0.01470490
0.00854733  -0.01542377
0.00934682  -0.01611106
0.01017906  -0.01676867
0.01104483  -0.01739841
0.01194492  -0.01800201
0.01288012  -0.01858109
0.01385119  -0.01913720
0.01485887  -0.01967182
0.01590389  -0.02018634
0.01698695  -0.02068207
0.01810869  -0.02116028
0.01926976  -0.02162214
0.02047075  -0.02206877
0.02171221  -0.02250122
0.02299467  -0.02292049
0.02431858  -0.02332752
0.02568438  -0.02372319
0.02709245  -0.02410832
0.02854313  -0.02448371
0.03003669  -0.02485007
0.03157340  -0.02520809
0.03315342  -0.02555842
0.03477690  -0.02590163
0.03644393  -0.02623831
0.03815456  -0.02656894
0.03990877  -0.02689402
0.04170649  -0.02721399
0.04354763  -0.02752925
0.04543203  -0.02784017
0.04735947  -0.02814711
0.04932971  -0.02845036
0.05134245  -0.02875021
0.05339733  -0.02904692
0.05549397  -0.02934071
0.05763193  -0.02963179
0.05981074  -0.02992033
0.06202987  -0.03020648
0.06428876  -0.03049038
0.06658683  -0.03077215
0.06892342  -0.03105186
0.07129788  -0.03132959
0.07370949  -0.03160539
0.07615751  -0.03187931
0.07864118  -0.03215134
0.08115970  -0.03242151
0.08371223  -0.03268979
0.08629792  -0.03295615
0.08891590  -0.03322057
0.09156525  -0.03348297
0.09424507  -0.03374330
0.09695439  -0.03400147
0.09969227  -0.03425740
0.10245772  -0.03451099
0.10524975  -0.03476213
0.10806735  -0.03501070
0.11090952  -0.03525658
0.11377521  -0.03549962
0.11666341  -0.03573969
0.11957306  -0.03597664
0.12250313  -0.03621030
0.12545257  -0.03644053
0.12842033  -0.03666715
0.13140536  -0.03688999
0.13440662  -0.03710887
0.13742307  -0.03732362
0.14045366  -0.03753405
0.14349738  -0.03773997
0.14655318  -0.03794119
0.14962008  -0.03813751
0.15269705  -0.03832876
0.15578312  -0.03851472
0.15887730  -0.03869520
0.16197865  -0.03887001
0.16508620  -0.03903894
0.16819905  -0.03920180
0.17131627  -0.03935838
0.17443699  -0.03950850
0.17756033  -0.03965195
0.18068545  -0.03978854
0.18381154  -0.03991808
0.18693779  -0.04004036
0.19006343  -0.04015522
0.19318773  -0.04026244
0.19630995  -0.04036186
0.19942942  -0.04045330
0.20254547  -0.04053656
0.20565748  -0.04061149
0.20876483  -0.04067790
0.21186697  -0.04073564
0.21496336  -0.04078454
0.21805349  -0.04082445
0.22113689  -0.04085521
0.22421313  -0.04087668
0.22728180  -0.04088871
0.23034254  -0.04089117
0.23339500  -0.04088393
0.23643891  -0.04086687
0.23947398  -0.04083986
0.24250000  -0.04080280
