# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 09684
# Species         : Psilopogon_henricii
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 91.80 mm
# Secondary1       : 73.30 mm
# Kipps Distance   : 18.10 mm
# Hand-Wing Index  : 19.90
# Tail Length      : 49.30 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.252
# Pointedness Index: 0.1972
# Efficiency Index : 0.0392
# Wing Loading Proxy: 0.0254
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1942  at x/c = 0.2707
# Max f/c          : 0.0592  at x/c = 0.3467
# Est. Reynolds    : 1.50e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939164  0.00009066
0.99866591  0.00021534
0.99781679  0.00037379
0.99683896  0.00056575
0.99572776  0.00079095
0.99447911  0.00104908
0.99308953  0.00133986
0.99155611  0.00166295
0.98987644  0.00201802
0.98804862  0.00240473
0.98607123  0.00282273
0.98394329  0.00327163
0.98166424  0.00375107
0.97923393  0.00426065
0.97665259  0.00479996
0.97392079  0.00536860
0.97103943  0.00596614
0.96800974  0.00659216
0.96483323  0.00724621
0.96151169  0.00792785
0.95804716  0.00863662
0.95444191  0.00937207
0.95069845  0.01013372
0.94681946  0.01092109
0.94280785  0.01173371
0.93866666  0.01257109
0.93439912  0.01343274
0.93000857  0.01431815
0.92549850  0.01522682
0.92087252  0.01615826
0.91613434  0.01711194
0.91128774  0.01808735
0.90633662  0.01908397
0.90128491  0.02010129
0.89613661  0.02113878
0.89089579  0.02219590
0.88556654  0.02327214
0.88015297  0.02436695
0.87465924  0.02547981
0.86908950  0.02661019
0.86344791  0.02775754
0.85773863  0.02892134
0.85196581  0.03010103
0.84613358  0.03129610
0.84024606  0.03250599
0.83430732  0.03373017
0.82832142  0.03496810
0.82229236  0.03621925
0.81622410  0.03748307
0.81012057  0.03875903
0.80398561  0.04004661
0.79782304  0.04134525
0.79163658  0.04265444
0.78542992  0.04397363
0.77920666  0.04530231
0.77297034  0.04663994
0.76672440  0.04798599
0.76047224  0.04933996
0.75421715  0.05070130
0.74796235  0.05206952
0.74171099  0.05344408
0.73546610  0.05482449
0.72923064  0.05621022
0.72300750  0.05760078
0.71679946  0.05899566
0.71060920  0.06039436
0.70443934  0.06179638
0.69829237  0.06320123
0.69217071  0.06460843
0.68607668  0.06601748
0.68001252  0.06742790
0.67398035  0.06883923
0.66798222  0.07025097
0.66202006  0.07166267
0.65609575  0.07307386
0.65021103  0.07448408
0.64436757  0.07589288
0.63856694  0.07729979
0.63281064  0.07870438
0.62710005  0.08010620
0.62143648  0.08150481
0.61582114  0.08289978
0.61025516  0.08429069
0.60473957  0.08567711
0.59927534  0.08705861
0.59386332  0.08843480
0.58850431  0.08980525
0.58319901  0.09116957
0.57794804  0.09252736
0.57275195  0.09387823
0.56761120  0.09522179
0.56252619  0.09655765
0.55749723  0.09788544
0.55252456  0.09920480
0.54760836  0.10051534
0.54274873  0.10181672
0.53794571  0.10310857
0.53319926  0.10439056
0.52850928  0.10566233
0.52387563  0.10692354
0.51929807  0.10817386
0.51477634  0.10941297
0.51031010  0.11064054
0.50589895  0.11185626
0.50154245  0.11305982
0.49724012  0.11425091
0.49299139  0.11542923
0.48879569  0.11659449
0.48465236  0.11774639
0.48056073  0.11888467
0.47652008  0.12000904
0.47252963  0.12111923
0.46858859  0.12221497
0.46469610  0.12329601
0.46085131  0.12436209
0.45705329  0.12541297
0.45330111  0.12644839
0.44959381  0.12746813
0.44593038  0.12847195
0.44230980  0.12945963
0.43873103  0.13043094
0.43519300  0.13138568
0.43169463  0.13232363
0.42823481  0.13324459
0.42481241  0.13414836
0.42142630  0.13503475
0.41807533  0.13590358
0.41475833  0.13675466
0.41147413  0.13758781
0.40822156  0.13840288
0.40499942  0.13919968
0.40180652  0.13997807
0.39864167  0.14073789
0.39550366  0.14147899
0.39239129  0.14220123
0.38930338  0.14290448
0.38623872  0.14358859
0.38319612  0.14425345
0.38017440  0.14489892
0.37717237  0.14552490
0.37418887  0.14613128
0.37122273  0.14671794
0.36827280  0.14728479
0.36533794  0.14783173
0.36241702  0.14835868
0.35950894  0.14886553
0.35661260  0.14935223
0.35372691  0.14981868
0.35085083  0.15026482
0.34798329  0.15069058
0.34512329  0.15109591
0.34226983  0.15148074
0.33942191  0.15184502
0.33657860  0.15218871
0.33373895  0.15251177
0.33090207  0.15281415
0.32806707  0.15309583
0.32523310  0.15335677
0.32239934  0.15359696
0.31956498  0.15381637
0.31672927  0.15401498
0.31389146  0.15419279
0.31105084  0.15434979
0.30820675  0.15448597
0.30535854  0.15460134
0.30250559  0.15469590
0.29964734  0.15476966
0.29678323  0.15482264
0.29391276  0.15485485
0.29103545  0.15486631
0.28815086  0.15485704
0.28525859  0.15482708
0.28235828  0.15477645
0.27944957  0.15470519
0.27653219  0.15461334
0.27360587  0.15450094
0.27067039  0.15436802
0.26772556  0.15421465
0.26477123  0.15404087
0.26180730  0.15384673
0.25883369  0.15363229
0.25585037  0.15339761
0.25285733  0.15314275
