# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 09715
# Species         : Campethera_abingoni
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 110.40 mm
# Secondary1       : 90.10 mm
# Kipps Distance   : 20.20 mm
# Hand-Wing Index  : 18.30
# Tail Length      : 66.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.225
# Pointedness Index: 0.1830
# Efficiency Index : 0.0335
# Wing Loading Proxy: 0.0183
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1947  at x/c = 0.2716
# Max f/c          : 0.0595  at x/c = 0.3467
# Est. Reynolds    : 1.88e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009073
0.99866597  0.00021561
0.99781699  0.00037440
0.99683943  0.00056683
0.99572865  0.00079261
0.99448062  0.00105147
0.99309188  0.00134308
0.99155954  0.00166714
0.98988123  0.00202330
0.98805506  0.00241121
0.98607962  0.00283052
0.98395396  0.00328086
0.98167753  0.00376183
0.97925019  0.00427306
0.97667218  0.00481412
0.97394406  0.00538461
0.97106677  0.00598411
0.96804153  0.00661218
0.96486984  0.00726839
0.96155350  0.00795227
0.95809456  0.00866338
0.95449527  0.00940125
0.95075815  0.01016540
0.94688588  0.01095537
0.94288135  0.01177067
0.93874760  0.01261080
0.93448786  0.01347528
0.93010546  0.01436360
0.92560388  0.01527526
0.92098673  0.01620975
0.91625769  0.01716655
0.91142055  0.01814514
0.90647918  0.01914502
0.90143752  0.02016565
0.89629956  0.02120650
0.89106934  0.02226706
0.88575094  0.02334677
0.88034847  0.02444513
0.87486607  0.02556158
0.86930788  0.02669559
0.86367804  0.02784662
0.85798071  0.02901414
0.85222002  0.03019761
0.84640009  0.03139648
0.84052501  0.03261021
0.83459887  0.03383828
0.82862569  0.03508012
0.82260946  0.03633522
0.81655414  0.03760302
0.81046363  0.03888300
0.80434178  0.04017460
0.79819237  0.04147731
0.79201914  0.04279057
0.78582574  0.04411387
0.77961576  0.04544667
0.77339274  0.04678844
0.76716011  0.04813865
0.76092125  0.04949679
0.75467945  0.05086232
0.74843791  0.05223472
0.74219975  0.05361349
0.73596803  0.05499811
0.72974569  0.05638806
0.72353559  0.05778284
0.71734051  0.05918194
0.71116312  0.06058486
0.70500604  0.06199111
0.69887174  0.06340018
0.69276264  0.06481160
0.68668106  0.06622486
0.68062921  0.06763950
0.67460922  0.06905502
0.66862313  0.07047096
0.66267287  0.07188685
0.65676029  0.07330221
0.65088714  0.07471659
0.64505509  0.07612953
0.63926570  0.07754058
0.63352046  0.07894928
0.62782075  0.08035520
0.62216788  0.08175790
