# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10631
# Species         : Glaucidium_brasilianum
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 93.80 mm
# Secondary1       : 77.10 mm
# Kipps Distance   : 16.60 mm
# Hand-Wing Index  : 17.70
# Tail Length      : 62.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.217
# Pointedness Index: 0.1770
# Efficiency Index : 0.0313
# Wing Loading Proxy: 0.0194
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1968  at x/c = 0.2719
# Max f/c          : 0.0596  at x/c = 0.3467
# Est. Reynolds    : 1.53e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009082
0.99866599  0.00021597
0.99781706  0.00037520
0.99683960  0.00056825
0.99572898  0.00079484
0.99448118  0.00105468
0.99309276  0.00134746
0.99156083  0.00167287
0.98988302  0.00203056
0.98805747  0.00242020
0.98608277  0.00284141
0.98395796  0.00329384
0.98168251  0.00377709
0.97925629  0.00429077
0.97667952  0.00483449
0.97395279  0.00540782
0.97107703  0.00601034
0.96805345  0.00664162
0.96488357  0.00730122
0.96156918  0.00798869
0.95811233  0.00870357
0.95451528  0.00944540
0.95078054  0.01021370
0.94691078  0.01100800
0.94290891  0.01182781
0.93877795  0.01267264
0.93452113  0.01354200
0.93014179  0.01443539
0.92564340  0.01535229
0.92102955  0.01629220
0.91630394  0.01725461
0.91147035  0.01823899
0.90653264  0.01924482
0.90149475  0.02027159
0.89636066  0.02131875
0.89113441  0.02238578
0.88582009  0.02347215
0.88042178  0.02457732
0.87494363  0.02570075
0.86938977  0.02684191
0.86376434  0.02800025
0.85807149  0.02917524
0.85231535  0.03036633
0.84650003  0.03157298
0.84062962  0.03279465
0.83470820  0.03403080
0.82873979  0.03528088
0.82272837  0.03654435
0.81667791  0.03782068
0.81059228  0.03910931
0.80447535  0.04040971
0.79833088  0.04172134
0.79216260  0.04304367
0.78597417  0.04437615
0.77976918  0.04571826
0.77355114  0.04706946
0.76732351  0.04842922
0.76108964  0.04979701
0.75485281  0.05117232
0.74861624  0.05255460
0.74238305  0.05394336
0.73615626  0.05533806
0.72993884  0.05673819
0.72373363  0.05814324
0.71754341  0.05955270
0.71137086  0.06096607
0.70521856  0.06238285
0.69908902  0.06380253
0.69298464  0.06522462
0.68690773  0.06664864
0.68086050  0.06807409
0.67484508  0.06950050
0.66886350  0.07092738
0.66291770  0.07235425
0.65700952  0.07378066
0.65114072  0.07520613
0.64531295  0.07663020
0.63952778  0.07805241
0.63378669  0.07947231
0.62809107  0.08088946
0.62244221  0.08230342
0.61684131  0.08371373
0.61128951  0.08511997
0.60578784  0.08652172
0.60033723  0.08791854
0.59493857  0.08931003
0.58959263  0.09069576
0.58430012  0.09207532
0.57906165  0.09344833
0.57387776  0.09481437
0.56874892  0.09617306
0.56367552  0.09752401
0.55865787  0.09886683
0.55369622  0.10020116
0.54879074  0.10152661
0.54394152  0.10284283
0.53914861  0.10414946
0.53441197  0.10544614
0.52973150  0.10673252
0.52510706  0.10800826
0.52053841  0.10927302
