# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10813
# Species         : Phodilus_assimilis
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 191.20 mm
# Secondary1       : 152.20 mm
# Kipps Distance   : 39.10 mm
# Hand-Wing Index  : 20.40
# Tail Length      : 83.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.256
# Pointedness Index: 0.2045
# Efficiency Index : 0.0417
# Wing Loading Proxy: 0.0151
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1873  at x/c = 0.2704
# Max f/c          : 0.0589  at x/c = 0.3467
# Est. Reynolds    : 3.86e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939164  0.00009042
0.99866589  0.00021438
0.99781672  0.00037161
0.99683882  0.00056185
0.99572748  0.00078483
0.99447864  0.00104024
0.99308880  0.00132777
0.99155504  0.00164711
0.98987494  0.00199790
0.98804661  0.00237981
0.98606860  0.00279247
0.98393995  0.00323550
0.98166009  0.00370853
0.97922885  0.00421115
0.97664647  0.00474297
0.97391351  0.00530356
0.97103088  0.00589251
0.96799981  0.00650938
0.96482179  0.00715373
0.96149862  0.00782511
0.95803235  0.00852306
0.95442524  0.00924713
0.95067979  0.00999685
0.94679871  0.01077173
0.94278488  0.01157129
0.93864137  0.01239506
0.93437138  0.01324253
0.92997829  0.01411321
0.92546557  0.01500660
0.92083684  0.01592219
0.91609579  0.01685948
0.91124624  0.01781795
0.90629207  0.01879708
0.90123721  0.01979636
0.89608569  0.02081527
0.89084156  0.02185328
0.88550891  0.02290987
0.88009188  0.02398451
0.87459461  0.02507667
0.86902125  0.02618582
0.86337599  0.02731144
0.85766297  0.02845300
0.85188636  0.02960995
0.84605029  0.03078177
0.84015888  0.03196793
0.83421621  0.03316790
0.82822633  0.03438114
0.82219326  0.03560714
0.81612096  0.03684534
0.81001335  0.03809524
0.80387430  0.03935630
0.79770761  0.04062800
0.79151702  0.04190981
0.78530622  0.04320122
0.77907881  0.04450169
0.77283832  0.04581072
0.76658822  0.04712779
0.76033190  0.04845239
0.75407266  0.04978400
0.74781372  0.05112212
0.74155821  0.05246624
0.73530920  0.05381587
0.72906965  0.05517050
0.72284243  0.05652964
0.71663033  0.05789279
0.71043605  0.05925948
0.70426218  0.06062920
0.69811124  0.06200149
0.69198565  0.06337587
0.68588773  0.06475185
0.67981970  0.06612898
0.67378372  0.06750678
0.66778181  0.06888481
0.66181593  0.07026259
0.65588794  0.07163968
0.64999959  0.07301562
0.64415255  0.07438999
0.63834840  0.07576233
0.63258862  0.07713222
0.62687461  0.07849922
0.62120768  0.07986290
0.61558904  0.08122286
0.61001981  0.08257868
0.60450104  0.08392993
0.59903368  0.08527623
0.59361860  0.08661717
0.58825659  0.08795235
