# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07251
# Species         : Anthoscopus_flavifrons
# Flight Category : hovering
# 
# === Morphological Measurements ===
# Wing Length      : 54.00 mm
# Secondary1       : 44.00 mm
# Kipps Distance   : 10.70 mm
# Hand-Wing Index  : 19.60
# Tail Length      : 27.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.227
# Pointedness Index: 0.1981
# Efficiency Index : 0.0388
# Wing Loading Proxy: 0.0451
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1970  at x/c = 0.2708
# Max f/c          : 0.0594  at x/c = 0.3467
# Est. Reynolds    : 1.02e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009077
0.99866592  0.00021576
0.99781682  0.00037474
0.99683905  0.00056745
0.99572792  0.00079360
0.99447939  0.00105292
0.99308997  0.00134510
0.99155675  0.00166981
0.98987734  0.00202674
0.98804983  0.00241553
0.98607280  0.00283583
0.98394529  0.00328728
0.98166673  0.00376948
0.97923698  0.00428206
0.97665626  0.00482461
0.97392515  0.00539672
0.97104456  0.00599797
0.96801570  0.00662794
0.96484010  0.00728617
0.96151953  0.00797223
0.95805605  0.00868566
0.95445192  0.00942601
0.95070964  0.01019279
0.94683192  0.01098554
0.94282163  0.01180378
0.93868184  0.01264701
0.93441575  0.01351474
0.93002673  0.01440649
0.92551826  0.01532173
0.92089394  0.01625996
0.91615747  0.01722068
0.91131264  0.01820337
0.90636335  0.01920749
0.90131352  0.02023255
0.89616716  0.02127800
0.89092833  0.02234331
0.88560111  0.02342797
0.88018963  0.02453143
0.87469802  0.02565316
0.86913044  0.02679262
0.86349106  0.02794928
0.85778401  0.02912259
0.85201347  0.03031202
0.84618355  0.03151703
0.84029836  0.03273707
0.83436198  0.03397160
0.82837846  0.03522009
0.82235181  0.03648198
0.81628598  0.03775675
0.81018488  0.03904385
0.80405238  0.04034275
0.79789228  0.04165290
0.79170830  0.04297378
0.78550412  0.04430484
0.77928335  0.04564555
0.77304952  0.04699538
0.76680607  0.04835380
0.76055640  0.04972029
0.75430380  0.05109432
0.74805148  0.05247537
0.74180259  0.05386291
0.73556016  0.05525644
0.72932716  0.05665543
0.72310646  0.05805938
0.71690084  0.05946777
0.71071299  0.06088011
0.70454551  0.06229589
0.69840091  0.06371461
0.69228160  0.06513578
0.68618989  0.06655891
0.68012803  0.06798351
0.67409813  0.06940910
0.66810224  0.07083519
0.66214230  0.07226133
0.65622017  0.07368703
0.65033760  0.07511183
0.64449626  0.07653527
0.63869773  0.07795688
0.63294348  0.07937623
0.62723491  0.08079285
0.62157332  0.08220631
0.61595992  0.08361617
0.61039584  0.08502199
0.60488212  0.08642335
0.59941971  0.08781982
0.59400947  0.08921098
0.58865221  0.09059642
0.58334861  0.09197574
0.57809930  0.09334851
0.57290482  0.09471436
0.56776565  0.09607288
0.56268217  0.09742369
0.55765469  0.09876641
0.55268347  0.10010065
0.54776866  0.10142605
0.54291039  0.10274225
0.53810867  0.10404887
0.53336348  0.10534557
0.52867472  0.10663199
0.52404224  0.10790780
0.51946581  0.10917265
0.51494516  0.11042621
0.51047995  0.11166816
0.50606979  0.11289816
0.50171424  0.11411592
0.49741280  0.11532110
0.49316493  0.11651342
0.48897003  0.11769258
0.48482747  0.11885827
0.48073656  0.12001022
0.47669657  0.12114813
0.47270675  0.12227175
0.46876629  0.12338078
