# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08850
# Species         : Lophotriccus_eulophotes
# Flight Category : hovering
# 
# === Morphological Measurements ===
# Wing Length      : 46.60 mm
# Secondary1       : 38.50 mm
# Kipps Distance   : 8.10 mm
# Hand-Wing Index  : 17.40
# Tail Length      : 38.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.210
# Pointedness Index: 0.1738
# Efficiency Index : 0.0302
# Wing Loading Proxy: 0.0315
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1999  at x/c = 0.2721
# Max f/c          : 0.0598  at x/c = 0.3467
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009093
0.99866600  0.00021642
0.99781710  0.00037621
0.99683969  0.00057006
0.99572915  0.00079768
0.99448147  0.00105879
0.99309320  0.00135308
0.99156148  0.00168023
0.98988392  0.00203991
0.98805868  0.00243178
0.98608434  0.00285547
0.98395996  0.00331062
0.98168501  0.00379685
0.97925934  0.00431376
0.97668319  0.00486095
0.97395716  0.00543801
0.97108215  0.00604452
0.96805941  0.00668004
0.96489043  0.00734414
0.96157702  0.00803636
0.95812122  0.00875625
0.95452529  0.00950335
0.95079173  0.01027718
0.94692324  0.01107727
0.94292269  0.01190312
0.93879313  0.01275426
0.93453777  0.01363018
0.93015996  0.01453038
0.92566316  0.01545436
0.92105096  0.01640160
0.91632707  0.01737158
0.91149525  0.01836380
0.90655937  0.01937773
0.90152336  0.02041283
0.89639121  0.02146858
0.89116695  0.02254444
0.88585466  0.02363989
0.88045844  0.02475439
0.87498241  0.02588738
0.86943072  0.02703835
0.86380749  0.02820673
0.85811688  0.02939199
0.85236301  0.03059359
0.84655000  0.03181097
0.84068193  0.03304360
0.83476287  0.03429092
0.82879684  0.03555240
0.82278783  0.03682749
0.81673979  0.03811563
0.81065661  0.03941629
0.80454213  0.04072893
0.79840013  0.04205299
0.79223433  0.04338795
0.78604839  0.04473325
0.77984589  0.04608837
0.77363035  0.04745276
0.76740521  0.04882589
0.76117383  0.05020722
0.75493950  0.05159624
0.74870541  0.05299240
0.74247470  0.05439519
0.73625038  0.05580407
0.73003542  0.05721854
0.72383265  0.05863808
0.71764486  0.06006216
0.71147473  0.06149028
0.70532483  0.06292194
0.69919767  0.06435663
0.69309564  0.06579385
0.68702106  0.06723310
0.68097614  0.06867389
0.67496301  0.07011573
0.66898369  0.07155815
0.66304012  0.07300065
0.65713415  0.07444276
0.65126752  0.07588401
0.64544189  0.07732393
0.63965883  0.07876207
0.63391982  0.08019795
0.62822624  0.08163113
0.62257938  0.08306116
0.61698046  0.08448760
0.61143060  0.08591000
0.60593082  0.08732793
0.60048209  0.08874096
0.59508525  0.09014867
0.58974110  0.09155063
0.58445033  0.09294644
0.57921357  0.09433568
0.57403135  0.09571795
0.56890414  0.09709286
0.56383233  0.09846000
0.55881623  0.09981900
0.55385609  0.10116946
0.54895207  0.10251102
0.54410428  0.10384329
0.53931276  0.10516593
0.53457746  0.10647856
0.52989830  0.10778083
0.52527512  0.10907239
0.52070769  0.11035290
0.51619575  0.11162202
0.51173896  0.11287942
0.50733693  0.11412477
0.50298921  0.11535775
0.49869532  0.11657806
0.49445471  0.11778537
0.49026680  0.11897938
0.48613094  0.12015981
0.48204645  0.12132635
0.47801261  0.12247872
0.47402867  0.12361664
0.47009382  0.12473984
0.46620722  0.12584804
0.46236800  0.12694099
0.45857526  0.12801843
0.45482806  0.12908010
0.45112544  0.13012577
0.44746641  0.13115519
0.44384994  0.13216813
0.44027501  0.13316436
0.43674054  0.13414366
0.43324546  0.13510581
0.42978865  0.13605060
0.42636901  0.13697783
0.42298541  0.13788730
0.41963669  0.13877882
0.41632169  0.13965219
0.41303926  0.14050724
0.40978821  0.14134379
0.40656736  0.14216167
0.40337553  0.14296071
0.40021151  0.14374076
0.39707413  0.14450166
0.39396218  0.14524327
0.39087447  0.14596543
0.38780980  0.14666802
0.38476701  0.14735090
0.38174489  0.14801394
0.37874228  0.14865704
0.37575800  0.14928006
0.37279091  0.14988290
0.36983985  0.15046546
0.36690369  0.15102763
0.36398131  0.15156932
0.36107160  0.15209045
0.35817346  0.15259093
0.35528583  0.15307068
0.35240764  0.15352963
0.34953785  0.15396771
0.34667546  0.15438485
0.34381946  0.15478100
0.34096887  0.15515611
0.33812275  0.15551012
0.33528016  0.15584300
0.33244021  0.15615470
0.32960201  0.15644519
0.32676472  0.15671443
0.32392751  0.15696241
0.32108960  0.15718911
0.31825021  0.15739450
0.31540861  0.15757859
0.31256409  0.15774135
0.30971598  0.15788278
0.30686365  0.15800290
0.30400648  0.15810170
0.30114389  0.15817919
0.29827534  0.15823539
0.29540033  0.15827031
0.29251838  0.15828398
0.28962904  0.15827642
0.28673193  0.15824766
0.28382666  0.15819774
0.28091291  0.15812668
0.27799039  0.15803453
0.27505882  0.15792133
0.27211800  0.15778713
0.26916772  0.15763198
0.26620786  0.15745592
0.26323828  0.15725902
0.26025893  0.15704134
0.25726976  0.15680293
0.25427077  0.15654385
0.25126200  0.15626419
0.24824353  0.15596399
0.24521546  0.15564335
0.24217795  0.15530232
0.23913118  0.15494098
0.23607537  0.15455942
0.23301078  0.15415771
0.22993770  0.15373593
0.22685646  0.15329417
0.22376743  0.15283251
0.22067100  0.15235104
