# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02189
# Species         : Rhynochetos_jubatus
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 264.30 mm
# Secondary1       : 227.20 mm
# Kipps Distance   : 37.10 mm
# Hand-Wing Index  : 14.00
# Tail Length      : 183.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.163
# Pointedness Index: 0.1404
# Efficiency Index : 0.0197
# Wing Loading Proxy: 0.0063
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1926  at x/c = 0.2741
# Max f/c          : 0.0599  at x/c = 0.3518
# Est. Reynolds    : 5.95e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009079
0.99866613  0.00021582
0.99781753  0.00037485
0.99684068  0.00056761
0.99573105  0.00079381
0.99448467  0.00105314
0.99309819  0.00134529
0.99156877  0.00166993
0.98989410  0.00202672
0.98807236  0.00241530
0.98610217  0.00283530
0.98398264  0.00328634
0.98171325  0.00376804
0.97929389  0.00427999
0.97672481  0.00482177
0.97400662  0.00539297
0.97114026  0.00599316
0.96812695  0.00662189
0.96496823  0.00727872
0.96166588  0.00796319
0.95822193  0.00867484
0.95463868  0.00941320
0.95091859  0.01017778
0.94706437  0.01096811
0.94307886  0.01178370
0.93896513  0.01262405
0.93472635  0.01348865
0.93036585  0.01437701
0.92588709  0.01528861
0.92129364  0.01622295
0.91658918  0.01717949
0.91177746  0.01815772
0.90686232  0.01915712
0.90184767  0.02017715
0.89673747  0.02121729
0.89153573  0.02227700
0.88624651  0.02335574
0.88087387  0.02445299
0.87542192  0.02556820
0.86989477  0.02670084
0.86429653  0.02785036
0.85863131  0.02901622
0.85290321  0.03019788
0.84711633  0.03139480
0.84127472  0.03260643
0.83538241  0.03383224
0.82944341  0.03507169
0.82346168  0.03632422
0.81744113  0.03758931
0.81138563  0.03886642
0.80529899  0.04015500
0.79918497  0.04145452
0.79304727  0.04276445
0.78688950  0.04408425
0.78071524  0.04541339
0.77452797  0.04675135
0.76833111  0.04809760
0.76212800  0.04945161
0.75592190  0.05081286
0.74971599  0.05218084
0.74351337  0.05355503
0.73731704  0.05493491
0.73112993  0.05631997
0.72495488  0.05770972
0.71879464  0.05910364
0.71265187  0.06050124
0.70652914  0.06190202
0.70042892  0.06330549
0.69435360  0.06471116
0.68830547  0.06611854
0.68228673  0.06752717
0.67629949  0.06893655
0.67034577  0.07034622
0.66442748  0.07175571
0.65854645  0.07316457
0.65270444  0.07457232
0.64690307  0.07597851
0.64114391  0.07738270
0.63542842  0.07878445
0.62975798  0.08018330
0.62413387  0.08157883
0.61855729  0.08297061
0.61302936  0.08435821
0.60755111  0.08574121
0.60212346  0.08711919
0.59674729  0.08849175
0.59142336  0.08985849
0.58615238  0.09121899
0.58093495  0.09257287
0.57577162  0.09391974
0.57066285  0.09525922
0.56560902  0.09659092
0.56061044  0.09791448
0.55566736  0.09922952
0.55077994  0.10053569
0.54594828  0.10183263
0.54117243  0.10311998
0.53645234  0.10439741
0.53178792  0.10566457
0.52717902  0.10692113
0.52262541  0.10816677
0.51812683  0.10940114
0.51368294  0.11062395
0.50929335  0.11183488
0.50495762  0.11303363
0.50067527  0.11421988
0.49644576  0.11539336
0.49226849  0.11655376
0.48814284  0.11770082
0.48406812  0.11883424
0.48004363  0.11995376
0.47606860  0.12105912
0.47214224  0.12215005
0.46826372  0.12322629
0.46443217  0.12428761
