# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02259
# Species         : Crax_blumenbachii
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 384.00 mm
# Secondary1       : 307.10 mm
# Kipps Distance   : 33.90 mm
# Hand-Wing Index  : 9.70
# Tail Length      : 333.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.250
# Pointedness Index: 0.0883
# Efficiency Index : 0.0086
# Wing Loading Proxy: 0.0037
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1947  at x/c = 0.2737
# Max f/c          : 0.0604  at x/c = 0.3518
# Est. Reynolds    : 9.85e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939169  0.00009096
0.99866629  0.00021650
0.99781806  0.00037638
0.99684193  0.00057032
0.99573344  0.00079802
0.99448873  0.00105918
0.99310451  0.00135348
0.99157801  0.00168060
0.98990698  0.00204017
0.98808965  0.00243185
0.98612473  0.00285525
0.98401132  0.00331000
0.98174897  0.00379570
0.97933758  0.00431194
0.97677744  0.00485831
0.97406918  0.00543439
0.97121375  0.00603973
0.96821238  0.00667390
0.96506662  0.00733644
0.96177825  0.00802689
0.95834931  0.00874478
0.95478208  0.00948963
0.95107904  0.01026098
0.94724285  0.01105832
0.94327638  0.01188116
0.93918265  0.01272900
0.93496484  0.01360134
0.93062624  0.01449767
0.92617030  0.01541747
0.92160056  0.01636022
0.91692067  0.01732539
0.91213437  0.01831248
0.90724546  0.01932093
0.90225782  0.02035022
0.89717539  0.02139982
0.89200213  0.02246919
0.88674208  0.02355778
0.88139928  0.02466506
0.87597778  0.02579048
0.87048167  0.02693350
0.86491502  0.02809357
0.85928191  0.02927015
0.85358642  0.03046268
0.84783258  0.03167063
0.84202443  0.03289345
0.83616597  0.03413059
0.83026116  0.03538150
0.82431392  0.03664563
0.81832814  0.03792245
0.81230765  0.03921141
0.80625623  0.04051197
0.80017761  0.04182358
0.79407543  0.04314571
0.78795331  0.04447782
0.78181477  0.04581937
0.77566326  0.04716983
0.76950218  0.04852867
0.76333483  0.04989535
0.75716444  0.05126936
0.75099417  0.05265017
0.74482708  0.05403726
0.73866616  0.05543011
0.73251430  0.05682821
0.72637433  0.05823104
0.72024895  0.05963810
0.71414081  0.06104889
0.70805245  0.06246290
0.70198633  0.06387963
0.69594481  0.06529861
0.68993016  0.06671932
0.68394456  0.06814130
0.67799010  0.06956405
0.67206878  0.07098711
0.66618251  0.07241001
0.66033308  0.07383226
0.65452224  0.07525342
0.64875161  0.07667302
0.64302272  0.07809061
0.63733704  0.07950574
0.63169593  0.08091797
0.62610065  0.08232686
0.62055241  0.08373196
0.61505230  0.08513287
0.60960134  0.08652914
0.60420046  0.08792036
0.59885051  0.08930612
0.59355227  0.09068601
0.58830642  0.09205962
0.58311357  0.09342656
0.57797425  0.09478644
0.57288893  0.09613886
0.56785797  0.09748345
0.56288170  0.09881983
0.55796035  0.10014763
0.55309409  0.10146649
0.54828302  0.10277603
0.54352717  0.10407592
0.53882651  0.10536580
0.53418094  0.10664533
0.52959032  0.10791417
0.52505442  0.10917200
0.52057298  0.11041848
0.51614566  0.11165329
0.51177208  0.11287613
0.50745181  0.11408668
0.50318435  0.11528464
0.49896918  0.11646971
0.49480571  0.11764161
0.49069331  0.11880005
0.48663132  0.11994474
0.48261902  0.12107542
0.47865567  0.12219181
0.47474046  0.12329366
0.47087258  0.12438071
0.46705118  0.12545270
0.46327534  0.12650940
0.45954417  0.12755056
0.45585669  0.12857595
0.45221195  0.12958535
0.44860892  0.13057853
0.44504660  0.13155528
0.44152392  0.13251538
0.43803983  0.13345863
0.43459323  0.13438484
0.43118302  0.13529381
0.42780809  0.13618535
0.42446731  0.13705928
0.42115952  0.13791543
0.41788359  0.13875363
0.41463834  0.13957370
0.41142262  0.14037550
0.40823525  0.14115887
0.40507505  0.14192366
0.40194085  0.14266972
0.39883146  0.14339693
0.39574571  0.14410515
0.39268243  0.14479426
0.38964043  0.14546413
0.38661856  0.14611464
0.38361565  0.14674570
0.38063055  0.14735719
0.37766212  0.14794902
0.37470922  0.14852109
0.37177073  0.14907332
0.36884554  0.14960561
0.36593256  0.15011790
0.36303071  0.15061011
0.36013892  0.15108216
0.35725615  0.15153401
0.35438137  0.15196558
0.35151358  0.15237684
0.34865178  0.15276772
0.34579502  0.15313818
0.34294235  0.15348819
0.34009284  0.15381772
0.33724562  0.15412672
0.33439981  0.15441519
0.33155456  0.15468310
0.32870907  0.15493042
0.32586254  0.15515717
0.32301421  0.15536331
0.32016336  0.15554886
0.31730929  0.15571382
0.31445133  0.15585818
0.31158884  0.15598197
