# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02761
# Species         : Tauraco_schuettii
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 166.40 mm
# Secondary1       : 152.80 mm
# Kipps Distance   : 13.50 mm
# Hand-Wing Index  : 8.20
# Tail Length      : 184.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.089
# Pointedness Index: 0.0811
# Efficiency Index : 0.0067
# Wing Loading Proxy: 0.0059
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2039  at x/c = 0.2775
# Max f/c          : 0.0609  at x/c = 0.3518
# Est. Reynolds    : 3.21e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939170  0.00009129
0.99866635  0.00021784
0.99781825  0.00037940
0.99684237  0.00057570
0.99573428  0.00080646
0.99449015  0.00107139
0.99310671  0.00137015
0.99158122  0.00170244
0.98991147  0.00206791
0.98809569  0.00246619
0.98613260  0.00289694
0.98402133  0.00335976
0.98176142  0.00385427
0.97935282  0.00438007
0.97679580  0.00493674
0.97409101  0.00552386
0.97123938  0.00614100
0.96824218  0.00678772
0.96510094  0.00746356
0.96181745  0.00816807
0.95839375  0.00890078
0.95483211  0.00966122
0.95113501  0.01044891
0.94730512  0.01126335
0.94334529  0.01210406
0.93925853  0.01297052
0.93504803  0.01386224
0.93071707  0.01477870
0.92626909  0.01571939
0.92170763  0.01668378
0.91703631  0.01767135
0.91225887  0.01868156
0.90737911  0.01971389
0.90240090  0.02076779
0.89732815  0.02184273
0.89216483  0.02293816
0.88691496  0.02405354
0.88158255  0.02518832
0.87617168  0.02634194
0.87068639  0.02751387
0.86513077  0.02870354
0.85950886  0.02991040
0.85382474  0.03113390
0.84808243  0.03237348
0.84228595  0.03362858
0.83643929  0.03489865
0.83054640  0.03618314
0.82461119  0.03748148
0.81863754  0.03879312
0.81262926  0.04011751
0.80659012  0.04145409
0.80052384  0.04280231
0.79443405  0.04416162
0.78832436  0.04553147
0.78219827  0.04691131
0.77605923  0.04830059
0.76991062  0.04969877
0.76375573  0.05110531
0.75759779  0.05251966
0.75143994  0.05394129
0.74528523  0.05536967
0.73913665  0.05680426
0.73299707  0.05824453
0.72686931  0.05968995
0.72075607  0.06114001
0.71465999  0.06259419
0.70858360  0.06405196
0.70252934  0.06551281
0.69649958  0.06697624
0.69049658  0.06844174
0.68452251  0.06990881
0.67857945  0.07137695
0.67266939  0.07284567
0.66679424  0.07431448
0.66095579  0.07578290
0.65515577  0.07725043
0.64939580  0.07871662
0.64367741  0.08018099
0.63800207  0.08164307
0.63237111  0.08310240
0.62678582  0.08455852
0.62124738  0.08601098
0.61575688  0.08745934
0.61031535  0.08890315
0.60492371  0.09034198
0.59958280  0.09177539
0.59429340  0.09320296
0.58905620  0.09462426
0.58387179  0.09603889
0.57874071  0.09744642
0.57366341  0.09884646
0.56864028  0.10023861
0.56367163  0.10162247
0.55875768  0.10299765
0.55389861  0.10436378
0.54909452  0.10572047
0.54434543  0.10706735
0.53965133  0.10840405
0.53501211  0.10973023
0.53042761  0.11104551
0.52589763  0.11234956
0.52142189  0.11364203
0.51700006  0.11492258
0.51263176  0.11619089
0.50831655  0.11744663
0.50405396  0.11868947
0.49984343  0.11991911
0.49568440  0.12113524
0.49157624  0.12233756
0.48751828  0.12352577
0.48350981  0.12469958
0.47955008  0.12585872
0.47563830  0.12700289
0.47177365  0.12813184
0.46795527  0.12924529
0.46418228  0.13034298
0.46045374  0.13142467
0.45676872  0.13249010
0.45312624  0.13353904
0.44952530  0.13457124
0.44596487  0.13558648
0.44244391  0.13658454
0.43896135  0.13756519
0.43551611  0.13852823
0.43210709  0.13947345
0.42873318  0.14040065
0.42539324  0.14130964
0.42208613  0.14220022
0.41881072  0.14307222
0.41556583  0.14392546
0.41235030  0.14475977
0.40916297  0.14557499
0.40600267  0.14637096
0.40286820  0.14714751
0.39975841  0.14790452
0.39667211  0.14864183
0.39360812  0.14935931
0.39056529  0.15005683
0.38754245  0.15073427
0.38453843  0.15139151
0.38155209  0.15202843
0.37858229  0.15264493
0.37562789  0.15324090
0.37268778  0.15381626
0.36976085  0.15437090
0.36684600  0.15490474
0.36394217  0.15541771
0.36104828  0.15590973
0.35816330  0.15638072
0.35528620  0.15683063
0.35241597  0.15725940
0.34955164  0.15766697
0.34669223  0.15805329
0.34383681  0.15841832
0.34098447  0.15876202
0.33813430  0.15908436
0.33528545  0.15938530
0.33243707  0.15966484
0.32958834  0.15992293
0.32673850  0.16015958
0.32388676  0.16037477
0.32103242  0.16056850
0.31817477  0.16074076
0.31531314  0.16089156
0.31244689  0.16102091
0.30957544  0.16112882
0.30669819  0.16121531
0.30381463  0.16128039
0.30092423  0.16132410
0.29802653  0.16134645
0.29512109  0.16134749
0.29220751  0.16132725
0.28928543  0.16128578
0.28635450  0.16122310
0.28341445  0.16113928
0.28046500  0.16103436
0.27750593  0.16090840
0.27453706  0.16076145
0.27155824  0.16059357
0.26856935  0.16040483
0.26557031  0.16019530
0.26256108  0.15996504
0.25954167  0.15971413
0.25651210  0.15944263
0.25347244  0.15915063
0.25042281  0.15883821
0.24736333  0.15850544
0.24429420  0.15815241
0.24121562  0.15777921
0.23812784  0.15738591
0.23503116  0.15697262
0.23192589  0.15653942
0.22881239  0.15608639
0.22569104  0.15561364
0.22256228  0.15512126
0.21942656  0.15460933
0.21628437  0.15407796
0.21313623  0.15352725
0.20998269  0.15295728
0.20682435  0.15236815
0.20366181  0.15175996
0.20049572  0.15113281
0.19732675  0.15048679
0.19415562  0.14982199
0.19098303  0.14913852
0.18780976  0.14843646
0.18463658  0.14771591
0.18146429  0.14697696
0.17829373  0.14621970
0.17512575  0.14544421
0.17196121  0.14465059
0.16880102  0.14383892
0.16564608  0.14300928
0.16249732  0.14216176
0.15935569  0.14129642
0.15622216  0.14041335
0.15309769  0.13951261
0.14998329  0.13859428
0.14687994  0.13765842
0.14378866  0.13670509
0.14071048  0.13573435
0.13764642  0.13474625
0.13459751  0.13374085
0.13156479  0.13271818
0.12854930  0.13167829
0.12555210  0.13062122
0.12257421  0.12954698
0.11961668  0.12845562
0.11668055  0.12734714
0.11376686  0.12622156
0.11087663  0.12507889
0.10801087  0.12391913
0.10517061  0.12274227
0.10235682  0.12154831
0.09957052  0.12033723
0.09681265  0.11910899
0.09408418  0.11786357
0.09138604  0.11660093
0.08871915  0.11532102
0.08608441  0.11402378
0.08348268  0.11270916
0.08091482  0.11137708
0.07838164  0.11002746
0.07588394  0.10866022
0.07342249  0.10727525
0.07099802  0.10587246
0.06861123  0.10445173
0.06626279  0.10301293
0.06395333  0.10155595
0.06168345  0.10008062
0.05945370  0.09858681
0.05726461  0.09707436
0.05511665  0.09554309
0.05301027  0.09399283
0.05094585  0.09242339
0.04892374  0.09083457
0.04694427  0.08922617
0.04500767  0.08759796
0.04311418  0.08594973
0.04126395  0.08428123
0.03945712  0.08259222
0.03769376  0.08088244
0.03597388  0.07915164
0.03429748  0.07739953
0.03266448  0.07562583
0.03107477  0.07383025
0.02952819  0.07201249
0.02802451  0.07017224
0.02656350  0.06830918
0.02514484  0.06642299
0.02376819  0.06451333
0.02243317  0.06257985
0.02113934  0.06062222
0.01988624  0.05864007
0.01867335  0.05663304
0.01750015  0.05460076
0.01636606  0.05254286
0.01527047  0.05045896
0.01421276  0.04834866
0.01319227  0.04621160
0.01220833  0.04404737
