# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03179
# Species         : Amaurospiza_relicta
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 61.60 mm
# Secondary1       : 52.20 mm
# Kipps Distance   : 9.10 mm
# Hand-Wing Index  : 14.90
# Tail Length      : 53.90 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.180
# Pointedness Index: 0.1477
# Efficiency Index : 0.0220
# Wing Loading Proxy: 0.0219
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2031  at x/c = 0.2736
# Max f/c          : 0.0602  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009111
0.99866610  0.00021712
0.99781741  0.00037779
0.99684042  0.00057285
0.99573054  0.00080204
0.99448383  0.00106506
0.99309687  0.00136161
0.99156684  0.00169136
0.98989141  0.00205399
0.98806873  0.00244914
0.98609745  0.00287645
0.98397664  0.00333557
0.98170577  0.00382609
0.97928474  0.00434764
0.97671379  0.00489980
0.97399353  0.00548216
0.97112488  0.00609429
0.96810907  0.00673577
0.96494764  0.00740614
0.96164236  0.00810496
0.95819527  0.00883177
0.95460866  0.00958611
0.95088501  0.01036749
0.94702701  0.01117543
0.94303752  0.01200946
0.93891960  0.01286907
0.93467643  0.01375376
0.93031135  0.01466304
0.92582781  0.01559638
0.92122941  0.01655328
0.91651980  0.01753322
0.91170276  0.01853567
0.90678213  0.01956010
0.90176182  0.02060599
0.89664581  0.02167280
0.89143812  0.02276000
0.88614279  0.02386704
0.88076391  0.02499338
0.87530558  0.02613849
0.86977193  0.02730181
0.86416708  0.02848279
0.85849514  0.02968090
0.85276022  0.03089557
0.84696642  0.03212627
0.84111780  0.03337243
0.83521842  0.03463352
0.82927226  0.03590897
0.82328331  0.03719824
0.81725549  0.03850077
0.81119266  0.03981603
0.80509865  0.04114345
0.79897723  0.04248249
0.79283208  0.04383260
0.78666686  0.04519324
0.78048513  0.04656387
0.77429037  0.04794394
0.76808603  0.04933290
0.76187544  0.05073023
0.75566187  0.05213539
0.74944850  0.05354784
0.74323844  0.05496705
0.73703471  0.05639249
0.73084023  0.05782364
0.72465784  0.05925998
0.71849032  0.06070098
0.71234031  0.06214612
0.70621039  0.06359490
0.70010304  0.06504681
0.69402065  0.06650133
0.68796552  0.06795798
0.68193986  0.06941623
0.67594577  0.07087562
0.66998528  0.07233563
0.66406030  0.07379579
0.65817268  0.07525561
0.65232416  0.07671462
0.64651637  0.07817234
0.64075090  0.07962830
0.63502919  0.08108205
0.62935263  0.08253311
0.62372251  0.08398103
0.61814003  0.08542536
0.61260631  0.08686567
0.60712237  0.08830150
0.60168915  0.08973242
0.59630753  0.09115800
0.59097826  0.09257781
0.58570206  0.09399145
0.58047953  0.09539848
0.57531122  0.09679850
0.57019759  0.09819111
0.56513902  0.09957591
0.56013583  0.10095250
0.55518825  0.10232050
0.55029646  0.10367952
0.54546057  0.10502919
0.54068059  0.10636914
0.53595651  0.10769899
0.53128822  0.10901840
0.52667557  0.11032700
0.52211834  0.11162445
0.51761626  0.11291040
0.51316899  0.11418452
0.50877615  0.11544648
0.50443730  0.11669594
0.50015194  0.11793260
0.49591953  0.11915613
0.49173950  0.12036623
0.48761119  0.12156260
0.48353395  0.12274494
0.47950704  0.12391296
0.47552971  0.12506637
0.47160117  0.12620490
0.46772057  0.12732827
0.46388706  0.12843622
0.46009973  0.12952849
0.45635765  0.13060481
0.45265986  0.13166495
0.44900537  0.13270866
0.44539318  0.13373570
0.44182224  0.13474583
0.43829150  0.13573885
0.43479987  0.13671451
0.43134627  0.13767262
0.42792958  0.13861296
0.42454867  0.13953533
0.42120240  0.14043953
0.41788962  0.14132538
0.41460917  0.14219269
0.41135987  0.14304127
0.40814054  0.14387097
0.40495001  0.14468160
0.40178708  0.14547301
0.39865057  0.14624505
0.39553930  0.14699755
0.39245206  0.14773039
0.38938767  0.14844341
0.38634496  0.14913648
0.38332274  0.14980949
0.38031985  0.15046229
0.37733511  0.15109479
0.37436739  0.15170686
0.37141553  0.15229841
0.36847841  0.15286932
0.36555491  0.15341951
0.36264392  0.15394889
0.35974435  0.15445737
0.35685514  0.15494487
0.35397523  0.15541131
0.35110359  0.15585664
0.34823920  0.15628079
0.34538106  0.15668369
0.34252822  0.15706530
0.33967971  0.15742556
0.33683461  0.15776443
0.33399203  0.15808188
0.33115108  0.15837786
0.32831093  0.15865236
0.32547075  0.15890534
0.32262975  0.15913679
0.31978716  0.15934669
0.31694226  0.15953503
0.31409434  0.15970180
0.31124272  0.15984701
0.30838678  0.15997065
0.30552589  0.16007273
0.30265949  0.16015327
0.29978704  0.16021227
0.29690802  0.16024976
0.29402197  0.16026576
0.29112844  0.16026029
0.28822704  0.16023340
0.28531739  0.16018510
0.28239916  0.16011545
0.27947206  0.16002447
0.27653582  0.15991223
0.27359023  0.15977876
0.27063509  0.15962411
0.26767027  0.15944834
0.26469564  0.15925152
0.26171113  0.15903369
0.25871671  0.15879493
0.25571236  0.15853529
0.25269814  0.15825486
0.24967410  0.15795369
0.24664037  0.15763187
0.24359709  0.15728947
0.24054444  0.15692656
0.23748263  0.15654324
0.23441194  0.15613957
0.23133264  0.15571565
0.22824506  0.15527156
0.22514957  0.15480739
0.22204656  0.15432322
0.21893647  0.15381915
0.21581974  0.15329526
0.21269689  0.15275166
0.20956844  0.15218842
0.20643494  0.15160565
0.20329700  0.15100344
0.20015524  0.15038188
0.19701030  0.14974107
0.19386287  0.14908111
0.19071366  0.14840208
0.18756340  0.14770408
0.18441285  0.14698721
0.18126281  0.14625156
0.17811409  0.14549722
0.17496751  0.14472428
0.17182395  0.14393284
0.16868428  0.14312299
0.16554939  0.14229481
0.16242022  0.14144838
0.15929768  0.14058381
0.15618275  0.13970116
0.15307638  0.13880052
0.14997956  0.13788197
0.14689328  0.13694559
0.14381855  0.13599144
0.14075639  0.13501961
0.13770782  0.13403015
0.13467387  0.13302313
0.13165558  0.13199863
0.12865399  0.13095668
0.12567015  0.12989735
0.12270511  0.12882070
0.11975989  0.12772676
0.11683556  0.12661558
0.11393315  0.12548719
0.11105368  0.12434164
0.10819820  0.12317895
0.10536770  0.12199915
0.10256322  0.12080225
0.09978573  0.11958827
0.09703621  0.11835723
0.09431565  0.11710912
0.09162498  0.11584394
0.08896513  0.11456168
0.08633702  0.11326234
0.08374153  0.11194590
0.08117953  0.11061232
0.07865185  0.10926158
0.07615931  0.10789364
0.07370269  0.10650846
0.07128274  0.10510598
0.06890018  0.10368616
0.06655570  0.10224893
0.06424996  0.10079421
0.06198356  0.09932193
0.05975709  0.09783201
0.05757108  0.09632437
0.05542604  0.09479889
0.05332243  0.09325548
0.05126065  0.09169403
0.04924109  0.09011442
0.04726406  0.08851653
0.04532985  0.08690023
0.04343870  0.08526538
0.04159080  0.08361183
0.03978627  0.08193945
0.03802522  0.08024806
0.03630770  0.07853752
0.03463368  0.07680765
0.03300313  0.07505828
0.03141594  0.07328924
0.02987196  0.07150033
0.02837098  0.06969136
0.02691277  0.06786216
0.02549703  0.06601251
0.02412342  0.06414221
0.02279155  0.06225106
0.02150100  0.06033885
0.02025130  0.05840537
0.01904194  0.05645040
0.01787237  0.05447373
0.01674200  0.05247515
0.01565024  0.05045442
0.01459641  0.04841135
0.01357986  0.04634570
0.01259989  0.04425726
0.01165578  0.04214583
0.01074680  0.04001118
0.00987221  0.03785311
0.00903125  0.03567142
0.00822319  0.03346592
0.00744727  0.03123640
0.00670277  0.02898269
0.00598896  0.02670461
0.00530517  0.02440201
0.00465072  0.02207471
0.00402500  0.01972259
0.00342745  0.01734552
0.00285755  0.01494337
0.00231486  0.01251606
0.00179901  0.01006351
0.00130972  0.00758565
0.00084681  0.00508246
0.00041022  0.00255390
0.00000000  0.00000000
0.00041022  -0.00149451
0.00084681  -0.00291567
0.00130972  -0.00426732
0.00179901  -0.00555313
0.00231486  -0.00677661
0.00285755  -0.00794112
0.00342745  -0.00904987
