# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03188
# Species         : Cyanoloxia_brissonii
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 75.60 mm
# Secondary1       : 65.40 mm
# Kipps Distance   : 11.40 mm
# Hand-Wing Index  : 14.80
# Tail Length      : 69.90 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.156
# Pointedness Index: 0.1508
# Efficiency Index : 0.0223
# Wing Loading Proxy: 0.0165
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2022  at x/c = 0.2736
# Max f/c          : 0.0602  at x/c = 0.3518
# Est. Reynolds    : 1.16e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009108
0.99866610  0.00021702
0.99781742  0.00037756
0.99684045  0.00057245
0.99573060  0.00080141
0.99448392  0.00106414
0.99309702  0.00136035
0.99156706  0.00168971
0.98989171  0.00205188
0.98806914  0.00244653
0.98609798  0.00287328
0.98397730  0.00333177
0.98170660  0.00382161
0.97928576  0.00434241
0.97671502  0.00489377
0.97399499  0.00547526
0.97112659  0.00608647
0.96811106  0.00672696
0.96494992  0.00739628
0.96164497  0.00809399
0.95819824  0.00881963
0.95461200  0.00957272
0.95088874  0.01035279
0.94703116  0.01115937
0.94304212  0.01199196
0.93892466  0.01285007
0.93468198  0.01373320
0.93031740  0.01464085
0.92583440  0.01557250
0.92123654  0.01652764
0.91652751  0.01750575
0.91171106  0.01850631
0.90679104  0.01952879
0.90177136  0.02057266
0.89665600  0.02163739
0.89144896  0.02272244
0.88615431  0.02382727
0.88077612  0.02495134
0.87531851  0.02609410
0.86978558  0.02725502
0.86418146  0.02843355
0.85851026  0.02962913
0.85277611  0.03084122
0.84698307  0.03206927
0.84113523  0.03331273
0.83523663  0.03457105
0.82929127  0.03584368
0.82330312  0.03713007
0.81727610  0.03842967
0.81121409  0.03974193
0.80512090  0.04106630
0.79900030  0.04240224
0.79285598  0.04374920
0.78669158  0.04510664
0.78051067  0.04647401
0.77431675  0.04785077
0.76811324  0.04923638
0.76190347  0.05063031
0.75569073  0.05203201
0.74947818  0.05344097
0.74326895  0.05485664
0.73706603  0.05627850
0.73087236  0.05770603
0.72469079  0.05913870
0.71852406  0.06057599
0.71237485  0.06201740
0.70624572  0.06346240
0.70013915  0.06491050
0.69405754  0.06636118
0.68800318  0.06781394
0.68197827  0.06926829
0.67598493  0.07072373
0.67002517  0.07217978
0.66410093  0.07363595
0.65821402  0.07509176
0.65236620  0.07654673
0.64655911  0.07800039
0.64079431  0.07945227
0.63507328  0.08090191
0.62939737  0.08234886
0.62376789  0.08379265
0.61818604  0.08523284
0.61265293  0.08666898
0.60716959  0.08810065
0.60173696  0.08952739
0.59635590  0.09094879
0.59102718  0.09236442
0.58575152  0.09377386
0.58052951  0.09517669
0.57536171  0.09657252
0.57024856  0.09796094
0.56519046  0.09934154
0.56018772  0.10071395
0.55524059  0.10207776
0.55034922  0.10343261
0.54551372  0.10477812
0.54073413  0.10611391
0.53601041  0.10743962
0.53134247  0.10875490
0.52673015  0.11005939
0.52217323  0.11135274
0.51767144  0.11263462
0.51322445  0.11390468
0.50883186  0.11516260
0.50449324  0.11640806
0.50020809  0.11764073
0.49597589  0.11886031
0.49179603  0.12006648
0.48766788  0.12125894
0.48359077  0.12243741
0.47956398  0.12360159
0.47558675  0.12475121
0.47165829  0.12588597
0.46777775  0.12700561
0.46394428  0.12810987
0.46015696  0.12919848
0.45641488  0.13027120
0.45271707  0.13132777
0.44906254  0.13236796
0.44545028  0.13339152
0.44187926  0.13439822
0.43834842  0.13538785
0.43485667  0.13636019
0.43140293  0.13731501
0.42798607  0.13825212
0.42460498  0.13917131
0.42125851  0.14007239
0.41794550  0.14095517
0.41466480  0.14181946
0.41141524  0.14266510
0.40819563  0.14349189
0.40500479  0.14429969
0.40184154  0.14508833
0.39870469  0.14585765
0.39559304  0.14660751
0.39250542  0.14733775
0.38944063  0.14804825
0.38639749  0.14873888
0.38337482  0.14940949
0.38037146  0.15005998
0.37738625  0.15069022
0.37441802  0.15130011
0.37146564  0.15188954
0.36852797  0.15245842
0.36560390  0.15300664
0.36269233  0.15353412
0.35979217  0.15404077
0.35690233  0.15452652
0.35402179  0.15499130
0.35114949  0.15543502
0.34828442  0.15585764
0.34542559  0.15625910
0.34257203  0.15663933
0.33972279  0.15699830
0.33687695  0.15733596
0.33403360  0.15765227
0.33119188  0.15794720
0.32835092  0.15822071
0.32550993  0.15847280
0.32266809  0.15870343
0.31982466  0.15891259
0.31697889  0.15910027
0.31413009  0.15926647
0.31127758  0.15941118
0.30842072  0.15953440
0.30555892  0.15963615
0.30269158  0.15971644
0.29981817  0.15977527
0.29693819  0.15981267
0.29405116  0.15982867
0.29115664  0.15982328
0.28825423  0.15979655
0.28534357  0.15974850
0.28242431  0.15967917
0.27949617  0.15958860
0.27655889  0.15947685
0.27361224  0.15934395
0.27065604  0.15918996
0.26769014  0.15901493
0.26471443  0.15881892
0.26172883  0.15860200
0.25873331  0.15836422
0.25572786  0.15810565
0.25271253  0.15782636
0.24968739  0.15752642
0.24665254  0.15720591
0.24360813  0.15686489
0.24055436  0.15650346
0.23749143  0.15612168
0.23441960  0.15571964
0.23133918  0.15529742
0.22825048  0.15485512
0.22515386  0.15439281
0.22204972  0.15391058
0.21893850  0.15340852
0.21582066  0.15288673
0.21269669  0.15234529
0.20956713  0.15178430
0.20643253  0.15120385
0.20329349  0.15060404
0.20015064  0.14998495
0.19700461  0.14934668
0.19385611  0.14868932
0.19070583  0.14801298
0.18755452  0.14731774
0.18440294  0.14660369
0.18125187  0.14587093
