# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03253
# Species         : Chloropsis_venusta
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 70.20 mm
# Secondary1       : 60.00 mm
# Kipps Distance   : 10.30 mm
# Hand-Wing Index  : 14.70
# Tail Length      : 52.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.170
# Pointedness Index: 0.1467
# Efficiency Index : 0.0216
# Wing Loading Proxy: 0.0224
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2030  at x/c = 0.2737
# Max f/c          : 0.0602  at x/c = 0.3518
# Est. Reynolds    : 1.05e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009111
0.99866610  0.00021713
0.99781744  0.00037780
0.99684048  0.00057289
0.99573066  0.00080209
0.99448401  0.00106513
0.99309717  0.00136170
0.99156727  0.00169148
0.98989201  0.00205413
0.98806954  0.00244931
0.98609850  0.00287666
0.98397797  0.00333580
0.98170743  0.00382635
0.97928677  0.00434793
0.97671624  0.00490012
0.97399644  0.00548251
0.97112830  0.00609467
0.96811305  0.00673617
0.96495221  0.00740657
0.96164758  0.00810542
0.95820120  0.00883225
0.95461533  0.00958660
0.95089247  0.01036800
0.94703531  0.01117596
0.94304671  0.01200999
0.93892972  0.01286960
0.93468752  0.01375430
0.93032346  0.01466357
0.92584099  0.01559691
0.92124368  0.01655380
0.91653522  0.01753372
0.91171936  0.01853615
0.90679995  0.01956056
0.90178090  0.02060642
0.89666618  0.02167319
0.89145981  0.02276035
0.88616583  0.02386734
0.88078834  0.02499363
0.87533144  0.02613867
0.86979923  0.02730192
0.86419584  0.02848284
0.85852540  0.02968086
0.85279200  0.03089545
0.84699973  0.03212606
0.84115267  0.03337212
0.83525486  0.03463310
0.82931030  0.03590844
0.82332295  0.03719759
0.81729674  0.03850000
0.81123554  0.03981512
0.80514317  0.04114240
0.79902339  0.04248129
0.79287990  0.04383125
0.78671633  0.04519173
0.78053626  0.04656218
0.77434317  0.04794208
0.76814049  0.04933086
0.76193156  0.05072800
0.75571965  0.05213296
0.74950794  0.05354521
0.74329953  0.05496421
0.73709744  0.05638943
0.73090460  0.05782036
0.72472384  0.05925646
0.71855793  0.06069722
0.71240953  0.06214213
0.70628121  0.06359066
0.70017544  0.06504231
0.69409462  0.06649657
0.68804105  0.06795294
0.68201692  0.06941093
0.67602435  0.07087003
0.67006536  0.07232976
0.66414187  0.07378963
0.65825571  0.07524915
0.65240863  0.07670786
0.64660227  0.07816527
0.64083819  0.07962092
0.63511786  0.08107435
0.62944266  0.08252509
0.62381387  0.08397268
0.61823270  0.08541669
0.61270026  0.08685666
0.60721758  0.08829215
0.60178559  0.08972273
0.59640517  0.09114796
0.59107709  0.09256743
0.58580204  0.09398071
0.58058063  0.09538739
0.57541342  0.09678706
0.57030086  0.09817931
0.56524334  0.09956375
0.56024116  0.10093997
0.55529457  0.10230761
0.55040375  0.10366626
0.54556878  0.10501556
0.54078971  0.10635514
0.53606650  0.10768462
0.53139906  0.10900366
0.52678723  0.11031189
0.52223079  0.11160896
0.51772947  0.11289454
0.51328293  0.11416829
0.50889080  0.11542987
0.50455262  0.11667897
0.50026791  0.11791525
0.49603613  0.11913842
0.49185669  0.12034815
0.48772895  0.12154415
0.48365224  0.12272613
0.47962585  0.12389378
0.47564901  0.12504684
0.47172092  0.12618501
0.46784076  0.12730803
0.46400765  0.12841562
0.46022070  0.12950754
0.45647897  0.13058352
0.45278151  0.13164332
0.44912733  0.13268669
0.44551542  0.13371340
0.44194473  0.13472320
0.43841422  0.13571589
0.43492281  0.13669124
0.43146939  0.13764903
0.42805286  0.13858906
0.42467209  0.13951113
0.42132594  0.14041504
0.41801325  0.14130060
0.41473287  0.14216762
0.41148362  0.14301593
0.40826433  0.14384535
0.40507380  0.14465572
0.40191087  0.14544688
0.39877433  0.14621866
0.39566300  0.14697093
0.39257569  0.14770353
0.38951122  0.14841632
0.38646840  0.14910918
0.38344606  0.14978198
0.38044302  0.15043459
0.37745813  0.15106689
0.37449023  0.15167878
0.37153818  0.15227016
0.36860085  0.15284091
0.36567712  0.15339095
0.36276588  0.15392018
0.35986606  0.15442853
0.35697658  0.15491591
0.35409638  0.15538225
0.35122443  0.15582748
0.34835973  0.15625154
0.34550126  0.15665436
0.34264807  0.15703590
0.33979920  0.15739611
0.33695374  0.15773495
0.33411077  0.15805236
0.33126943  0.15834834
0.32842886  0.15862283
0.32558826  0.15887582
0.32274682  0.15910729
0.31990379  0.15931723
0.31705843  0.15950562
0.31421004  0.15967245
0.31135795  0.15981774
0.30850151  0.15994147
0.30564013  0.16004365
0.30277322  0.16012431
0.29990024  0.16018344
0.29702069  0.16022108
0.29413410  0.16023724
0.29124002  0.16023196
0.28833805  0.16020525
0.28542783  0.16015716
0.28250901  0.16008773
0.27958132  0.15999700
0.27664448  0.15988500
0.27369828  0.15975180
0.27074253  0.15959744
0.26777708  0.15942198
0.26480181  0.15922547
0.26181666  0.15900798
0.25882158  0.15876957
0.25581657  0.15851030
0.25280168  0.15823025
0.24977696  0.15792948
0.24674254  0.15760807
0.24369856  0.15726611
0.24064521  0.15690365
0.23758269  0.15652079
0.23451127  0.15611761
0.23143125  0.15569419
0.22834293  0.15525062
0.22524670  0.15478698
0.22214293  0.15430336
0.21903207  0.15379986
0.21591458  0.15327656
0.21279095  0.15273356
0.20966171  0.15217094
0.20652742  0.15158881
0.20338868  0.15098725
0.20024611  0.15036637
0.19710035  0.14972624
0.19395210  0.14906698
0.19080205  0.14838867
0.18765095  0.14769141
0.18449956  0.14697530
0.18134866  0.14624041
0.17819907  0.14548686
0.17505163  0.14471473
0.17190718  0.14392410
0.16876662  0.14311508
0.16563084  0.14228775
0.16250077  0.14144219
0.15937732  0.14057849
0.15626147  0.13969674
0.15315418  0.13879700
0.15005642  0.13787937
0.14696921  0.13694392
0.14389353  0.13599072
0.14083042  0.13501985
0.13778088  0.13403136
0.13474597  0.13302533
0.13172670  0.13200181
0.12872414  0.13096087
0.12573931  0.12990256
0.12277327  0.12882693
0.11982705  0.12773402
0.11690171  0.12662388
0.11399829  0.12549654
0.11111780  0.12435205
0.10826129  0.12319042
0.10542977  0.12201168
0.10262424  0.12081586
0.09984571  0.11960295
0.09709516  0.11837299
0.09437354  0.11712595
0.09168181  0.11586185
0.08902091  0.11458068
0.08639173  0.11328242
0.08379517  0.11196705
0.08123210  0.11063454
0.07870335  0.10928487
0.07620973  0.10791799
0.07375203  0.10653386
0.07133099  0.10513243
0.06894735  0.10371364
0.06660178  0.10227743
0.06429495  0.10082372
0.06202746  0.09935243
0.05979990  0.09786349
0.05761280  0.09635680
0.05546667  0.09483226
0.05336197  0.09328977
0.05129911  0.09172921
0.04927846  0.09015046
0.04730035  0.08855341
0.04536506  0.08693791
0.04347283  0.08530383
0.04162385  0.08365102
0.03981825  0.08197933
0.03805614  0.08028861
0.03633755  0.07857868
0.03466248  0.07684938
0.03303088  0.07510053
0.03144265  0.07333195
0.02989763  0.07154346
0.02839563  0.06973485
0.02693640  0.06790594
0.02551965  0.06605652
0.02414504  0.06418639
0.02281219  0.06229534
0.02152066  0.06038315
0.02027000  0.05844961
0.01905968  0.05649451
0.01788918  0.05451761
0.01675789  0.05251871
0.01566521  0.05049758
0.01461050  0.04845399
0.01359307  0.04638773
0.01261224  0.04429857
0.01166728  0.04218631
0.01075748  0.04005071
0.00988208  0.03789157
0.00904034  0.03570868
0.00823150  0.03350185
0.00745484  0.03127086
0.00670961  0.02901554
0.00599510  0.02673570
0.00531062  0.02443117
0.00465552  0.02210180
0.00402917  0.01974743
0.00343100  0.01736793
0.00286052  0.01496318
0.00231727  0.01253308
0.00180088  0.01007755
0.00131108  0.00759650
0.00084769  0.00508991
0.00041065  0.00255774
0.00000000  0.00000000
0.00041065  -0.00149567
0.00084769  -0.00291787
0.00131108  -0.00427044
0.00180088  -0.00555708
0.00231727  -0.00678129
0.00286052  -0.00794643
0.00343100  -0.00905571
