# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03340
# Species         : Cisticola_luapula
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 58.20 mm
# Secondary1       : 51.30 mm
# Kipps Distance   : 6.90 mm
# Hand-Wing Index  : 11.70
# Tail Length      : 51.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.135
# Pointedness Index: 0.1186
# Efficiency Index : 0.0139
# Wing Loading Proxy: 0.0222
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2071  at x/c = 0.2754
# Max f/c          : 0.0607  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939168  0.00009132
0.99866622  0.00021797
0.99781781  0.00037970
0.99684135  0.00057626
0.99573233  0.00080736
0.99448685  0.00107272
0.99310157  0.00137203
0.99157371  0.00170497
0.98990099  0.00207120
0.98808161  0.00247037
0.98611424  0.00290213
0.98399798  0.00336611
0.98173235  0.00386191
0.97931726  0.00438914
0.97675296  0.00494740
0.97404009  0.00553627
0.97117957  0.00615533
0.96817265  0.00680413
0.96502085  0.00748223
0.96172598  0.00818918
0.95829007  0.00892452
0.95471538  0.00968777
0.95100441  0.01047846
0.94715984  0.01129611
0.94318451  0.01214022
0.93908148  0.01301029
0.93485391  0.01390583
0.93050513  0.01482632
0.92603857  0.01577126
0.92145781  0.01674011
0.91676649  0.01773236
0.91196836  0.01874748
0.90706725  0.01978494
0.90206705  0.02084421
0.89697170  0.02192473
0.89178520  0.02302598
0.88651158  0.02414741
0.88115490  0.02528847
0.87571924  0.02644862
0.87020869  0.02762729
0.86462735  0.02882394
0.85897930  0.03003802
0.85326864  0.03126897
0.84749943  0.03251623
0.84167572  0.03377925
0.83580152  0.03505748
0.82988080  0.03635034
0.82391752  0.03765729
0.81791557  0.03897777
0.81187879  0.04031123
0.80581099  0.04165710
0.79971590  0.04301484
0.79359719  0.04438388
0.78745849  0.04576369
0.78130333  0.04715369
0.77513518  0.04855336
0.76895746  0.04996213
0.76277347  0.05137947
0.75658647  0.05280483
0.75039961  0.05423766
0.74421598  0.05567744
0.73803859  0.05712362
0.73187032  0.05857567
0.72571402  0.06003306
0.71957242  0.06149526
0.71344816  0.06296175
0.70734380  0.06443201
0.70126181  0.06590552
0.69520455  0.06738177
0.68917431  0.06886024
0.68317328  0.07034044
0.67720355  0.07182185
0.67126714  0.07330398
0.66536595  0.07478633
0.65950180  0.07626842
0.65367643  0.07774976
0.64789147  0.07922986
0.64214847  0.08070825
0.63644889  0.08218447
0.63079409  0.08365803
0.62518536  0.08512848
0.61962390  0.08659535
0.61411080  0.08805821
0.60864709  0.08951659
0.60323371  0.09097005
0.59787150  0.09241816
0.59256125  0.09386048
0.58730364  0.09529659
0.58209929  0.09672606
0.57694873  0.09814848
0.57185242  0.09956343
0.56681073  0.10097050
0.56182400  0.10236931
0.55689244  0.10375944
0.55201624  0.10514052
0.54719548  0.10651216
0.54243021  0.10787397
0.53772039  0.10922559
0.53306593  0.11056665
0.52846667  0.11189679
0.52392239  0.11321565
0.51943282  0.11452288
0.51499763  0.11581815
0.51061644  0.11710110
0.50628880  0.11837142
0.50201424  0.11962877
0.49779220  0.12087283
0.49362210  0.12210329
0.48950333  0.12331984
0.48543520  0.12452217
0.48141699  0.12571000
0.47744796  0.12688303
0.47352731  0.12804098
0.46965422  0.12918357
0.46582781  0.13031052
0.46204720  0.13142158
0.45831146  0.13251647
0.45461963  0.13359495
0.45097073  0.13465677
0.44736376  0.13570168
0.44379769  0.13672945
0.44027145  0.13773985
0.43678399  0.13873265
0.43333421  0.13970765
0.42992100  0.14066461
0.42654325  0.14160334
0.42319981  0.14252365
0.41988954  0.14342532
0.41661128  0.14430818
0.41336387  0.14517204
0.41014614  0.14601673
0.40695691  0.14684208
0.40379500  0.14764791
0.40065922  0.14843408
0.39754840  0.14920042
0.39446135  0.14994680
0.39139689  0.15067307
0.38835385  0.15137909
0.38533105  0.15206474
0.38232732  0.15272988
0.37934152  0.15337441
0.37637250  0.15399820
0.37341911  0.15460116
0.37048024  0.15518317
0.36755477  0.15574415
0.36464159  0.15628400
0.36173964  0.15680263
0.35884784  0.15729997
0.35596514  0.15777594
0.35309052  0.15823047
0.35022296  0.15866350
0.34736147  0.15907497
0.34450509  0.15946482
0.34165288  0.15983301
0.33880390  0.16017949
0.33595727  0.16050422
0.33311212  0.16080718
0.33026760  0.16108833
0.32742289  0.16134764
0.32457721  0.16158511
0.32172979  0.16180071
0.31887991  0.16199443
0.31602686  0.16216628
0.31316998  0.16231624
0.31030863  0.16244433
0.30744220  0.16255055
0.30457011  0.16263492
0.30169184  0.16269744
0.29880687  0.16273815
0.29591473  0.16275706
0.29301499  0.16275421
0.29010724  0.16272963
0.28719111  0.16268335
0.28426627  0.16261542
0.28133243  0.16252588
0.27838934  0.16241477
0.27543675  0.16228216
0.27247450  0.16212808
0.26950243  0.16195261
0.26652042  0.16175579
0.26352841  0.16153770
0.26052634  0.16129840
0.25751423  0.16103796
0.25449211  0.16075644
0.25146004  0.16045394
0.24841814  0.16013051
