# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03358
# Species         : Cisticola_woosnami
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 59.30 mm
# Secondary1       : 53.00 mm
# Kipps Distance   : 5.40 mm
# Hand-Wing Index  : 9.20
# Tail Length      : 50.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.119
# Pointedness Index: 0.0911
# Efficiency Index : 0.0084
# Wing Loading Proxy: 0.0223
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2102  at x/c = 0.2769
# Max f/c          : 0.0610  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939170  0.00009148
0.99866631  0.00021860
0.99781813  0.00038113
0.99684208  0.00057879
0.99573372  0.00081132
0.99448920  0.00107842
0.99310524  0.00137979
0.99157908  0.00171510
0.98990847  0.00208401
0.98809167  0.00248619
0.98612735  0.00292127
0.98401466  0.00338888
0.98175312  0.00388862
0.97934266  0.00442012
0.97678356  0.00498294
0.97407646  0.00557669
0.97122229  0.00620093
0.96822231  0.00685522
0.96507806  0.00753912
0.96179131  0.00825217
0.95836412  0.00899391
0.95479876  0.00976386
0.95109769  0.01056155
0.94726361  0.01138649
0.94329935  0.01223819
0.93920795  0.01311615
0.93499257  0.01401985
0.93065652  0.01494880
0.92620323  0.01590247
0.92163625  0.01688034
0.91695922  0.01788189
0.91217587  0.01890658
0.90729001  0.01995388
0.90230551  0.02102325
0.89722631  0.02211415
0.89205637  0.02322603
0.88679971  0.02435835
0.88146037  0.02551055
0.87604241  0.02668208
0.87054991  0.02787239
0.86498693  0.02908093
0.85935756  0.03030712
0.85366585  0.03155042
0.84791586  0.03281026
0.84211160  0.03408608
0.83625707  0.03537732
0.83035623  0.03668342
0.82441300  0.03800382
0.81843126  0.03933795
0.81241484  0.04068525
0.80636752  0.04204517
0.80029300  0.04341715
0.79419495  0.04480061
0.78807697  0.04619501
0.78194257  0.04759980
0.77579522  0.04901441
0.76963829  0.05043829
0.76347509  0.05187089
0.75730885  0.05331167
0.75114271  0.05476007
0.74497974  0.05621555
0.73882292  0.05767758
0.73267515  0.05914560
0.72653924  0.06061909
0.72041790  0.06209751
0.71431377  0.06358034
0.70822939  0.06506704
0.70216721  0.06655708
0.69612959  0.06804997
0.69011881  0.06954516
0.68413704  0.07104216
0.67818636  0.07254045
0.67226878  0.07403954
0.66638619  0.07553891
0.66054040  0.07703808
0.65473314  0.07853655
0.64896603  0.08003383
0.64324062  0.08152944
0.63755835  0.08302291
0.63192059  0.08451375
0.62632861  0.08600150
0.62078360  0.08748570
0.61528665  0.08896589
0.60983879  0.09044160
0.60444094  0.09191240
0.59909396  0.09337784
0.59379861  0.09483748
0.58855558  0.09629088
0.58336548  0.09773762
0.57822884  0.09917728
0.57314613  0.10060943
0.56811771  0.10203366
0.56314390  0.10344958
0.55822493  0.10485677
0.55336098  0.10625485
0.54855214  0.10764341
0.54379844  0.10902209
0.53909987  0.11039049
0.53445631  0.11174825
0.52986761  0.11309501
0.52533356  0.11443039
0.52085389  0.11575405
0.51642826  0.11706563
0.51205630  0.11836480
0.50773756  0.11965121
0.50347157  0.12092454
0.49925778  0.12218446
0.49509562  0.12343065
0.49098445  0.12466279
0.48692361  0.12588059
0.48291239  0.12708374
0.47895003  0.12827194
0.47503575  0.12944490
0.47116872  0.13060235
0.46734808  0.13174401
0.46357295  0.13286960
0.45984239  0.13397886
0.45615547  0.13507154
0.45251119  0.13614738
0.44890857  0.13720613
0.44534657  0.13824756
0.44182415  0.13927143
0.43834024  0.14027752
0.43489376  0.14126560
0.43148359  0.14223545
0.42810863  0.14318687
0.42476775  0.14411966
0.42145980  0.14503361
0.41818363  0.14592854
0.41493809  0.14680426
0.41172199  0.14766059
0.40853419  0.14849735
0.40537349  0.14931439
0.40223872  0.15011154
0.39912871  0.15088864
0.39604226  0.15164555
0.39297822  0.15238212
0.38993541  0.15309822
0.38691266  0.15379370
0.38390881  0.15446845
0.38092271  0.15512235
0.37795322  0.15575528
0.37499920  0.15636714
0.37205954  0.15695781
0.36913312  0.15752720
0.36621885  0.15807523
0.36331565  0.15860180
0.36042246  0.15910683
0.35753824  0.15959025
0.35466196  0.16005199
0.35179260  0.16049199
0.34892920  0.16091018
0.34607077  0.16130651
0.34321638  0.16168093
0.34036512  0.16203340
0.33751609  0.16236388
0.33466842  0.16267235
0.33182126  0.16295876
0.32897382  0.16322309
0.32612529  0.16346534
0.32327492  0.16368548
0.32042199  0.16388350
0.31756579  0.16405941
0.31470566  0.16421320
0.31184096  0.16434487
0.30897108  0.16445445
0.30609545  0.16454193
0.30321355  0.16460734
0.30032485  0.16465071
0.29742889  0.16467205
0.29452523  0.16467140
0.29161347  0.16464880
0.28869324  0.16460428
0.28576421  0.16453788
0.28282609  0.16444965
0.27987862  0.16433964
0.27692156  0.16420791
0.27395475  0.16405451
0.27097801  0.16387949
0.26799125  0.16368293
0.26499438  0.16346489
0.26198737  0.16322543
0.25897021  0.16296464
0.25594293  0.16268257
0.25290561  0.16237932
0.24985834  0.16205496
0.24680129  0.16170957
0.24373461  0.16134323
0.24065854  0.16095604
0.23757332  0.16054808
0.23447923  0.16011944
0.23137660  0.15967021
0.22826579  0.15920048
0.22514718  0.15871035
0.22202121  0.15819992
0.21888833  0.15766928
0.21574902  0.15711852
0.21260382  0.15654776
0.20945328  0.15595707
0.20629798  0.15534658
0.20313854  0.15471636
0.19997561  0.15406653
0.19680986  0.15339719
0.19364200  0.15270842
0.19047275  0.15200034
0.18730287  0.15127304
0.18413314  0.15052661
0.18096437  0.14976115
0.17779740  0.14897677
0.17463306  0.14817354
0.17147223  0.14735158
0.16831582  0.14651095
0.16516472  0.14565176
0.16201988  0.14477409
0.15888224  0.14387803
0.15575276  0.14296365
0.15263242  0.14203103
0.14952221  0.14108026
0.14642314  0.14011141
0.14333621  0.13912454
0.14026244  0.13811972
0.13720288  0.13709701
0.13415854  0.13605648
0.13113047  0.13499817
0.12811970  0.13392214
0.12512730  0.13282843
0.12215429  0.13171709
0.11920171  0.13058815
0.11627062  0.12944165
0.11336203  0.12827760
0.11047699  0.12709603
0.10761649  0.12589695
0.10478157  0.12468038
0.10197320  0.12344631
0.09919239  0.12219474
0.09644009  0.12092567
0.09371726  0.11963908
0.09102484  0.11833494
0.08836373  0.11701322
0.08573485  0.11567390
0.08313905  0.11431692
0.08057718  0.11294223
0.07805007  0.11154978
0.07555850  0.11013949
0.07310324  0.10871131
0.07068503  0.10726513
0.06830455  0.10580088
0.06596248  0.10431846
0.06365945  0.10281776
0.06139604  0.10129867
0.05917282  0.09976106
0.05699030  0.09820481
0.05484896  0.09662977
0.05274923  0.09503581
0.05069151  0.09342276
0.04867613  0.09179046
0.04670340  0.09013874
0.04477359  0.08846742
0.04288690  0.08677632
0.04104349  0.08506523
0.03924349  0.08333395
0.03748697  0.08158227
0.03577394  0.07980998
0.03410438  0.07801683
0.03247821  0.07620260
0.03089532  0.07436705
0.02935554  0.07250992
0.02785865  0.07063097
0.02640439  0.06872992
0.02499245  0.06680651
0.02362249  0.06486047
0.02229410  0.06289151
0.02100685  0.06089936
0.01976028  0.05888373
0.01855386  0.05684431
0.01738705  0.05478082
0.01625927  0.05269295
0.01516991  0.05058041
0.01411834  0.04844289
0.01310389  0.04628008
0.01212589  0.04409169
0.01118365  0.04187741
0.01027645  0.03963693
