# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03426
# Species         : Scepomycter_winifredae
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 56.30 mm
# Secondary1       : 51.80 mm
# Kipps Distance   : 4.50 mm
# Hand-Wing Index  : 8.10
# Tail Length      : 53.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.087
# Pointedness Index: 0.0799
# Efficiency Index : 0.0065
# Wing Loading Proxy: 0.0202
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2116  at x/c = 0.2776
# Max f/c          : 0.0611  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939170  0.00009155
0.99866635  0.00021887
0.99781827  0.00038173
0.99684240  0.00057987
0.99573433  0.00081301
0.99449024  0.00108085
0.99310686  0.00138309
0.99158144  0.00171941
0.98991177  0.00208948
0.98809609  0.00249294
0.98613312  0.00292944
0.98402199  0.00339860
0.98176226  0.00390003
0.97935384  0.00443334
0.97679703  0.00499812
0.97409246  0.00559396
0.97124109  0.00622041
0.96824417  0.00687706
0.96510323  0.00756344
0.96182006  0.00827911
0.95839671  0.00902359
0.95483544  0.00979642
0.95113874  0.01059711
0.94730927  0.01142518
0.94334988  0.01228014
0.93926359  0.01316148
0.93505358  0.01406869
0.93072313  0.01500127
0.92627568  0.01595870
0.92171476  0.01694045
0.91704402  0.01794600
0.91226717  0.01897480
0.90738802  0.02002634
0.90241043  0.02110006
0.89733833  0.02219543
0.89217568  0.02331189
0.88692648  0.02444891
0.88159477  0.02560591
0.87618461  0.02678236
0.87070004  0.02797769
0.86514515  0.02919135
0.85952399  0.03042277
0.85384062  0.03167140
0.84809908  0.03293667
0.84230338  0.03421802
0.83645751  0.03551489
0.83056541  0.03682671
0.82463101  0.03815292
0.81865817  0.03949296
0.81265070  0.04084625
0.80661239  0.04221225
0.80054692  0.04359038
0.79445797  0.04498009
0.78834910  0.04638082
0.78222384  0.04779200
0.77608563  0.04921308
0.76993785  0.05064351
0.76378380  0.05208273
0.75762669  0.05353019
0.75146966  0.05498534
0.74531578  0.05644764
0.73916802  0.05791653
0.73302927  0.05939149
0.72690232  0.06087197
0.72078989  0.06235743
0.71469462  0.06384734
0.70861902  0.06534117
0.70256556  0.06683841
0.69653659  0.06833851
0.69053436  0.06984097
0.68456106  0.07134527
0.67861877  0.07285091
0.67270946  0.07435736
0.66683505  0.07586413
0.66099734  0.07737073
0.65519804  0.07887664
0.64943879  0.08038140
0.64372111  0.08188450
0.63804645  0.08338548
0.63241618  0.08488384
0.62683156  0.08637913
0.62129378  0.08787087
0.61580393  0.08935860
0.61036303  0.09084186
0.60497201  0.09232021
0.59963171  0.09379320
0.59434291  0.09526038
0.58910629  0.09672132
0.58392245  0.09817559
0.57879193  0.09962275
0.57371518  0.10106240
0.56869258  0.10249412
0.56372444  0.10391750
0.55881100  0.10533213
0.55395242  0.10673762
0.54914881  0.10813357
0.54440019  0.10951960
0.53970654  0.11089533
0.53506776  0.11226038
0.53048369  0.11361438
0.52595412  0.11495698
0.52147877  0.11628780
0.51705733  0.11760651
0.51268940  0.11891276
0.50837455  0.12020620
0.50411230  0.12148651
0.49990211  0.12275335
0.49574340  0.12400641
0.49163555  0.12524537
0.48757789  0.12646992
0.48356970  0.12767976
0.47961024  0.12887459
0.47569872  0.13005412
0.47183431  0.13121806
0.46801617  0.13236615
0.46424340  0.13349809
0.46051508  0.13461364
0.45683026  0.13571252
0.45318797  0.13679449
0.44958720  0.13785930
0.44602694  0.13890670
0.44250614  0.13993646
0.43902373  0.14094836
0.43557863  0.14194216
0.43216974  0.14291765
0.42879594  0.14387462
0.42545611  0.14481287
0.42214911  0.14573219
0.41887379  0.14663240
0.41562898  0.14751331
0.41241353  0.14837473
0.40922627  0.14921650
0.40606602  0.15003844
0.40293160  0.15084040
0.39982185  0.15162221
0.39673558  0.15238372
0.39367163  0.15312480
0.39062882  0.15384530
0.38760598  0.15454510
0.38460197  0.15522406
0.38161563  0.15588206
0.37864582  0.15651898
0.37569141  0.15713473
0.37275128  0.15772919
0.36982432  0.15830227
0.36690945  0.15885388
0.36400558  0.15938392
0.36111165  0.15989232
0.35822662  0.16037901
0.35534947  0.16084390
0.35247918  0.16128694
0.34961479  0.16170807
0.34675532  0.16210724
0.34389983  0.16248439
0.34104740  0.16283948
0.33819716  0.16317248
0.33534822  0.16348334
0.33249975  0.16377205
0.32965094  0.16403858
0.32680099  0.16428292
0.32394916  0.16450504
0.32109471  0.16470494
0.31823695  0.16488262
0.31537521  0.16503807
0.31250885  0.16517131
0.30963728  0.16528235
0.30675991  0.16537119
0.30387622  0.16543786
0.30098569  0.16548238
0.29808785  0.16550477
0.29518228  0.16550508
0.29226856  0.16548333
0.28934633  0.16543956
0.28641526  0.16537382
0.28347506  0.16528615
0.28052545  0.16517661
0.27756623  0.16504525
0.27459720  0.16489212
0.27161821  0.16471729
0.26862915  0.16452082
0.26562994  0.16430278
0.26262054  0.16406323
0.25960095  0.16380226
0.25657119  0.16351993
0.25353135  0.16321633
0.25048152  0.16289153
0.24742185  0.16254562
0.24435251  0.16217868
0.24127372  0.16179080
0.23818574  0.16138207
0.23508884  0.16095259
0.23198335  0.16050243
0.22886962  0.16003170
0.22574805  0.15954050
0.22261905  0.15902891
0.21948309  0.15849704
0.21634065  0.15794499
0.21319226  0.15737285
0.21003846  0.15678072
0.20687986  0.15616872
0.20371705  0.15553692
0.20055068  0.15488544
0.19738143  0.15421438
0.19421001  0.15352384
0.19103713  0.15281391
0.18786355  0.15208470
0.18469006  0.15133630
0.18151745  0.15056881
0.17834657  0.14978233
0.17517825  0.14897695
0.17201337  0.14815276
0.16885283  0.14730986
0.16569753  0.14644833
0.16254841  0.14556826
0.15940641  0.14466974
0.15627249  0.14375285
0.15314764  0.14281766
0.15003283  0.14186425
0.14692908  0.14089270
0.14383739  0.13990308
0.14075878  0.13889545
0.13769428  0.13786987
0.13464492  0.13682640
0.13161175  0.13576510
0.12859580  0.13468602
0.12559812  0.13358919
0.12261975  0.13247467
0.11966174  0.13134248
0.11672511  0.13019265
0.11381090  0.12902522
0.11092015  0.12784019
0.10805386  0.12663759
0.10521305  0.12541741
0.10239872  0.12417967
0.09961185  0.12292435
0.09685342  0.12165143
0.09412437  0.12036092
0.09142564  0.11905277
0.08875815  0.11772695
0.08612280  0.11638343
0.08352046  0.11502215
0.08095197  0.11364307
0.07841816  0.11224612
0.07591982  0.11083122
0.07345771  0.10939831
0.07103258  0.10794729
0.06864512  0.10647806
0.06629600  0.10499054
0.06398586  0.10348460
0.06171529  0.10196012
0.05948484  0.10041698
0.05729505  0.09885504
0.05514638  0.09727416
0.05303928  0.09567418
0.05097413  0.09405493
0.04895130  0.09241625
0.04697109  0.09075796
0.04503376  0.08907987
0.04313953  0.08738177
0.04128856  0.08566348
0.03948098  0.08392476
0.03771686  0.08216541
0.03599624  0.08038518
0.03431909  0.07858385
0.03268534  0.07676116
0.03109487  0.07491686
0.02954754  0.07305070
0.02804311  0.07116239
0.02658135  0.06925168
0.02516194  0.06731826
0.02378456  0.06536187
0.02244879  0.06338221
0.02115423  0.06137896
0.01990040  0.05935184
0.01868680  0.05730054
0.01751289  0.05522474
0.01637809  0.05312412
0.01528180  0.05099837
0.01422340  0.04884717
0.01320223  0.04667019
0.01221762  0.04446712
0.01126889  0.04223763
0.01035533  0.03998139
0.00947624  0.03769809
0.00863091  0.03538740
0.00781865  0.03304902
0.00703877  0.03068263
0.00629058  0.02828794
0.00557344  0.02586463
0.00488674  0.02341243
0.00422989  0.02093104
0.00360235  0.01842021
0.00300366  0.01587967
0.00243340  0.01330918
0.00189123  0.01070851
0.00137690  0.00807744
0.00089027  0.00541577
0.00043127  0.00272335
0.00000000  0.00000000
0.00043127  -0.00155972
0.00089027  -0.00304360
0.00137690  -0.00445562
0.00189123  -0.00579957
0.00243340  -0.00707910
0.00300366  -0.00829766
0.00360235  -0.00945858
0.00422989  -0.01056503
0.00488674  -0.01162002
0.00557344  -0.01262644
0.00629058  -0.01358704
0.00703877  -0.01450444
0.00781865  -0.01538115
0.00863091  -0.01621955
0.00947624  -0.01702190
0.01035533  -0.01779037
0.01126889  -0.01852700
0.01221762  -0.01923376
0.01320223  -0.01991249
0.01422340  -0.02056497
0.01528180  -0.02119286
0.01637809  -0.02179776
0.01751289  -0.02238116
0.01868680  -0.02294450
0.01990040  -0.02348911
0.02115423  -0.02401629
0.02244879  -0.02452723
0.02378456  -0.02502307
0.02516194  -0.02550488
0.02658135  -0.02597369
0.02804311  -0.02643043
0.02954754  -0.02687600
0.03109487  -0.02731124
0.03268534  -0.02773694
0.03431909  -0.02815383
0.03599624  -0.02856260
0.03771686  -0.02896389
0.03948098  -0.02935829
0.04128856  -0.02974636
0.04313953  -0.03012861
0.04503376  -0.03050551
0.04697109  -0.03087750
0.04895130  -0.03124497
0.05097413  -0.03160829
0.05303928  -0.03196778
0.05514638  -0.03232375
0.05729505  -0.03267646
0.05948484  -0.03302615
0.06171529  -0.03337304
0.06398586  -0.03371730
0.06629600  -0.03405910
0.06864512  -0.03439856
0.07103258  -0.03473581
0.07345771  -0.03507092
0.07591982  -0.03540398
0.07841816  -0.03573501
0.08095197  -0.03606406
0.08352046  -0.03639113
0.08612280  -0.03671621
0.08875815  -0.03703928
0.09142564  -0.03736030
0.09412437  -0.03767922
0.09685342  -0.03799595
0.09961185  -0.03831043
0.10239872  -0.03862256
0.10521305  -0.03893222
0.10805386  -0.03923930
0.11092015  -0.03954368
0.11381090  -0.03984520
0.11672511  -0.04014372
0.11966174  -0.04043909
0.12261975  -0.04073114
0.12559812  -0.04101969
0.12859580  -0.04130457
0.13161175  -0.04158558
0.13464492  -0.04186254
0.13769428  -0.04213525
0.14075878  -0.04240351
0.14383739  -0.04266710
0.14692908  -0.04292582
0.15003283  -0.04317944
0.15314764  -0.04342777
0.15627249  -0.04367057
0.15940641  -0.04390762
0.16254841  -0.04413870
0.16569753  -0.04436359
0.16885283  -0.04458206
0.17201337  -0.04479388
0.17517825  -0.04499883
0.17834657  -0.04519668
0.18151745  -0.04538720
0.18469006  -0.04557019
0.18786355  -0.04574540
0.19103713  -0.04591263
0.19421001  -0.04607166
0.19738143  -0.04622226
0.20055068  -0.04636423
0.20371705  -0.04649736
0.20687986  -0.04662144
0.21003846  -0.04673628
0.21319226  -0.04684166
0.21634065  -0.04693741
0.21948309  -0.04702333
0.22261905  -0.04709924
0.22574805  -0.04716496
0.22886962  -0.04722032
0.23198335  -0.04726515
0.23508884  -0.04729930
0.23818574  -0.04732259
0.24127372  -0.04733490
0.24435251  -0.04733607
0.24742185  -0.04732598
0.25048152  -0.04730449
0.25353135  -0.04727148
0.25657119  -0.04722685
0.25960095  -0.04717049
0.26262054  -0.04710230
0.26562994  -0.04702220
0.26862915  -0.04693009
0.27161821  -0.04682592
0.27459720  -0.04670962
0.27756623  -0.04658113
0.28052545  -0.04644041
0.28347506  -0.04628742
0.28641526  -0.04612213
0.28934633  -0.04594452
0.29226856  -0.04575459
0.29518228  -0.04555233
0.29808785  -0.04533775
0.30098569  -0.04511088
0.30387622  -0.04487173
0.30675991  -0.04462035
0.30963728  -0.04435679
0.31250885  -0.04408110
0.31537521  -0.04379334
0.31823695  -0.04349360
0.32109471  -0.04318196
0.32394916  -0.04285851
0.32680099  -0.04252336
0.32965094  -0.04217663
0.33249975  -0.04181843
0.33534822  -0.04144891
0.33819716  -0.04106820
0.34104740  -0.04067647
0.34389983  -0.04027386
0.34675532  -0.03986056
0.34961479  -0.03943674
0.35247918  -0.03900259
0.35534947  -0.03855832
0.35822662  -0.03810412
0.36111165  -0.03764022
0.36400558  -0.03716684
0.36690945  -0.03668421
0.36982432  -0.03619258
0.37275128  -0.03569219
0.37569141  -0.03518330
0.37864582  -0.03466619
0.38161563  -0.03414111
0.38460197  -0.03360836
0.38760598  -0.03306822
0.39062882  -0.03252098
0.39367163  -0.03196695
0.39673558  -0.03140643
0.39982185  -0.03083975
0.40293160  -0.03026721
0.40606602  -0.02968915
0.40922627  -0.02910589
0.41241353  -0.02851778
0.41562898  -0.02792516
0.41887379  -0.02732837
0.42214911  -0.02672777
0.42545611  -0.02612371
0.42879594  -0.02551656
0.43216974  -0.02490666
0.43557863  -0.02429440
0.43902373  -0.02368014
0.44250614  -0.02306425
0.44602694  -0.02244711
0.44958720  -0.02182909
0.45318797  -0.02121057
0.45683026  -0.02059193
0.46051508  -0.01997356
0.46424340  -0.01935582
0.46801617  -0.01873911
0.47183431  -0.01812381
0.47569872  -0.01751029
0.47961024  -0.01689893
0.48356970  -0.01629012
0.48757789  -0.01568423
0.49163555  -0.01508164
0.49574340  -0.01448272
0.49990211  -0.01388785
0.50411230  -0.01329738
0.50837455  -0.01271168
0.51268940  -0.01213113
0.51705733  -0.01155606
0.52147877  -0.01098684
0.52595412  -0.01042381
0.53048369  -0.00986732
0.53506776  -0.00931769
0.53970654  -0.00877528
0.54440019  -0.00824039
0.54914881  -0.00771335
0.55395242  -0.00719446
0.55881100  -0.00668405
0.56372444  -0.00618239
0.56869258  -0.00568978
0.57371518  -0.00520650
0.57879193  -0.00473283
0.58392245  -0.00426902
0.58910629  -0.00381533
0.59434291  -0.00337201
0.59963171  -0.00293928
0.60497201  -0.00251738
0.61036303  -0.00210651
0.61580393  -0.00170689
0.62129378  -0.00131870
0.62683156  -0.00094212
0.63241618  -0.00057732
0.63804645  -0.00022447
0.64372111  0.00011630
0.64943879  0.00044485
0.65519804  0.00076106
0.66099734  0.00106482
0.66683505  0.00135604
0.67270946  0.00163464
