# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03531
# Species         : Cyanocorax_yncas
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 121.50 mm
# Secondary1       : 112.40 mm
# Kipps Distance   : 9.50 mm
# Hand-Wing Index  : 7.80
# Tail Length      : 139.30 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.081
# Pointedness Index: 0.0782
# Efficiency Index : 0.0061
# Wing Loading Proxy: 0.0078
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2071  at x/c = 0.2777
# Max f/c          : 0.0610  at x/c = 0.3518
# Est. Reynolds    : 2.13e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939170  0.00009140
0.99866636  0.00021829
0.99781830  0.00038042
0.99684249  0.00057752
0.99573450  0.00080932
0.99449053  0.00107552
0.99310730  0.00137580
0.99158208  0.00170984
0.98991267  0.00207730
0.98809730  0.00247783
0.98613469  0.00291107
0.98402399  0.00337663
0.98176475  0.00387413
0.97935688  0.00440317
0.97680070  0.00496334
0.97409683  0.00555422
0.97124622  0.00617537
0.96825013  0.00682636
0.96511009  0.00750673
0.96182790  0.00821603
0.95840560  0.00895379
0.95484545  0.00971954
0.95114993  0.01051279
0.94732172  0.01133307
0.94336366  0.01217986
0.93927877  0.01305268
0.93507021  0.01395101
0.93074129  0.01487435
0.92629544  0.01582217
0.92173618  0.01679395
0.91706715  0.01778916
0.91229207  0.01880728
0.90741475  0.01984777
0.90243905  0.02091009
0.89736888  0.02199370
0.89220822  0.02309805
0.88696105  0.02422259
0.88163143  0.02536678
0.87622339  0.02653006
0.87074099  0.02771189
0.86518830  0.02891170
0.85956938  0.03012893
0.85388829  0.03136304
0.84814905  0.03261346
0.84235569  0.03387963
0.83651217  0.03516100
0.83062246  0.03645700
0.82469047  0.03776707
0.81872005  0.03909066
0.81271503  0.04042721
0.80667916  0.04177616
0.80061617  0.04313695
0.79452969  0.04450903
0.78842331  0.04589184
0.78230054  0.04728483
0.77616482  0.04868745
0.77001954  0.05009915
0.76386798  0.05151938
0.75771336  0.05294761
0.75155882  0.05438327
0.74540742  0.05582585
0.73926212  0.05727479
0.73312582  0.05872957
0.72700132  0.06018965
0.72089132  0.06165450
0.71479846  0.06312361
0.70872526  0.06459644
0.70267417  0.06607248
0.69664755  0.06755122
0.69064766  0.06903214
0.68467666  0.07051473
0.67873665  0.07199851
0.67282960  0.07348295
0.66695741  0.07496758
0.66112190  0.07645190
0.65532476  0.07793542
0.64956764  0.07941766
0.64385207  0.08089815
0.63817948  0.08237641
0.63255124  0.08385198
0.62696862  0.08532439
0.62143280  0.08679318
0.61594488  0.08825790
0.61050587  0.08971811
0.60511669  0.09117335
0.59977821  0.09262320
0.59449118  0.09406722
0.58925629  0.09550498
0.58407414  0.09693605
0.57894527  0.09836004
0.57387013  0.09977651
0.56884910  0.10118507
0.56388249  0.10258532
0.55897054  0.10397686
0.55411341  0.10535930
0.54931119  0.10673226
0.54456393  0.10809537
0.53987160  0.10944824
0.53523409  0.11079052
0.53065125  0.11212185
0.52612287  0.11344186
0.52164868  0.11475021
0.51722834  0.11604657
0.51286148  0.11733058
0.50854765  0.11860193
0.50428638  0.11986028
0.50007713  0.12110532
0.49591932  0.12233673
0.49181233  0.12355421
0.48775548  0.12475746
0.48374807  0.12594617
0.47978934  0.12712007
0.47587852  0.12827887
0.47201478  0.12942230
0.46819726  0.13055008
0.46442507  0.13166194
0.46069729  0.13275763
0.45701298  0.13383690
0.45337116  0.13489950
0.44977083  0.13594520
0.44621096  0.13697374
0.44269052  0.13798492
0.43920844  0.13897850
0.43576363  0.13995427
0.43235500  0.14091201
0.42898143  0.14185154
0.42564179  0.14277264
0.42233495  0.14367512
0.41905975  0.14455880
0.41581504  0.14542351
0.41259966  0.14626905
0.40941243  0.14709527
0.40625218  0.14790201
0.40311775  0.14868910
0.40000794  0.14945640
0.39692159  0.15020376
0.39385753  0.15093104
0.39081459  0.15163811
0.38779159  0.15232485
0.38478739  0.15299112
0.38180084  0.15363682
0.37883079  0.15426184
0.37587612  0.15486606
0.37293570  0.15544939
0.37000843  0.15601174
0.36709322  0.15655302
0.36418900  0.15707315
0.36129469  0.15757204
0.35840926  0.15804963
0.35553169  0.15850585
0.35266097  0.15894065
0.34979611  0.15935395
0.34693615  0.15974573
0.34408016  0.16011592
0.34122722  0.16046448
0.33837644  0.16079139
0.33552694  0.16109662
0.33267790  0.16138013
0.32982849  0.16164191
0.32697793  0.16188194
0.32412547  0.16210021
0.32127038  0.16229671
0.31841196  0.16247145
0.31554954  0.16262442
0.31268249  0.16275563
0.30981021  0.16286510
0.30693212  0.16295284
0.30404769  0.16301887
0.30115641  0.16306322
0.29825781  0.16308591
0.29535145  0.16308698
0.29243693  0.16306646
0.28951390  0.16302439
0.28658200  0.16296082
0.28364096  0.16287579
0.28069050  0.16276936
0.27773041  0.16264158
0.27476050  0.16249251
0.27178062  0.16232220
0.26879066  0.16213073
0.26579053  0.16191815
0.26278020  0.16168454
0.25975966  0.16142998
0.25672895  0.16115453
0.25368814  0.16085827
0.25063733  0.16054129
0.24757666  0.16020366
0.24450632  0.15984547
0.24142651  0.15946681
0.23833750  0.15906776
0.23523956  0.15864842
0.23213301  0.15820887
0.22901821  0.15774920
0.22589556  0.15726952
0.22276547  0.15676991
0.21962840  0.15625048
0.21648484  0.15571131
0.21333532  0.15515251
0.21018038  0.15457417
0.20702061  0.15397639
0.20385663  0.15335927
0.20068909  0.15272291
0.19751865  0.15206740
0.19434601  0.15139285
0.19117191  0.15069934
0.18799710  0.14998698
0.18482237  0.14925585
0.18164850  0.14850606
0.17847635  0.14773770
0.17530675  0.14695085
0.17214057  0.14614560
0.16897872  0.14532205
0.16582210  0.14448027
0.16267165  0.14362035
0.15952830  0.14274238
0.15639302  0.14184642
0.15326680  0.14093255
0.15015060  0.14000085
0.14704545  0.13905137
0.14395235  0.13808419
0.14087232  0.13709937
0.13780638  0.13609696
0.13475558  0.13507701
0.13172095  0.13403958
0.12870353  0.13298470
0.12570437  0.13191242
0.12272450  0.13082276
0.11976498  0.12971576
0.11682683  0.12859143
0.11391110  0.12744981
0.11101880  0.12629088
0.10815096  0.12511467
0.10530859  0.12392117
0.10249269  0.12271037
0.09970424  0.12148226
0.09694421  0.12023682
0.09421356  0.11897401
0.09151322  0.11769381
0.08884412  0.11639617
0.08620714  0.11508103
0.08360316  0.11374834
0.08103303  0.11239804
0.07849757  0.11103005
0.07599757  0.10964428
0.07353381  0.10824065
0.07110701  0.10681906
0.06871788  0.10537939
0.06636708  0.10392153
0.06405526  0.10244536
0.06178300  0.10095073
0.05955087  0.09943751
0.05735939  0.09790554
0.05520903  0.09635466
0.05310024  0.09478470
0.05103340  0.09319548
0.04900888  0.09158680
0.04702699  0.08995846
0.04508797  0.08831027
0.04319206  0.08664199
0.04133941  0.08495340
0.03953017  0.08324427
0.03776439  0.08151435
0.03604211  0.07976337
0.03436330  0.07799109
0.03272791  0.07619722
0.03113582  0.07438149
0.02958686  0.07254360
0.02808083  0.07068326
0.02661748  0.06880016
0.02519649  0.06689399
0.02381754  0.06496442
0.02248023  0.06301112
0.02118414  0.06103377
0.01992880  0.05903202
0.01871371  0.05700553
0.01753832  0.05495393
0.01640208  0.05287688
0.01530437  0.05077401
0.01424456  0.04864496
0.01322202  0.04648935
0.01223606  0.04430681
0.01128601  0.04209698
0.01037116  0.03985947
0.00949080  0.03759392
0.00864425  0.03529994
0.00783079  0.03297717
0.00704974  0.03062522
0.00630043  0.02824375
0.00558220  0.02583237
0.00489444  0.02339075
0.00423657  0.02091851
0.00360806  0.01841533
0.00300843  0.01588087
0.00243726  0.01331480
0.00189424  0.01071681
0.00137909  0.00808661
0.00089168  0.00542392
0.00043196  0.00272846
0.00000000  0.00000000
0.00043196  -0.00156105
0.00089168  -0.00304497
0.00137909  -0.00445578
0.00189424  -0.00579732
0.00243726  -0.00707327
