# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03796
# Species         : Cryptospiza_reichenovii
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 53.40 mm
# Secondary1       : 44.60 mm
# Kipps Distance   : 7.90 mm
# Hand-Wing Index  : 15.00
# Tail Length      : 40.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.197
# Pointedness Index: 0.1479
# Efficiency Index : 0.0222
# Wing Loading Proxy: 0.0296
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2030  at x/c = 0.2735
# Max f/c          : 0.0602  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009110
0.99866609  0.00021709
0.99781740  0.00037772
0.99684039  0.00057274
0.99573049  0.00080187
0.99448373  0.00106482
0.99309673  0.00136127
0.99156663  0.00169092
0.98989111  0.00205343
0.98806833  0.00244845
0.98609693  0.00287563
0.98397597  0.00333459
0.98170494  0.00382494
0.97928372  0.00434631
0.97671257  0.00489827
0.97399208  0.00548042
0.97112317  0.00609233
0.96810709  0.00673358
0.96494535  0.00740370
0.96163974  0.00810227
0.95819231  0.00882881
0.95460533  0.00958285
0.95088128  0.01036394
0.94702286  0.01117157
0.94303293  0.01200527
0.93891454  0.01286455
0.93467088  0.01374890
0.93030529  0.01465782
0.92582123  0.01559079
0.92122227  0.01654731
0.91651209  0.01752686
0.91169446  0.01852890
0.90677322  0.01955292
0.90175229  0.02059839
0.89663563  0.02166476
0.89142727  0.02275151
0.88613126  0.02385809
0.88075169  0.02498397
0.87529266  0.02612859
0.86975828  0.02729142
0.86415269  0.02847191
0.85848001  0.02966951
0.85274433  0.03088367
0.84694976  0.03211383
0.84110037  0.03335946
0.83520020  0.03462000
0.82925325  0.03589490
0.82326349  0.03718361
0.81723486  0.03848558
0.81117122  0.03980025
0.80507639  0.04112709
0.79895414  0.04246554
0.79280818  0.04381505
0.78664213  0.04517508
0.78045956  0.04654510
0.77426398  0.04792454
0.76805880  0.04931288
0.76184738  0.05070958
0.75563298  0.05211410
0.74941879  0.05352590
0.74320790  0.05494446
0.73700334  0.05636925
0.73080804  0.05779974
0.72462485  0.05923540
0.71845651  0.06067573
0.71230570  0.06212020
0.70617498  0.06356830
0.70006684  0.06501953
0.69398367  0.06647337
0.68792777  0.06792932
0.68190134  0.06938688
0.67590649  0.07084557
0.66994525  0.07230488
0.66401953  0.07376434
0.65813118  0.07522346
0.65228193  0.07668177
0.64647344  0.07813878
0.64070727  0.07959404
0.63498487  0.08104707
0.62930764  0.08249742
0.62367686  0.08394463
0.61809373  0.08538825
0.61255936  0.08682784
0.60707480  0.08826296
0.60164097  0.08969317
0.59625874  0.09111804
0.59092889  0.09253715
0.58565211  0.09395007
0.58042903  0.09535640
0.57526017  0.09675572
0.57014600  0.09814762
0.56508692  0.09953172
0.56008322  0.10090761
0.55513516  0.10227491
0.55024290  0.10363324
0.54540654  0.10498222
0.54062612  0.10632148
0.53590160  0.10765065
0.53123289  0.10896937
0.52661984  0.11027729
0.52206223  0.11157407
0.51755977  0.11285935
0.51311214  0.11413281
0.50871896  0.11539410
0.50437977  0.11664291
0.50009410  0.11787892
0.49586139  0.11910180
0.49168107  0.12031127
0.48755249  0.12150700
0.48347499  0.12268871
0.47944784  0.12385610
0.47547028  0.12500890
0.47154152  0.12614682
0.46766072  0.12726959
0.46382702  0.12837694
0.46003951  0.12946862
0.45629726  0.13054436
0.45259933  0.13160393
0.44894470  0.13264707
0.44533238  0.13367354
0.44176133  0.13468313
0.43823049  0.13567560
0.43473878  0.13665072
0.43128511  0.13760830
0.42786836  0.13854812
0.42448740  0.13946998
0.42114109  0.14037368
0.41782829  0.14125903
0.41454782  0.14212585
0.41129851  0.14297396
0.40807920  0.14380319
0.40488869  0.14461336
0.40172579  0.14540432
0.39858933  0.14617592
0.39547810  0.14692799
0.39239092  0.14766040
0.38932661  0.14837301
0.38628398  0.14906569
0.38326186  0.14973830
0.38025907  0.15039072
0.37727445  0.15102285
0.37430685  0.15163456
0.37135512  0.15222575
0.36841814  0.15279632
0.36549478  0.15334618
0.36258395  0.15387523
0.35968455  0.15438339
0.35679552  0.15487059
0.35391579  0.15533675
0.35104434  0.15578180
0.34818015  0.15620567
0.34532222  0.15660831
0.34246959  0.15698967
0.33962131  0.15734969
0.33677644  0.15768833
0.33393410  0.15800556
0.33109340  0.15830134
0.32825350  0.15857564
0.32541358  0.15882843
0.32257284  0.15905971
0.31973053  0.15926944
0.31688591  0.15945762
0.31403827  0.15962425
0.31118695  0.15976932
0.30833131  0.15989284
0.30547073  0.15999481
0.30260464  0.16007524
0.29973250  0.16013415
0.29685381  0.16017156
0.29396809  0.16018748
0.29107489  0.16018196
0.28817383  0.16015501
0.28526452  0.16010667
0.28234664  0.16003698
0.27941990  0.15994599
0.27648402  0.15983373
0.27353879  0.15970026
0.27058403  0.15954562
0.26761958  0.15936987
0.26464533  0.15917307
0.26166121  0.15895529
0.25866717  0.15871657
0.25566322  0.15845699
0.25264940  0.15817663
0.24962576  0.15787554
0.24659244  0.15755380
0.24354957  0.15721149
0.24049733  0.15684869
0.23743595  0.15646548
0.23436567  0.15606194
0.23128680  0.15563815
0.22819965  0.15519420
0.22510460  0.15473018
0.22200203  0.15424617
0.21889237  0.15374227
0.21577609  0.15321856
0.21265368  0.15267514
0.20952568  0.15211210
0.20639264  0.15152953
0.20325516  0.15092753
0.20011386  0.15030620
0.19696938  0.14966562
0.19382242  0.14900589
0.19067367  0.14832711
0.18752389  0.14762936
0.18437382  0.14691275
0.18122425  0.14617737
0.17807601  0.14542331
0.17492991  0.14465067
0.17178683  0.14385952
0.16864765  0.14304997
0.16551325  0.14222210
0.16238456  0.14137600
0.15926252  0.14051176
0.15614808  0.13962945
0.15304221  0.13872915
0.14994589  0.13781096
0.14686011  0.13687493
0.14378588  0.13592116
0.14072422  0.13494970
0.13767615  0.13396063
0.13464270  0.13295401
0.13162492  0.13192990
0.12862384  0.13088837
0.12564051  0.12982946
0.12267597  0.12875324
