# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03838
# Species         : Lagonosticta_nitidula
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 52.00 mm
# Secondary1       : 46.50 mm
# Kipps Distance   : 5.50 mm
# Hand-Wing Index  : 10.40
# Tail Length      : 41.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.118
# Pointedness Index: 0.1058
# Efficiency Index : 0.0110
# Wing Loading Proxy: 0.0273
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2087  at x/c = 0.2762
# Max f/c          : 0.0608  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939169  0.00009140
0.99866627  0.00021830
0.99781798  0.00038045
0.99684173  0.00057759
0.99573305  0.00080944
0.99448807  0.00107572
0.99310348  0.00137611
0.99157650  0.00171029
0.98990488  0.00207793
0.98808684  0.00247868
0.98612106  0.00291219
0.98400665  0.00337807
0.98174315  0.00387594
0.97933047  0.00440541
0.97676887  0.00496606
0.97405900  0.00555749
0.97120178  0.00617927
0.96819847  0.00683095
0.96505060  0.00751209
0.96175995  0.00822224
0.95832858  0.00896094
0.95475874  0.00972770
0.95105292  0.01052206
0.94721380  0.01134353
0.94324423  0.01219162
0.93914724  0.01306583
0.93492601  0.01396565
0.93058385  0.01489057
0.92612419  0.01584008
0.92155060  0.01681366
0.91686671  0.01781078
0.91207627  0.01883091
0.90718309  0.01987353
0.90219105  0.02093808
0.89710410  0.02202404
0.89192621  0.02313086
0.88666141  0.02425799
0.88131374  0.02540488
0.87588729  0.02657098
0.87038612  0.02775575
0.86481433  0.02895862
0.85917600  0.03017904
0.85347519  0.03141645
0.84771597  0.03267029
0.84190237  0.03394001
0.83603840  0.03522504
0.83012802  0.03652483
0.82417517  0.03783881
0.81818372  0.03916643
0.81215753  0.04050713
0.80610038  0.04186035
0.80001599  0.04322553
0.79390802  0.04460211
0.78778009  0.04598955
0.78163573  0.04738728
0.77547839  0.04879475
0.76931148  0.05021142
0.76313830  0.05163674
0.75696209  0.05307015
0.75078601  0.05451112
0.74461312  0.05595911
0.73844642  0.05741356
0.73228881  0.05887396
0.72614311  0.06033976
0.72001204  0.06181043
0.71389825  0.06328546
0.70780427  0.06476430
0.70173258  0.06624645
0.69568553  0.06773138
0.68966540  0.06921859
0.68367438  0.07070756
0.67771456  0.07219778
0.67178793  0.07368876
0.66589640  0.07518000
0.66004180  0.07667101
0.65422584  0.07816129
0.64845015  0.07965036
0.64271629  0.08113774
0.63702570  0.08262295
0.63137976  0.08410553
0.62577973  0.08558501
0.62022680  0.08706093
0.61472209  0.08853283
0.60926661  0.09000025
0.60386129  0.09146276
0.59850699  0.09291991
0.59320447  0.09437127
0.58795443  0.09581640
0.58275747  0.09725487
0.57761413  0.09868628
0.57252486  0.10011021
0.56749006  0.10152623
0.56251002  0.10293396
0.55758499  0.10433299
0.55271513  0.10572293
0.54790054  0.10710340
0.54314126  0.10847400
0.53843725  0.10983437
0.53378843  0.11118414
0.52919463  0.11252294
0.52465563  0.11385042
0.52017117  0.11516621
0.51574092  0.11646999
0.51136448  0.11776139
0.50704143  0.11904010
0.50277127  0.12030578
0.49855348  0.12155810
0.49438746  0.12279676
0.49027258  0.12402144
0.48620819  0.12523183
0.48219356  0.12642764
0.47822793  0.12760858
0.47431053  0.12877435
0.47044052  0.12992468
0.46661705  0.13105929
0.46283921  0.13217792
0.45910609  0.13328030
0.45541673  0.13436618
0.45177016  0.13543530
0.44816536  0.13648742
0.44460132  0.13752230
0.44107698  0.13853972
0.43759127  0.13953944
0.43414310  0.14052124
0.43073137  0.14148492
0.42735496  0.14243026
0.42401274  0.14335706
0.42070356  0.14426513
0.41742627  0.14515427
0.41417971  0.14602430
0.41096271  0.14687505
0.40777408  0.14770634
0.40461267  0.14851800
0.40147728  0.14930988
0.39836673  0.15008182
0.39527985  0.15083368
0.39221545  0.15156530
0.38917237  0.15227656
0.38614943  0.15296732
0.38314548  0.15363746
0.38015935  0.15428686
0.37718991  0.15491540
0.37423601  0.15552298
0.37129654  0.15610949
0.36837039  0.15667483
0.36545645  0.15721893
0.36255365  0.15774168
0.35966092  0.15824301
0.35677722  0.15872284
0.35390152  0.15918111
0.35103281  0.15961775
0.34817010  0.16003270
0.34531243  0.16042590
0.34245885  0.16079731
0.33960845  0.16114689
0.33676033  0.16147460
0.33391362  0.16178040
0.33106748  0.16206426
0.32822109  0.16232616
0.32537367  0.16256609
0.32252445  0.16278402
0.31967271  0.16297996
0.31681776  0.16315388
0.31395891  0.16330580
0.31109553  0.16343573
0.30822702  0.16354365
0.30535281  0.16362960
0.30247235  0.16369359
0.29958515  0.16373564
0.29669072  0.16375578
0.29378864  0.16375403
0.29087850  0.16373043
0.28795993  0.16368501
0.28503260  0.16361783
0.28209623  0.16352892
0.27915054  0.16341833
0.27619531  0.16328611
0.27323036  0.16313233
0.27025554  0.16295703
0.26727074  0.16276028
