# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 04254
# Species         : Cranioleuca_berlepschi
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 72.60 mm
# Secondary1       : 62.30 mm
# Kipps Distance   : 10.20 mm
# Hand-Wing Index  : 14.10
# Tail Length      : 74.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.165
# Pointedness Index: 0.1405
# Efficiency Index : 0.0198
# Wing Loading Proxy: 0.0157
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2035  at x/c = 0.2741
# Max f/c          : 0.0603  at x/c = 0.3518
# Est. Reynolds    : 1.10e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009114
0.99866613  0.00021725
0.99781751  0.00037809
0.99684065  0.00057339
0.99573099  0.00080288
0.99448458  0.00106626
0.99309805  0.00136323
0.99156856  0.00169347
0.98989380  0.00205665
0.98807195  0.00245241
0.98610165  0.00288040
0.98398197  0.00334024
0.98171242  0.00383156
0.97929287  0.00435395
0.97672359  0.00490701
0.97400517  0.00549033
0.97113855  0.00610348
0.96812497  0.00674602
0.96496594  0.00741752
0.96166326  0.00811751
0.95821897  0.00884554
0.95463534  0.00960115
0.95091486  0.01038385
0.94706021  0.01119317
0.94307427  0.01202861
0.93896007  0.01288969
0.93472080  0.01377589
0.93035979  0.01468672
0.92588050  0.01562166
0.92128651  0.01658020
0.91658147  0.01756182
0.91176916  0.01856599
0.90685341  0.01959219
0.90183813  0.02063988
0.89672729  0.02170853
0.89152489  0.02279760
0.88623498  0.02390655
0.88086165  0.02503483
0.87540900  0.02618191
0.86988112  0.02734724
0.86428214  0.02853027
0.85861618  0.02973045
0.85288733  0.03094722
0.84709967  0.03218005
0.84125728  0.03342837
0.83536419  0.03469163
0.82942440  0.03596930
0.82344186  0.03726080
0.81742051  0.03856559
0.81136419  0.03988312
0.80527674  0.04121284
0.79916189  0.04255421
0.79302336  0.04390666
0.78686477  0.04526967
0.78068968  0.04664267
0.77450158  0.04802513
0.76830389  0.04941651
0.76209995  0.05081626
0.75589302  0.05222386
0.74968628  0.05363876
0.74348283  0.05506044
0.73728567  0.05648836
0.73109775  0.05792199
0.72492189  0.05936082
0.71876084  0.06080433
0.71261727  0.06225198
0.70649374  0.06370328
0.70039273  0.06515771
0.69431662  0.06661477
0.68826772  0.06807394
0.68224821  0.06953473
0.67626021  0.07099665
0.67030574  0.07245921
0.66438671  0.07392191
0.65850496  0.07538427
0.65266222  0.07684582
0.64686014  0.07830608
0.64110029  0.07976457
0.63538411  0.08122085
0.62971299  0.08267443
0.62408822  0.08412488
0.61851099  0.08557173
0.61298243  0.08701454
0.60750354  0.08845288
0.60207529  0.08988629
0.59669851  0.09131436
0.59137400  0.09273666
0.58610244  0.09415276
0.58088446  0.09556225
0.57572059  0.09696471
0.57061128  0.09835976
0.56555694  0.09974698
0.56055786  0.10112598
0.55561429  0.10249637
0.55072639  0.10385777
0.54589428  0.10520981
0.54111798  0.10655210
0.53639746  0.10788429
0.53173263  0.10920601
0.52712332  0.11051691
0.52256933  0.11181664
0.51807038  0.11310485
0.51362613  0.11438122
0.50923620  0.11564540
0.50490014  0.11689707
0.50061748  0.11813591
0.49638767  0.11936161
0.49221011  0.12057385
0.48808419  0.12177234
0.48400922  0.12295678
0.47998449  0.12412687
0.47600923  0.12528234
0.47208266  0.12642290
0.46820394  0.12754828
0.46437220  0.12865822
0.46058654  0.12975245
0.45684604  0.13083071
0.45314974  0.13189276
0.44949665  0.13293836
0.44588576  0.13396726
0.44231603  0.13497923
0.43878641  0.13597406
0.43529582  0.13695151
0.43184317  0.13791138
0.42842735  0.13885346
0.42504722  0.13977754
0.42170166  0.14068343
0.41838950  0.14157093
0.41510959  0.14243987
0.41186076  0.14329006
0.40864182  0.14412134
0.40545161  0.14493353
0.40228893  0.14572647
0.39915260  0.14650000
0.39604143  0.14725398
0.39295423  0.14798826
0.38988983  0.14870271
0.38684702  0.14939718
0.38382465  0.15007156
0.38082154  0.15072571
0.37783654  0.15135953
0.37486848  0.15197290
0.37191624  0.15256571
0.36897867  0.15313787
0.36605466  0.15368928
0.36314312  0.15421986
0.36024295  0.15472951
0.35735308  0.15521815
0.35447247  0.15568573
0.35160007  0.15613216
0.34873488  0.15655738
0.34587590  0.15696134
0.34302216  0.15734398
0.34017271  0.15770525
0.33732664  0.15804511
0.33448303  0.15836353
0.33164103  0.15866047
0.32879977  0.15893589
0.32595845  0.15918978
0.32311627  0.15942212
0.32027246  0.15963289
0.31742630  0.15982208
0.31457709  0.15998969
0.31172415  0.16013572
0.30886684  0.16026016
0.30600455  0.16036303
0.30313672  0.16044434
0.30026280  0.16050409
0.29738229  0.16054232
0.29449470  0.16055905
0.29159961  0.16055430
0.28869660  0.16052811
0.28578532  0.16048050
0.28286543  0.16041153
0.27993663  0.16032122
0.27699866  0.16020963
0.27405131  0.16007681
0.27109438  0.15992281
0.26812773  0.15974768
0.26515125  0.15955148
0.26216485  0.15933427
0.25916850  0.15909612
0.25616220  0.15883709
0.25314599  0.15855726
0.25011993  0.15825669
0.24708415  0.15793547
0.24403877  0.15759366
0.24098400  0.15723134
0.23792004  0.15684860
0.23484715  0.15644553
0.23176562  0.15602219
0.22867578  0.15557869
0.22557798  0.15511510
0.22247263  0.15463152
0.21936016  0.15412804
0.21624102  0.15360475
0.21311571  0.15306174
0.20998476  0.15249910
0.20684873  0.15191693
0.20370821  0.15131533
0.20056383  0.15069438
0.19741623  0.15005418
0.19426610  0.14939483
0.19111413  0.14871642
0.18796108  0.14801905
0.18480770  0.14730282
0.18165477  0.14656780
0.17850312  0.14581410
0.17535356  0.14504182
0.17220698  0.14425103
0.16906423  0.14344183
0.16592622  0.14261431
0.16279387  0.14176855
0.15966811  0.14090465
0.15654990  0.14002267
0.15344021  0.13912271
0.15034001  0.13820484
0.14725030  0.13726913
0.14417208  0.13631566
0.14110638  0.13534451
0.13805422  0.13435573
0.13501662  0.13334939
0.13199463  0.13232556
0.12898929  0.13128428
0.12600164  0.13022562
0.12303273  0.12914962
0.12008360  0.12805632
0.11715529  0.12694578
0.11424884  0.12581802
0.11136529  0.12467308
0.10850567  0.12351098
0.10567098  0.12233175
0.10286225  0.12113540
0.10008045  0.11992195
0.09732659  0.11869141
0.09460161  0.11744377
0.09190648  0.11617903
0.08924212  0.11489718
0.08660945  0.11359820
0.08400935  0.11228208
0.08144269  0.11094877
0.07891030  0.10959826
0.07641301  0.10823048
0.07395159  0.10684541
0.07152680  0.10544298
0.06913936  0.10402314
0.06678996  0.10258580
0.06447925  0.10113091
0.06220785  0.09965837
0.05997635  0.09816810
0.05778528  0.09666000
0.05563514  0.09513397
0.05352640  0.09358990
0.05145948  0.09202768
0.04943474  0.09044717
0.04745253  0.08884824
0.04551311  0.08723077
0.04361674  0.08559460
0.04176360  0.08393959
0.03995383  0.08226557
0.03818754  0.08057238
0.03646476  0.07885985
0.03478550  0.07712780
0.03314971  0.07537605
0.03155729  0.07360442
0.03000809  0.07181269
0.02850191  0.07000068
0.02703852  0.06816818
0.02561763  0.06631498
0.02423889  0.06444087
