# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 04453
# Species         : Thripadectes_ignobilis
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 93.80 mm
# Secondary1       : 81.00 mm
# Kipps Distance   : 13.50 mm
# Hand-Wing Index  : 14.20
# Tail Length      : 81.60 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.158
# Pointedness Index: 0.1439
# Efficiency Index : 0.0204
# Wing Loading Proxy: 0.0142
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2012  at x/c = 0.2740
# Max f/c          : 0.0602  at x/c = 0.3518
# Est. Reynolds    : 1.53e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009106
0.99866612  0.00021694
0.99781750  0.00037739
0.99684062  0.00057214
0.99573093  0.00080092
0.99448449  0.00106343
0.99309790  0.00135936
0.99156835  0.00168840
0.98989350  0.00205020
0.98807155  0.00244442
0.98610113  0.00287070
0.98398131  0.00332865
0.98171159  0.00381791
0.97929185  0.00433806
0.97672236  0.00488871
0.97400371  0.00546944
0.97113684  0.00607982
0.96812298  0.00671941
0.96496365  0.00738777
0.96166065  0.00808446
0.95821601  0.00880900
0.95463201  0.00956093
0.95091113  0.01033978
0.94705606  0.01114505
0.94306968  0.01197627
0.93895501  0.01283294
0.93471525  0.01371455
0.93035374  0.01462061
0.92587392  0.01555060
0.92127937  0.01650400
0.91657376  0.01748030
0.91176086  0.01847898
0.90684450  0.01949949
0.90182859  0.02054133
0.89671710  0.02160394
0.89151404  0.02268680
0.88622346  0.02378936
0.88084943  0.02491108
0.87539607  0.02605143
0.86986747  0.02720985
0.86426776  0.02838580
0.85860105  0.02957874
0.85287144  0.03078810
0.84708301  0.03201335
0.84123985  0.03325394
0.83534597  0.03450931
0.82940538  0.03577892
0.82342204  0.03706222
0.81739987  0.03835865
0.81134274  0.03966767
0.80525447  0.04098874
0.79913880  0.04232130
0.79299944  0.04366481
0.78684002  0.04501873
0.78066409  0.04638252
0.77447516  0.04775563
0.76827664  0.04913753
0.76207186  0.05052768
0.75586410  0.05192554
0.74965653  0.05333060
0.74345225  0.05474231
0.73725427  0.05616015
0.73106552  0.05758360
0.72488884  0.05901214
0.71872698  0.06044525
0.71258260  0.06188241
0.70645826  0.06332313
0.70035646  0.06476688
0.69427956  0.06621318
0.68822987  0.06766151
0.68220958  0.06911138
0.67622082  0.07056230
0.67026558  0.07201379
0.66434580  0.07346536
0.65846330  0.07491653
0.65261983  0.07636683
0.64681702  0.07781578
0.64105645  0.07926293
0.63533957  0.08070780
0.62966775  0.08214995
0.62404230  0.08358892
0.61846439  0.08502427
0.61293516  0.08645555
0.60745562  0.08788233
0.60202672  0.08930417
0.59664932  0.09072065
0.59132419  0.09213134
0.58605202  0.09353584
0.58083344  0.09493372
0.57566898  0.09632459
0.57055910  0.09770804
0.56550419  0.09908368
0.56050456  0.10045112
0.55556045  0.10180997
0.55067202  0.10315985
0.54583939  0.10450040
0.54106258  0.10583124
0.53634157  0.10715201
0.53167625  0.10846236
0.52706647  0.10976193
0.52251201  0.11105039
0.51801260  0.11232738
0.51356791  0.11359259
0.50917755  0.11484567
0.50484107  0.11608632
0.50055799  0.11731421
0.49632777  0.11852902
0.49214983  0.11973047
0.48802352  0.12091825
0.48394817  0.12209206
0.47992307  0.12325162
0.47594745  0.12439665
0.47202052  0.12552688
0.46814145  0.12664203
0.46430938  0.12774184
0.46052339  0.12882605
0.45678257  0.12989442
0.45308595  0.13094669
0.44943254  0.13198263
0.44582134  0.13300199
0.44225132  0.13400457
0.43872140  0.13499012
0.43523053  0.13595844
0.43177759  0.13690931
0.42836149  0.13784254
0.42498108  0.13875791
0.42163524  0.13965524
0.41832282  0.14053434
0.41504264  0.14139502
0.41179354  0.14223712
0.40857435  0.14306046
0.40538388  0.14386488
0.40222094  0.14465021
0.39908436  0.14541631
0.39597293  0.14616303
0.39288548  0.14689022
0.38982082  0.14759775
0.38677776  0.14828549
0.38375514  0.14895331
0.38075178  0.14960110
0.37776652  0.15022873
0.37479821  0.15083610
0.37184571  0.15142311
0.36890789  0.15198965
0.36598363  0.15253564
0.36307183  0.15306099
0.36017140  0.15356561
0.35728128  0.15404943
0.35440040  0.15451238
0.35152774  0.15495438
0.34866228  0.15537538
0.34580303  0.15577533
0.34294902  0.15615416
0.34009931  0.15651183
0.33725296  0.15684831
0.33440907  0.15716354
0.33156679  0.15745751
0.32872525  0.15773018
0.32588364  0.15798154
0.32304117  0.15821155
0.32019707  0.15842021
0.31735062  0.15860751
0.31450111  0.15877345
0.31164787  0.15891801
0.30879027  0.15904122
0.30592768  0.15914307
0.30305955  0.15922357
0.30018532  0.15928275
0.29730450  0.15932063
0.29441660  0.15933721
0.29152120  0.15933255
0.28861788  0.15930666
0.28570629  0.15925958
0.28278609  0.15919135
0.27985697  0.15910201
0.27691870  0.15899161
0.27397103  0.15886020
0.27101380  0.15870783
0.26804684  0.15853454
0.26507004  0.15834042
0.26208334  0.15812550
0.25908669  0.15788986
0.25608009  0.15763356
0.25306358  0.15735668
0.25003723  0.15705928
0.24700115  0.15674143
0.24395549  0.15640322
0.24090043  0.15604472
0.23783620  0.15566601
0.23476304  0.15526718
0.23168125  0.15484830
0.22859116  0.15440947
0.22549312  0.15395076
0.22238753  0.15347227
0.21927483  0.15297409
0.21615547  0.15245630
0.21302996  0.15191901
0.20989881  0.15136229
0.20676260  0.15078624
0.20362191  0.15019096
0.20047737  0.14957654
0.19732962  0.14894307
0.19417936  0.14829065
0.19102728  0.14761937
0.18787413  0.14692932
0.18472067  0.14622059
0.18156768  0.14549328
0.17841598  0.14474748
