# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 04518
# Species         : Grallaria_nuchalis
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 110.40 mm
# Secondary1       : 106.70 mm
# Kipps Distance   : 5.20 mm
# Hand-Wing Index  : 4.70
# Tail Length      : 61.70 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.035
# Pointedness Index: 0.0471
# Efficiency Index : 0.0022
# Wing Loading Proxy: 0.0168
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2118  at x/c = 0.2795
# Max f/c          : 0.0614  at x/c = 0.3568
# Est. Reynolds    : 1.88e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939172  0.00009161
0.99866648  0.00021912
0.99781869  0.00038230
0.99684339  0.00058086
0.99573623  0.00081454
0.99449345  0.00108304
0.99311185  0.00138605
0.99158874  0.00172325
0.98992195  0.00209429
0.98810977  0.00249883
0.98615096  0.00293649
0.98404467  0.00340692
0.98179050  0.00390971
0.97938838  0.00444446
0.97683864  0.00501077
0.97414193  0.00560822
0.97129920  0.00623636
0.96831171  0.00689477
0.96518102  0.00758298
0.96190891  0.00830055
0.95849743  0.00904700
0.95494883  0.00982187
0.95126560  0.01062465
0.94745040  0.01145487
0.94350606  0.01231203
0.93943559  0.01319563
0.93524215  0.01410515
0.93092902  0.01504008
0.92649961  0.01599990
0.92195744  0.01698408
0.91730613  0.01799210
0.91254938  0.01902342
0.90769097  0.02007749
0.90273474  0.02115379
0.89768459  0.02225175
0.89254446  0.02337084
0.88731833  0.02451050
0.88201021  0.02567018
0.87662412  0.02684932
0.87116410  0.02804735
0.86563418  0.02926373
0.86003842  0.03049789
0.85438083  0.03174926
0.84866541  0.03301728
0.84289617  0.03430139
0.83707705  0.03560103
0.83121199  0.03691561
0.82530486  0.03824459
0.81935951  0.03958739
0.81337972  0.04094345
0.80736925  0.04231221
0.80133177  0.04369310
0.79527090  0.04508555
0.78919021  0.04648902
0.78309319  0.04790293
0.77698325  0.04932673
0.77086375  0.05075987
0.76473797  0.05220178
0.75860909  0.05365192
0.75248024  0.05510973
0.74635444  0.05657467
0.74023467  0.05804619
0.73412377  0.05952375
0.72802454  0.06100681
0.72193966  0.06249484
0.71587175  0.06398729
0.70982332  0.06548365
0.70379680  0.06698337
0.69779453  0.06848595
0.69181875  0.06999086
0.68587163  0.07149758
0.67995523  0.07300560
0.67407151  0.07451442
0.66822238  0.07602353
0.66240962  0.07753244
0.65663493  0.07904064
0.65089993  0.08054764
0.64520614  0.08205297
0.63955501  0.08355614
0.63394787  0.08505667
0.62838599  0.08655409
0.62287055  0.08804794
0.61740263  0.08953774
0.61198324  0.09102305
0.60661331  0.09250342
0.60129367  0.09397839
0.59602509  0.09544752
0.59080824  0.09691038
0.58564374  0.09836654
0.58053210  0.09981557
0.57547377  0.10125706
0.57046915  0.10269058
0.56551852  0.10411573
0.56062213  0.10553210
0.55578014  0.10693931
0.55099265  0.10833695
0.54625969  0.10972464
0.54158123  0.11110200
0.53695717  0.11246865
0.53238737  0.11382423
0.52787160  0.11516838
0.52340960  0.11650074
0.51900104  0.11782095
0.51464554  0.11912867
0.51034266  0.12042357
0.50609193  0.12170531
0.50189282  0.12297356
0.49774474  0.12422801
0.49364707  0.12546834
0.48959916  0.12669424
0.48560028  0.12790541
0.48164971  0.12910155
0.47774666  0.13028238
0.47389031  0.13144761
0.47007980  0.13259696
0.46631425  0.13373016
0.46259276  0.13484695
0.45891437  0.13594707
0.45527812  0.13703026
0.45168301  0.13809628
0.44812803  0.13914489
0.44461213  0.14017585
0.44113426  0.14118894
0.43769334  0.14218394
0.43428827  0.14316062
0.43091796  0.14411879
0.42758127  0.14505823
0.42427707  0.14597875
0.42100423  0.14688016
0.41776158  0.14776227
0.41454798  0.14862492
0.41136226  0.14946791
0.40820325  0.15029109
0.40506978  0.15109430
0.40196069  0.15187737
0.39887480  0.15264018
0.39581096  0.15338256
0.39276798  0.15410439
0.38974473  0.15480553
0.38674004  0.15548586
0.38375278  0.15614526
0.38078180  0.15678362
0.37782598  0.15740083
0.37488422  0.15799679
0.37195540  0.15857140
0.36903844  0.15912457
0.36613227  0.15965623
0.36323584  0.16016629
0.36034810  0.16065467
0.35746804  0.16112131
0.35459466  0.16156615
0.35172697  0.16198914
0.34886403  0.16239021
0.34600488  0.16276933
0.34314863  0.16312645
0.34029438  0.16346154
0.33744127  0.16377456
0.33458846  0.16406550
0.33173515  0.16433433
0.32888055  0.16458104
0.32602390  0.16480561
0.32316449  0.16500805
0.32030162  0.16518834
0.31743462  0.16534650
0.31456285  0.16548253
0.31168573  0.16559645
0.30880268  0.16568827
0.30591315  0.16575801
0.30301666  0.16580571
0.30011272  0.16583139
0.29720091  0.16583508
0.29428082  0.16581683
0.29135208  0.16577667
0.28841437  0.16571466
0.28546739  0.16563084
0.28251088  0.16552527
0.27954462  0.16539800
0.27656841  0.16524909
0.27358211  0.16507861
0.27058561  0.16488663
0.26757881  0.16467321
0.26456170  0.16443842
0.26153425  0.16418235
0.25849650  0.16390507
0.25544851  0.16360666
0.25239040  0.16328721
0.24932230  0.16294680
0.24624439  0.16258551
0.24315688  0.16220344
0.24006002  0.16180069
0.23695410  0.16137733
0.23383942  0.16093347
0.23071635  0.16046921
0.22758527  0.15998463
0.22444660  0.15947985
0.22130080  0.15895495
0.21814835  0.15841004
0.21498977  0.15784522
0.21182561  0.15726059
0.20865646  0.15665626
0.20548292  0.15603231
0.20230564  0.15538886
0.19912528  0.15472601
0.19594256  0.15404385
0.19275818  0.15334249
0.18957290  0.15262202
0.18638750  0.15188254
0.18320278  0.15112415
0.18001957  0.15034694
0.17683871  0.14955101
0.17366108  0.14873645
0.17048755  0.14790334
0.16731905  0.14705178
0.16415650  0.14618185
0.16100083  0.14529362
0.15785302  0.14438718
