# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 04733
# Species         : Nesopsar_nigerrimus
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 99.50 mm
# Secondary1       : 82.90 mm
# Kipps Distance   : 16.60 mm
# Hand-Wing Index  : 16.70
# Tail Length      : 73.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.200
# Pointedness Index: 0.1668
# Efficiency Index : 0.0279
# Wing Loading Proxy: 0.0163
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1976  at x/c = 0.2725
# Max f/c          : 0.0598  at x/c = 0.3467
# Est. Reynolds    : 1.65e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009088
0.99866603  0.00021619
0.99781719  0.00037569
0.99683989  0.00056912
0.99572954  0.00079620
0.99448213  0.00105663
0.99309423  0.00135011
0.99156298  0.00167632
0.98988602  0.00203492
0.98806149  0.00242556
0.98608801  0.00284788
0.98396463  0.00330151
0.98169082  0.00378607
0.97926645  0.00430116
0.97669176  0.00484638
0.97396734  0.00542130
0.97109412  0.00602552
0.96807331  0.00665858
0.96490645  0.00732006
0.96159532  0.00800950
0.95814195  0.00872643
0.95454863  0.00947041
0.95081785  0.01024094
0.94695229  0.01103756
0.94295484  0.01185978
0.93882854  0.01270710
0.93457660  0.01357903
0.93020235  0.01447506
0.92570926  0.01539469
0.92110093  0.01633741
0.91638103  0.01730270
0.91155335  0.01829004
0.90662174  0.01929891
0.90159013  0.02032878
0.89646250  0.02137911
0.89124288  0.02244939
0.88593534  0.02353907
0.88054397  0.02464761
0.87507290  0.02577449
0.86952626  0.02691915
0.86390818  0.02808106
0.85822279  0.02925968
0.85247423  0.03045446
0.84666660  0.03166485
0.84080397  0.03289032
0.83489042  0.03413032
0.82892996  0.03538430
0.82292657  0.03665173
0.81688419  0.03793205
0.81080670  0.03922473
0.80469795  0.04052923
0.79856171  0.04184500
0.79240170  0.04317151
0.78622156  0.04450822
0.78002487  0.04585458
0.77381515  0.04721008
0.76759584  0.04857418
0.76137028  0.04994634
0.75514176  0.05132604
0.74891348  0.05271276
0.74268854  0.05410597
0.73646999  0.05550516
0.73026076  0.05690981
0.72406370  0.05831940
0.71788159  0.05973342
0.71171708  0.06115137
0.70557278  0.06257275
0.69945116  0.06399705
0.69335464  0.06542378
0.68728550  0.06685244
0.68124597  0.06828256
0.67523817  0.06971363
0.66926412  0.07114519
0.66332576  0.07257676
0.65742492  0.07400786
0.65156336  0.07543803
0.64574273  0.07686681
0.63996459  0.07829373
0.63423042  0.07971834
0.62854160  0.08114019
0.62289943  0.08255885
0.61730511  0.08397386
0.61175977  0.08538479
0.60626442  0.08679122
0.60082003  0.08819272
0.59542745  0.08958887
0.59008746  0.09097925
0.58480077  0.09236346
0.57956798  0.09374109
0.57438966  0.09511174
0.56926624  0.09647502
