# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 04759
# Species         : Ifrita_kowaldi
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 79.80 mm
# Secondary1       : 70.40 mm
# Kipps Distance   : 9.80 mm
# Hand-Wing Index  : 12.20
# Tail Length      : 54.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.134
# Pointedness Index: 0.1228
# Efficiency Index : 0.0150
# Wing Loading Proxy: 0.0209
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2051  at x/c = 0.2752
# Max f/c          : 0.0605  at x/c = 0.3518
# Est. Reynolds    : 1.24e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939168  0.00009124
0.99866620  0.00021765
0.99781775  0.00037899
0.99684120  0.00057499
0.99573205  0.00080537
0.99448637  0.00106985
0.99310084  0.00136810
0.99157264  0.00169983
0.98989949  0.00206467
0.98807960  0.00246230
0.98611162  0.00289234
0.98399465  0.00335443
0.98172820  0.00384817
0.97931218  0.00437318
0.97674684  0.00492904
0.97403281  0.00551534
0.97117102  0.00613165
0.96816271  0.00677753
0.96500941  0.00745254
0.96171291  0.00815623
0.95827526  0.00888813
0.95469871  0.00964778
0.95098576  0.01043469
0.94713908  0.01124838
0.94316155  0.01208836
0.93905619  0.01295414
0.93482618  0.01384521
0.93047485  0.01476106
0.92600564  0.01570119
0.92142212  0.01666506
0.91672794  0.01765217
0.91192686  0.01866197
0.90702270  0.01969395
0.90201936  0.02074757
0.89692078  0.02182229
0.89173097  0.02291757
0.88645396  0.02403287
0.88109381  0.02516764
0.87565461  0.02632133
0.87014045  0.02749340
0.86455543  0.02868330
0.85890365  0.02989046
0.85318920  0.03111435
0.84741615  0.03235441
0.84158855  0.03361007
0.83571041  0.03488080
0.82978572  0.03616603
0.82381842  0.03746520
0.81781243  0.03877777
0.81177158  0.04010318
0.80569969  0.04144087
0.79960048  0.04279030
0.79347765  0.04415091
0.78733480  0.04552216
0.78117549  0.04690349
0.77500318  0.04829436
0.76882130  0.04969423
0.76263315  0.05110255
0.75644200  0.05251878
0.75025100  0.05394239
0.74406325  0.05537284
0.73788173  0.05680959
0.73170938  0.05825212
0.72554900  0.05969989
0.71940335  0.06115240
0.71327507  0.06260911
0.70716671  0.06406950
0.70108076  0.06553307
0.69501957  0.06699930
0.68898544  0.06846769
0.68298057  0.06993773
0.67700703  0.07140893
0.67106686  0.07288079
0.66516195  0.07435282
0.65929414  0.07582454
0.65346515  0.07729545
0.64767663  0.07876509
0.64193012  0.08023298
0.63622708  0.08169865
0.63056889  0.08316164
0.62495682  0.08462149
0.61939207  0.08607775
0.61387575  0.08752996
0.60840889  0.08897768
0.60299241  0.09042048
0.59762717  0.09185791
0.59231395  0.09328955
0.58705344  0.09471498
0.58184625  0.09613377
0.57669292  0.09754552
0.57159391  0.09894982
0.56654959  0.10034625
0.56156029  0.10173444
0.55662623  0.10311398
0.55174760  0.10448448
0.54692448  0.10584558
0.54215692  0.10719689
0.53744488  0.10853805
0.53278826  0.10986869
0.52818692  0.11118845
0.52364062  0.11249699
0.51914911  0.11379396
0.51471204  0.11507901
0.51032904  0.11635181
0.50599965  0.11761204
0.50172341  0.11885937
0.49749976  0.12009349
0.49332813  0.12131408
0.48920787  0.12252084
0.48513833  0.12371347
0.48111878  0.12489168
0.47714846  0.12605518
0.47322659  0.12720369
0.46935234  0.12833694
0.46552483  0.12945465
0.46174319  0.13055656
0.45800647  0.13164242
0.45431373  0.13271197
0.45066397  0.13376498
0.44705620  0.13480119
0.44348939  0.13582038
0.43996247  0.13682232
0.43647438  0.13780678
0.43302402  0.13877356
0.42961029  0.13972245
0.42623206  0.14065323
0.42288820  0.14156571
0.41957756  0.14245971
0.41629899  0.14333503
0.41305131  0.14419149
0.40983335  0.14502892
0.40664395  0.14584716
0.40348190  0.14664603
0.40034604  0.14742539
0.39723518  0.14818508
0.39414813  0.14892496
0.39108371  0.14964488
0.38804075  0.15034472
0.38501807  0.15102434
0.38201452  0.15168363
0.37902892  0.15232246
0.37606013  0.15294072
0.37310702  0.15353831
0.37016846  0.15411513
0.36724333  0.15467109
0.36433054  0.15520609
0.36142900  0.15572004
0.35853764  0.15621288
0.35565543  0.15668453
0.35278131  0.15713491
0.34991429  0.15756397
0.34705337  0.15797165
0.34419759  0.15835790
0.34134601  0.15872266
0.33849769  0.15906590
0.33565174  0.15938758
0.33280729  0.15968766
0.32996351  0.15996612
0.32711956  0.16022293
0.32427466  0.16045807
0.32142805  0.16067154
0.31857900  0.16086332
