# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 04765
# Species         : Lamprolia_klinesmithi
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 81.50 mm
# Secondary1       : 69.60 mm
# Kipps Distance   : 12.30 mm
# Hand-Wing Index  : 15.00
# Tail Length      : 45.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.171
# Pointedness Index: 0.1509
# Efficiency Index : 0.0226
# Wing Loading Proxy: 0.0257
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2013  at x/c = 0.2735
# Max f/c          : 0.0601  at x/c = 0.3518
# Est. Reynolds    : 1.29e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009105
0.99866609  0.00021687
0.99781740  0.00037722
0.99684039  0.00057185
0.99573049  0.00080046
0.99448373  0.00106278
0.99309673  0.00135849
0.99156663  0.00168727
0.98989111  0.00204879
0.98806833  0.00244270
0.98609693  0.00286864
0.98397597  0.00332623
0.98170494  0.00381510
0.97928372  0.00433484
0.97671257  0.00488506
0.97399208  0.00546534
0.97112317  0.00607524
0.96810709  0.00671435
0.96494535  0.00738220
0.96163974  0.00807836
0.95819231  0.00880237
0.95460533  0.00955374
0.95088128  0.01033202
0.94702286  0.01113672
0.94303293  0.01196735
0.93891454  0.01282342
0.93467088  0.01370443
0.93030529  0.01460987
0.92582123  0.01553924
0.92122227  0.01649201
0.91651209  0.01746768
0.91169446  0.01846571
0.90677322  0.01948559
0.90175229  0.02052678
0.89663563  0.02158875
0.89142727  0.02267096
0.88613126  0.02377287
0.88075169  0.02489395
0.87529265  0.02603365
0.86975828  0.02719143
0.86415269  0.02836674
0.85848001  0.02955904
0.85274433  0.03076777
0.84694976  0.03199239
0.84110037  0.03323235
0.83520019  0.03448711
0.82925324  0.03575610
0.82326349  0.03703879
0.81723485  0.03833463
0.81117121  0.03964306
0.80507638  0.04096354
0.79895413  0.04229553
0.79280816  0.04363848
0.78664211  0.04499184
0.78045954  0.04635508
0.77426396  0.04772766
0.76805878  0.04910903
0.76184736  0.05049866
0.75563295  0.05189603
0.74941876  0.05330059
0.74320787  0.05471182
0.73700331  0.05612919
0.73080800  0.05755218
0.72462480  0.05898028
0.71845646  0.06041295
0.71230564  0.06184970
0.70617492  0.06329001
0.70006677  0.06473337
0.69398359  0.06617928
0.68792768  0.06762724
0.68190124  0.06907675
0.67590638  0.07052733
0.66994513  0.07197849
0.66401940  0.07342974
0.65813104  0.07488061
0.65228178  0.07633061
0.64647327  0.07777929
0.64070708  0.07922617
0.63498466  0.08067079
0.62930741  0.08211269
0.62367661  0.08355144
0.61809346  0.08498657
0.61255907  0.08641764
0.60707448  0.08784423
0.60164062  0.08926589
0.59625836  0.09068220
0.59092848  0.09209274
0.58565167  0.09349709
0.58042855  0.09489484
0.57525965  0.09628558
0.57014545  0.09766892
0.56508632  0.09904446
0.56008258  0.10041180
0.55513447  0.10177057
0.55024215  0.10312038
0.54540574  0.10446086
0.54062526  0.10579165
0.53590069  0.10711237
0.53123192  0.10842268
0.52661880  0.10972223
0.52206111  0.11101066
0.51755858  0.11228765
0.51311088  0.11355284
0.50871761  0.11480593
0.50437834  0.11604658
0.50009257  0.11727448
0.49585977  0.11848931
0.49167934  0.11969078
0.48755066  0.12087858
0.48347305  0.12205243
0.47944578  0.12321203
0.47546810  0.12435709
0.47153921  0.12548736
0.46765828  0.12660255
0.46382444  0.12770241
0.46003679  0.12878667
0.45629440  0.12985508
0.45259630  0.13090740
0.44894152  0.13194339
0.44532903  0.13296281
0.44175780  0.13396543
0.43822678  0.13495103
0.43473488  0.13591939
0.43128101  0.13687031
0.42786406  0.13780357
0.42448289  0.13871898
0.42113636  0.13961634
0.41782333  0.14049547
0.41454263  0.14135618
0.41129308  0.14219829
0.40807351  0.14302164
0.40488274  0.14382606
0.40171958  0.14461139
0.39858284  0.14537748
0.39547133  0.14612418
0.39238386  0.14685134
0.38931924  0.14755883
0.38627630  0.14824652
0.38325386  0.14891428
0.38025074  0.14956199
0.37726578  0.15018954
0.37429783  0.15079681
0.37134575  0.15138371
0.36840840  0.15195013
0.36548467  0.15249598
0.36257345  0.15302117
0.35967366  0.15352563
0.35678422  0.15400926
0.35390408  0.15447200
0.35103221  0.15491378
0.34816759  0.15533454
0.34530922  0.15573423
0.34245614  0.15611278
0.33960739  0.15647015
0.33676206  0.15680630
0.33391924  0.15712120
0.33107805  0.15741480
0.32823765  0.15768708
0.32539723  0.15793802
0.32255598  0.15816759
0.31971314  0.15837579
0.31686799  0.15856260
0.31401981  0.15872802
0.31116794  0.15887204
0.30831174  0.15899467
0.30545060  0.15909592
0.30258395  0.15917579
0.29971123  0.15923431
0.29683195  0.15927149
0.29394564  0.15928735
0.29105185  0.15928193
0.28815018  0.15925525
0.28524027  0.15920734
0.28232177  0.15913826
0.27939441  0.15904802
0.27645791  0.15893670
0.27351205  0.15880432
0.27055666  0.15865094
0.26759157  0.15847662
0.26461669  0.15828141
0.26163192  0.15806538
0.25863724  0.15782858
0.25563265  0.15757109
0.25261818  0.15729296
0.24959390  0.15699428
0.24655993  0.15667512
0.24351641  0.15633555
0.24046353  0.15597564
0.23740151  0.15559549
0.23433059  0.15519516
0.23125108  0.15477475
0.22816330  0.15433434
0.22506762  0.15387401
0.22196442  0.15339385
0.21885414  0.15289395
0.21573725  0.15237441
0.21261424  0.15183530
0.20948564  0.15127674
0.20635201  0.15069879
0.20321394  0.15010157
0.20007206  0.14948516
0.19692703  0.14884966
0.19377951  0.14819515
0.19063023  0.14752174
0.18747991  0.14682951
0.18432932  0.14611857
0.18117926  0.14538899
0.17803053  0.14464088
0.17488396  0.14387432
0.17174043  0.14308941
0.16860080  0.14228623
0.16546598  0.14146486
0.16233690  0.14062540
0.15921447  0.13976792
0.15609967  0.13889252
0.15299345  0.13799926
0.14989680  0.13708822
0.14681072  0.13615949
0.14373621  0.13521313
0.14067430  0.13424921
0.13762599  0.13326780
0.13459234  0.13226896
0.13157438  0.13125276
0.12857314  0.13021924
0.12558967  0.12916846
0.12262503  0.12810048
0.11968025  0.12701532
0.11675637  0.12591305
0.11385445  0.12479368
0.11097550  0.12365726
0.10812056  0.12250382
0.10529064  0.12133336
0.10248676  0.12014592
0.09970991  0.11894150
0.09696106  0.11772012
0.09424119  0.11648176
0.09155124  0.11522644
0.08889216  0.11395414
0.08626483  0.11266483
0.08367016  0.11135852
0.08110901  0.11003515
0.07858221  0.10869471
0.07609057  0.10733715
0.07363489  0.10596242
0.07121591  0.10457047
0.06883434  0.10316124
0.06649089  0.10173467
0.06418619  0.10029069
0.06192088  0.09882920
0.05969551  0.09735013
0.05751064  0.09585339
0.05536677  0.09433886
0.05326434  0.09280645
0.05120377  0.09125604
0.04918544  0.08968751
0.04720967  0.08810074
0.04527675  0.08649558
0.04338689  0.08487190
0.04154031  0.08322954
0.03973712  0.08156836
0.03797743  0.07988820
0.03626127  0.07818888
0.03458865  0.07647023
0.03295949  0.07473209
0.03137371  0.07297425
0.02983115  0.07119653
0.02833161  0.06939874
0.02687483  0.06758067
0.02546054  0.06574212
0.02408837  0.06388289
0.02275795  0.06200275
0.02146885  0.06010150
0.02022060  0.05817891
0.01901268  0.05623476
0.01784455  0.05426883
0.01671562  0.05228089
0.01562528  0.05027071
0.01457287  0.04823808
0.01355772  0.04618275
0.01257913  0.04410451
0.01163638  0.04200314
0.01072875  0.03987840
0.00985548  0.03773008
0.00901583  0.03555797
0.00820904  0.03336186
0.00743437  0.03114154
0.00669108  0.02889682
0.00597846  0.02662751
0.00529582  0.02433343
0.00464249  0.02201441
0.00401786  0.01967029
0.00342135  0.01730093
0.00285245  0.01490621
0.00231072  0.01248600
0.00179579  0.01004021
0.00130737  0.00756876
0.00084529  0.00507160
0.00040948  0.00254868
0.00000000  0.00000000
0.00040948  -0.00149175
0.00084529  -0.00290985
0.00130737  -0.00425818
0.00179579  -0.00554040
0.00231072  -0.00676003
0.00285245  -0.00792045
0.00342135  -0.00902486
0.00401786  -0.01007632
0.00464249  -0.01107777
0.00529582  -0.01203200
0.00597846  -0.01294167
0.00669108  -0.01380933
0.00743437  -0.01463739
0.00820904  -0.01542816
0.00901583  -0.01618384
0.00985548  -0.01690652
0.01072875  -0.01759819
0.01163638  -0.01826075
0.01257913  -0.01889598
0.01355772  -0.01950560
0.01457287  -0.02009123
0.01562528  -0.02065441
0.01671562  -0.02119659
0.01784455  -0.02171916
0.01901268  -0.02222343
0.02022060  -0.02271062
0.02146885  -0.02318192
0.02275795  -0.02363843
0.02408837  -0.02408118
0.02546054  -0.02451116
0.02687483  -0.02492930
0.02833161  -0.02533645
0.02983115  -0.02573345
0.03137371  -0.02612105
0.03295949  -0.02649996
0.03458865  -0.02687086
0.03626127  -0.02723438
0.03797743  -0.02759109
0.03973712  -0.02794153
0.04154031  -0.02828621
0.04338689  -0.02862558
0.04527675  -0.02896007
0.04720967  -0.02929008
0.04918544  -0.02961595
0.05120377  -0.02993803
0.05326434  -0.03025660
0.05536677  -0.03057192
0.05751064  -0.03088425
0.05969551  -0.03119378
0.06192088  -0.03150070
0.06418619  -0.03180518
0.06649089  -0.03210736
0.06883434  -0.03240734
0.07121591  -0.03270522
0.07363489  -0.03300108
0.07609057  -0.03329497
0.07858221  -0.03358693
0.08110901  -0.03387697
0.08367016  -0.03416510
0.08626483  -0.03445130
0.08889216  -0.03473554
0.09155124  -0.03501778
0.09424119  -0.03529796
0.09696106  -0.03557601
0.09970991  -0.03585184
0.10248676  -0.03612537
0.10529064  -0.03639648
0.10812056  -0.03666507
0.11097550  -0.03693100
0.11385445  -0.03719415
0.11675637  -0.03745436
0.11968025  -0.03771150
0.12262503  -0.03796540
0.12558967  -0.03821589
0.12857314  -0.03846281
0.13157438  -0.03870599
0.13459234  -0.03894523
0.13762599  -0.03918036
0.14067430  -0.03941118
0.14373621  -0.03963749
0.14681072  -0.03985911
0.14989680  -0.04007583
0.15299345  -0.04028745
0.15609967  -0.04049376
0.15921447  -0.04069455
0.16233690  -0.04088963
0.16546598  -0.04107877
0.16860080  -0.04126177
0.17174043  -0.04143842
0.17488396  -0.04160852
0.17803053  -0.04177185
0.18117926  -0.04192820
0.18432932  -0.04207738
0.18747991  -0.04221917
0.19063023  -0.04235338
0.19377951  -0.04247980
0.19692703  -0.04259824
0.20007206  -0.04270850
0.20321394  -0.04281039
0.20635201  -0.04290373
0.20948564  -0.04298833
0.21261424  -0.04306401
0.21573725  -0.04313060
0.21885414  -0.04318792
0.22196442  -0.04323581
0.22506762  -0.04327411
0.22816330  -0.04330267
0.23125108  -0.04332133
0.23433059  -0.04332996
0.23740151  -0.04332841
0.24046353  -0.04331655
0.24351641  -0.04329426
0.24655993  -0.04326143
0.24959390  -0.04321793
0.25261818  -0.04316367
0.25563265  -0.04309854
0.25863724  -0.04302247
0.26163192  -0.04293537
0.26461669  -0.04283716
0.26759157  -0.04272778
0.27055666  -0.04260717
0.27351205  -0.04247528
0.27645791  -0.04233207
0.27939441  -0.04217751
0.28232177  -0.04201156
0.28524027  -0.04183422
0.28815018  -0.04164548
0.29105185  -0.04144534
0.29394564  -0.04123381
0.29683195  -0.04101091
0.29971123  -0.04077667
0.30258395  -0.04053111
0.30545060  -0.04027430
0.30831174  -0.04000629
0.31116794  -0.03972713
0.31401981  -0.03943691
0.31686799  -0.03913570
0.31971314  -0.03882360
0.32255598  -0.03850071
0.32539723  -0.03816714
0.32823765  -0.03782301
0.33107805  -0.03746844
0.33391924  -0.03710357
0.33676206  -0.03672856
0.33960739  -0.03634354
0.34245614  -0.03594870
0.34530922  -0.03554419
0.34816759  -0.03513020
0.35103221  -0.03470692
0.35390408  -0.03427455
0.35678422  -0.03383328
0.35967366  -0.03338335
0.36257345  -0.03292496
0.36548467  -0.03245835
0.36840840  -0.03198376
0.37134575  -0.03150142
0.37429783  -0.03101160
0.37726578  -0.03051456
0.38025074  -0.03001055
0.38325386  -0.02949985
0.38627630  -0.02898274
0.38931924  -0.02845952
0.39238386  -0.02793046
0.39547133  -0.02739588
0.39858284  -0.02685607
0.40171958  -0.02631134
0.40488274  -0.02576201
0.40807351  -0.02520839
0.41129308  -0.02465083
0.41454263  -0.02408963
0.41782333  -0.02352513
0.42113636  -0.02295768
0.42448289  -0.02238762
0.42786406  -0.02181528
0.43128101  -0.02124101
0.43473488  -0.02066517
0.43822678  -0.02008810
0.44175780  -0.01951017
0.44532903  -0.01893172
0.44894152  -0.01835311
0.45259630  -0.01777471
0.45629440  -0.01719688
0.46003679  -0.01661997
0.46382444  -0.01604434
0.46765828  -0.01547036
0.47153921  -0.01489838
0.47546810  -0.01432876
0.47944578  -0.01376187
0.48347305  -0.01319805
0.48755066  -0.01263767
0.49167934  -0.01208107
0.49585977  -0.01152861
0.50009257  -0.01098062
0.50437834  -0.01043747
0.50871761  -0.00989947
0.51311088  -0.00936698
0.51755858  -0.00884032
0.52206111  -0.00831982
0.52661880  -0.00780580
0.53123192  -0.00729858
0.53590069  -0.00679847
0.54062526  -0.00630577
0.54540574  -0.00582079
0.55024215  -0.00534381
0.55513447  -0.00487513
0.56008258  -0.00441501
0.56508632  -0.00396372
0.57014545  -0.00352154
0.57525965  -0.00308872
0.58042855  -0.00266549
0.58565167  -0.00225209
0.59092848  -0.00184876
0.59625836  -0.00145571
0.60164062  -0.00107314
0.60707448  -0.00070125
0.61255907  -0.00034024
0.61809346  0.00000972
0.62367661  0.00034848
0.62930741  0.00067586
0.63498466  0.00099174
0.64070708  0.00129597
0.64647327  0.00158844
0.65228178  0.00186905
0.65813104  0.00213769
0.66401940  0.00239429
0.66994513  0.00263877
0.67590638  0.00287108
0.68190124  0.00309117
0.68792768  0.00329902
0.69398359  0.00349460
0.70006677  0.00367791
0.70617492  0.00384897
0.71230564  0.00400779
0.71845646  0.00415442
0.72462480  0.00428889
0.73080800  0.00441129
0.73700331  0.00452169
0.74320787  0.00462018
0.74941876  0.00470687
0.75563295  0.00478188
0.76184736  0.00484535
0.76805878  0.00489743
0.77426396  0.00493829
0.78045954  0.00496810
0.78664211  0.00498705
0.79280816  0.00499536
0.79895413  0.00499324
0.80507638  0.00498093
0.81117121  0.00495868
0.81723485  0.00492675
0.82326349  0.00488542
0.82925324  0.00483497
0.83520019  0.00477572
0.84110037  0.00470798
0.84694976  0.00463207
0.85274433  0.00454834
0.85848001  0.00445714
0.86415269  0.00435884
0.86975828  0.00425383
0.87529265  0.00414248
0.88075169  0.00402521
0.88613126  0.00390242
0.89142727  0.00377455
0.89663563  0.00364202
0.90175229  0.00350528
0.90677322  0.00336479
0.91169446  0.00322101
0.91651209  0.00307442
0.92122227  0.00292550
0.92582123  0.00277474
0.93030529  0.00262265
0.93467088  0.00246972
0.93891454  0.00231647
0.94303293  0.00216343
0.94702286  0.00201112
0.95088128  0.00186006
0.95460533  0.00171081
0.95819231  0.00156391
0.96163974  0.00141989
0.96494535  0.00127931
0.96810709  0.00114272
0.97112317  0.00101069
0.97399208  0.00088376
0.97671257  0.00076249
0.97928372  0.00064744
0.98170494  0.00053918
0.98397597  0.00043827
0.98609693  0.00034525
0.98806833  0.00026069
0.98989111  0.00018514
0.99156663  0.00011916
0.99309673  0.00006328
0.99448373  0.00001805
0.99573049  -0.00001599
0.99684039  -0.00003831
0.99781740  -0.00004839
0.99866609  -0.00004570
0.99939167  -0.00002974
1.00000000  0.00000000
