# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 04826
# Species         : Garrulax_albogularis
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 126.00 mm
# Secondary1       : 115.00 mm
# Kipps Distance   : 9.00 mm
# Hand-Wing Index  : 7.30
# Tail Length      : 134.30 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.096
# Pointedness Index: 0.0714
# Efficiency Index : 0.0052
# Wing Loading Proxy: 0.0082
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2074  at x/c = 0.2780
# Max f/c          : 0.0611  at x/c = 0.3568
# Est. Reynolds    : 2.23e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939171  0.00009142
0.99866638  0.00021837
0.99781837  0.00038060
0.99684263  0.00057784
0.99573478  0.00080981
0.99449100  0.00107622
0.99310803  0.00137676
0.99158316  0.00171109
0.98991416  0.00207888
0.98809931  0.00247978
0.98613732  0.00291342
0.98402733  0.00337943
0.98176890  0.00387741
0.97936196  0.00440696
0.97680682  0.00496768
0.97410410  0.00555915
0.97125476  0.00618092
0.96826006  0.00683256
0.96512153  0.00751363
0.96184097  0.00822366
0.95842041  0.00896218
0.95486212  0.00972872
0.95116859  0.01052281
0.94734247  0.01134394
0.94338663  0.01219163
0.93930406  0.01306537
0.93509795  0.01396466
0.93077157  0.01488899
0.92632837  0.01583783
0.92177186  0.01681066
0.91710569  0.01780695
0.91233358  0.01882618
0.90745930  0.01986781
0.90248674  0.02093129
0.89741980  0.02201609
0.89226245  0.02312166
0.88701868  0.02424745
0.88169252  0.02539292
0.87628802  0.02655750
0.87080923  0.02774065
0.86526022  0.02894181
0.85964503  0.03016042
0.85396773  0.03139592
0.84823234  0.03264776
0.84244286  0.03391538
0.83660329  0.03519821
0.83071755  0.03649569
0.82478957  0.03780727
0.81882319  0.03913239
0.81282224  0.04047049
0.80679047  0.04182100
0.80073159  0.04318337
0.79464925  0.04455705
0.78854701  0.04594148
0.78242839  0.04733610
0.77629684  0.04874038
0.77015571  0.05015374
0.76400831  0.05157566
0.75785785  0.05300557
0.75170745  0.05444295
0.74556018  0.05588724
0.73941901  0.05733792
0.73328681  0.05879444
0.72716638  0.06025628
0.72106044  0.06172290
0.71497160  0.06319377
0.70890240  0.06466839
0.70285528  0.06614622
0.69683260  0.06762676
0.69083660  0.06910949
0.68486946  0.07059390
0.67893326  0.07207949
0.67302998  0.07356576
0.66716152  0.07505222
0.66132968  0.07653837
0.65553617  0.07802372
0.64978263  0.07950781
0.64407058  0.08099014
0.63840146  0.08247024
0.63277664  0.08394765
0.62719737  0.08542190
0.62166485  0.08689253
0.61618017  0.08835910
0.61074434  0.08982115
0.60535829  0.09127823
0.60002286  0.09272991
0.59473882  0.09417576
0.58950686  0.09561535
0.58432758  0.09704825
0.57920151  0.09847405
0.57412911  0.09989234
0.56911075  0.10130271
0.56414675  0.10270476
0.55923733  0.10409809
0.55438267  0.10548232
0.54958286  0.10685706
0.54483794  0.10822193
0.54014788  0.10957656
0.53551258  0.11092059
0.53093188  0.11225366
0.52640558  0.11357540
0.52193340  0.11488547
0.51751500  0.11618353
0.51315002  0.11746923
0.50883801  0.11874226
0.50457850  0.12000228
0.50037094  0.12124897
0.49621475  0.12248203
0.49210933  0.12370113
0.48805398  0.12490599
0.48404802  0.12609630
0.48009068  0.12727179
0.47618118  0.12843215
0.47231871  0.12957712
0.46850240  0.13070643
0.46473137  0.13181981
0.46100469  0.13291701
0.45732143  0.13399776
0.45368060  0.13506182
0.45008121  0.13610896
0.44652224  0.13713894
0.44300263  0.13815152
0.43952134  0.13914649
0.43607728  0.14012363
0.43266934  0.14108273
0.42929642  0.14202359
0.42595738  0.14294601
0.42265110  0.14384978
0.41937642  0.14473474
0.41613218  0.14560070
0.41291724  0.14644748
0.40973040  0.14727492
0.40657051  0.14808285
0.40343639  0.14887111
0.40032687  0.14963957
0.39724077  0.15038806
0.39417692  0.15111646
0.39113415  0.15182462
0.38811130  0.15251243
0.38510722  0.15317976
0.38212075  0.15382649
0.37915075  0.15445252
0.37619611  0.15505773
0.37325568  0.15564204
0.37032839  0.15620534
0.36741312  0.15674755
0.36450881  0.15726858
0.36161440  0.15776837
0.35872884  0.15824684
0.35585111  0.15870391
0.35298021  0.15913954
0.35011516  0.15955366
0.34725499  0.15994623
0.34439876  0.16031720
0.34154556  0.16066653
0.33869449  0.16099418
0.33584470  0.16130013
0.33299534  0.16158435
0.33014560  0.16184682
0.32729469  0.16208752
0.32444186  0.16230644
0.32158638  0.16250359
0.31872756  0.16267895
0.31586472  0.16283253
0.31299724  0.16296434
