# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 04956
# Species         : Bradypterus_cinnamomeus
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 62.30 mm
# Secondary1       : 56.60 mm
# Kipps Distance   : 5.60 mm
# Hand-Wing Index  : 9.00
# Tail Length      : 65.30 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.101
# Pointedness Index: 0.0899
# Efficiency Index : 0.0081
# Wing Loading Proxy: 0.0169
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2105  at x/c = 0.2770
# Max f/c          : 0.0610  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939170  0.00009149
0.99866632  0.00021865
0.99781815  0.00038124
0.99684214  0.00057899
0.99573383  0.00081163
0.99448939  0.00107887
0.99310553  0.00138039
0.99157951  0.00171589
0.98990907  0.00208502
0.98809247  0.00248743
0.98612840  0.00292277
0.98401599  0.00339066
0.98175478  0.00389071
0.97934469  0.00442254
0.97678601  0.00498572
0.97407937  0.00557985
0.97122571  0.00620450
0.96822629  0.00685922
0.96508263  0.00754357
0.96179654  0.00825710
0.95837005  0.00899934
0.95480543  0.00976982
0.95110516  0.01056806
0.94727191  0.01139358
0.94330854  0.01224587
0.93921806  0.01312445
0.93500366  0.01402879
0.93066863  0.01495841
0.92621640  0.01591276
0.92165052  0.01689134
0.91697464  0.01789362
0.91219247  0.01891906
0.90730783  0.01996714
0.90232459  0.02103730
0.89724667  0.02212902
0.89207806  0.02324174
0.88682276  0.02437491
0.88148480  0.02552799
0.87606826  0.02670043
0.87057720  0.02789166
0.86501570  0.02910112
0.85938782  0.03032827
0.85369763  0.03157254
0.84794917  0.03283338
0.84214647  0.03411021
0.83629351  0.03540248
0.83039426  0.03670962
0.82445264  0.03803108
0.81847252  0.03936629
0.81245772  0.04071469
0.80641204  0.04207572
0.80033917  0.04344881
0.79424277  0.04483342
0.78812644  0.04622898
0.78199371  0.04763493
0.77584802  0.04905072
0.76969275  0.05047580
0.76353121  0.05190961
0.75736663  0.05335160
0.75120215  0.05480124
0.74504083  0.05625796
0.73888566  0.05772124
0.73273953  0.05919053
0.72660524  0.06066530
0.72048552  0.06214500
0.71438300  0.06362912
0.70830021  0.06511712
0.70223962  0.06660848
0.69620357  0.06810268
0.69019434  0.06959920
0.68421411  0.07109753
0.67826495  0.07259716
0.67234887  0.07409759
0.66646776  0.07559831
0.66062344  0.07709883
0.65481762  0.07859866
0.64905194  0.08009730
0.64332793  0.08159428
0.63764704  0.08308912
0.63201063  0.08458133
0.62641999  0.08607046
0.62087628  0.08755603
0.61538062  0.08903759
0.60993401  0.09051468
0.60453740  0.09198686
0.59919162  0.09345367
0.59389746  0.09491468
0.58865558  0.09636946
0.58346661  0.09781757
0.57833108  0.09925860
0.57324943  0.10069212
0.56822206  0.10211772
0.56324927  0.10353499
0.55833129  0.10494354
0.55346830  0.10634296
0.54866040  0.10773287
0.54390761  0.10911289
0.53920991  0.11048263
0.53456720  0.11184172
0.52997933  0.11318979
0.52544607  0.11452649
0.52096717  0.11585145
0.51654228  0.11716433
0.51217102  0.11846479
0.50785297  0.11975248
0.50358763  0.12102708
0.49937447  0.12228826
0.49521290  0.12353570
0.49110231  0.12476909
0.48704202  0.12598811
0.48303131  0.12719248
0.47906945  0.12838188
0.47515563  0.12955605
0.47128904  0.13071468
0.46746882  0.13185750
0.46369407  0.13298425
0.45996388  0.13409466
0.45627729  0.13518846
0.45263334  0.13626542
0.44903100  0.13732527
0.44546927  0.13836779
0.44194709  0.13939273
0.43846340  0.14039987
0.43501711  0.14138899
0.43160712  0.14235987
0.42823231  0.14331230
0.42489156  0.14424607
0.42158372  0.14516100
0.41830763  0.14605689
0.41506215  0.14693355
0.41184611  0.14779080
0.40865833  0.14862848
0.40549763  0.14944641
0.40236285  0.15024443
0.39925280  0.15102238
0.39616631  0.15178013
0.39310220  0.15251751
0.39005930  0.15323440
0.38703644  0.15393067
0.38403247  0.15460618
0.38104623  0.15526082
0.37807658  0.15589447
0.37512239  0.15650703
0.37218254  0.15709839
0.36925591  0.15766844
0.36634142  0.15821711
0.36343799  0.15874431
0.36054455  0.15924995
0.35766006  0.15973395
0.35478350  0.16019626
0.35191385  0.16063680
0.34905014  0.16105551
0.34619140  0.16145235
0.34333668  0.16182726
0.34048507  0.16218020
0.33763568  0.16251113
0.33478764  0.16282001
0.33194011  0.16310683
0.32909227  0.16337155
0.32624334  0.16361416
0.32339256  0.16383465
0.32053919  0.16403300
0.31768256  0.16420921
0.31482198  0.16436328
0.31195681  0.16449523
0.30908647  0.16460505
0.30621037  0.16469276
0.30332797  0.16475838
0.30043877  0.16480193
0.29754230  0.16482345
0.29463812  0.16482295
0.29172584  0.16480047
0.28880507  0.16475606
0.28587550  0.16468976
0.28293682  0.16460161
0.27998878  0.16449166
0.27703115  0.16435996
0.27406375  0.16420658
0.27108643  0.16403156
0.26809907  0.16383498
0.26510159  0.16361691
0.26209396  0.16337740
0.25907617  0.16311653
0.25604826  0.16283438
0.25301030  0.16253102
0.24996238  0.16220654
0.24690467  0.16186101
0.24383732  0.16149452
0.24076057  0.16110716
0.23767467  0.16069901
0.23457989  0.16027016
0.23147656  0.15982071
0.22836504  0.15935074
0.22524571  0.15886036
0.22211901  0.15834966
0.21898539  0.15781874
0.21584535  0.15726769
0.21269939  0.15669660
0.20954809  0.15610559
0.20639203  0.15549475
0.20323181  0.15486418
0.20006810  0.15421398
0.19690155  0.15354425
0.19373289  0.15285508
0.19056283  0.15214658
0.18739213  0.15141885
0.18422157  0.15067198
0.18105197  0.14990607
0.17788415  0.14912121
0.17471896  0.14831751
0.17155727  0.14749504
0.16839998  0.14665391
0.16524801  0.14579419
0.16210228  0.14491598
0.15896374  0.14401937
0.15583336  0.14310442
0.15271210  0.14217123
0.14960097  0.14121987
0.14650097  0.14025041
0.14341310  0.13926292
0.14033839  0.13825747
0.13727787  0.13723412
0.13423256  0.13619293
0.13120352  0.13513395
0.12819178  0.13405724
0.12519838  0.13296283
0.12222438  0.13185078
0.11927080  0.13072111
0.11633869  0.12957386
