# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05120
# Species         : Oedistoma_pygmaeum
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 45.80 mm
# Secondary1       : 40.20 mm
# Kipps Distance   : 5.60 mm
# Hand-Wing Index  : 12.20
# Tail Length      : 23.90 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.139
# Pointedness Index: 0.1223
# Efficiency Index : 0.0149
# Wing Loading Proxy: 0.0477
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2065  at x/c = 0.2752
# Max f/c          : 0.0606  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939168  0.00009129
0.99866620  0.00021784
0.99781775  0.00037941
0.99684120  0.00057574
0.99573205  0.00080655
0.99448637  0.00107155
0.99310084  0.00137044
0.99157264  0.00170289
0.98989949  0.00206857
0.98807960  0.00246713
0.98611162  0.00289821
0.98399465  0.00336144
0.98172820  0.00385643
0.97931218  0.00438279
0.97674684  0.00494012
0.97403281  0.00552799
0.97117102  0.00614599
0.96816271  0.00679367
0.96500941  0.00747058
0.96171291  0.00817629
0.95827526  0.00891032
0.95469871  0.00967220
0.95098576  0.01046146
0.94713908  0.01127762
0.94316155  0.01212018
0.93905619  0.01298865
0.93482618  0.01388252
0.93047485  0.01480129
0.92600564  0.01574444
0.92142212  0.01671146
0.91672794  0.01770182
0.91192686  0.01871499
0.90702270  0.01975045
0.90201936  0.02080766
0.89692078  0.02188607
0.89173097  0.02298516
0.88645396  0.02410437
0.88109381  0.02524317
0.87565461  0.02640099
0.87014045  0.02757730
0.86455543  0.02877154
0.85890365  0.02998316
0.85318920  0.03121160
0.84741615  0.03245631
0.84158855  0.03371673
0.83571041  0.03499231
0.82978572  0.03628249
0.82381843  0.03758671
0.81781243  0.03890443
0.81177158  0.04023507
0.80569969  0.04157810
0.79960048  0.04293295
0.79347765  0.04429907
0.78733480  0.04567591
0.78117549  0.04706293
0.77500319  0.04845956
0.76882130  0.04986528
0.76263316  0.05127952
0.75644200  0.05270176
0.75025101  0.05413144
0.74406325  0.05556804
0.73788174  0.05701101
0.73170938  0.05845983
0.72554901  0.05991396
0.71940336  0.06137289
0.71327508  0.06283608
0.70716672  0.06430301
0.70108077  0.06577318
0.69501959  0.06724606
0.68898546  0.06872116
0.68298058  0.07019795
0.67700705  0.07167595
0.67106688  0.07315466
0.66516198  0.07463358
0.65929417  0.07611221
0.65346518  0.07759009
0.64767666  0.07906673
0.64193015  0.08054165
0.63622712  0.08201438
0.63056893  0.08348445
0.62495686  0.08495141
0.61939212  0.08641479
0.61387581  0.08787415
0.60840894  0.08932903
0.60299247  0.09077900
0.59762724  0.09222361
0.59231402  0.09366244
0.58705352  0.09509507
0.58184634  0.09652105
0.57669301  0.09794000
0.57159401  0.09935148
0.56654970  0.10075510
0.56156040  0.10215046
0.55662636  0.10353716
0.55174773  0.10491481
0.54692463  0.10628303
0.54215707  0.10764145
0.53744504  0.10898969
0.53278844  0.11032739
0.52818710  0.11165418
0.52364082  0.11296972
0.51914932  0.11427365
0.51471227  0.11556563
0.51032928  0.11684532
0.50599991  0.11811240
0.50172368  0.11936653
0.49750005  0.12060740
0.49332844  0.12183470
0.48920820  0.12304811
0.48513868  0.12424734
0.48111915  0.12543209
0.47714885  0.12660207
0.47322701  0.12775700
0.46935277  0.12889660
0.46552530  0.13002060
0.46174368  0.13112874
0.45800699  0.13222074
0.45431427  0.13329637
0.45066455  0.13435537
0.44705681  0.13539750
0.44349002  0.13642253
0.43996314  0.13743023
0.43647508  0.13842037
0.43302476  0.13939273
0.42961106  0.14034711
0.42623287  0.14128330
0.42288905  0.14220110
0.41957846  0.14310031
0.41629992  0.14398076
0.41305229  0.14484224
0.40983438  0.14568460
0.40664502  0.14650766
0.40348302  0.14731125
0.40034721  0.14809522
0.39723640  0.14885941
0.39414940  0.14960369
0.39108504  0.15032789
0.38804213  0.15103190
0.38501951  0.15171558
0.38201601  0.15237881
0.37903048  0.15302147
0.37606175  0.15364344
0.37310871  0.15424463
0.37017021  0.15482492
0.36724515  0.15538422
0.36433243  0.15592244
0.36143096  0.15643950
0.35853968  0.15693531
0.35565753  0.15740980
0.35278349  0.15786291
0.34991655  0.15829456
0.34705572  0.15870470
0.34420002  0.15909327
0.34134851  0.15946024
0.33850027  0.15980554
0.33565441  0.16012915
0.33281006  0.16043103
0.32996636  0.16071115
0.32712250  0.16096949
0.32427769  0.16120603
0.32143118  0.16142075
0.31858223  0.16161365
0.31573013  0.16178472
0.31287423  0.16193395
0.31001388  0.16206136
0.30714847  0.16216695
0.30427744  0.16225073
0.30140024  0.16231273
0.29851636  0.16235295
0.29562534  0.16237143
0.29272674  0.16236819
0.28982015  0.16234326
0.28690521  0.16229669
0.28398158  0.16222851
0.28104897  0.16213877
0.27810712  0.16202751
0.27515580  0.16189478
0.27219484  0.16174064
0.26922408  0.16156515
0.26624341  0.16136836
0.26325275  0.16115033
0.26025206  0.16091115
0.25724135  0.16065086
0.25422064  0.16036955
0.25119001  0.16006728
0.24814957  0.15974414
0.24509946  0.15940020
0.24203987  0.15903555
0.23897101  0.15865027
0.23589313  0.15824443
0.23280653  0.15781814
0.22971153  0.15737147
0.22660849  0.15690451
0.22349781  0.15641737
0.22037990  0.15591013
0.21725524  0.15538288
0.21412431  0.15483571
0.21098764  0.15426874
0.20784580  0.15368204
0.20469937  0.15307571
0.20154896  0.15244986
0.19839524  0.15180458
0.19523888  0.15113997
0.19208058  0.15045612
0.18892108  0.14975313
0.18576114  0.14903109
0.18260154  0.14829010
0.17944309  0.14753026
0.17628663  0.14675166
0.17313302  0.14595439
0.16998312  0.14513854
0.16683784  0.14430420
0.16369810  0.14345146
0.16056482  0.14258041
0.15743896  0.14169112
0.15432148  0.14078369
0.15121337  0.13985818
0.14811562  0.13891467
0.14502923  0.13795325
0.14195521  0.13697397
0.13889460  0.13597691
0.13584842  0.13496213
0.13281771  0.13392969
0.12980350  0.13287965
0.12680685  0.13181205
0.12382879  0.13072696
0.12087038  0.12962441
0.11793264  0.12850444
0.11501663  0.12736709
0.11212338  0.12621239
0.10925391  0.12504036
0.10640924  0.12385102
0.10359038  0.12264439
0.10079832  0.12142048
0.09803405  0.12017930
0.09529854  0.11892083
0.09259274  0.11764507
0.08991758  0.11635201
0.08727397  0.11504163
0.08466281  0.11371389
0.08208496  0.11236877
0.07954126  0.11100623
0.07703253  0.10962622
0.07455956  0.10822868
0.07212311  0.10681355
0.06972389  0.10538077
0.06736261  0.10393027
0.06503992  0.10246195
0.06275644  0.10097573
0.06051277  0.09947151
0.05830944  0.09794919
0.05614696  0.09640865
0.05402581  0.09484978
0.05194640  0.09327245
0.04990911  0.09167652
0.04791429  0.09006186
0.04596221  0.08842832
0.04405314  0.08677573
0.04218726  0.08510394
0.04036474  0.08341277
0.03858566  0.08170204
0.03685009  0.07997158
0.03515804  0.07822119
0.03350946  0.07645068
0.03190427  0.07465983
0.03034232  0.07284844
0.02882343  0.07101630
0.02734738  0.06916318
0.02591387  0.06728885
0.02452260  0.06539308
0.02317317  0.06347564
0.02186520  0.06153629
0.02059821  0.05957478
0.01937172  0.05759087
0.01818519  0.05558430
0.01703806  0.05355482
0.01592974  0.05150218
0.01485958  0.04942612
0.01382693  0.04732639
0.01283112  0.04520274
0.01187144  0.04305490
0.01094719  0.04088263
0.01005762  0.03868568
0.00920202  0.03646380
0.00837964  0.03421675
0.00758977  0.03194429
0.00683168  0.02964620
0.00610468  0.02732225
0.00540809  0.02497223
