# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05240
# Species         : Myzomela_cineracea
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 68.90 mm
# Secondary1       : 57.00 mm
# Kipps Distance   : 11.70 mm
# Hand-Wing Index  : 17.10
# Tail Length      : 51.70 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.209
# Pointedness Index: 0.1698
# Efficiency Index : 0.0290
# Wing Loading Proxy: 0.0234
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2001  at x/c = 0.2723
# Max f/c          : 0.0598  at x/c = 0.3467
# Est. Reynolds    : 1.03e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009095
0.99866601  0.00021648
0.99781714  0.00037635
0.99683978  0.00057030
0.99572932  0.00079806
0.99448175  0.00105933
0.99309364  0.00135380
0.99156212  0.00168117
0.98988482  0.00204110
0.98805988  0.00243324
0.98608591  0.00285723
0.98396196  0.00331271
0.98168750  0.00379929
0.97926239  0.00431658
0.97668686  0.00486418
0.97396152  0.00544167
0.97108728  0.00604864
0.96806537  0.00668464
0.96489730  0.00734924
0.96158486  0.00804200
0.95813010  0.00876244
0.95453529  0.00951011
0.95080292  0.01028454
0.94693569  0.01108525
0.94293647  0.01191175
0.93880831  0.01276355
0.93455441  0.01364015
0.93017812  0.01454106
0.92568292  0.01546576
0.92107238  0.01641375
0.91635020  0.01738451
0.91152015  0.01837751
0.90658610  0.01939224
0.90155198  0.02042816
0.89642177  0.02148475
0.89119949  0.02256148
0.88588924  0.02365780
0.88049510  0.02477318
0.87502119  0.02590709
0.86947166  0.02705897
0.86385064  0.02822829
0.85816227  0.02941451
0.85241068  0.03061707
0.84659997  0.03183544
0.84073423  0.03306906
0.83481753  0.03431739
0.82885389  0.03557989
0.82284729  0.03685601
0.81680168  0.03814519
0.81072094  0.03944691
0.80460891  0.04076061
0.79846938  0.04208576
0.79230606  0.04342180
0.78612261  0.04476820
0.77992260  0.04612442
0.77370956  0.04748992
0.76748691  0.04886417
0.76125803  0.05024664
0.75502619  0.05163679
0.74879459  0.05303410
0.74256636  0.05443804
0.73634451  0.05584808
0.73013200  0.05726371
0.72393169  0.05868441
0.71774633  0.06010967
0.71157861  0.06153897
0.70543112  0.06297181
0.69930633  0.06440768
0.69320667  0.06584609
0.68713442  0.06728653
0.68109182  0.06872851
0.67508097  0.07017155
0.66910392  0.07161516
0.66316258  0.07305885
0.65725881  0.07450216
0.65139436  0.07594461
0.64557088  0.07738574
0.63978994  0.07882507
0.63405301  0.08026215
0.62836147  0.08169653
0.62271663  0.08312775
0.61711969  0.08455538
0.61157177  0.08597897
0.60607390  0.08739808
0.60062704  0.08881230
0.59523203  0.09022118
0.58988968  0.09162433
0.58460067  0.09302131
0.57936562  0.09441172
0.57418508  0.09579515
0.56905952  0.09717122
0.56398931  0.09853951
0.55897477  0.09989965
0.55401615  0.10125126
0.54911362  0.10259395
0.54426727  0.10392736
0.53947715  0.10525111
0.53474322  0.10656485
0.53006538  0.10786823
0.52544348  0.10916089
0.52087730  0.11044249
0.51636656  0.11171269
0.51191094  0.11297117
0.50751003  0.11421758
0.50316341  0.11545162
0.49887057  0.11667297
0.49463097  0.11788132
0.49044403  0.11907636
0.48630911  0.12025780
0.48222552  0.12142535
0.47819255  0.12257872
0.47420944  0.12371762
0.47027538  0.12484180
0.46638954  0.12595096
0.46255104  0.12704487
0.45875900  0.12812325
0.45501246  0.12918585
0.45131046  0.13023243
0.44765202  0.13126276
0.44403612  0.13227659
0.44046172  0.13327370
0.43692775  0.13425387
0.43343313  0.13521688
0.42997677  0.13616252
0.42655755  0.13709058
0.42317433  0.13800087
0.41982597  0.13889320
0.41651130  0.13976737
0.41322918  0.14062320
0.40997841  0.14146051
0.40675782  0.14227915
0.40356621  0.14307893
0.40040241  0.14385971
0.39726521  0.14462133
0.39415342  0.14536363
0.39106586  0.14608649
0.38800132  0.14678975
0.38495862  0.14747330
0.38193658  0.14813699
0.37893404  0.14878072
0.37594981  0.14940437
0.37298274  0.15000782
0.37003169  0.15059098
0.36709552  0.15115374
0.36417312  0.15169601
0.36126337  0.15221770
0.35836517  0.15271872
0.35547747  0.15319901
0.35259920  0.15365848
0.34972931  0.15409707
0.34686681  0.15451471
0.34401068  0.15491135
0.34115995  0.15528693
0.33831368  0.15564141
0.33547093  0.15597473
0.33263080  0.15628687
0.32979242  0.15657779
0.32695493  0.15684745
0.32411752  0.15709584
0.32127938  0.15732293
0.31843976  0.15752871
0.31559792  0.15771317
0.31275315  0.15787630
0.30990479  0.15801809
0.30705218  0.15813855
0.30419473  0.15823769
0.30133185  0.15831551
0.29846301  0.15837202
0.29558769  0.15840726
0.29270542  0.15842123
0.28981576  0.15841397
0.28691830  0.15838549
0.28401269  0.15833584
0.28109859  0.15826506
0.27817569  0.15817317
0.27524375  0.15806023
0.27230253  0.15792628
0.26935186  0.15777138
0.26639159  0.15759556
0.26342160  0.15739890
0.26044181  0.15718144
0.25745220  0.15694326
0.25445276  0.15668440
0.25144353  0.15640495
0.24842458  0.15610497
0.24539602  0.15578453
0.24235801  0.15544371
0.23931072  0.15508257
0.23625438  0.15470121
0.23318925  0.15429970
0.23011561  0.15387811
0.22703380  0.15343655
0.22394418  0.15297508
0.22084714  0.15249380
0.21774313  0.15199279
0.21463260  0.15147214
0.21151605  0.15093195
0.20839402  0.15037230
0.20526706  0.14979328
0.20213578  0.14919499
0.19900080  0.14857752
0.19586276  0.14794096
0.19272236  0.14728540
0.18958031  0.14661094
0.18643734  0.14591767
0.18329422  0.14520569
0.18015174  0.14447507
0.17701072  0.14372593
0.17387199  0.14295834
0.17073641  0.14217239
0.16760487  0.14136818
0.16447827  0.14054579
0.16135752  0.13970531
0.15824357  0.13884683
0.15513737  0.13797041
0.15203990  0.13707616
0.14895213  0.13616413
0.14587507  0.13523442
0.14280972  0.13428710
0.13975710  0.13332223
0.13671823  0.13233988
0.13369415  0.13134013
0.13068591  0.13032303
0.12769453  0.12928865
0.12472107  0.12823703
0.12176658  0.12716824
0.11883209  0.12608232
0.11591865  0.12497932
0.11302731  0.12385928
0.11015908  0.12272223
0.10731501  0.12156821
0.10449610  0.12039725
0.10170337  0.11920937
0.09893780  0.11800459
0.09620039  0.11678292
0.09349208  0.11554437
0.09081384  0.11428895
0.08816658  0.11301665
0.08555123  0.11172747
0.08296865  0.11042139
0.08041972  0.10909841
0.07790526  0.10775848
0.07542610  0.10640159
0.07298299  0.10502770
0.07057670  0.10363677
0.06820795  0.10222875
0.06587740  0.10080358
0.06358571  0.09936121
0.06133349  0.09790157
0.05912132  0.09642459
0.05694973  0.09493020
0.05481920  0.09341830
