# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05327
# Species         : Cinclocerthia_gutturalis
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 103.10 mm
# Secondary1       : 86.80 mm
# Kipps Distance   : 16.50 mm
# Hand-Wing Index  : 16.00
# Tail Length      : 89.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.188
# Pointedness Index: 0.1600
# Efficiency Index : 0.0256
# Wing Loading Proxy: 0.0133
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1981  at x/c = 0.2729
# Max f/c          : 0.0599  at x/c = 0.3518
# Est. Reynolds    : 1.72e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009091
0.99866605  0.00021634
0.99781727  0.00037604
0.99684010  0.00056974
0.99572993  0.00079717
0.99448279  0.00105803
0.99309526  0.00135201
0.99156448  0.00167879
0.98988811  0.00203804
0.98806431  0.00242941
0.98609168  0.00285253
0.98396930  0.00330703
0.98169663  0.00379253
0.97927356  0.00430863
0.97670033  0.00485493
0.97397753  0.00543101
0.97110608  0.00603645
0.96808722  0.00667081
0.96492247  0.00733364
0.96161361  0.00802450
0.95816269  0.00874293
0.95457198  0.00948846
0.95084397  0.01026062
0.94698135  0.01105892
0.94298700  0.01188288
0.93886395  0.01273201
0.93461542  0.01360580
0.93024473  0.01450377
0.92575537  0.01542539
0.92115089  0.01637015
0.91643500  0.01733754
0.91161145  0.01832704
0.90668412  0.01933812
0.90165690  0.02037025
0.89653379  0.02142290
0.89131880  0.02249555
0.88601601  0.02358765
0.88062950  0.02469867
0.87516339  0.02582806
0.86962180  0.02697529
0.86400886  0.02813982
0.85832870  0.02932109
0.85258545  0.03051857
0.84678319  0.03173171
0.84092602  0.03295997
0.83501797  0.03420280
0.82906307  0.03545965
0.82306530  0.03672999
0.81702858  0.03801325
0.81095680  0.03930892
0.80485378  0.04061643
0.79872330  0.04193525
0.79256907  0.04326484
0.78639473  0.04460466
0.78020386  0.04595417
0.77399996  0.04731284
0.76778646  0.04868014
0.76156672  0.05005553
0.75534402  0.05143849
0.74912153  0.05282848
0.74290238  0.05422500
0.73668959  0.05562751
0.73048610  0.05703549
0.72429475  0.05844844
0.71811830  0.05986585
0.71195944  0.06128720
0.70582072  0.06271199
0.69970465  0.06413971
0.69361362  0.06556988
0.68754994  0.06700200
0.68151580  0.06843558
0.67551333  0.06987013
0.66954455  0.07130517
0.66361139  0.07274023
0.65771569  0.07417483
0.65185919  0.07560850
0.64604355  0.07704077
0.64027033  0.07847120
0.63454101  0.07989932
0.62885695  0.08132468
0.62321947  0.08274684
0.61762975  0.08416536
0.61208891  0.08557980
0.60659800  0.08698973
0.60115795  0.08839472
0.59576962  0.08979435
0.59043380  0.09118821
0.58515117  0.09257589
0.57992237  0.09395698
0.57474793  0.09533108
0.56962831  0.09669780
0.56456391  0.09805674
0.55955502  0.09940753
0.55460191  0.10074978
0.54970472  0.10208312
0.54486358  0.10340719
0.54007851  0.10472162
0.53534947  0.10602606
0.53067638  0.10732015
0.52605908  0.10860355
0.52149735  0.10987592
0.51699091  0.11113693
0.51253943  0.11238624
0.50814252  0.11362354
0.50379974  0.11484851
0.49951060  0.11606084
0.49527456  0.11726022
0.49109103  0.11844636
0.48695937  0.11961895
0.48287891  0.12077772
0.47884892  0.12192237
0.47486865  0.12305264
0.47093729  0.12416825
0.46705402  0.12526894
0.46321796  0.12635445
0.45942821  0.12742452
0.45568383  0.12847892
0.45198387  0.12951738
0.44832734  0.13053969
0.44471322  0.13154561
0.44114047  0.13253492
0.43760804  0.13350739
0.43411484  0.13446282
0.43065978  0.13540099
0.42724173  0.13632171
0.42385958  0.13722479
0.42051217  0.13811002
0.41719835  0.13897723
0.41391696  0.13982624
0.41066682  0.14065687
0.40744676  0.14146897
0.40425558  0.14226235
0.40109210  0.14303688
0.39795513  0.14379240
0.39484348  0.14452876
0.39175595  0.14524582
0.38869136  0.14594346
0.38564852  0.14662153
0.38262626  0.14727993
0.37962339  0.14791853
0.37663877  0.14853721
0.37367123  0.14913588
0.37071962  0.14971443
0.36778282  0.15027275
0.36485970  0.15081077
0.36194917  0.15132840
0.35905012  0.15182555
0.35616149  0.15230215
0.35328223  0.15275813
0.35041128  0.15319342
0.34754765  0.15360795
0.34469033  0.15400169
0.34183835  0.15437457
0.33899076  0.15472654
0.33614664  0.15505758
0.33330508  0.15536763
0.33046521  0.15565667
0.32762618  0.15592467
0.32478717  0.15617160
0.32194738  0.15639746
0.31910605  0.15660222
0.31626245  0.15678587
0.31341588  0.15694842
0.31056566  0.15708985
0.30771115  0.15721018
0.30485174  0.15730941
0.30198686  0.15738754
0.29911596  0.15744461
0.29623855  0.15748062
0.29335413  0.15749559
0.29046228  0.15748957
0.28756260  0.15746257
0.28465471  0.15741462
0.28173828  0.15734578
0.27881302  0.15725607
0.27587866  0.15714555
0.27293499  0.15701426
0.26998182  0.15686225
0.26701900  0.15668957
0.26404642  0.15649628
0.26106400  0.15628244
0.25807170  0.15604811
0.25506954  0.15579336
0.25205753  0.15551826
0.24903577  0.15522287
0.24600435  0.15490726
0.24296343  0.15457152
0.23991318  0.15421571
0.23685384  0.15383991
0.23378565  0.15344421
0.23070891  0.15302868
0.22762395  0.15259342
0.22453112  0.15213849
0.22143083  0.15166400
0.21832351  0.15117003
0.21520962  0.15065666
0.21208967  0.15012398
0.20896417  0.14957209
0.20583369  0.14900108
0.20269883  0.14841103
0.19956021  0.14780204
0.19641849  0.14717420
0.19327434  0.14652760
0.19012848  0.14586233
0.18698164  0.14517849
0.18383459  0.14447616
0.18068811  0.14375544
0.17754303  0.14301641
0.17440018  0.14225917
0.17126041  0.14148380
0.16812462  0.14069038
0.16499369  0.13987901
0.16186856  0.13904976
0.15875016  0.13820272
0.15563944  0.13733797
0.15253737  0.13645559
0.14944494  0.13555564
0.14636314  0.13463821
0.14329298  0.13370336
0.14023548  0.13275116
0.13719166  0.13178168
0.13416256  0.13079498
0.13114921  0.12979111
0.12815267  0.12877014
0.12517396  0.12773211
0.12221414  0.12667706
0.11927426  0.12560506
0.11635536  0.12451612
0.11345847  0.12341030
0.11058462  0.12228761
0.10773486  0.12114809
0.10491019  0.11999175
0.10211162  0.11881862
0.09934015  0.11762870
0.09659675  0.11642200
0.09388239  0.11519852
0.09119803  0.11395826
0.08854459  0.11270120
0.08592297  0.11142733
0.08333408  0.11013663
0.08077876  0.10882907
0.07825785  0.10750461
0.07577217  0.10616321
0.07332249  0.10480483
0.07090957  0.10342941
0.06853413  0.10203689
0.06619684  0.10062721
0.06389837  0.09920029
