# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05361
# Species         : Mitrospingus_cassinii
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 83.50 mm
# Secondary1       : 71.90 mm
# Kipps Distance   : 10.30 mm
# Hand-Wing Index  : 12.60
# Tail Length      : 73.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.161
# Pointedness Index: 0.1234
# Efficiency Index : 0.0155
# Wing Loading Proxy: 0.0159
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2042  at x/c = 0.2749
# Max f/c          : 0.0605  at x/c = 0.3518
# Est. Reynolds    : 1.31e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939168  0.00009120
0.99866618  0.00021750
0.99781770  0.00037864
0.99684109  0.00057437
0.99573183  0.00080440
0.99448600  0.00106844
0.99310025  0.00136620
0.99157178  0.00169733
0.98989829  0.00206151
0.98807799  0.00245839
0.98610952  0.00288761
0.98399198  0.00334879
0.98172488  0.00384155
0.97930811  0.00436549
0.97674195  0.00492020
0.97402699  0.00550528
0.97116419  0.00612028
0.96815477  0.00676478
0.96500026  0.00743833
0.96170246  0.00814047
0.95826341  0.00887075
0.95468537  0.00962869
0.95097083  0.01041382
0.94712248  0.01122566
0.94314317  0.01206370
0.93903595  0.01292747
0.93480399  0.01381645
0.93045063  0.01473013
0.92597930  0.01566801
0.92139357  0.01662957
0.91669711  0.01761428
0.91189366  0.01862162
0.90698706  0.01965106
0.90198121  0.02070206
0.89688005  0.02177409
0.89168759  0.02286661
0.88640786  0.02397908
0.88104493  0.02511095
0.87560290  0.02626167
0.87008585  0.02743070
0.86449790  0.02861750
0.85884313  0.02982149
0.85312565  0.03104215
0.84734953  0.03227890
0.84151881  0.03353121
0.83563752  0.03479851
0.82970966  0.03608025
0.82373915  0.03737588
0.81772993  0.03868485
0.81168582  0.04000659
0.80561065  0.04134057
0.79950816  0.04268623
0.79338202  0.04404302
0.78723586  0.04541039
0.78107323  0.04678780
0.77489760  0.04817469
0.76871239  0.04957054
0.76252092  0.05097479
0.75632645  0.05238691
0.75013214  0.05380636
0.74394109  0.05523260
0.73775629  0.05666511
0.73158066  0.05810336
0.72541703  0.05954682
0.71926814  0.06099497
0.71313664  0.06244729
0.70702510  0.06390327
0.70093599  0.06536239
0.69487167  0.06682414
0.68883444  0.06828802
0.68282649  0.06975353
0.67684993  0.07122017
0.67090675  0.07268745
0.66499888  0.07415488
0.65912815  0.07562197
0.65329628  0.07708824
0.64750492  0.07855322
0.64175562  0.08001644
0.63604984  0.08147743
0.63038894  0.08293572
0.62477422  0.08439087
0.61920687  0.08584241
0.61368800  0.08728991
0.60821863  0.08873291
0.60279970  0.09017098
0.59743207  0.09160369
0.59211650  0.09303060
0.58685370  0.09445131
0.58164428  0.09586538
0.57648877  0.09727242
0.57138763  0.09867201
0.56634125  0.10006375
0.56134993  0.10144725
0.55641393  0.10282212
0.55153340  0.10418796
0.54670845  0.10554442
0.54193910  0.10689111
0.53722534  0.10822766
0.53256706  0.10955371
0.52796411  0.11086891
0.52341628  0.11217291
0.51892327  0.11346536
0.51448478  0.11474593
0.51010040  0.11601427
0.50576971  0.11727007
0.50149221  0.11851301
0.49726737  0.11974276
0.49309459  0.12095902
0.48897326  0.12216149
0.48490269  0.12334986
0.48088217  0.12452385
0.47691094  0.12568318
0.47298822  0.12682755
0.46911316  0.12795670
0.46528492  0.12907037
0.46150258  0.13016828
0.45776522  0.13125018
0.45407190  0.13231582
0.45042162  0.13336497
0.44681337  0.13439737
0.44324613  0.13541280
0.43971883  0.13641104
0.43623042  0.13739186
0.43277979  0.13835504
0.42936583  0.13930039
0.42598743  0.14022769
0.42264345  0.14113675
0.41933273  0.14202738
0.41605412  0.14289940
0.41280646  0.14375262
0.40958857  0.14458688
0.40639927  0.14540200
0.40323737  0.14619783
0.40010171  0.14697420
0.39699108  0.14773097
0.39390432  0.14846800
0.39084022  0.14918514
0.38779763  0.14988226
0.38477536  0.15055923
0.38177224  0.15121594
0.37878713  0.15185226
0.37581887  0.15246809
0.37286632  0.15306332
0.36992836  0.15363785
0.36700387  0.15419159
0.36409175  0.15472444
0.36119092  0.15523633
0.35830031  0.15572717
0.35541887  0.15619690
0.35254556  0.15664544
0.34967939  0.15707273
0.34681935  0.15747871
0.34396448  0.15786334
0.34111383  0.15822657
0.33826649  0.15856834
0.33542154  0.15888863
0.33257813  0.15918741
0.32973541  0.15946464
0.32689255  0.15972030
0.32404877  0.15995437
0.32120331  0.16016685
0.31835544  0.16035771
0.31550445  0.16052696
0.31264967  0.16067460
0.30979047  0.16080063
0.30692625  0.16090505
0.30405641  0.16098789
0.30118044  0.16104916
0.29829781  0.16108888
0.29540806  0.16110707
0.29251075  0.16110376
0.28960547  0.16107899
0.28669186  0.16103279
0.28376958  0.16096521
0.28083835  0.16087628
0.27789789  0.16076605
0.27494799  0.16063458
0.27198846  0.16048191
0.26901915  0.16030810
0.26603995  0.16011322
0.26305078  0.15989733
0.26005160  0.15966048
0.25704241  0.15940276
0.25402325  0.15912423
0.25099418  0.15882496
0.24795531  0.15850503
0.24490680  0.15816452
0.24184882  0.15780351
0.23878158  0.15742207
0.23570535  0.15702031
0.23262040  0.15659829
0.22952708  0.15615611
0.22642572  0.15569386
0.22331674  0.15521162
0.22020055  0.15470949
0.21707761  0.15418757
0.21394843  0.15364593
0.21081352  0.15308469
0.20767345  0.15250393
0.20452880  0.15190375
0.20138019  0.15128424
0.19822828  0.15064550
0.19507374  0.14998763
0.19191727  0.14931071
0.18875962  0.14861486
0.18560153  0.14790015
0.18244380  0.14716669
0.17928723  0.14641456
0.17613267  0.14564386
0.17298095  0.14485469
0.16983297  0.14404712
0.16668961  0.14322125
0.16355179  0.14237716
0.16042045  0.14151494
0.15729654  0.14063467
0.15418102  0.13973642
0.15107487  0.13882029
0.14797909  0.13788633
0.14489468  0.13693463
0.14182265  0.13596524
0.13876403  0.13497825
0.13571985  0.13397370
0.13269114  0.13295166
0.12967895  0.13191218
0.12668431  0.13085532
0.12370828  0.12978111
0.12075189  0.12868960
0.11781618  0.12758084
0.11490221  0.12645484
0.11201099  0.12531165
0.10914355  0.12415128
0.10630092  0.12297375
0.10348410  0.12177907
0.10069409  0.12056726
0.09793187  0.11933830
0.09519840  0.11809221
0.09249465  0.11682896
0.08982153  0.11554854
0.08717996  0.11425092
0.08457084  0.11293608
0.08199502  0.11160398
0.07945336  0.11025458
0.07694666  0.10888782
0.07447572  0.10750365
0.07204128  0.10610201
0.06964408  0.10468282
0.06728481  0.10324601
0.06496412  0.10179148
0.06268264  0.10031915
0.06044094  0.09882892
0.05823959  0.09732067
0.05607908  0.09579429
0.05395989  0.09424965
0.05188242  0.09268663
0.04984707  0.09110509
0.04785417  0.08950487
0.04590401  0.08788583
0.04399683  0.08624780
0.04213283  0.08459061
0.04031217  0.08291410
0.03853494  0.08121806
0.03680121  0.07950232
0.03511097  0.07776667
0.03346418  0.07601091
0.03186077  0.07423483
0.03030058  0.07243821
0.02878343  0.07062083
0.02730909  0.06878245
0.02587728  0.06692284
0.02448767  0.06504177
0.02313989  0.06313898
0.02183353  0.06121422
0.02056814  0.05926725
0.01934322  0.05729779
0.01815824  0.05530559
0.01701262  0.05329040
0.01590578  0.05125193
0.01483708  0.04918992
0.01380586  0.04710410
0.01281145  0.04499421
0.01185313  0.04285997
0.01093020  0.04070111
0.01004194  0.03851738
0.00918760  0.03630851
0.00836645  0.03407423
0.00757777  0.03181430
