# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 05472
# Species         : Trochocercus_cyanomelas
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 66.80 mm
# Secondary1       : 56.90 mm
# Kipps Distance   : 9.90 mm
# Hand-Wing Index  : 14.80
# Tail Length      : 81.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.174
# Pointedness Index: 0.1482
# Efficiency Index : 0.0219
# Wing Loading Proxy: 0.0144
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2032  at x/c = 0.2736
# Max f/c          : 0.0602  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009111
0.99866610  0.00021714
0.99781742  0.00037785
0.99684045  0.00057296
0.99573060  0.00080221
0.99448392  0.00106531
0.99309702  0.00136194
0.99156706  0.00169180
0.98989171  0.00205454
0.98806914  0.00244982
0.98609798  0.00287728
0.98397730  0.00333654
0.98170660  0.00382724
0.97928576  0.00434897
0.97671502  0.00490132
0.97399499  0.00548389
0.97112659  0.00609624
0.96811106  0.00673795
0.96494992  0.00740857
0.96164497  0.00810766
0.95819824  0.00883474
0.95461200  0.00958936
0.95088874  0.01037103
0.94703116  0.01117929
0.94304212  0.01201363
0.93892466  0.01287358
0.93468198  0.01375862
0.93031740  0.01466825
0.92583440  0.01560196
0.92123654  0.01655925
0.91652751  0.01753957
0.91171106  0.01854243
0.90679104  0.01956728
0.90177136  0.02061359
0.89665600  0.02168084
0.89144896  0.02276848
0.88615431  0.02387598
0.88077612  0.02500279
0.87531851  0.02614837
0.86978558  0.02731218
0.86418146  0.02849366
0.85851027  0.02969227
0.85277611  0.03090746
0.84698307  0.03213869
0.84113524  0.03338539
0.83523664  0.03464701
0.82929128  0.03592302
0.82330313  0.03721285
0.81727611  0.03851595
0.81121410  0.03983178
0.80512091  0.04115979
0.79900030  0.04249942
0.79285599  0.04385013
0.78669159  0.04521138
0.78051069  0.04658262
0.77431677  0.04796331
0.76811325  0.04935290
0.76190349  0.05075087
0.75569075  0.05215666
0.74947821  0.05356976
0.74326897  0.05498962
0.73706606  0.05641572
0.73087240  0.05784753
0.72469083  0.05928453
0.71852411  0.06072620
0.71237490  0.06217202
0.70624577  0.06362148
0.70013921  0.06507406
0.69405761  0.06652928
0.68800326  0.06798661
0.68197836  0.06944556
0.67598503  0.07090563
0.67002528  0.07236635
0.66410104  0.07382721
0.65821415  0.07528773
0.65236634  0.07674745
0.64655926  0.07820587
0.64079448  0.07966254
0.63507346  0.08111699
0.62939757  0.08256876
0.62376811  0.08401739
0.61818628  0.08546244
0.61265319  0.08690345
0.60716987  0.08833999
0.60173726  0.08977163
0.59635622  0.09119792
0.59102754  0.09261844
0.58575190  0.09403278
0.58052993  0.09544052
0.57536215  0.09684125
0.57024904  0.09823456
0.56519098  0.09962006
0.56018828  0.10099735
0.55524119  0.10236605
0.55034986  0.10372577
0.54551441  0.10507613
0.54073487  0.10641676
0.53601120  0.10774730
0.53134332  0.10906739
0.52673105  0.11037666
0.52217420  0.11167478
0.51767247  0.11296141
0.51322555  0.11423619
0.50883303  0.11549881
0.50449449  0.11674893
0.50020942  0.11798623
0.49597730  0.11921041
0.49179752  0.12042115
0.48766947  0.12161815
0.48359246  0.12280112
0.47956577  0.12396976
0.47558865  0.12512379
0.47166029  0.12626292
0.46777987  0.12738690
0.46394651  0.12849544
0.46015932  0.12958830
0.45641737  0.13066521
0.45271970  0.13172592
0.44906531  0.13277019
0.44545320  0.13379779
0.44188233  0.13480848
0.43835164  0.13580203
0.43486006  0.13677824
0.43140649  0.13773687
0.42798981  0.13867773
0.42460890  0.13960061
0.42126262  0.14050531
0.41794981  0.14139165
0.41466931  0.14225944
0.41141996  0.14310851
0.40820057  0.14393867
0.40500996  0.14474976
0.40184694  0.14554162
0.39871032  0.14631409
0.39559893  0.14706702
0.39251156  0.14780027
0.38944703  0.14851370
0.38640416  0.14920718
0.38338177  0.14988057
0.38037870  0.15053376
0.37739378  0.15116662
0.37442585  0.15177905
0.37147378  0.15237095
0.36853643  0.15294220
0.36561269  0.15349272
0.36270145  0.15402241
0.35980163  0.15453119
0.35691215  0.15501899
0.35403196  0.15548572
0.35116003  0.15593133
0.34829534  0.15635573
0.34543689  0.15675889
0.34258373  0.15714074
0.33973489  0.15750123
0.33688945  0.15784032
0.33404652  0.15815798
0.33120522  0.15845416
0.32836470  0.15872885
0.32552414  0.15898201
0.32268275  0.15921362
0.31983977  0.15942367
0.31699446  0.15961216
0.31414613  0.15977906
0.31129410  0.15992439
0.30843772  0.16004814
0.30557640  0.16015032
0.30270956  0.16023095
0.29983666  0.16029003
0.29695719  0.16032758
0.29407067  0.16034363
0.29117667  0.16033821
0.28827478  0.16031135
0.28536465  0.16026308
0.28244592  0.16019343
0.27951832  0.16010246
0.27658158  0.15999020
0.27363548  0.15985671
0.27067983  0.15970203
0.26771448  0.15952622
0.26473932  0.15932934
0.26175428  0.15911145
0.25875932  0.15887261
0.25575443  0.15861289
0.25273966  0.15833235
0.24971508  0.15803108
0.24668079  0.15770914
0.24363695  0.15736660
0.24058373  0.15700356
0.23752136  0.15662008
0.23445009  0.15621625
0.23137022  0.15579216
0.22828207  0.15534789
0.22518600  0.15488352
0.22208241  0.15439915
0.21897172  0.15389486
0.21585441  0.15337075
0.21273097  0.15282691
0.20960193  0.15226343
0.20646785  0.15168040
0.20332931  0.15107793
0.20018696  0.15045609
0.19704143  0.14981500
0.19389340  0.14915473
0.19074359  0.14847539
0.18759274  0.14777708
0.18444160  0.14705988
0.18129097  0.14632389
0.17814165  0.14556920
0.17499449  0.14479591
0.17185034  0.14400410
0.16871008  0.14319387
0.16557461  0.14236530
0.16244485  0.14151848
0.15932173  0.14065349
0.15620622  0.13977043
0.15309927  0.13886936
0.15000188  0.13795037
0.14691503  0.13701353
0.14383974  0.13605893
0.14077702  0.13508662
0.13772789  0.13409668
0.13469339  0.13308918
0.13167455  0.13206417
0.12867242  0.13102171
0.12568805  0.12996186
0.12272247  0.12888468
0.11977673  0.12779019
0.11685188  0.12667846
0.11394895  0.12554951
0.11106898  0.12440339
0.10821299  0.12324011
0.10538201  0.12205971
0.10257703  0.12086221
0.09979906  0.11964762
0.09704908  0.11841594
0.09432805  0.11716719
0.09163692  0.11590136
0.08897663  0.11461845
0.08634808  0.11331844
0.08375216  0.11200131
0.08118974  0.11066704
0.07866164  0.10931559
0.07616870  0.10794694
0.07371168  0.10656103
0.07129134  0.10515782
0.06890841  0.10373725
0.06656356  0.10229925
0.06425745  0.10084376
0.06199070  0.09937070
0.05976389  0.09787999
0.05757756  0.09637153
0.05543220  0.09484524
0.05332827  0.09330100
0.05126619  0.09173871
0.04924634  0.09015825
0.04726903  0.08855950
0.04533455  0.08694233
0.04344314  0.08530659
0.04159498  0.08365215
0.03979021  0.08197886
0.03802893  0.08028656
0.03631117  0.07857509
0.03463695  0.07684428
0.03300619  0.07509397
0.03141880  0.07332396
0.02987463  0.07153408
0.02837348  0.06972414
0.02691509  0.06789395
0.02549919  0.06604330
0.02412542  0.06417200
0.02279341  0.06227984
0.02150272  0.06036661
0.02025289  0.05843210
0.01904340  0.05647609
0.01787372  0.05449838
0.01674325  0.05249875
0.01565138  0.05047697
0.01459746  0.04843283
0.01358082  0.04636612
0.01260076  0.04427662
0.01165657  0.04216412
0.01074752  0.04002840
0.00987286  0.03786926
0.00903184  0.03568650
0.00822371  0.03347993
0.00744774  0.03124935
0.00670318  0.02899458
0.00598933  0.02671544
0.00530549  0.02441178
0.00465100  0.02208345
0.00402524  0.01973030
0.00342766  0.01735220
0.00285772  0.01494904
0.00231500  0.01252074
0.00179911  0.01006721
0.00130979  0.00758839
0.00084686  0.00508426
0.00041024  0.00255479
0.00000000  0.00000000
0.00041024  -0.00149440
0.00084686  -0.00291549
0.00130979  -0.00426709
0.00179911  -0.00555288
0.00231500  -0.00677638
0.00285772  -0.00794094
0.00342766  -0.00904975
